8901	China's industrial output growth at five-year low	http://www.channelnewsasia.com/news/business/international/china-s-industrial-output/1033946.html	Channel News Asia	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.channelnewsasia.com	1394710375992
8902	China Industrial Data Weaker Than Expected	http://stream.wsj.com/story/latest-headlines/SS-2-63399/SS-2-479794/	Wall Street Journal	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	stream.wsj.com	1394710376218
8903	Weak Data Signal China Slowdown	http://www.lse.co.uk/AllNews.asp\?code=yx93epol&amp;headline=Weak_Data_Signal_China_Slowdown	London South East	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.lse.co.uk	1394710376405
8904	UPDATE 1-China's Jan-Feb economic activity cools to multi-year lows	http://in.reuters.com/article/2014/03/13/china-economy-activity-idINL3N0MA29D20140313	Reuters	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	in.reuters.com	1394710376572
8905	China's urban fixed-asset investment growth slows	http://www.shanghaidaily.com/article/article_xinhua.aspx\?id=206336	Shanghai Daily \(subscription\)	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.shanghaidaily.com	1394710376883
8906	China's January-February economic activity cools to multi-year lows	http://www.iii.co.uk/news-opinion/reuters/news/153405	Interactive Investor	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.iii.co.uk	1394710377143
8907	China's Industrial Output Growth Slows	http://www.rttnews.com/2285362/china-s-industrial-output-growth-slows.aspx\?type=alleco	RTT News	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.rttnews.com	1394710377311
8908	China output and retail data adds to slowdown fears	http://thefrontierpost.com/article/81848/China-output-and-retail-data-adds-to-slowdown-fears/	Frontier Post	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	thefrontierpost.com	1394710377479
8909	UPDATE 1-China Jan-Feb property investment slows, sales drop	http://in.reuters.com/article/2014/03/13/china-economy-property-idINL3N0MA2AR20140313	Reuters	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	in.reuters.com	1394710377664
8910	China industrial output up 8.6%	http://www.skynews.com.au/businessnews/article.aspx\?id=958049	Sky News Australia	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.skynews.com.au	1394710377950
8911	China Jan-Feb factory output up 8.6%, a five-year low	http://zeenews.india.com/business/news/international/china-jan-feb-factory-output-up-8-6-a-five-year-low_96109.html	Zee News	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	zeenews.india.com	1394710378179
8912	8.6pc growth in China industrial output in first two months weakest in 5 years	http://www.scmp.com/business/economy/article/1447748/86pc-growth-china-industrial-output-first-two-months-2014-weakest-5	South China Morning Post	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.scmp.com	1394710378354
8913	China industrial output, retail sales touch new lows	http://www.thestandard.com.hk/breaking_news_detail.asp\?id=47358&amp;icid=1&amp;d_str=	Hong Kong Standard	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.thestandard.com.hk	1394710378563
8914	China industrial output, retail sales rise	http://www.thestandard.com.hk/breaking_news_detail.asp\?id=47358&amp;icid=a&amp;d_str=	Hong Kong Standard	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.thestandard.com.hk	1394710378748
8915	New Zealand's Fonterra in guilty plea over food safety violations	http://www.bbc.co.uk/news/business-26556261	BBC News	b	dcSwrJJ2ajehK-MKUV4iyIDV-ckqM	www.bbc.co.uk	1394710378933
8916	Stocks to Watch: Herbalife, Dollar General, Aeropostale	http://www.marketwatch.com/story/stocks-to-watch-herbalife-dollar-general-aeropostale-2014-03-12	MarketWatch	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.marketwatch.com	1394710495310
8917	Herbalife under FTC lens, finally!	http://www.moneylife.in/article/herbalife-under-ftc-lens-finally/36689.html	Moneylife	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.moneylife.in	1394710495499
8918	Herbalife Ltd. (HLF) news: Herbalife At Risk: The FTC Can't Ignore  ...	http://seekingalpha.com/article/2085833-herbalife-at-risk-the-ftc-cant-ignore-demonstrable-evidence\?source=google_news	Seeking Alpha	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	seekingalpha.com	1394710495677
8919	Herbalife Hit with Civil Investigation by FTC	http://www.dailyfinance.com/2014/03/13/herbalife-ftc-civil-investigation/	DailyFinance	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.dailyfinance.com	1394710495887
8920	Ackman wins a round as FTC starts Herbalife probe	http://www.tri-cityherald.com/2014/03/12/2871717/herbalife-facing-ftc-inquiry-shares.html	Mid Columbia Tri City Herald	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.tri-cityherald.com	1394710496086
8921	Krispy Kreme's Great-Tasting Rarnings, and Herbalife's Not-So-Fun Day	http://www.fool.com/investing/general/2014/03/13/krispy-kremes-great-tasting-earnings-and-herbalife.aspx	Motley Fool	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.fool.com	1394710496281
8922	The House of Cards put	http://www.economist.com/blogs/schumpeter/2014/03/herbalife	The Economist \(blog\)	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.economist.com	1394710496525
8923	Health products company Herbalife faces probe Herbalife is facing an inquiry  ...	http://www.10news.com/money/nutritional-supplement-maker-herbalife-faces-ftc-inquiry-031214	10News	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.10news.com	1394710496793
8924	Herbalife under investigation by FTC over business model	http://www.lawyerherald.com/articles/4961/20140313/herbalife-under-investigation-by-ftc-over-business-model.htm	Lawyer Herald	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.lawyerherald.com	1394710496992
8925	Federal Trade Commission opens inquiry into Herbalife	http://www.bizjournals.com/triangle/morning_call/2014/03/ftc-opens-inquiry-into-herbalife.html	Triangle Business Journal	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.bizjournals.com	1394710497177
8926	Herbalife says FTC now probing firm's operations	http://www.vcpost.com/articles/22462/20140313/herbalife-says-ftc-now-probing-firms-operations.htm	Venture Capital Post	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.vcpost.com	1394710497456
8927	Herbalife accused of being a pyramid scheme	http://www.moneyweb.co.za/moneyweb-international/herbalife-accused-of-being-a-pyramid-scheme	Moneyweb.co.za	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.moneyweb.co.za	1394710497658
8928	Herbalife Says FTC Opens Inquiry Long Sought By Ackman	http://invests.com/herbalife-says-ftc-opens-inquiry-long-sought-by-ackman/20140312372814490	Invests.com	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	invests.com	1394710497867
8929	Herbalife faces FTC inquiry after activist campaign	http://en.tengrinews.kz/companies/Herbalife-faces-FTC-inquiry-after-activist-campaign-26678/	Tengrinews	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	en.tengrinews.kz	1394710498061
8930	Is this George Soros and Carl Icahn-backed firm running a "pyramid scheme"?	http://www.londonlovesbusiness.com/business-in-london/investment/is-this-george-soros-and-carl-icahn-backed-firm-running-a-pyramid-scheme/7666.article	London Loves Business	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.londonlovesbusiness.com	1394710498534
8931	At last, a break for Bill Ackman on his Herbalife bet	http://qz.com/187099/at-last-a-break-for-bill-ackman-on-his-herbalife-bet/	Quartz	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	qz.com	1394710498728
8932	Herbalife Probed by US Regulators Over 'Pyramid Scheme'	http://www.ibtimes.co.uk/multi-level-marketing-company-herbalife-probed-by-us-regulators-over-pyramid-scheme-1440085	International Business Times UK	b	dey1wWSDFLloFaMb4H5WhUu2P5biM	www.ibtimes.co.uk	1394710498933
