15501	Study Finds Strong Link Between Autism Disorders and Environmental Factors	http://www.counselheal.com/articles/8994/20140314/study-finds-strong-link-between-autism-disorders-and-environmental-factors.htm	Counsel \& Heal	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.counselheal.com	1395066557783
15502	Autism Risk Linked To Environmental Factors	http://www.universityherald.com/articles/8149/20140314/autism-risk-linked-to-environmental-factors.htm	University Herald	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.universityherald.com	1395066557993
15503	Autism linked to environmental factors	http://www.jsonline.com/blogs/news/250364711.html	Milwaukee Journal Sentinel \(blog\)	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.jsonline.com	1395066558274
15504	Environmental factors linked to autism, intellectual disability	http://zeenews.india.com/news/health/health-news/environmental-factors-linked-to-autism-intellectual-disability_27130.html	Zee News	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	zeenews.india.com	1395066558590
15505	Autism linked to high levels of air pollution	http://www.techtimes.com/articles/4411/20140314/autism-linked-to-high-levels-of-air-pollution.htm	Tech Times	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.techtimes.com	1395066558782
15506	Autism Disorders Linked To Environmental Factors	http://www.hngn.com/articles/26559/20140314/autism-disorders-linked-to-environmental-factors-that-also-cause-male-genital-malformation.htm	Headlines \& Global News	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.hngn.com	1395066559134
15507	Environmental Pollution Might be Contributing to Autism Risk: Study	http://topnews.net.nz/content/232617-environmental-pollution-might-be-contributing-autism-risk-study	TopNews New Zealand	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	topnews.net.nz	1395066559327
15508	Autism and intellectual disability incidence linked with environmental factors	http://esciencenews.com/articles/2014/03/14/autism.and.intellectual.disability.incidence.linked.with.environmental.factors	Eureka\! Science News	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	esciencenews.com	1395066559503
15509	Washington, March 14: Scientists have linked autism and intellectual disability in  ...	http://www.ianslive.in/index.php\?param=news/Environmental_factors_linked_to_intellectual_disability-415360/Features%20Analyses/35	IANS	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.ianslive.in	1395066559729
15510	Environmental factors linked to intellectual disability	http://www.ianslive.in/index.php\?param=news/Environmental_factors_linked_to_intellectual_disability-415360/Health%20&amp;%20Travel/35	IANS	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.ianslive.in	1395066560058
15511	Studies Show Autism Linked To The Environment	http://www.thealmagest.com/studies-show-autism-linked-to-the-environment/11126	The Almagest	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.thealmagest.com	1395066560276
15512	Environmental Factors Strongly Linked To Autism, Intellectual Disability Cluster  ...	http://www.ordoh.com/2014/03/environmental-factors-strongly-linked-autism-intellectual-disability-cluster-study/	Ordoh News	m	dSRzrEInA6IvDxMf0PzSssqjkTJ5M	www.ordoh.com	1395066560444
