21801	Google Chromecast goes on sale in UK	http://www.theguardian.com/technology/2014/mar/19/google-chromecast-uk-android-apps-digital-tv	The Guardian	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.theguardian.com	1395233641948
21802	Google takes Chromecast to Germany	http://www.rapidtvnews.com/index.php/2014031932820/google-takes-chromecast-to-germany.html	Rapid tv news	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.rapidtvnews.com	1395233642143
21803	Google Takes The Chromecast Beyond The US — To 11 Markets In Europe  ...	http://techcrunch.com/2014/03/19/chromecast-goes-to-europe/	TechCrunch	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	techcrunch.com	1395233642402
21804	Google Chromecast UK Release Date: £30 Dongle Out Now	http://www.huffingtonpost.co.uk/2014/03/19/google-chromecast-uk-release_n_4991145.html	Huffington Post UK	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.huffingtonpost.co.uk	1395233642577
21805	Google Chromecast May Land In The UK This Week	http://www.geeky-gadgets.com/google-chromecast-may-land-in-the-uk-this-week-17-03-2014/	Geeky gadgets	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.geeky-gadgets.com	1395233642789
21806	Google Chromecast Launched In The UK And Europe	http://www.geeky-gadgets.com/google-chromecast-launched-in-the-uk-and-europe-19-03-2014/	Geeky gadgets	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.geeky-gadgets.com	1395233643082
21807	Google Chromecast launches in the UK today, priced £30	http://www.eurogamer.net/articles/2014-03-19-google-chromecast-launches-in-the-uk-today-priced-30	Eurogamer.net	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.eurogamer.net	1395233643468
21808	Chromecast released in UK for £30	http://www.pcpro.co.uk/news/387628/chromecast-released-in-uk-for-30	PC Pro	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.pcpro.co.uk	1395233643653
21809	Chromecast Steps Outside U.S. For The First Time; Arrives In 11 New Countries	http://www.hngn.com/articles/26853/20140319/chromecast-steps-outside-us-first-time-arrives-11-new.htm	Headlines \& Global News	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.hngn.com	1395233643846
21810	Chromecast - a TV game changer?	http://www.bbc.co.uk/news/technology-26643235	BBC News	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.bbc.co.uk	1395233644039
21811	After a long wait Google Chromecast is here and it's going to be a huge hit  ...	http://www.dailystar.co.uk/tech/370386/Google-Chromecast-streams-into-the-UK-and-is-possibly-the-best-gadget-you-ll-buy-this-year	Daily Star	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.dailystar.co.uk	1395233644513
21812	Google brings Chromescast HDMI dongle to the Netherlands	http://www.telecompaper.com/news/google-brings-chromescast-hdmi-dongle-to-the-netherlands--1002945	Telecompaper \(subscription\)	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.telecompaper.com	1395233644735
21813	Chromecast Launches In UK At £30 Pricepoint	http://www.worldtvpc.com/blog/chromecast-launches-in-uk-at-30-pricepoint/	World Internet TV on PC \(blog\)	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.worldtvpc.com	1395233644918
21814	Google Chromecast out now in the UK for £30	http://www.expertreviews.co.uk/media-streamers/1306597/google-chromecast-out-now-in-the-uk-for-30	Expert Reviews	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.expertreviews.co.uk	1395233645138
21815	Google Chromecast launches in the UK: review	http://www.telegraph.co.uk/technology/reviews/10706074/Google-Chromecast-launches-in-the-UK-review.html	Telegraph.co.uk	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.telegraph.co.uk	1395233645323
21816	Google launches Chromecast streams simultaneously in 11 countries	http://thefootballexaminer.com/technology-22/google-launches-chromecast-streams-simultaneously-in-11-countries-204.html	The Football Examiner	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	thefootballexaminer.com	1395233645514
21817	Google's Chromecast: Turn a gogglebox into a Googlebox for £30	http://metro.co.uk/2014/03/19/googles-chromecast-turn-a-gogglebox-into-a-googlebox-for-30-4645383/	Metro	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	metro.co.uk	1395233645751
21818	Google Chromecast goes global as streaming stick launches outside the US	http://www.techradar.com/news/television/chromecast-launches-in-the-uk-with-iplayer-and-netflix-support-1234815	TechRadar UK	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.techradar.com	1395233646037
21819	Chromecast goes international, now available in 11 more countries	http://www.androidos.in/2014/03/chromecast-goes-international-now-available-11-countries/	AndroidOS.in	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.androidos.in	1395233646347
21820	Google's Chromecast streams its way into 11 additional countries	http://betanews.com/2014/03/18/googles-chromecast-streams-its-way-into-11-additional-countries/	BetaNews	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	betanews.com	1395233646554
21821	Google Chromecast Streaming Device Expands To 11 More Countries	http://news.investors.com/technology/031814-693805-google-launches-chromecast-streaming-dongle-to-11-new-countries.htm	Investor's Business Daily	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	news.investors.com	1395233646800
21822	Google officially announces Chromecast for £30	http://tech.uk.msn.com/news/articles.aspx\?cp-documentid=260045559	MSN UK	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	tech.uk.msn.com	1395233646993
21823	Google's Chromecast officially available for Canadians	http://www.canadianreviewer.com/cr/2014/3/18/googles-chromecast-officially-available-for-canadians.html	Canadian Reviewer	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.canadianreviewer.com	1395233647177
21824	Chromecast launching in 11 new countries today	http://www.androidauthority.com/chromecast-11-countries-359112/	Android Authority	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.androidauthority.com	1395233647470
21825	Chromecast is now available in 11 more countries	http://androidcommunity.com/chromecast-is-now-available-in-11-more-countries-20140318/	Android Community	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	androidcommunity.com	1395233647781
21826	Chromecast officially available across Europe and in Canada starting today	http://www.engadget.com/2014/03/18/chromecast-officially-available-across-europe/	Engadget	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.engadget.com	1395233647966
21827	Chromecast Now Available For Purchase In The UK And Various Other EU  ...	http://www.androidheadlines.com/2014/03/chromecast-now-available-purchase-uk-various-eu-regions.html	Android Headlines - Android News	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.androidheadlines.com	1395233648151
21828	Chromecast: now casting in 11 more countries	http://www.newsroomamerica.com/story/413003.html	Newsroom America	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.newsroomamerica.com	1395233648436
21829	Chromecast begins international trek in 11 new countries	http://www.slashgear.com/chromecast-begins-international-trek-in-11-new-countries-18321165/	SlashGear	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.slashgear.com	1395233648837
21830	Google Launches Chromecast In Europe and Canada	http://readwrite.com/2014/03/18/chromecast-europe-canada	ReadWrite	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	readwrite.com	1395233649038
21831	Google Chromecast To Roll Out To 11 New Countries	http://www.ubergizmo.com/2014/03/google-chromecast-to-roll-out-to-11-new-countries/	Ubergizmo	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.ubergizmo.com	1395233649222
21832	Google Chromecast appears on UK retailer website ahead of launch	http://www.androidauthority.com/google-chromecast-uk-currys-359102/	Android Authority	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.androidauthority.com	1395233649510
21833	Google Chromecast is now available in a dozen countries	http://liliputing.com/2014/03/google-chromecast-now-available-dozen-countries.html	Liliputing	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	liliputing.com	1395233649786
21834	Google Chromecast Launches In UK, BBC iPlayer In Tow	http://www.knowyourmobile.com/devices/google-chromecast/21969/google-chromecast-launches-uk-bbc-iplayer-tow	Know Your Mobile	t	dRuzABtOXMAFl_M9gciZy6UH4Pl9M	www.knowyourmobile.com	1395233649963
