24001	Hospitals may be to blame for NYC measles outbreak	http://www.oneidadispatch.com/general-news/20140319/hospitals-may-be-to-blame-for-nyc-measles-outbreak	Oneida Dispatch	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.oneidadispatch.com	1395241846236
24002	Measles outbreak in NY may have spread in medical facilities	http://www.healthleadersmedia.com/content/QUA-302048/Measles-outbreak-in-NY-may-have-spread-in-medical-facilities	HealthLeaders Media	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.healthleadersmedia.com	1395241846413
24003	Measles Outbreak Grows to 20 Cases in NYC	http://www.nbcnewyork.com/news/local/Measles-Outbreak-NYC-Cases-Kids-Adults-Vaccines-250840431.html	NBC New York	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.nbcnewyork.com	1395241846590
24004	NYC Health Department says medical facilities may be to blame for some  ...	http://www.greenfieldreporter.com/view/story/0ddbfcb777dd4b568e0383b4133519aa/NY--Measles-NYC	Greenfield Daily Reporter	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.greenfieldreporter.com	1395241846775
24005	Measles Outbreak in NYC - Who do we blame?	http://pediatrics.about.com/b/2014/03/18/measles-outbreak-in-nyc-who-do-we-blame.htm	About - News \& Issues	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	pediatrics.about.com	1395241847052
24006	Measles spreading in both New York and California	http://www.examiner.com/article/measles-spreading-both-new-york-and-california	Examiner.com	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.examiner.com	1395241847329
24007	Health Department: Measles may have spread at hospitals	http://www.myfoxny.com/story/25011679/health-department-measles-may-have-spread-at-hospitals	myfoxny.com	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.myfoxny.com	1395241847514
24008	Extra measles vaccinations to meet recent demand surge	http://english.vietnamnet.vn/fms/society/97739/extra-measles-vaccinations-to-meet-recent-demand-surge.html	VietNamNet Bridge	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	english.vietnamnet.vn	1395241847716
24009	14 of California's 32 measles cases this year were intentionally unvaccinated	http://www.scpr.org/news/2014/03/18/42870/majority-of-states-measles-cases-were-unvaccinated/	89.3 KPCC	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.scpr.org	1395241847900
24010	Twitter Tuesday: Measles' comeback, stillborn murder charges, experimental  ...	http://www.yakimaherald.com/blogs/health/2026909-8/twitter-tuesday-measles-comeback-stillborn-murder-charges-experimental	Yakima Herald-Republic \(blog\)	m	dmJT0yp8QMorBRMchVrQgNvP-klUM	www.yakimaherald.com	1395241848179
