29001	IRS warns of phone scam weaving around nation	http://www.washingtontimes.com/news/2014/mar/21/irs-warns-phone-scam-weaving-around-nation/	Washington Times	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.washingtontimes.com	1395503792682
29002	Fake IRS agents scamming taxpayers big time	http://www.krmg.com/news/news/local/fake-irs-agents-scamming-taxpayers-big-time/nfHtb/	KRMG	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.krmg.com	1395503792867
29003	IRS watchdog warns of 'largest scam of its kind'	http://www.washingtonpost.com/blogs/federal-eye/wp/2014/03/20/irs-watchdog-warns-of-largest-scam-of-its-kind/	Washington Post \(blog\)	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.washingtonpost.com	1395503793042
29004	Oklahoma Department of Corrections to limit media access to state prisons	http://www.tulsaworld.com/news/government/oklahoma-department-of-corrections-to-limit-media-access-to-state/article_e201822d-6ae5-5eb9-9cff-91656a4f5bcd.html	Tulsa World	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.tulsaworld.com	1395503793234
29005	Beware Massive IRS Phone Scam	http://www.newser.com/story/184115/beware-massive-irs-phone-scam.html	Newser	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.newser.com	1395503793460
29006	John E. Hoover: OU's early exit seemed most unlikely scenario in loss to North  ...	http://www.tulsaworld.com/sportsextra/john-e-hoover-ou-s-early-exit-seemed-most-unlikely/article_3c22dfaa-3d7d-5fce-8b6b-a22b3508f887.html	Tulsa World	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.tulsaworld.com	1395503793745
29007	Sports FYI	http://www.tulsaworld.com/sportsextra/sports-fyi/article_449d07a5-93a9-51ed-860f-b5ca524314f7.html	Tulsa World	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.tulsaworld.com	1395503794366
29008	IRS phone scam huge, growing	http://www.spokesman.com/stories/2014/mar/21/irs-phone-scam-huge-growing/	The Spokesman Review	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.spokesman.com	1395503794693
29009	False IRS agents calling taxpayers	https://ksn.com/2014/03/20/false-irs-agents-calling-taxpayers/	KSN-TV	b	dR39a35kcuso-9M3bXDszPvdbxY1M	ksn.com	1395503794911
29010	IRS reveals more than 20000 targeted by phone scam	http://www.tampabay.com/news/irs-reveals-more-than-20000-targeted-by-phone-scam/2171198	Tampabay.com	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.tampabay.com	1395503795118
29011	Taxpayers Targeted in Nationwide IRS Phone Scam	http://www.wsav.com/story/25034770/an-irs-phone-scam-you-should-know-about	WSAV-TV	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.wsav.com	1395503795346
29012	'The Largest Scam of Its Kind': If Someone Calls Claiming to Be With This Gov't  ...	http://www.theblaze.com/stories/2014/03/20/the-largest-scam-of-its-kind-if-someone-calls-claiming-to-be-with-this-govt-agency-be-suspicious/	TheBlaze.com	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.theblaze.com	1395503795606
29013	Report: IRS phone scam sweeping nation	http://www.politico.com/story/2014/03/report-irs-phone-scam-sweeping-nation-104876.html\?hp=l8	Politico	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.politico.com	1395503795782
29014	IRS calling? Don't believe it	http://triblive.com/business/headlines/5805387-74/irs-scam-agents	Tribune-Review	b	dR39a35kcuso-9M3bXDszPvdbxY1M	triblive.com	1395503796283
29015	IRS: $1 million phone scam 'largest ever'	http://www.ktvz.com/news/money/irs-1-million-phone-scam-largest-ever/25081170	KTVZ	b	dR39a35kcuso-9M3bXDszPvdbxY1M	www.ktvz.com	1395503796527
