37201	Ebola Outbreak In Guinea: Death Toll Rising	http://www.webpronews.com/ebola-outbreak-in-guinea-death-toll-rising-2014-03	WebProNews	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.webpronews.com	1395629231834
37202	Guinea dispatches equipment to contain Ebola outbreak	http://www.trust.org/item/20140323202521-rhz78/\?source=dpagehead	TrustLaw \(blog\)	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.trust.org	1395629231994
37203	Guinea Ebola outbreak kills 59, spreads to capital	http://www.eturbonews.com/43942/guinea-ebola-outbreak-kills-59-spreads-capital	eTurboNews	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.eturbonews.com	1395629232170
37204	Ebola alert grips Guinea and Sierra Leone	http://za.news.yahoo.com/ebola-alert-grips-guinea-sierra-leone-023754781.html	Yahoo South Africa	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	za.news.yahoo.com	1395629232380
37205	Ebola virus detected in Guinea fever outbreak	http://www.netnebraska.org/node/908438	NET Website	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.netnebraska.org	1395629232690
37206	Ebola outbreak: At least 59 dead in Guinea	http://www.upi.com/Top_News/World-News/2014/03/23/Ebola-outbreak-At-least-59-dead-in-Guinea/7981395585428/	UPI.com	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.upi.com	1395629232859
37207	Ebola Outbreak Cripples West Africa; 59 Reported Dead in Guinea	http://www.latinpost.com/articles/9374/20140323/guinea-africa-ebola-unicef.htm	Latin Post	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.latinpost.com	1395629233027
37208	Ebola Outbreak Spreads in West Africa	http://www.newser.com/story/184215/ebola-outbreak-spreads-in-west-africa.html	Newser	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.newser.com	1395629233220
37209	Mysterious disease with 90 percent fatality kills 59 people in Guinea	http://www.nation.com.pk/sp-health/23-Mar-2014/mysterious-disease-with-90-percent-fatality-kills-59-people-in-guinea	The Nation	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.nation.com.pk	1395629233455
37210	Ebola Hemorrhagic Fever in Guinea	http://www.afro.who.int/en/clusters-a-programmes/dpc/epidemic-a-pandemic-alert-and-response/outbreak-news/4063-ebola-hemorrhagic-fever-in-guinea.html	World Health Organization \(press release\)	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.afro.who.int	1395629233690
37211	Ebola outbreak in Guinea: Preliminary results show 'strong homology with Zaire  ...	http://www.theglobaldispatch.com/ebola-outbreak-in-guinea-preliminary-results-show-strong-homology-with-zaire-ebolavirus-19528/	The Global Dispatch	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.theglobaldispatch.com	1395629233841
37212	Ebola outbreak in Guinea	http://inserbia.info/today/2014/03/ebola-outbreak-in-guinea/	InSerbia News	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	inserbia.info	1395629234018
37213	Africans in grim battle with virus	http://www.thestandard.com.hk/news_detail.asp\?we_cat=6&amp;art_id=143718&amp;sid=41880595&amp;con_type=1&amp;d_str=20140324&amp;fc=10	Hong Kong Standard	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.thestandard.com.hk	1395629234239
37214	Outbreak of deadly Ebola virus kills 60 in Guinea	http://www.independent.co.uk/news/world/africa/outbreak-of-deadly-ebola-virus-kills-60-in-guinea-9211071.html	The Independent	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.independent.co.uk	1395629234457
37215	Ebola outbreak in Guinea kills dozens, spreads to capital	http://www.thenational.ae/world/africa/ebola-outbreak-in-guinea-kills-dozens-spreads-to-capital	The National	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.thenational.ae	1395629234750
37216	Guinea Hemorrhagic Fever may have Crossed into Sierra Leone	http://news.sudanvisiondaily.com/details.html\?rsnpid=233621	Sudan Vision	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	news.sudanvisiondaily.com	1395629234960
37217	Ebola Outbreak: Kills At Least 59 People	http://www.webpronews.com/ebola-outbreak-kills-at-least-59-people-2014-03	WebProNews	m	dIBYPeia79sP_lMtDu8HPoxzFs-zM	www.webpronews.com	1395629235145
