37601	Meet the 5 ex-Madoff employees convicted of helping with the world's largest  ...	http://www.mercurynews.com/business/ci_25410957/meet-5-ex-madoff-employees-convicted-helping-worlds	San Jose Mercury News	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	www.mercurynews.com	1395750054948
37602	Five Of Madoff's Cronies Were Convicted Today	http://gothamist.com/2014/03/24/five_of_madoffs_cronies_were_convic.php	Gothamist	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	gothamist.com	1395750055133
37603	Jury finds Madoff employees guilty on all counts	http://www.straitstimes.com/breaking-news/money/story/jury-finds-madoff-employees-guilty-all-counts-20140325	Straits Times	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	www.straitstimes.com	1395750055427
37604	5 ex-employees convicted of aiding Madoff's Ponzi fraud	http://www.therecord.com/news-story/4428820-5-ex-employees-convicted-of-aiding-madoff-s-ponzi-fraud/	Waterloo Record	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	www.therecord.com	1395750055636
37605	Madoff Associates Found Guilty of Fraud	http://www.mainjustice.com/2014/03/24/madoff-associates-found-guilty-of-fraud/	Main Justice	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	www.mainjustice.com	1395750055863
37606	Madoff's aids found guilty	http://www.stuff.co.nz/marlborough-express/business/national/9864498/Madoffs-aids-found-guilty	Marlborough Express	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	www.stuff.co.nz	1395750056086
37607	Former Madoff aides found guilty of fraud	http://www.buenosairesherald.com/article/155279/former-madoff-aides-found-guilty-of-fraud	Buenos Aires Herald	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	www.buenosairesherald.com	1395750056525
37608	Five former Madoff aides found guilty of assisting fraud	http://www.sun-sentinel.com/news/local/breakingnews/sfl-madoff-aides-convicted-20140324,0,6573144.story	Sun-Sentinel	b	dfggT_2CKpOapGMIMTgvhZrl_NBYM	www.sun-sentinel.com	1395750056824
37609	EasyJet predicts smaller losses	http://www.globalpost.com/dispatch/news/afp/140325/easyjet-predicts-smaller-losses	GlobalPost	b	dEePOIddTFj8eLMCqmM7VsHYeu8KM	www.globalpost.com	1395751389634
37610	easyJet plc Receives "Hold" Rating from Cantor Fitzgerald Europe (EZJ)	http://zolmax.com/investing/easyjet-plc-receives-hold-rating-from-cantor-fitzgerald-europe-ezj-3/234884/	Zolmax	b	dEePOIddTFj8eLMCqmM7VsHYeu8KM	zolmax.com	1395751390016
37611	Budget airline EasyJet lifts first-half results forecast	http://www.iii.co.uk/news-opinion/reuters/news/155977	Interactive Investor	b	dEePOIddTFj8eLMCqmM7VsHYeu8KM	www.iii.co.uk	1395751390218
