41501	Stocks move higher as investors assess US economy and earnings; Carnival  ...	http://www.greenfieldreporter.com/view/story/bda404c1f17743c7a24598c3cc957311/US--Wall-Street	Greenfield Daily Reporter	b	dnjS8Vj1UPGQj0MAWYzRbQQ5ftjSM	www.greenfieldreporter.com	1395770067633
41502	Stocks move mostly higher on Wall Street	http://www.stamfordadvocate.com/news/article/Stocks-move-higher-on-Wall-Street-5346779.php	The Advocate	b	dnjS8Vj1UPGQj0MAWYzRbQQ5ftjSM	www.stamfordadvocate.com	1395770068152
41503	Stocks are mostly higher on Wall Street as market shakes off a two-day slump  ...	http://www.princegeorgecitizen.com/news/world/stocks-are-mostly-higher-on-wall-street-as-market-shakes-off-a-two-day-slump-walgreen-rises-1.919429	Prince George Citizen	b	dnjS8Vj1UPGQj0MAWYzRbQQ5ftjSM	www.princegeorgecitizen.com	1395770068789
41504	Stocks rise, shake off two-day slump	http://www.usatoday.com/story/money/markets/2014/03/25/stocks-tuesday/6858019/	USA TODAY	b	dnjS8Vj1UPGQj0MAWYzRbQQ5ftjSM	www.usatoday.com	1395770069261
41505	Denver home prices up 9% from 2013, says Case-Shiller report	http://www.9news.com/story/money/business/2014/03/25/denver-home-prices-case-shiller-report/6870775/	9NEWS.com	b	dV_mH5Zqkuj_wBM68o5qjJ4OM7YVM	www.9news.com	1395770126241
41506	Report: Home prices in Dallas jump 10 percent	http://www.bizjournals.com/dallas/news/2014/03/25/report-home-prices-in-dallas-jump-10-percent.html	Dallas Business Journal	b	dV_mH5Zqkuj_wBM68o5qjJ4OM7YVM	www.bizjournals.com	1395770126481
41507	Home sales improve, affordability for renters doesn't	http://www.bringmethenews.com/2014/03/25/housing-report/	Rick Kupchella's BringMeTheNews	b	dV_mH5Zqkuj_wBM68o5qjJ4OM7YVM	www.bringmethenews.com	1395770126782
41508	Case-Shiller: Home prices still in double-digit growth territory despite winter  ...	http://www.bizjournals.com/portland/blog/real-estate-daily/2014/03/case-shiller-home-prices-still-in-double-digit.html	Portland Business Journal \(blog\)	b	dV_mH5Zqkuj_wBM68o5qjJ4OM7YVM	www.bizjournals.com	1395770127193
41509	Home prices dip, sales of new homes fall but consumer confidence rebounds	http://www.accessnorthga.com/detail.php\?n=272918	Access North Georgia	b	dV_mH5Zqkuj_wBM68o5qjJ4OM7YVM	www.accessnorthga.com	1395770127420
41510	Housing Prices: Up Or Down? How To Understand Today's Case-Shiller Data	http://www.forbes.com/sites/erincarlyle/2014/03/25/housing-prices-up-or-down-how-to-understand-todays-case-shiller-data/	Forbes	b	dV_mH5Zqkuj_wBM68o5qjJ4OM7YVM	www.forbes.com	1395770127662
