56101	CDC says 1 in 25 patients catch infection in hospitals, 75k deaths in 2011	http://nvonews.com/2014/03/27/cdc-says-1-in-25-patients-catch-infection-in-hospitals-75k-deaths-in-2011/	Northern Voices Online	m	dJeEdzUEmfxkGkMQul8hSioONQukM	nvonews.com	1395970230444
56102	Report shows infection rates at Texas hospitals has dropped	http://www.yourhoustonnews.com/spring/living/report-shows-infection-rates-at-texas-hospitals-has-dropped/article_d0da4a86-b55c-11e3-9751-0019bb2963f4.html	Your Houston News	m	dJeEdzUEmfxkGkMQul8hSioONQukM	www.yourhoustonnews.com	1395970230723
56103	CDC says hospitals can be hazardous to your health when infections aren't  ...	http://www.bellinghamherald.com/2014/03/26/3553820/cdc-says-hospitals-can-be-hazardous.html	Bellingham Herald	m	dJeEdzUEmfxkGkMQul8hSioONQukM	www.bellinghamherald.com	1395970230898
56104	Texas hospitals continue work to reduce hospital acquired infections	http://www.yourhoustonnews.com/bay_area/living/texas-hospitals-continue-work-to-reduce-hospital-acquired-infections/article_8cb7682d-5326-5baa-8c70-55132ede3a57.html	Your Houston News	m	dJeEdzUEmfxkGkMQul8hSioONQukM	www.yourhoustonnews.com	1395970231114
56105	1 in 25 patients sickened by hospital infections	http://www.kshb.com/news/health/1-in-25-patients-sickened-by-hospital-infections	KSHB	m	dJeEdzUEmfxkGkMQul8hSioONQukM	www.kshb.com	1395970231352
56106	Four percent patients suffer from Hospital acquired Infection	http://newstonight.co.za/content/four-percent-patients-suffer-hospital-acquired-infection	News Tonight Africa	m	dJeEdzUEmfxkGkMQul8hSioONQukM	newstonight.co.za	1395970231596
56107	Hospital infection killed 75000 people in 2011, 720000 got infected	http://nvonews.com/2014/03/26/hospital-infection-killed-75000-people-in-2011-720000-got-infected/	Northern Voices Online	m	dJeEdzUEmfxkGkMQul8hSioONQukM	nvonews.com	1395970231896
56108	1 in 25 patients battling hospital-acquired infections, CDC says	http://www.foxnews.com/health/2014/03/26/1-in-25-patients-battling-hospital-acquired-infections-cdc-says/	Fox News	m	dJeEdzUEmfxkGkMQul8hSioONQukM	www.foxnews.com	1395970232210
56109	1 In 25 Hospital Patients Picks Up An Infection There	http://wuwm.com/post/1-25-hospital-patients-picks-infection-there	WUWM	m	dJeEdzUEmfxkGkMQul8hSioONQukM	wuwm.com	1395970232435
56110	US advisers back DNA-based colon cancer test	http://news.yahoo.com/u-advisers-back-dna-based-colon-cancer-test-194931719--finance.html	Yahoo News	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	news.yahoo.com	1395970385323
56111	FDA Panel Gives Exact's Colon Cancer Test Ringing Endorsement	http://www.xconomy.com/wisconsin/2014/03/27/fda-panel-gives-exacts-colon-cancer-test-ringing-endorsement/	Xconomy	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	www.xconomy.com	1395970390116
56112	Cologuard Cancer Test Aces FDA Panel Review	http://www.medpagetoday.com/PublicHealthPolicy/FDAGeneral/44978	MedPage Today	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	www.medpagetoday.com	1395970392144
56113	Exact Sciences: Announces FDA advisory committee unanimously recommends  ...	http://www.wisbusiness.com/index.iml\?Article=319673	Wisbusiness.com	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	www.wisbusiness.com	1395970392363
56114	Exact Sciences Stock Halted Ahead of FDA Panel Meeting -- Update	http://online.wsj.com/article/BT-CO-20140327-712544.html	Wall Street Journal	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	online.wsj.com	1395970392511
56115	Exact Sciences Announces FDA Advisory Committee Unanimously  ...	http://www.pharmiweb.com/pressreleases/pressrel.asp\?ROW_ID=86118	PharmiWeb.com \(press release\)	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	www.pharmiweb.com	1395970392707
56116	Trading temporarily halted on Exact Sciences stock	http://host.madison.com/business/trading-temporarily-halted-on-exact-sciences-stock/article_af3d7d69-aeab-5b02-a1e5-90b932ca6b3c.html	Madison.com	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	host.madison.com	1395970392914
56117	Exact Sciences Stock Halted Ahead of FDA Panel Meeting	http://online.wsj.com/article/BT-CO-20140327-705634.html	Wall Street Journal	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	online.wsj.com	1395970393118
56118	Exact Sciences (EXAS) Halted Ahead of FDA Panel Review for Cologuard PMA	http://www.streetinsider.com/Conference+Calls/Exact+Sciences+(EXAS)+Halted+Ahead+of+FDA+Panel+Review+for+Cologuard+PMA/9321742.html	StreetInsider.com \(subscription\)	m	d0q9DFOQpa1EeQMB1ygOjpXqDo1iM	www.streetinsider.com	1395970393437
56119	Britain's current account deficit hits second widest level in fourth quarter	http://www.telegraph.co.uk/finance/economics/10729241/Britains-current-account-deficit-hits-second-widest-level-in-fourth-quarter.html	Telegraph.co.uk	b	dX7XBGDAxrSgDNMwnE0_YXjATdy2M	www.telegraph.co.uk	1396010646057
56120	Ireland Retail Sales Decline In February	http://www.rttnews.com/2294157/ireland-retail-sales-decline-in-february.aspx	RTT News	b	dX7XBGDAxrSgDNMwnE0_YXjATdy2M	www.rttnews.com	1396010646242
56121	UK current account deficit near record high at £22.4bn	http://www.bbc.co.uk/news/business-26783713	BBC News	b	dX7XBGDAxrSgDNMwnE0_YXjATdy2M	www.bbc.co.uk	1396010646451
