60301	Sect. Kathleen Sebelius: Texas opposition hasn't helped health care sign-ups	http://www.elpasotimes.com/latestnews/ci_25440250/sect-kathleen-sebelius-texas-opposition-hasnt-helped-healthcare	El Paso Times	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	www.elpasotimes.com	1396067556503
60302	Sebelius: Political opposition in Texas to health care law hasn't helped  ...	http://www.newser.com/article/ff98c143c4d94bb48fc771af413a2765/sebelius-political-opposition-in-texas-to-health-care-law-hasnt-helped-insurance-sign-ups.html	Newser	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	www.newser.com	1396067556833
60303	Kathleen Sebelius Points Finger At Texas On Obamacare	http://www.huffingtonpost.com/2014/03/28/kathleen-sebelius-texas-obamacare_n_5052068.html\?utm_hp_ref=politics	Huffington Post	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	www.huffingtonpost.com	1396067557042
60304	Millions Of Texans Missing Out On Health Insurance	https://news92fm.com/424662/millions-of-texans-missing-out-on-health-insurance/	News 92 FM	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	news92fm.com	1396067557344
60305	Sebelius: Texas Opposition Hasn't Helped Sign-Ups 3/28/14	http://www.cbs7kosa.com/news/details.asp\?ID=56204	KOSA	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	www.cbs7kosa.com	1396067557529
60306	Syriac Orthodox patriarch buried near Damascus	http://thegardenisland.com/news/world/syriac-orthodox-patriarch-buried-near-damascus/article_15d05263-5db4-5695-b282-a58fafd6dfbd.html	Thegardenisland.com	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	thegardenisland.com	1396067557731
60307	Sebelius: Texas opposition hurts health care sign-ups	http://fwbusinesspress.com/fwbp/article/1/4675/Breaking-News/Sebelius-Texas-opposition-hurts-health-care-sign-ups.aspx	Fort Worth Business Press	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	fwbusinesspress.com	1396067557971
60308	Sebelius says Texas opposition hasn't helped sign-ups	http://kxan.com/2014/03/28/sebelius-returns-to-austin-to-push-affordable-care-act-enrollment/	KXAN.com	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	kxan.com	1396067558192
60309	Sebelius returns to Texas ahead of health care deadline as Texas lags behind  ...	http://www.tribtown.com/view/story/4174f37697b34f7e9f92e1d295a3178c/TX--Health-Overhaul-Texas	The Tribune	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	www.tribtown.com	1396067558561
60310	Sebelius makes final push for Affordable Care Act enrollment	http://www.khou.com/news/texas-news\?fId=252914001&amp;fPath=/news/local/&amp;fDomain=10232	KHOU	b	dCKWvGhXK2_FpBMGjUrv8GblHBk4M	www.khou.com	1396067558779
