61201	Virginia jobless rate falls below 5%	http://www.roanoke.com/news/virginia-jobless-rate-falls-below/article_433c18b4-b6ea-11e3-a4b5-001a4bcf6878.html	Roanoke Times	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.roanoke.com	1396070472432
61202	Unemployment in SC takes big dip in February	http://www.scnow.com/news/business/article_974a736a-b6e5-11e3-9e64-001a4bcf6878.html	SCNow	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.scnow.com	1396070472679
61203	Fed seen hiking US rates in second half of 2015 as jobless rate falls	http://www.brecorder.com/money-a-banking/198/1167659/	Business Recorder	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.brecorder.com	1396070472905
61204	Iowa Unemployment Rate at 4.4 Percent in February	http://www.hamburgreporter.com/article/20140328/NEWS/140329837	Hamburg Reporter	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.hamburgreporter.com	1396070473165
61205	Texas Jobless Rate Remains At 5.7 Percent	http://krwg.org/post/texas-jobless-rate-remains-57-percent	KRWG	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	krwg.org	1396070473424
61206	New Mexico Jobless Rate Rises	http://krwg.org/post/new-mexico-jobless-rate-rises	KRWG	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	krwg.org	1396070473710
61207	Florida adds 33400 jobs, but unemployment rate stays at 6.2 percent	http://www.thefloridacurrent.com/article.cfm\?id=37014761	The Florida Current	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.thefloridacurrent.com	1396070473895
61208	State's jobless rate falls to 6.4 percent	http://www.journalnow.com/news/local/state-s-jobless-rate-falls-to-percent/article_53ab1965-df2d-5019-9c92-3a1f5bf457d7.html	Winston-Salem Journal	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.journalnow.com	1396070474136
61209	Unemployment rates fell in 29 US states in February as hiring picks up	http://www.greenfieldreporter.com/view/story/26c0a4dcb9d54cf6a2138c437048a029/US--State-Unemployment	Greenfield Daily Reporter	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.greenfieldreporter.com	1396070474365
61210	Most states see more jobs, lower unemployment	http://www.ksdk.com/story/news/nation/2014/03/28/most-states-see-more-jobs-lower-unemployment/7009523/	KSDK	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.ksdk.com	1396070474566
61211	Texas unemployment remains at 5.7%	http://www.star-telegram.com/2014/03/28/5689173/texas-unemployment-rate-remains.html	Fort Worth Star Telegram	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.star-telegram.com	1396070474784
61212	NC jobless rate falls below US average	http://www.charlotteobserver.com/2014/03/28/4801877/nc-jobless-rate-falls-below-us.html	Charlotte Observer	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.charlotteobserver.com	1396070475044
61213	New Mexico jobless rate at 6.7 percent last month	http://www.daily-times.com/nmnews/ci_25442087/new-mexico-jobless-rate-at-6-7-percent	Farmington Daily Times	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.daily-times.com	1396070475246
61214	Jobless rate up slightly in Cass County - 3 Hours Ago	http://www.pharostribune.com/breaking-news/x1387893113/Jobless-rate-up-slightly-in-Cass-County	pharostribune.com	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.pharostribune.com	1396070475640
61215	State unemployment rate dips below national average	http://www.newbernsj.com/news/local/state-unemployment-rate-dips-below-national-average-1.297785	New Bern Sun Journal	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.newbernsj.com	1396070475883
61216	Unemployment Rate Remains Unchanged in Roswell	http://roswell.patch.com/groups/business-news/p/unemployment-rate-remains-unchanged-in-roswell	Patch.com	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	roswell.patch.com	1396070476126
61217	Florida creates 33000 jobs in February, biggest monthly jump in over three years	http://www.tampabay.com/news/business/workinglife/gov-scott-in-tampa-to-release-floridas-jobs-report-unemployment-rate/2172295	Tampabay.com	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.tampabay.com	1396070476319
61218	Seasonally adjusted unemployment falls in state, but raw jobless figures rise again	http://www.news-sentinel.com/apps/pbcs.dll/article\?AID=/20140328/NEWS/303299999	News Sentinel	b	dMMm2i3axcDaARMMlSj4ai6pvyfcM	www.news-sentinel.com	1396070476537
