65901	Heart attacks rise after clocks go forward: study	http://www.gulf-times.com/us-latin%20america/182/details/386484/heart-attacks-rise-after-clocks-go-forward%3A-study	Gulf Times	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.gulf-times.com	1396135014836
65902	Summer (time) starts tomorrow	http://yle.fi/uutiset/summer_time_starts_tomorrow/7163301	YLE News	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	yle.fi	1396135015073
65903	Heart attacks rise after clocks go forward	http://health.msn.co.nz/healthnews/8822022/heart-attacks-rise-after-clocks-go-forward	MSN NZ News	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	health.msn.co.nz	1396135015249
65904	Daylight Saving Impacts The Timing Of Heart Attacks, Study Finds	http://www.newsroomamerica.com/story/414654/daylight_saving_impacts_the_timing_of_heart_attacks_study_finds.html	Newsroom America	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.newsroomamerica.com	1396135015601
65905	Heart attacks spike following start of daylight saving time, US study finds	http://www.abc.net.au/news/2014-03-30/heart-attack-spike-follows-daylight-saving-time-study-says/5354546	ABC Online	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.abc.net.au	1396135015826
65906	Daylight saving time linked to heart attacks, study finds	http://www.irishtimes.com/news/health/daylight-saving-time-linked-to-heart-attacks-study-finds-1.1743441	Irish Times	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.irishtimes.com	1396135016054
65907	Your Heart Attack Date And Time May Be Affected By Daylight Savings	http://www.medicaldaily.com/your-heart-attack-date-and-time-may-be-affected-daylight-savings-273262	Medical Daily	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.medicaldaily.com	1396135016364
65908	Lost Sleep from Daylight Savings Time May Increase Heart Attacks, Research  ...	http://www.scienceworldreport.com/articles/13750/20140329/lost-sleep-daylight-savings-time-increase-heart-attacks-research-suggests.htm	Science World Report	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.scienceworldreport.com	1396135016591
65909	Daylight Savings Time Could Be Deadly; Increase In Heart Attacks After Clocks  ...	http://www.hngn.com/articles/27707/20140329/daylight-savings-time-could-be-deadly-increase-in-heart-attacks-after-clocks-spring-forward.htm	Headlines \& Global News	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.hngn.com	1396135016792
65910	Study Shows Daylight Saving Time May Cause Heart Attacks	http://www.designntrend.com/articles/12210/20140329/study-shows-daylight-saving-time-may-cause-heart-attacks.htm	Design \& Trend	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.designntrend.com	1396135016984
65911	Daylight saving switch and lost sleep increase heart attack risk, study says	http://www.theguardian.com/society/2014/mar/29/daylight-saving-heart-attack-time-sleep	The Guardian	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.theguardian.com	1396135017187
65912	Daylight saving time affects timing of MI	http://www.healio.com/cardiology/highlights-from-acc-scientific-sessions-2014/daylight-saving-time-affects-timing-of-mi	Healio	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.healio.com	1396135017422
65913	Heart Disease People Vulnerable To Daylight Saving Time	http://www.thealmagest.com/heart-disease-people-vulnerable-to-daylight-saving-time/11942	The Almagest	m	doY4fL4sq4bvUsMNOQOjex4LOb6dM	www.thealmagest.com	1396135017599
