68301	Health law legacy eludes president	http://www.gadsdentimes.com/article/20140329/WIRE/140329786\?Title=Health-law-legacy-eludes-president	Gadsden Times	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.gadsdentimes.com	1396231505705
68302	Support for health law at new low	http://www.columbiatribune.com/news/politics/support-for-health-law-at-new-low/article_a299a084-b707-11e3-ad9f-10604b9ffe60.html\?comments=focus	Columbia Daily Tribune	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.columbiatribune.com	1396231505910
68303	Health law changes take hold but acceptance eludes "Obamacare" as sign-up  ...	http://www.startribune.com/lifestyle/health/253031091.html	Minneapolis Star Tribune	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.startribune.com	1396231506149
68304	Parts of health law face uncertain future	http://mdjonline.com/view/full_story/24842359/article-Parts-of-health-law-face-uncertain-future\?instance=lead_story_left_column	Marietta Daily Journal	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	mdjonline.com	1396231506492
68305	As deadline nears, health care law still has uncertain future	http://www.providencejournal.com/breaking-news/content/20140329-as-deadline-nears-health-care-law-still-has-uncertain-future.ece	The Providence Journal	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.providencejournal.com	1396231506752
68306	Planes and ships involved in Malaysia jet search	http://www.kwwl.com/story/25109478/planes-and-ships-involved-in-malaysia-jet-search	kwwl.com	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.kwwl.com	1396231506970
68307	Federal health care website taken down briefly	http://www.kpvi.com/business/story/Federal-health-care-website-taken-down-briefly/IQZI10jcYEmUpcxgMe7l1Q.cspx	KPVI News 6	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.kpvi.com	1396231507209
68308	Support for Obamacare dips to 26 percent	http://www.powerlineblog.com/archives/2014/03/support-for-obamacare-dips-to-26-percent.php	Power Line \(blog\)	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.powerlineblog.com	1396231507402
68309	Obamacare nears end of sign-up season, falling short for now as a legacy  ...	http://blog.al.com/wire/2014/03/obamacare_nears_end_of_sign-up.html	al.com \(blog\)	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	blog.al.com	1396231507691
68310	Obamacare Takes Root But Issues Remain	http://nj1015.com/obamacare-takes-root-but-issues-remain/	New Jersey 101.5 FM Radio	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	nj1015.com	1396231508069
68311	Wildcats have young company at Midwest Regional	http://www.postbulletin.com/sports/national/college/wildcats-have-young-company-at-midwest-regional/article_b27c7785-eeb6-508c-b196-0aa585597c07.html	Post-Bulletin	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.postbulletin.com	1396231508312
68312	Legacy eludes Obama as health-law changes sink in	http://www.thetowntalk.com/viewart/20140329/NEWS01/140329021/Legacy-eludes-Obama-health-law-changes-sink-	Alexandria Town Talk	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.thetowntalk.com	1396231508581
68313	Many in WVa wary of water after Jan chemical spill	http://www.postbulletin.com/news/nation/many-in-wva-wary-of-water-after-jan-chemical-spill/article_0e7d1d11-accb-5df3-bdba-f0ab2c1f8532.html	Post-Bulletin	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.postbulletin.com	1396231508842
68314	Egypt court sentences 2 Morsi supporters to death	http://www.postbulletin.com/news/world/egypt-court-sentences-morsi-supporters-to-death/article_bf311c7f-4261-5e99-964f-d5a5182efa5b.html	Post-Bulletin	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.postbulletin.com	1396231509234
68315	Vettel slams Rosberg at Malaysian GP	http://www.postbulletin.com/sports/national/auto-racing/vettel-slams-rosberg-at-malaysian-gp/article_b4a19712-cdcc-5930-95ac-d31638cb727e.html	Post-Bulletin	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.postbulletin.com	1396231509544
68316	Industrial hemp research bill passes in Nebraska	http://www.starherald.com/news/regional_statewide/industrial-hemp-research-bill-passes-in-nebraska/article_98e5dbb2-b6ed-11e3-a3e8-0019bb2963f4.html	Scottsbluff Star Herald	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.starherald.com	1396231509835
68317	Health law legacy eludes President Obama as 'fixes' sink in	http://washingtonexaminer.com/health-law-legacy-eludes-president-obama-as-fixes-sink-in/article/2546486	Washington Examiner	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	washingtonexaminer.com	1396231510276
68318	Obamacare support craters at 26%	http://www.americanthinker.com/blog/2014/03/obamacare_support_craters_at_26.html	American Thinker \(blog\)	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.americanthinker.com	1396231510874
68319	Obamacare: Legacy or lunacy?	http://www.capitolhillblue.com/node/52534	Capitol Hill Blue	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.capitolhillblue.com	1396231511272
68320	Democrats' ObamaCare Albatross	http://patriotpost.us/opinion/24430	Patriot Post	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	patriotpost.us	1396231511494
68321	Obama administration's health care website has brief outage amid surge in  ...	http://www.tribtown.com/view/story/b950efb4d2044b9caa8d193652ab377f/US--Health-Overhaul-Website	The Tribune	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.tribtown.com	1396231511847
68322	Posted: March 28, 2014 - 10:30 am ET	http://www.modernhealthcare.com/article/20140328/INFO/303289977/poll-obama-health-law-fails-to-gain-support	ModernHealthcare.com	b	do2KPH-Gp39IShMBBvPmkb_fvnzBM	www.modernhealthcare.com	1396231512149
68323	Energy boom stokes population growth west of Mississippi River	http://www.thetowntalk.com/viewart/20140330/BUSINESS/303300027/Energy-boom-stokes-population-growth-west-Mississippi-River	Alexandria Town Talk	b	dI7tBspdEhVBwnMOLpaixRpZQMT2M	www.thetowntalk.com	1396231662633
68324	Census: US has fewest births since 1998	http://www.thesnaponline.com/statenews/x1316962688/Census-U-S-has-fewest-births-since-1998	Stanly News \& Press	b	dI7tBspdEhVBwnMOLpaixRpZQMT2M	www.thesnaponline.com	1396231662852
