76801	Q1 Ends With A Bounce	http://www.investing.com/analysis/q1-ends-with-a-bounce-208057	Investing.com	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.investing.com	1396367577261
76802	Stocks End Ho-Hum Quarter on an Upswing; Healthcare, Tech Shares Lead  ...	http://www.nasdaq.com/article/stocks-end-ho-hum-quarter-on-an-upswing-healthcare-tech-shares-lead-session-gains-cm340366	NASDAQ	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.nasdaq.com	1396367577679
76803	S&P 500 Moves Higher for the Fifth Consecutive Quarter; Yellen Comments Lift  ...	http://www.nasdaq.com/article/sp-500-moves-higher-for-the-fifth-consecutive-quarter-yellen-comments-lift-stocks-cm340361	NASDAQ	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.nasdaq.com	1396367577880
76804	Don't worry about the dreary first quarter — yet	http://www.marketwatch.com/story/dont-worry-about-the-dreary-first-quarter-yet-2014-03-31\?link=MW_latest_news	MarketWatch	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.marketwatch.com	1396367578245
76805	US stocks rise on Yellen comments	http://www.smh.com.au/business/markets/us-stocks-rise-on-yellen-comments-20140401-35uty.html	Sydney Morning Herald	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.smh.com.au	1396367578588
76806	US STOCKS-Wall St rises on Yellen; S&P on track for modest Q1 gain	http://in.reuters.com/article/2014/03/31/markets-usa-stocks-idINL1N0MS1AZ20140331	Reuters	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	in.reuters.com	1396367578849
76807	Stocks Hold Near Highs; Heartland Keeps On Trucking	http://news.investors.com/investing-stock-market-today/033114-695275-stocks-rise-in-lower-volume.htm	Investor's Business Daily	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	news.investors.com	1396367579196
76808	Stocks Remain Mostly Positive Following Early Rally - U.S. Commentary	http://www.rttnews.com/2295113/stocks-remain-mostly-positive-following-early-rally-u-s-commentary.aspx\?type=ts	RTT News	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.rttnews.com	1396367579422
76809	MARKET SNAPSHOT: US Stocks Rally; S&P 500 Set For Fifth Quarterly Gain	http://english.capital.gr/News.asp\?id=1985117	Capital.gr \(press release\)	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	english.capital.gr	1396367579689
76810	Ready, Aim, Bargain Hunt	http://investorplace.com/2014/03/daily-stock-market-news-ready-aim-bargain-hunt/	Investorplace.com	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	investorplace.com	1396367579914
76811	Stock Market News for March 31, 2014 - Market News	http://www.nasdaq.com/article/stock-market-news-for-march-31-2014-market-news-cm340218	NASDAQ	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.nasdaq.com	1396367580240
76812	US stock futures extend gains ahead of Yellen	http://www.marketwatch.com/story/stock-futures-rise-ahead-of-yellen-chicago-pmi-2014-03-31\?reflink=MW_news_stmp	MarketWatch	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.marketwatch.com	1396367580779
76813	Wall Street gets lift from Yellen remarks, techs rebound	http://www.buenosairesherald.com/article/155878/european-shares-extend-gains	Buenos Aires Herald	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.buenosairesherald.com	1396367581366
76814	MARKET SNAPSHOT: US Stocks Rise; Dow In Triple Digit Gain	http://english.capital.gr/News.asp\?id=1984997	Capital.gr \(press release\)	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	english.capital.gr	1396367581562
76815	US STOCKS-Wall Street to open higher, Yellen remarks awaited	http://in.reuters.com/article/2014/03/31/markets-usa-stocks-idINL1N0MS0AM20140331	Reuters	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	in.reuters.com	1396367581758
76816	Stocks: Ending the quarter on the up	http://www.ky3.com/news/business/Stocks-Ending-the-quarter-on-the-up/21049046_25242656	KY3	b	dHZ3LZNOcUV9UuMpFiuuOIMQ9urtM	www.ky3.com	1396367582222
76817	Zuckerberg: $1 pay, $3.3b. stock gains	http://www.timesofisrael.com/zuckerberg-1-salary-3-3b-stock-gains/	The Times of Israel	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.timesofisrael.com	1396367921069
76818	Facebook CEO Reaps $3.3B gain from stock options	http://www.13wham.com/news/features/top-stories/stories/facebook-ceo-reaps-33b-gain-stock-options-10737.shtml	13WHAM-TV	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.13wham.com	1396367921324
76819	Zuck earns only $1, but don't forget the $3.3 billion in options	http://blogs.marketwatch.com/thetell/2014/04/01/zuck-earns-only-1-but-dont-forget-the-3-3-billion-in-options/	MarketWatch \(blog\)	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	blogs.marketwatch.com	1396367921642
76820	NY budget includes Common core delay for students	http://www.13wham.com/news/features/top-stories/stories/ny-budget-includes-common-core-delay-students-10736.shtml	13WHAM-TV	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.13wham.com	1396367921860
76821	Sheryl Sandberg sells half of Facebook stock in two years	http://www.telegraph.co.uk/technology/facebook/10737369/Facebooks-Sheryl-Sandberg-sells-half-of-Facebook-stock-in-two-years.html	Telegraph.co.uk	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.telegraph.co.uk	1396367922388
76822	Zuckerberg salary crashes to $1 a year	http://money.aol.co.uk/2014/04/01/zuckerberg-salary-crashes-to-1-a-year/	Aol Money	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	money.aol.co.uk	1396367922628
76823	VIDEO: Facebook CEO reaps $3.3B gain from stock options	http://www.tylerpaper.com/TP-Business/197400/video-facebook-ceo-reaps-33b-gain-from-stock-options	Tyler Morning Telegraph	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.tylerpaper.com	1396367922848
76824	You Heard Right, Zuckerberg Earned Just $1 in 2013	http://wallstcheatsheet.com/business/you-heard-right-zuckerberg-earned-just-1-in-2013.html/\?a=viewall	Wall St. Cheat Sheet	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	wallstcheatsheet.com	1396367923062
76825	Facebook founder Mark Zuckerberg's base salary falls to $1	http://www.theguardian.com/technology/2014/apr/01/facebook-founder-mark-zuckerberg-base-salary-one-dollar	The Guardian	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.theguardian.com	1396367923352
76826	Facebook Inc (FB) CEO Mark Zuckerberg Takes A Pay Cut	http://etfdailynews.com/2014/04/01/facebook-inc-fb-ceo-mark-zuckerberg-takes-a-pay-cut/	ETF Daily News \(blog\)	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	etfdailynews.com	1396367923725
76827	Mark Zuckerberg earned a $1 salary in 2013	http://blog.sfgate.com/techchron/2014/04/01/mark-zuckerberg-made-1-salary-in-2013/	SFGate \(blog\)	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	blog.sfgate.com	1396367924028
76828	Facebook's Zuckerberg Rakes in $3.3B in Stock Option Gains in '13	http://www.foxbusiness.com/business-leaders/2014/04/01/facebook-zuckerberg-rakes-in-33b-in-stock-option-gains-in-13/\?Intcmp=bizleaders	Fox Business	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.foxbusiness.com	1396367924331
76829	Facebook's Mark Zuckerberg earns $1 salary in 2013	http://finance.yahoo.com/blogs/daily-ticker/facebook-s-mark-zuckerberg-s-salary-was--1-in-2013-140716561.html	Yahoo Finance \(blog\)	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	finance.yahoo.com	1396367924558
76830	Facebook (FB) CEO exhausts stock options after reaping $3.3 billion gain	http://www.stockhouse.com/news/business-news/2014/04/01/facebook-fb-ceo-exhausts-stock-options-after-reaping-$3-3-billion-gain	Stockhouse	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.stockhouse.com	1396367924817
76831	FT: Sandberg Slashes Facebook Holdings By Half	http://www.nasdaq.com/article/ft-sandberg-slashes-facebook-holdings-by-half-20140401-00832	NASDAQ	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.nasdaq.com	1396367925058
76832	Why Mark Zuckerberg's $1 Salary Means Nothing	http://www.entrepreneur.com/article/232696	Entrepreneur	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.entrepreneur.com	1396367925337
76833	Zuckerberg took in $3.3B in 2013 stock options	http://nypost.com/2014/04/01/zuckerberg-took-in-3-3b-in-2013-stock-options/	New York Post	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	nypost.com	1396367925564
76834	Facebook founder Mark Zuckerberg cashes in £1.9billion share options to pay  ...	http://www.standard.co.uk/news/world/facebook-founder-mark-zuckerberg-cashes-in-19billion-share-options-to-pay-tax-bill-9227980.html	Evening Standard	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.standard.co.uk	1396367925835
76835	Facebook CEO Mark Zuckerberg Pads $1 Annual Salary With $3.3 Billion In  ...	http://latino.foxnews.com/latino/money/2014/04/01/facebook-ceo-mark-zuckerberg-pads-1-annual-salarly-with-33-billion-in-stock/	Fox News Latino	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	latino.foxnews.com	1396367926278
76836	A $1 salary doesn't matter	http://www.chron.com/news/us/article/Facebook-CEO-reaps-3-3B-gain-from-stock-options-5365929.php	Chron.com	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.chron.com	1396367926497
76837	Daily business briefing: Facebook CEO gains $3.3 billion from stock options	http://www.bnd.com/2014/04/01/3139446/daily-business-briefing-facebook.html\?sp=/99/166/	Belleville News Democrat	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.bnd.com	1396367926848
76838	Facebook CEO Zuckerberg's Base Salary Falls to $1	http://money.msn.com/business-news/article.aspx\?feed=BLOOM&amp;date=20140401&amp;id=17484893	MSN Money	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	money.msn.com	1396367927058
76839	Facebook founder Mark Zuckerberg joins buck-a-year salary club	http://www.smh.com.au/business/facebook-founder-mark-zuckerberg-joins-buckayear-salary-club-20140401-35wcd.html	Sydney Morning Herald	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.smh.com.au	1396367927306
76840	Zuckerberg joins buck-a-year salary club	http://www.theage.com.au/business/facebook-founder-mark-zuckerberg-joins-buckayear-salary-club-20140401-35wcd.html	The Age	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.theage.com.au	1396367927520
76841	Facebook Inc (FB) CEO Compensation Declined 67% In 2013	http://www.valuewalk.com/2014/04/facebook-inc-fb-ceo-compensation-declined-67-in-2013/	ValueWalk	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.valuewalk.com	1396367927747
76842	Facebook CEO reaps $3.3 billion gain from stock options	http://www.thonline.com/biztimes/articles/article_a10df0dc-b99e-11e3-b44e-001a4bcf6878.html	Dubuque Telegraph Herald	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.thonline.com	1396367927978
76843	Facebook CEO Mark Zuckerberg reaps $3.3B gain from stock options	http://www.ctvnews.ca/sci-tech/facebook-ceo-mark-zuckerberg-reaps-3-3b-gain-from-stock-options-1.1755189	CTV News	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.ctvnews.ca	1396367928405
76844	Facebook CEO Mark Zuckerberg Cut His Salary to $1	http://mashable.com/2014/04/01/mark-zuckerberg-salary-1/	Mashable	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	mashable.com	1396367928639
76845	Zuckerberg's 2013 Salary: $1	http://www.newser.com/story/184623/zuckerbergs-2013-salary-1.html	Newser	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.newser.com	1396367928860
76846	Driver escapes large car fire	http://www.13wham.com/news/features/top-stories/stories/driver-escapes-large-car-fire-10734.shtml	13WHAM-TV	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.13wham.com	1396367929154
76847	Facebook execs get another big payday	http://money.cnn.com/2014/03/31/technology/facebook-pay/	CNNMoney	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	money.cnn.com	1396367929406
76848	Mark Zuckerberg Reaped A $3.3 Billion Gain Last Year From Stock Options	http://www.businessinsider.in/Mark-Zuckerberg-Reaped-A-3-3-Billion-Gain-Last-Year-From-Stock-Options/articleshow/33076101.cms	Businessinsider India	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.businessinsider.in	1396367929741
76849	Facebook CEO reaps S$4.1 bln gain from stock options	http://www.todayonline.com/tech/facebook-ceo-reaps-s41-bln-gain-stock-options	TODAYonline	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.todayonline.com	1396367929976
76850	Facebook CEO Mark Zuckerberg reaps $3.3 bn gain from stock options	http://www.financialexpress.com/news/facebook-ceo-mark-zuckerberg-reaps-3.3-bn-gain-from-stock-options/1237395	Financial Express	b	dJt2-HUDZFYvNEMd6fEtIdPVJdgSM	www.financialexpress.com	1396367930374
