81501	Caterpillar defends lower tax burden to Congress	http://www.spokesman.com/stories/2014/apr/02/caterpillar-defends-lower-tax-burden-to-congress/	The Spokesman Review	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.spokesman.com	1396435690011
81502	House members grill GM chief on 13 traffic deaths tied to 57 cent part	http://www.suntimes.com/business/26578038-418/house-members-grill-gm-chief-on-13-traffic-deaths-tied-to-57-cent-part.html	Chicago Sun-Times	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.suntimes.com	1396435690203
81503	GM boss 'deeply sorry' for crashes	http://www.iol.co.za/motoring/industry-news/gm-boss-deeply-sorry-for-crashes-1.1669713	Independent Online	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.iol.co.za	1396435690447
81504	GM CEO grilled by US lawmakers over faults linked to at least 13 deaths	http://www.todayonline.com/world/americas/gm-ceo-grilled-us-lawmakers-over-faults-linked-least-13-deaths	TODAYonline	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.todayonline.com	1396435690791
81505	GM U.S. Ignition Recall-Suit Combination Sought by Lawyer	http://www.bloomberg.com/news/2014-04-02/gm-ignition-recall-suit-consolidation-sought-by-lawyer.html	Bloomberg	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.bloomberg.com	1396435691076
81506	Families and lawmakers demand answers from GM's Mary Barra	http://www.bbc.co.uk/news/business-26847132	BBC News	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.bbc.co.uk	1396435691268
81507	GM hires 9/11 attorney to advise on recall victims	http://www.cbsnews.com/news/gm-hires-9-11-attorney-to-advise-on-recall-victims/	CBS News	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.cbsnews.com	1396435691462
81508	Congress questions GM on recall delay	http://www.seacoastonline.com/articles/20140402-BIZ-404020349	Seacoastonline.com	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.seacoastonline.com	1396435691972
81509	GM's Barra to families of victims tied to deadly cars: “I am deeply sorry”	http://www.euronews.com/2014/04/02/gm-s-barra-to-families-of-victims-tied-to-deadly-cars-i-am-deeply-sorry-/	euronews	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.euronews.com	1396435692207
81510	OTHER VIEWS: Delayed recall should drive further reform	http://www.bakersfieldcalifornian.com/opinion/national-voices/x1458167201/Delayed-recall-should-drive-further-reform	Bakersfield Californian	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.bakersfieldcalifornian.com	1396435692409
81511	Colorado GM dealers say relatively few have asked for ignition fix	http://www.denverpost.com/business/ci_25472702/colorado-gm-dealers-say-relatively-few-have-asked	Denver Post	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	www.denverpost.com	1396435692627
81512	Defective GM vehicles lead to young deaths	http://durangoherald.com/article/20140401/NEWS04/140409956/-1/s	The Durango Herald	t	dymmYDxbMYhomMMtiHHUiffhyfRCM	durangoherald.com	1396435693303
