90401	Mali government notifies WHO of four suspected Eb...	http://www.theglobaldispatch.com/mali-government-notifies-who-of-four-suspected-ebola-cases-25165/	The Global Dispatch	m	dDwYU-OUEOBLGaMqaUobFIFzSkeZM	www.theglobaldispatch.com	1396940848583
90402	Angry crowd attacks Ebola treatment site	http://www.thonline.com/news/national_world/article_e50fb62d-8bb5-58e5-acc0-04874096d279.html	Dubuque Telegraph Herald	m	dDwYU-OUEOBLGaMqaUobFIFzSkeZM	www.thonline.com	1396940848764
90403	Ebola under control globally: SCH official	http://thepeninsulaqatar.com/news/qatar/278740/ebola-under-control-globally-sch-official	Peninsula On-line	m	dDwYU-OUEOBLGaMqaUobFIFzSkeZM	thepeninsulaqatar.com	1396940849007
90404	It's all in the mind | Dolores Gauci	http://www.maltatoday.com.mt/news/interview/37707/its_all_in_the_mind_dolores_gauci	MaltaToday	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.maltatoday.com.mt	1396940899299
90405	Our View: Mental health training for cops can save lives	http://berkley.wickedlocal.com/article/20140407/OPINION/140406905	Wicked Local Berkley	m	dAcbt-M371i_3aMnUupXWyDbuM29M	berkley.wickedlocal.com	1396940899500
90406	Everyone knows someone who is in mental distress	http://www.independent.ie/lifestyle/health/mental-health/everyone-knows-someone-who-is-in-mental-distress-30157966.html	Irish Independent	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.independent.ie	1396940899710
90407	Grant to help county steer mentally ill away from jail	http://www.gainesville.com/article/20140407/ARTICLES/140409658\?Title=Grant-to-help-county-steer-mentally-ill-away-from-jail	Gainesville Sun	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.gainesville.com	1396940899979
90408	Mental health 111 calls jump	http://www.radionz.co.nz/news/national/241033/mental-health-111-calls-jump	Radio New Zealand	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.radionz.co.nz	1396940900204
90409	Mental Healthcare Overhaul Would Give Family and Caregivers More Say in  ...	http://wesa.fm/post/mental-healthcare-overhaul-would-give-family-and-caregivers-more-say-treatment	90.5 WESA	m	dAcbt-M371i_3aMnUupXWyDbuM29M	wesa.fm	1396940900431
90410	The Time Is Now to Focus on Mental Health	http://www.huffingtonpost.com/chris-underhill/the-time-is-now-to-focus-_b_5105274.html	Huffington Post	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.huffingtonpost.com	1396940900657
90411	Report: Mass. lags in mental health services delivery	http://www.wbjournal.com/article/20140407/NEWS01/140409963	Worcester Business Journal	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.wbjournal.com	1396940900892
90412	Not Everyone With Mental Illness Needs Medication	http://www.huffingtonpost.ca/arthur-gallant/mental-health_b_5101346.html	Huffington Post Canada	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.huffingtonpost.ca	1396940901093
90413	Sen. Mary Kay Papen and Patsy Romero: State has failed those needed  ...	http://www.lcsun-news.com/las_cruces-opinion/ci_25495797/sen-mary-kay-papen-and-patsy-romero-state	Las Cruces Sun-News	m	dAcbt-M371i_3aMnUupXWyDbuM29M	www.lcsun-news.com	1396940901336
90414	State Officials Promote National Prescription Drug Take-Back Day	http://westwood.patch.com/groups/politics-and-elections/p/state-officials-promote-national-prescription-drug-takeback-day	Patch.com	m	dYMTnrkKdH9PapMuzfG5Z1VJCzEKM	westwood.patch.com	1396941050686
90415	Walsh, Congressional delegation urge disposal of unneeded meds	http://wwlp.com/2014/04/07/walsh-congressional-delegation-urge-disposal-of-unneeded-meds/	WWLP 22News	m	dYMTnrkKdH9PapMuzfG5Z1VJCzEKM	wwlp.com	1396941050879
90416	Massachusetts Officials Promote Drug Take-Back Day	http://www.wggb.com/2014/04/07/massachusetts-officials-promote-drug-take-back-day/	abc40	m	dYMTnrkKdH9PapMuzfG5Z1VJCzEKM	www.wggb.com	1396941051135
90417	Kirkland police, DEA take back prescription drugs at free event	http://www.kirklandreporter.com/community/254243421.html	Kirkland Reporter	m	dYMTnrkKdH9PapMuzfG5Z1VJCzEKM	www.kirklandreporter.com	1396941051382
