102101	Coldwater Creek to Honor Gift Cards	http://stream.wsj.com/story/latest-headlines/SS-2-63399/SS-2-506333/	Wall Street Journal	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	stream.wsj.com	1397292197488
102102	Coldwater Creek closing 11 Minnesota stores	http://www.bizjournals.com/twincities/news/2014/04/11/coldwater-creek-closing-11-minnesota-stores.html	Minneapolis \/ St. Paul Business Journal	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.bizjournals.com	1397292197696
102103	Coldwater Creek files for bankruptcy, closing down its stores	http://www.bizjournals.com/albany/news/2014/04/11/coldwater-creek-files-for-bankruptcy-closing-down.html	Albany Business Review	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.bizjournals.com	1397292198023
102104	Coldwater Creek files bankruptcy; Wood County distribution center could go dark	http://wvmetronews.com/2014/04/11/coldwater-creek-files-bankruptcy-wood-county-distribution-center-could-go-dark/	West Virginia MetroNews	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	wvmetronews.com	1397292198226
102105	Retailer Coldwater Creek files for bankruptcy	http://www.post-gazette.com/business/2014/04/11/Coldwater-Creek-files-for-bankruptcy/stories/201404110175	Pittsburgh Post-Gazette	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.post-gazette.com	1397292198427
102106	Coldwater Creek stores to close	http://www.bizjournals.com/cincinnati/news/2014/04/11/coldwater-creek-stores-to-close.html	Cincinnati Business Courier	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.bizjournals.com	1397292198638
102107	Coldwater Creek to close stores	http://www.daytondailynews.com/news/business/colwater-creek-to-close-stores/nfX62/	Dayton Daily News	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.daytondailynews.com	1397292198860
102108	Idaho Company Coldwatter Creek Files Bankruptcy Protection	http://newsradio1310.com/idaho-company-coldwatter-creek-files-bankruptcy-protection/	News Radio 1310 KLIX	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	newsradio1310.com	1397292199196
102109	Coldwater Creek files bankruptcy will wind down operations including Holyoke  ...	http://www.masslive.com/business-news/index.ssf/2014/04/coldwater_creek_files_bankruptcy_will_wi.html	MassLive.com	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.masslive.com	1397292199356
102110	Coldwater Creek Files for Bankruptcy--Update	http://online.wsj.com/article/BT-CO-20140411-709170.html	Wall Street Journal	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	online.wsj.com	1397292199599
102111	Coldwater Creek Hits Ch. 11 With Plans To Liquidate	http://www.law360.com/bankruptcy/articles/527359/coldwater-creek-hits-ch-11-with-plans-to-liquidate	Law360 \(subscription\)	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.law360.com	1397292199792
102112	Women's clothier Coldwater Creek going out of business; one store in Colorado  ...	http://gazette.com/womens-clothier-coldwater-creek-going-out-of-business-one-store-in-colorado-springs/article/1518068	Colorado Springs Gazette	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	gazette.com	1397292199970
102113	Coldwater Creek closing all stores	http://journalstar.com/business/local/coldwater-creek-closing-all-stores/article_67f4393d-01c0-5588-94dd-af23cf1834e0.html	Lincoln Journal Star	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	journalstar.com	1397292200265
102114	Coldwater Creek going out of business	http://wishtv.com/2014/04/11/coldwater-creek-going-out-of-business/	WISH	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	wishtv.com	1397292200499
102115	Coldwater Creek Files for Bankruptcy, Will Liquidate	http://www.jckonline.com/2014/04/11/coldwater-creek-files-bankruptcy-will-liquidate	Jewelers Circular Keystone Online	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.jckonline.com	1397292200726
102116	Coldwater Creek closing down its stores, including 4 in Pittsburgh region	http://www.bizjournals.com/pittsburgh/news/2014/04/11/coldwater-creek-closing-down-its-stores.html\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+bizj_pittsburgh+(Pittsburgh+Business+Times)	Pittsburgh Business Times	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.bizjournals.com	1397292200944
102117	Coldwater Creek Inc. (NASDAQ:CWTR) Files For Bankruptcy	http://wallstreetpr.com/coldwater-creek-inc-nasdaqcwtr-files-for-bankruptcy-19471	WallStreetPR	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	wallstreetpr.com	1397292201262
102118	Coldwater Creek to close all stores	http://www.bizjournals.com/dayton/news/2014/04/11/coldwater-creek-to-close-all-stores.html	Dayton Business Journal	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.bizjournals.com	1397292201470
102119	CWC's future could be decided today	http://www.bonnercountydailybee.com/news/local/article_f79066bc-c13a-11e3-be1e-0019bb2963f4.html	Bonner County Daily Bee	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.bonnercountydailybee.com	1397292201655
102120	Coldwater Creek retailer files bankruptcy, will close stores	http://www.baltimoresun.com/business/consuming-interests-blog/bs-bz-coldwater-creek-bankruptcy-20140411,0,1897763.story	Baltimore Sun \(blog\)	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.baltimoresun.com	1397292202025
102121	Why Coldwater Creek (CWTR) Stock Has Plunged Today	http://www.thestreet.com/story/12667095/1/why-coldwater-creek-cwtr-stock-has-plunged-today.html	TheStreet.com	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.thestreet.com	1397292202418
102122	Coldwater Creek going bankrupt, liquidating by May	http://idahobusinessreview.com/2014/04/11/coldwater-creek-going-bankrupt-liquidating-by-may/	Idaho Business Review	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	idahobusinessreview.com	1397292202903
102123	Coldwater Creek liquidation to include five area stores	http://www.bizjournals.com/philadelphia/blog/peter-van-allen/2014/04/coldwater-creek-liquidation-will-include-five-area.html	Philadelphia Business Journal \(blog\)	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.bizjournals.com	1397292203263
102124	Coldwater Creek Plans Liquidation Sales Before Mother's Day (2)	http://www.businessweek.com/news/2014-04-11/coldwater-creek-files-bankruptcy-after-clothing-sales-decline	Businessweek	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.businessweek.com	1397292203488
102125	Sandpoint-based Coldwater Creek to Close all Stores by Early Summer	http://www.boiseweekly.com/CityDesk/archives/2014/04/11/sandpoint-based-coldwater-creek-to-close-all-stores-by-early-summer	Boise Weekly	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.boiseweekly.com	1397292203681
102126	SANDPOINT, Idaho - The women's clothing retailer Coldwater Creek has filed for  ...	http://www.turnto23.com/news/coldwater-creek-files-for-bankruptcy-protection_32443701_	KERO-TV 23	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.turnto23.com	1397292203893
102127	Coldwater Creek in Sandpoint files for bankruptcy protection	http://www.krem.com/news/consumer/Coldwater-Creek-in-Sandpoint-files-for-bankruptcy-protection-254903301.html	KREM.com \(registration\)	b	dGL0zPaEAUsfYxM50ZXDpVab4xKHM	www.krem.com	1397292204294
