104001	Holy Week: For Christians, days of sorrow on the road to Easter celebration	http://www.charlotteobserver.com/2014/04/10/4832136/holy-week-for-christians-days.html	Charlotte Observer	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.charlotteobserver.com	1397300102294
104002	When Is Palm Sunday 2014? Discover Meaning Behind Annual Catholic  ...	http://www.latintimes.com/when-palm-sunday-2014-discover-meaning-behind-annual-catholic-celebration-164979	Latin Times	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.latintimes.com	1397300102487
104003	Easter tradition to highlight Holy Cross Church bake sale	http://www.johnstonsunrise.net/stories/Easter-tradition-to-highlight-Holy-Cross-Church-bake-sale,91535	Johnston Sun Rise	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.johnstonsunrise.net	1397300102696
104004	Religion briefs for April 11, 2014	http://southtownstar.suntimes.com/lifestyles/26761233-423/religion-briefs-for-april-11-2014.html	SouthtownStar	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	southtownstar.suntimes.com	1397300102862
104005	Holy Week And Easter Activities Offered At St. Paul's Church	http://www.chattanoogan.com/2014/4/10/273969/Holy-Week-And-Easter-Activities-Offered.aspx	The Chattanoogan	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.chattanoogan.com	1397300103274
104006	Calvary Church Newsletter April 2014	http://www.valpolife.com/community/worship/40884-calvary-church-newsletter-april-2014	ValpoLife.com	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.valpolife.com	1397300103476
104007	First Methodist schedules Holy Week, Easter services	http://www.southeastsun.com/daleville/article_ba654376-c0d5-11e3-a5dd-001a4bcf6878.html	The Southeast Sun	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.southeastsun.com	1397300103717
104008	Religion Calendar: Palm Sunday 2014	http://lancasteronline.com/religion-calendar-palm-sunday/article_bc8e7f9a-c0d1-11e3-b818-001a4bcf6878.html	Lancaster Newspapers	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	lancasteronline.com	1397300104021
104009	Religion Calendar: Maundy Thursday 2014	http://lancasteronline.com/religion-calendar-maundy-thursday/article_dff4fc22-c0cf-11e3-b21f-001a4bcf6878.html	Lancaster Newspapers	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	lancasteronline.com	1397300104272
104010	Daily Times church services	http://www.delcotimes.com/lifestyle/20140410/daily-times-church-services	Delaware County Daily Times	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.delcotimes.com	1397300104507
104011	Tens of Thousands of Christians from Around the World to Celebrate Easter in  ...	http://www.travelvideo.tv/news/israel/04-10-2014/tens-of-thousands-of-christians-from-around-the-world-to-celebrate-easter-in-israel	TravelVideo.tv \(press release\)	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.travelvideo.tv	1397300104733
104012	Holy Week 2014 Includes Palm Sunday, Holy Thursday, Good Friday, and Holy  ...	http://www.theepochtimes.com/n3/612930-holy-week-2014-includes-palm-sunday-holy-thursday-good-friday-and-holy-saturday/	The Epoch Times	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.theepochtimes.com	1397300104968
104013	Mt. Pleasant First UMC announces Holy Week services	http://columbiadailyherald.com/lifestyles/features/mt-pleasant-first-umc-announces-holy-week-services	Columbia Daily Herald	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	columbiadailyherald.com	1397300105186
104014	EXPERIENCE JESUS' LAST HOURS ON EARTH	http://www.leominsterchamp.com/news/2014-04-11/Your_City/EXPERIENCE_JESUS_LAST_HOURS_ON_EARTH.html	Leominster Champion	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.leominsterchamp.com	1397300105388
104015	First Presbyterian Church to host Maundy Thursday April 17	http://www.timesreporter.com/article/20140410/NEWS/140419947/10676/SPECIAL	New Philadelphia Times Reporter	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.timesreporter.com	1397300105547
104016	Drive through the last days of Jesus for Easter	http://www.orlandosentinel.com/features/blogs/religion-world/os-drive-through-the-last-days-of-jesus-for-easter-20140410,0,1430045.post	Orlando Sentinel \(blog\)	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.orlandosentinel.com	1397300105840
104017	Local churches plan Holy Week services, events	http://www.heraldsun.com/lifestyles/faith/x740448703/Local-churches-plan-Holy-Week-services-events	Durham Herald Sun	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.heraldsun.com	1397300106117
104018	St. John Episcopal Church commemorates Holy Week	http://theworldlink.com/bandon/news/st-john-episcopal-church-commemorates-holy-week/article_6564b066-c024-11e3-8aa2-0019bb2963f4.html	Coos Bay World	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	theworldlink.com	1397300106326
104019	Community Easter Service planned	http://www.altustimes.com/news/news/3248636/Community-Easter-Service-planned	Altus Times	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.altustimes.com	1397300106562
104020	Churches refresh Easter	http://www.barryanddistrictnews.co.uk/news/11140749.Churches_refresh_Easter/\?ref=var_0	Barry and District News	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.barryanddistrictnews.co.uk	1397300106738
104021	Church revives Easter tradition	http://www.jdnews.com/news/local/church-revives-easter-tradition-1.303192	Jacksonville Daily News	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.jdnews.com	1397300106987
104022	Area churches starting to announce Holy Week events	http://newstrib.com/main.asp\?SectionID=2&amp;SubSectionID=28&amp;ArticleID=35863	LaSalle News Tribune	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	newstrib.com	1397300107291
104023	Easter services at St James Church in Coundon	http://www.thenorthernecho.co.uk/news/11139906.Easter_services_at_St_James_Church_in_Coundon/	The Northern Echo	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.thenorthernecho.co.uk	1397300107459
104024	Staying in Contact with Friends and Family for the Upcoming Holy Week	http://www.consumerelectronicsnet.com/article/Staying-in-Contact-with-Friends-and-Family-for-the-Upcoming-Holy-Week-3176950	Consumer Electronics Net	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.consumerelectronicsnet.com	1397300107660
104025	Religion notes	http://www.nj.com/jjournal-news/index.ssf/2014/04/religion_notes_135.html	NJ.com	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.nj.com	1397300107878
104026	Religion notebook	http://www.spokesman.com/stories/2014/apr/10/religion-notebook/	The Spokesman Review	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.spokesman.com	1397300108128
104027	Religion news: April 10, 2014	http://www.masslive.com/living/index.ssf/2014/04/religion_news_april_10_2014.html	MassLive.com	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.masslive.com	1397300108312
104028	Holy Week events plannedin Brechin and Edzell	http://www.brechinadvertiser.co.uk/news/local-headlines/holy-week-events-planned-in-brechin-and-edzell-1-3369281	Brechin Advertiser	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.brechinadvertiser.co.uk	1397300108558
104029	Holy Week services planned each day at John Wesley church	http://www.heraldmailmedia.com/life/community/holy-week-services-planned-each-day-at-john-wesley-church/article_5fd0c464-c02e-11e3-b9f5-001a4bcf6878.html	Herald-Mail Media	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.heraldmailmedia.com	1397300108759
104030	Weeds: The original Universal Donor	http://www.nujournal.com/page/content.detail/id/549286/Weeds--The-original-Universal-Do---.html	NUjournal	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.nujournal.com	1397300109199
104031	Sherman Church Holy Week Schedule	http://www.putnamcountycourier.com/news/2014-04-10/Around_the_County/Sherman_Church_Holy_Week_Schedule.html	The Putnam County Courier \(subscription\)	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.putnamcountycourier.com	1397300109447
104032	'UP TV' offers viewers inspiring programs for Holy Week, Easter	http://www.catholicsun.org/2014/04/09/up-tv-offers-viewers-inspiring-programs-for-holy-week-easter/	The Catholic Sun	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.catholicsun.org	1397300109598
104033	St. Stephen's Church Announces Holy Week Schedule	http://scvnews.com/2014/04/09/st-stephens-church-announces-holy-week-schedule/	SCVNEWS.com	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	scvnews.com	1397300109766
104034	Immanuels UCC Plans Holy Week, Easter Services	http://www.emissourian.com/article_768d86e6-4d05-52e1-89d6-c7ef442a0fe8.html	The Missourian	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.emissourian.com	1397300110042
104035	Passion Sunday Begins Holy Week At St. Paul's Episcopal	http://www.chattanoogan.com/2014/4/9/273918/Passion-Sunday-Begins-Holy-Week-At-St..aspx	The Chattanoogan	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.chattanoogan.com	1397300110252
104036	Animals Process With Children At St. Martin Of Tours Episcopal On Sunday	http://www.chattanoogan.com/2014/4/9/273919/Animals-Process-With-Children-At-St..aspx	The Chattanoogan	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.chattanoogan.com	1397300110537
104037	Church of Palms in Okatie announces Easter, Holy Week schedule	http://www.islandpacket.com/2014/04/09/3050738/church-of-palms-in-okatie-announces.html	Hilton Head Island Packet	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.islandpacket.com	1397300110721
104038	Avenue UMC announces Holy Week services	http://www.milfordbeacon.com/article/20140409/CCH/140409622/10082/NEWS	Milford Beacon	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.milfordbeacon.com	1397300110940
104039	Holy Week Preparation	http://www.catholicculture.org/culture/liturgicalyear/blog/index.cfm\?id=127	Catholic Culture \(blog\)	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.catholicculture.org	1397300111105
104040	Church News week of April 10, 2014	http://www.herald-progress.com/\?p=15466	Hanover Herald Progress	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.herald-progress.com	1397300111392
104041	Holy Week at St. Mark's	http://trib.com/lifestyles/faith-and-values/holy-week-at-st-mark-s/article_9cb9b1a2-36a7-5399-b83d-677a059df48f.html\?comment_form=true	Casper Star-Tribune Online	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	trib.com	1397300111577
104042	Sacred Triduum rites bring us closer to Christ	http://www.icatholic.org/article/sacred-triduum-rites-bring-us-closer-to-christ-6096597	Intermountain Catholic	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.icatholic.org	1397300112020
104043	Holy Week is a living reality, not a passion play	http://www.icatholic.org/article/holy-week-is-a-living-reality-not-a-passion-play-2566603	Intermountain Catholic	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.icatholic.org	1397300112161
104044	All are welcome at Easter services	http://www.bcdemocrat.com/index.php\?id=15675	Bcdemocrat	e	dJuzZfIa0RoI_JMKZCBfLaEa_N1GM	www.bcdemocrat.com	1397300112354
