104801	April Autism Aging Adults Apathy Angst	http://www.ageofautism.com/2014/04/april-autism-angst.html	Age of Autism	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	www.ageofautism.com	1397302697382
104802	NGO Makes Case For Children With Autism	http://nigerianobservernews.com/10042014/news/news14.html	Nigerian Observer	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	nigerianobservernews.com	1397302697689
104803	Autism Awareness Month	http://whnt.com/2014/04/09/autism-awareness-month/	whnt.com	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	whnt.com	1397302697878
104804	A life dictated by Autism Spectrum Disorder	http://www.ubspectrum.com/mobile/features/a-life-dictated-by-autism-spectrum-disorder-1.3158843	University at Buffalo The Spectrum	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	www.ubspectrum.com	1397302698079
104805	Autistic South Fayette High School senior overcomes life challenges	http://triblive.com/neighborhoods/yourcarlynton/yourcarlyntonmore/5872773-74/autism-blum-autistic	Tribune-Review	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	triblive.com	1397302698322
104806	POLITICAL NOTEBOOK: Senators continue autism advocacy at the Georgia  ...	http://www.gwinnettdailypost.com/news/2014/apr/09/political-notebook-senators-continue-autism/\?news	Gwinnettdailypost.com	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	www.gwinnettdailypost.com	1397302698531
104807	Austin Public Schools: April events raise awareness of autism	http://www.postbulletin.com/news/local/austin-public-schools-april-events-raise-awareness-of-autism/article_044d7a36-b077-57f8-8112-1b3eb4ca891a.html	Post-Bulletin	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	www.postbulletin.com	1397302698861
104808	Learning from autism	http://www.detroitnews.com/article/20140408/OPINION01/304080004	The Detroit News	m	dv35ngvuVGek6AMFA-5bNizKo9f3M	www.detroitnews.com	1397302699151
104809	Researchers discover the secret behind teen binge drinking	http://www.sciencerecorder.com/news/researchers-discover-the-secret-behind-teen-binge-drinking/	Science Recorder	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.sciencerecorder.com	1397302730505
104810	Teen binge drinking linked to identifying alcohol brands in pop music	http://www.medicalnewstoday.com/articles/275448.php	Medical News Today	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.medicalnewstoday.com	1397302730715
104811	Binge Drinking May Slow Wound Healing	http://www.philly.com/philly/health/topics/HealthDay686667_20140411_Binge_Drinking_May_Slow_Wound_Healing.html	Philly.com	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.philly.com	1397302730950
104812	Knowing Alcohol Brand References In Songs Linked With Teen Alcohol  ...	http://www.huffingtonpost.com/2014/04/11/alcohol-brand-references-songs_n_5127852.html	Huffington Post	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.huffingtonpost.com	1397302731143
104813	Songs Mentioning Alcohol Brand Names Influence Teen Drinking: Study	http://www.hngn.com/articles/28618/20140411/songs-mentioning-alcohol-brand-names-mat-influence-teen-drinking-study.htm	Headlines \& Global News	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.hngn.com	1397302731361
104814	Increased binge risk due to alcohol plugs in pop	http://www.thespiritsbusiness.com/2014/04/teens-binge-if-able-to-recognise-spirits-plugs-in-pop/	The Spirits Business	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.thespiritsbusiness.com	1397302731546
104815	Pop Stars Are Sippin' On Patron, And Teens Are Bingeing	http://www.gpb.org/news/2014/04/11/pop-stars-are-sippin-on-patron-and-teens-are-bingeing	GPB	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.gpb.org	1397302731756
104816	Booze brands in rock music make adolescents alcoholics	http://americanlivewire.com/2014-04-11-brands-rock-music-make-alcoholics/	American Live Wire	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	americanlivewire.com	1397302731990
104817	Is popular music encourage teens to drink more?	http://www.newsonwellness.com/2014/04/popular-music-encourage-teens-drink/	News on Wellness	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.newsonwellness.com	1397302732175
104818	Medical Minute: Music and Wild Behavior	http://www.wdio.com/article/stories/S3395660.shtml\?cat=11803	WDIO-TV	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.wdio.com	1397302732369
104819	Does Pop Music Increase Teen's Alcoholism Risk?	http://www.scienceworldreport.com/articles/13951/20140410/does-pop-music-increase-teens-alcoholism-risk.htm	Science World Report	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.scienceworldreport.com	1397302732595
104820	Booze Brands in Pop Lyrics May Spur Teen Drinking, Study Says	http://www.philly.com/philly/health/topics/HealthDay686507_20140410_Booze_Brands_in_Pop_Lyrics_May_Spur_Teen_Drinking__Study_Says.html	Philly.com	m	dwtwGFBcj5l81NM6Ps1OO7kztz9eM	www.philly.com	1397302732789
