116701	Zebra Tech to buy Motorola Solutions' enterprise business	http://www.cnbc.com/id/101584990	CNBC.com	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.cnbc.com	1397575875654
116702	Zebra to Acquire Motorola's Enterprise Solutions	http://risnews.edgl.com/retail-news/Zebra-to-Acquire-Motorola-s-Enterprise-Solutions92304	RIS News \(blog\)	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	risnews.edgl.com	1397575875848
116703	What Does The Zebra-Motorola Solutions Deal Mean To The Channel?	http://www.bsminfo.com/doc/what-does-the-zebra-motorola-solutions-deal-mean-to-the-channel-0001	Business Solutions Magazine	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.bsminfo.com	1397575876017
116704	Zebra Technologies to acquire Motorola Enterprise for $3.45B	http://www.ccjdigital.com/zebra-technologies-to-acquire-motorola-enterprise-for-3-45b/	Commercial Carrier Journal	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.ccjdigital.com	1397575876217
116705	Zebra Technologies to buy Motorola Solutions unit for $3.45B	http://bluesky.chicagotribune.com/chi-zebra-technologies-to-buy-motorola-solutions-unit-for-345b-20140415,0,0.htmlstory	Blue Sky Innovation	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	bluesky.chicagotribune.com	1397575876394
116706	Zebra Tech Snags Motorola's Enterprise Unit	http://www.foxbusiness.com/industries/2014/04/15/zebra-tech-to-buy-motorola-solutions-enterprise-business/	Fox Business	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.foxbusiness.com	1397575876679
116707	Zebra's $3.45 billion enterprise Internet of things play: Cloud software will be the  ...	http://www.zdnet.com/zebras-3-45-billion-enterprise-internet-of-things-play-cloud-software-will-be-the-glue-7000028458/	ZDNet	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.zdnet.com	1397575876886
116708	Zebra Technologies to acquire enterprise business from Motorola Solutions	http://postandparcel.info/60883/uncategorized/zebra-technologies-to-acquire-enterprise-business-from-motorola-solutions/	Post and Parcel	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	postandparcel.info	1397575877147
116709	Zebra Tech to acquire Motorola's enterprise business for $3.45 billion	http://economictimes.indiatimes.com/tech/software/zebra-tech-to-acquire-motorolas-enterprise-business-for-3-45-billion/articleshow/33788026.cms	Economic Times	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	economictimes.indiatimes.com	1397575877333
116710	Zebra Tech to acquire Motorola's enterprise biz for $3.45 bn	http://www.business-standard.com/article/pti-stories/zebra-tech-to-acquire-motorola-s-enterprise-biz-for-3-45-bn-114041501182_1.html	Business Standard	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.business-standard.com	1397575877630
116711	Zebra Technologies To Acquire Enterprise Business From Motorola Solutions  ...	http://www.inddist.com/news/2014/04/zebra-technologies-acquire-enterprise-business-motorola-solutions-345b	Industrial Distribution	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.inddist.com	1397575877826
116712	UPDATE 2-Zebra Tech to buy Motorola Solutions' enterprise business	http://www.reuters.com/article/2014/04/15/motorola-solu-zebra-tech-idUSL3N0N72O020140415	Reuters	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.reuters.com	1397575878072
116713	Zebra Tech to acquire Motorola's enterprise biz for $3.45b	http://www.mydigitalfc.com/news/zebra-tech-acquire-motorolas-enterprise-biz-345b-924	mydigitalfc.com	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.mydigitalfc.com	1397575878265
116714	Motorola Solutions to sell enterprise business to Zebra for $3.5 billion	http://gadgets.ndtv.com/mobiles/news/motorola-solutions-to-sell-enterprise-business-to-zebra-for-35-billion-508990	NDTV	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	gadgets.ndtv.com	1397575878574
116715	Zebra pays $3.45 billion for Motorola's mobile business unit	http://www.dallasnews.com/business/technology/headlines/20140415-zebra-pays-3.45-billion-for-motorola-s-mobile-business-unit.ece	Dallas Morning News	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.dallasnews.com	1397575878900
116716	Zebra to spend $3.45 billion on Motorola's enterprise business in significant  ...	http://www.globalpost.com/dispatch/news/the-canadian-press/140415/zebra-technologies-spend-345-billion-motorolas-enterprise-bu	GlobalPost	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.globalpost.com	1397575879169
116717	Notable Mergers and Acquisitions of the Day 04/15: (ZBRA)/(MSI) (AAN) (MLAB  ...	http://www.streetinsider.com/Special+Reports/Notable+Mergers+and+Acquisitions+of+the+Day+0415%3A+(ZBRA)(MSI)+(AAN)+(MLAB)+(TWTR)/9381002.html	StreetInsider.com \(subscription\)	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.streetinsider.com	1397575879385
116718	Motorola sells Enterprise business to Zebra for $3.5B	http://vator.tv/news/2014-04-15-motorola-sells-enterprise-business-to-zebra-for-35b	VatorNews	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	vator.tv	1397575879681
116719	Zebra Technologies Corp says to buy Motorola Solutions' enterprise business for  ...	http://www.financialexpress.com/news/zebra-technologies-corp-says-to-buy-motorola-solutions-enterprise-business-for-3.45-billion/1240730	Financial Express	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.financialexpress.com	1397575879914
116720	Motorola Solutions Sells Enterprise Arm To Zebra	http://www.valuewalk.com/2014/04/motorola-solutions-sell-enterprise-arm-zebra/	ValueWalk	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.valuewalk.com	1397575880159
116721	Motorola Solutions Sells Enterprise Business to Zebra for $3.45B	http://www.wirelessweek.com/news/2014/04/motorola-solutions-sells-enterprise-business-zebra-345b	Wireless Week	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.wirelessweek.com	1397575880369
116722	Zebra Technologies takes over Enterprise Business from Motorola Solutions	http://www.rfid-ready.com/201404158541/zebra-technologies-takes-over-enterprise-business-from-motorola-solutions.html	RFID-Ready \(press release\)	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.rfid-ready.com	1397575880830
116723	Zebra Buying Motorola Business For $3.45B	http://www.manufacturing.net/news/2014/04/zebra-buying-motorola-business-for-345b	Manufacturing.net	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.manufacturing.net	1397575881014
116724	Zebra Pays $3.45 Billion for Motorola's Mobile-Business Unit (1)	http://www.businessweek.com/news/2014-04-15/zebra-to-buy-motorola-solutions-enterprise-for-3-dot-45-billion	Businessweek	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.businessweek.com	1397575881249
116725	Zebra Technologies to acquire Motorola Solutions' enterprise business for $3.45B	http://techcircle.vccircle.com/2014/04/15/zebra-technologies-to-acquire-motorola-solutions-enterprise-business-for-3-45b/	VC Circle	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	techcircle.vccircle.com	1397575881442
116726	Why Zebra Technologies (ZBRA) Stock Continues To Climb	http://www.thestreet.com/story/12670104/1/why-zebra-technologies-zbra-stock-continues-to-climb.html	TheStreet.com	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.thestreet.com	1397575881761
116727	Zebra Technologies Corp. (ZBRA) Has Gapped Open Higher Following Acquisition	http://www.rttnews.com/2302099/zebra-technologies-corp-zbra-has-gapped-open-higher-following-acquisition.aspx	RTT News	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.rttnews.com	1397575881996
116728	Motorola Solutions Divests Enterprise Business for $3.5B	http://www.thestreet.com/story/12670106/1/motorola-solutions-divests-enterprise-business-for-35b.html	TheStreet.com	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.thestreet.com	1397575882322
116729	Zebra Technologies Buying Motorola Enterprise Business for $3.45 Billion	http://www.theepochtimes.com/n3/621937-zebra-technologies-buying-motorola-enterprise-business-for-3-45-billion/	The Epoch Times	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.theepochtimes.com	1397575882540
116730	Zebra Technologies buying Motorola's enterprise business for $3.45B	http://www.ctvnews.ca/business/zebra-technologies-buying-motorola-s-enterprise-business-for-3-45b-1.1776613	CTV News	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.ctvnews.ca	1397575882892
116731	Zebra to spend $3.45B on Motorola Solutions unit	http://www.suntimes.com/business/26860042-420/zebra-to-spend-345b-on-motorola-solutions-unit.html	Chicago Sun-Times	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.suntimes.com	1397575883152
116732	Zebra to Buy Motorola Solutions Enterprise Business -- Update	http://www.nasdaq.com/article/zebra-to-buy-motorola-solutions-enterprise-business--update-20140415-00594	NASDAQ	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.nasdaq.com	1397575883379
116733	Zebra Technologies Corp.'s share price up, acquires the enterprise unit of  ...	http://www.binarytribune.com/2014/04/15/zebra-technologies-corp-s-share-price-up-acquires-the-enterprise-unit-of-motorola-solutions-inc-in-a-3-45-billion-dollar-deal-to-expand-reach/	Binary Tribune	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.binarytribune.com	1397575883653
116734	Zebra to buy Motorola enterprise unit for $3.45B in hot pursuit of IoT market	http://gigaom.com/2014/04/15/zebra-to-buy-motorola-enterprise-unit-in-3-5b-in-hot-pursuit-of-iot-market/	GigaOM	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	gigaom.com	1397575883897
116735	Zebra buys Motorola Solutions' Enterprise for $3.45 billion	http://www.dailyherald.com/article/20140415/business/140419051/	Chicago Daily Herald	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.dailyherald.com	1397575884142
116736	Zebra Tech to buy Motorola's enterprise business for $3.5-billion	http://www.theglobeandmail.com/report-on-business/international-business/us-business/zebra-tech-to-buy-motorolas-enterprise-business-for-345-billion/article18000026/	The Globe and Mail	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.theglobeandmail.com	1397575884477
116737	In the news: GE considers shorter terms for CEOs, coke earnings and two tech  ...	http://marketintelligencecenter.com/articles/485444	Market Intelligence Center	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	marketintelligencecenter.com	1397575885037
116738	Motorola Solutions sells enterprise unit to Zebra for $3.45B	http://venturebeat.com/2014/04/15/motorola-solutions-sells-enterprise-unit-to-zebra-for-3-45b/	VentureBeat	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	venturebeat.com	1397575885439
116739	Zebra Pays $3.5 Billion for Motorola Tracking Technology	http://www.bloomberg.com/news/2014-04-15/zebra-to-buy-motorola-solutions-unit-for-3-45-billion.html	Bloomberg	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.bloomberg.com	1397575885849
116740	Zebra to spend $3.45 billion on Motorola business	http://www.thonline.com/biztimes/articles/article_a15f4694-c49d-11e3-b2a7-001a4bcf6878.html	Dubuque Telegraph Herald	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.thonline.com	1397575886084
116741	Zebra Technologies buys enterprise business from Motorola Solutions for $3.45  ...	http://southtownstar.suntimes.com/business/26860042-420/zebra-technologies-buys-enterprise-business-from-motorola-solutions-for-345-billion.html	SouthtownStar	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	southtownstar.suntimes.com	1397575886334
116742	Zebra to spend $3.45B on Motorola business - WBOC-TV 16, Delmarvas News  ...	http://www.wboc.com/story/25249748/zebra-to-spend-345b-on-motorola-business	WBOC TV 16	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.wboc.com	1397575886637
116743	Confirmed: Zebra Technologies Is Buying Motorola Solutions' Handheld Unit For  ...	http://techcrunch.com/2014/04/15/confirmed-zebra-tech-is-buying-motorola-solutions-for-3-45b/	TechCrunch	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	techcrunch.com	1397575886956
116744	Zebra Technologies to Buy Motorola's Enterprise Business For $3.45bn	http://www.ibtimes.co.uk/zebra-technologies-buy-motorolas-enterprise-business-3-45bn-1444905	International Business Times UK	b	dM-im-JNw4JjmeMinnYwPfFTvrrBM	www.ibtimes.co.uk	1397575887174
