117801	Will Open-Source Money Prevent the Next Heartbleed?	http://www.eweek.com/security/will-open-source-money-prevent-the-next-heartbleed.html/	eWeek	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.eweek.com	1397583056468
117802	Heartbleed Bug News Update: Did NSA Use Malware to Access China's  ...	http://www.latinospost.com/articles/35994/20140414/heartbleed-bug-news-update-did-nsa-use-malware-to-access-chinas-websites.htm	Latinos Post	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.latinospost.com	1397583056679
117803	Acumatica Not Impacted by Heartbleed Bug	http://www.virtual-strategy.com/2014/04/14/acumatica-not-impacted-heartbleed-bug	Virtual-Strategy Magazine \(press release\)	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.virtual-strategy.com	1397583056917
117804	Did the NSA know about Heartbleed Bug, exploit its 'potential'?	http://www.techtimes.com/articles/5548/20140414/did-the-nsa-know-about-heartbleed-bug-exploit-its-potential.htm	Tech Times	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.techtimes.com	1397583057093
117805	BlackBerry plans to release Heartbleed security updates	http://www.financialexpress.com/news/blackberry-plans-to-release-heartbleed-security-updates/1240565\?rhheader	Financial Express	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.financialexpress.com	1397583057294
117806	Heartbleed Postmortem: Time to Rethink Open Source Security?	http://www.itjungle.com/fhs/fhs041514-story02.html	IT Jungle	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.itjungle.com	1397583057805
117807	Google plugs more services vs Heartbleed; bug biting millions of Androids	http://www.androidauthority.com/google-patches-services-heartbleed-millions-android-devices-still-affected-368624/	Android Authority	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.androidauthority.com	1397583057997
117808	Change passwords to avoid heartache from Heartbleed	http://www.houstonchronicle.com/business/energy/article/Change-passwords-to-avoid-heartache-from-5401451.php	Houston Chronicle	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.houstonchronicle.com	1397583058212
117809	Heartbleed Exposes a Problem With Open Source, But It's Not What You Think	http://mashable.com/2014/04/14/heartbleed-open-source/	Mashable	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	mashable.com	1397583058434
117810	Parenting website Mumsnet is victim of hackers	http://www.heraldscotland.com/news/home-news/parenting-website-mumsnet-is-victim-of-hackers.23959255	Herald Scotland	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.heraldscotland.com	1397583058636
117811	Server makers rush their Heartbleed patches	http://www.computerworld.com/s/article/9247671/Server_makers_rush_their_Heartbleed_patches	Computerworld	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.computerworld.com	1397583058872
117812	Dangers of Heartbleed bug grow every day	http://triblive.com/usworld/nation/5948986-74/security-bug-web	Tribune-Review	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	triblive.com	1397583059172
117813	School District protected from Heartbleed internet threat	http://www.mi-reporter.com/news/255256081.html	Mercer Island Reporter	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.mi-reporter.com	1397583059416
117814	Heartbleed bug fixes threaten to cause major Internet disruptions	http://www.stltoday.com/business/local/heartbleed-bug-fixes-threaten-to-cause-major-internet-disruptions/article_02a7a104-c444-5e2f-979b-39dda64bea82.html	STLtoday.com	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.stltoday.com	1397583059576
117815	Android owners still face risk of Heartbleed bug	http://www.news.com.au/technology/android-owners-still-face-risk-of-heartbleed-bug/story-e6frfrnr-1226884851611	NEWS.com.au	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.news.com.au	1397583059840
117816	NSA details Heartbleed “mitigations” in new report	http://www.slashgear.com/nsa-details-heartbleed-mitigations-in-new-report-14325192/	SlashGear	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.slashgear.com	1397583060169
117817	Heartbleed threat becomes major problem	http://www.videtteonline.com/index.php/2014/04/14/heartbleed-threat-becomes-major-problem/	Vidette Online	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.videtteonline.com	1397583060423
117818	Heartbleed hacks hit parenting website Mumsnet and Canada's tax agency	http://www.malaysiasun.com/index.php/sid/221098317/scat/d805653303cbbba8/ht/Heartbleed-hacks-hit-parenting-website-Mumsnet-and-Canadas-tax-agency	Malaysia Sun	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	www.malaysiasun.com	1397583060782
117819	SSL security keys can be accessed by Heartbleed bug	http://khon2.com/2014/04/14/ssl-security-keys-can-be-accessed-by-heartbleed-bug/	khon2.com	t	dRn-S3Rr6gkxMlMKT0drlDRqenNKM	khon2.com	1397583061257
