126301	Why only a Christmas crib, Easter is bigger	http://timesofindia.indiatimes.com/city/goa/Why-only-a-Christmas-crib-Easter-is-bigger/articleshow/33835104.cms	Times of India	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	timesofindia.indiatimes.com	1397710849662
126302	Share the faith on Good Friday	http://www.dailyjournal.net/view/local_story/Share-the-faith-on-Good-Friday_1397605740	Daily Journal	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.dailyjournal.net	1397710849865
126303	Stores and services close for Easter weekend	http://yle.fi/uutiset/stores_and_services_close_for_easter_weekend/7194530	YLE News	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	yle.fi	1397710850058
126304	Church Activities – Transylvania County	http://www.transylvaniatimes.com/story/2014/04/17/church/church-activities-transylvania-county/17521.html	The Transylvania Times	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.transylvaniatimes.com	1397710850293
126305	Why do Christians celebrate Easter?	http://www.eagleobserver.com/news/2014/apr/16/why-do-christians-celebrate-easter-2014/	Westside Eagle Observer	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.eagleobserver.com	1397710850499
126306	Easter Greetings!	http://www.catholicsentinel.org/main.asp\?SectionID=2&amp;SubSectionID=35&amp;ArticleID=24740	Catholic Sentinel	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.catholicsentinel.org	1397710850879
126307	MANVILLE: Priests will bless Easter food Saturday	http://centraljersey.com/articles/2014/04/16/the_manville_news/news/doc534edf1e5d1de052454093.txt	Packet Online	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	centraljersey.com	1397710851089
126308	Churches promote Easter message	http://www.theleader.com.au/story/2223637/churches-promote-easter-message/\?cs=1255	St George and Sutherland Shire Leader	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.theleader.com.au	1397710851316
126309	Letter: He is risen	http://unioneagle.com/2014/04/he-is-risen/	Princeton Union Eagle	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	unioneagle.com	1397710851501
126310	We have stories to tell	http://www.catholicsentinel.org/main.asp\?SectionID=4&amp;SubSectionID=44&amp;ArticleID=24735	Catholic Sentinel	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.catholicsentinel.org	1397710851660
126311	Religious Brainwashing	http://groundreport.com/religious-brainwashing/	GroundReport	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	groundreport.com	1397710851853
126312	Can you question the Resurrection and still be a Christian?	http://www.sltrib.com/sltrib/lifestyle/57827751-80/resurrection-jesus-easter-christian.html.csp	Salt Lake Tribune	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.sltrib.com	1397710852180
126313	Local churches plan Easter events	http://www.postbulletin.com/life/lifestyles/local-churches-plan-easter-events/article_aeee5c28-1db4-5b3a-8f55-7086dab54935.html	Post-Bulletin	e	d5df2CBkz2QvTZMBU0GAMbqr6pqjM	www.postbulletin.com	1397710852382
