132801	Iran cuts sensitive nuclear stockpile‚ key plant delayed - IAEA	http://www.thehimalayantimes.com/fullNews.php\?headline=Iran+cuts+sensitive+nuclear+stockpile%E2%80%9A+key+plant+delayed+-+IAEA&amp;NewsID=412092	Himalayan Times	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.thehimalayantimes.com	1397827967532
132802	UN: Iran Cuts Nuclear Assets Despite Slow Progress on Uranium Site	http://www.newsroomamerica.com/story/417630.html	Newsroom America	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.newsroomamerica.com	1397827967741
132803	US releases funds to Iran as IAEA verifies compliance with nuclear deal	http://backchannel.al-monitor.com/index.php/2014/04/8166/u-s-releases-450-mn-as-iaea-says-iran-complying-with-nuclear-deal/	Al-Monitor	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	backchannel.al-monitor.com	1397827968051
132804	Iran has slashed enriched uranium stock: IAEA	http://www.dawn.com/news/1100647/iran-has-slashed-enriched-uranium-stock-iaea	DAWN.com	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.dawn.com	1397827968220
132805	Iran slashes higher-enriched uranium stock	http://www.malaysiasun.com/index.php/sid/221193643/scat/b8de8e630faf3631/ht/Iran-slashes-higher-enriched-uranium-stock	Malaysia Sun	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.malaysiasun.com	1397827968446
132806	Iran largely cuts controversial nuclear fuel stockpile: IAEA	http://www.globaltimes.cn/content/855373.shtml	Global Times	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.globaltimes.cn	1397827968640
132807	Enriched uranium stockpile cut by Iran as per nuclear deal	http://www.bignewsnetwork.com/index.php/sid/221193643/scat/b8de8e630faf3631/ht/Enriched-uranium-stockpile-cut-by-Iran-as-per-nuclear-deal	Big News Network.com	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.bignewsnetwork.com	1397827968993
132808	Iran crude shipments fall in March	http://www.omantribune.com/index.php\?page=news&amp;id=165813&amp;heading=Business	Oman Tribune	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.omantribune.com	1397827969272
132809	UN report says Iran has neutralized half of its uranium stock closest to nuke-arms  ...	http://www.dailyjournal.net/view/story/e5cdfc93736749adbe0f879a6dcdcbc2/Iran-Nuclear/	Daily Journal	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.dailyjournal.net	1397827969448
132810	Half of Iran's uranium stock cut	http://www.turkishpress.com/news/402453/	Turkish Press	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.turkishpress.com	1397827969686
132811	Official: Iran will not discuss missile program	http://www.salon.com/2014/04/16/official_iran_will_not_discuss_missile_program/	Salon	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.salon.com	1397827969905
132812	US releases 450 mln USD of Iran's frozen funds	http://news.xinhuanet.com/english/world/2014-04/18/c_133271224.htm	Xinhua	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	news.xinhuanet.com	1397827970174
132813	US to release $450M for Iran	http://triblive.com/usworld/world/5967770-74/iran-nuclear-450	Tribune-Review	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	triblive.com	1397827970367
132814	Iran curbs nuclear programme as sanctions ease	http://www.scotsman.com/news/world/iran-curbs-nuclear-programme-as-sanctions-ease-1-3380608	Scotsman	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.scotsman.com	1397827970626
132815	Iran slashes highly-enriched nuclear stock: UN watchdog	http://www.brecorder.com/general-news/172/1174377/	Business Recorder	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.brecorder.com	1397827970900
132816	Iran fulfilling most of its agreements under nuclear deal – IAEA	http://rt.com/news/iran-cut-nuclear-stockpile-272/	RT	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	rt.com	1397827971448
132817	UN says Iran has slashed its uranium stockpile by 75 per cent	http://www.smh.com.au/world/un-says-iran-has-slashed-its-uranium-stockpile-by-75-per-cent-20140418-zqw4m.html	Sydney Morning Herald	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.smh.com.au	1397827971702
132818	Iran complying with nuclear freeze: UN	http://www.3news.co.nz/Iran-complying-with-nuclear-freeze-UN/tabid/417/articleID/340616/Default.aspx	3News NZ	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.3news.co.nz	1397827972066
132819	Iran cuts stockpile of near nuclear-arms grade uranium, UN says	http://www.mynews3.com/content/news/story/Iran-cuts-stockpile-of-near-nuclear-arms-grade/YX2ta5EZYU6k3tMQlIWpDA.cspx	MyNews3 Las Vegas KSNV	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.mynews3.com	1397827972676
132820	US releases $450 million in frozen Iran funds for complying with nuclear deal	http://www.rawstory.com/rs/2014/04/17/u-s-releases-450-million-in-frozen-iran-funds-for-complying-with-nuclear-deal/	Raw Story	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.rawstory.com	1397827972926
132821	Iran slashes nuclear stock, says UN	http://www.skynews.com.au/world/article.aspx\?id=968784	Sky News Australia	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.skynews.com.au	1397827973129
132822	Iranian oil exports falling into line with sanctions deal	http://www.dailystar.com.lb/Business/International/2014/Apr-18/253706-iranian-oil-exports-falling-into-line-with-sanctions-deal.ashx	The Daily Star	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.dailystar.com.lb	1397827973331
132823	US unblocks Iranian assets worth $450M	http://voiceofrussia.com/news/2014_04_17/US-unblocks-Iranian-assets-worth-450M-6557/	The Voice of Russia	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	voiceofrussia.com	1397827973700
132824	Iran ahead of schedule in complying with nuclear deal, UN watchdog says	http://www.alaskadispatch.com/article/20140417/iran-ahead-schedule-complying-nuclear-deal-un-watchdog-says	Alaska Dispatch	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.alaskadispatch.com	1397827973926
132825	RICHMAN: The Ayatollahs' overlooked anti-WMD Fatwas	http://www.yourhoustonnews.com/bay_area/opinion/richman-the-ayatollahs-overlooked-anti-wmd-fatwas/article_7985aa45-d8bd-52c0-919c-11b3caca81c5.html	Your Houston News	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.yourhoustonnews.com	1397827974234
132826	India cuts Iran oil imports nearly a fifth in 2013/14	http://www.brecorder.com/markets/energy/asia/167780.html	Business Recorder	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.brecorder.com	1397827974879
132827	Japan makes two more crude oil payments to Iran: Report	http://www.presstv.ir/detail/2014/04/17/358960/japan-makes-2-oil-payments-to-iran/	Press TV	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.presstv.ir	1397827975080
132828	Iran final nuclear deal chances better than 50/50: Petraeus	http://www.presstv.ir/detail/2014/04/17/358954/iran-final-ndeal-chances-above-5050/	Press TV	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.presstv.ir	1397827975281
132829	TABLE-India's Essar buys 18.6 pct more Iranian oil in 2013/14	http://af.reuters.com/article/energyOilNews/idAFL3N0N73AJ20140417	Reuters Africa	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	af.reuters.com	1397827975488
132830	Mending ties with Islamic Republic	http://www.meed.com/sectors/economy/government/mending-ties-with-islamic-republic/3191240.article	MEED \(subscription\)	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.meed.com	1397827975886
132831	Iran: Oil exports fall in March	http://www.ncr-iran.org/en/issues/198-economy/16358-iran-oil-exports-fall-in-march	NCR-Iran.org \(press release\)	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.ncr-iran.org	1397827976065
132832	Iran's Oil Exports Doubled in 9 Months: Official	http://www.tasnimnews.com/English/Home/Single/341281	Tasnim News Agency	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.tasnimnews.com	1397827976271
132833	North Korea's Nuclear Fallout	http://www.forbes.com/sites/claudiarosett/2014/04/17/north-koreas-nuclear-fallout/	Forbes	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.forbes.com	1397827976583
132834	Iran oil exports fall for first time in 5 months	http://www.solarnews.ph/news/business/2014/04/17/iran-oil-exports-fall-for-first-time-in-5-months	Solar News PH	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.solarnews.ph	1397827976946
132835	Iran crude sales double in five months: Official	http://www.presstv.ir/detail/2014/04/17/358932/iran-oil-exports-double-in-five-months/	Press TV	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.presstv.ir	1397827977152
132836	Ex-EU chief positive on solution for Iran N-talks	http://www.presstv.ir/detail/2014/04/17/358930/solana-positive-on-iran-nuclear-talks/	Press TV	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.presstv.ir	1397827977329
132837	Japan makes two more oil payments to Iran-sources	http://in.reuters.com/article/2014/04/17/iran-oil-payment-idINL3N0N91WH20140417	Reuters	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	in.reuters.com	1397827977513
132838	Japan makes oil payments to Iran	http://www.worldbulletin.net/economy/133991/japan-makes-oil-payments-to-iran	www.worldbulletin.net	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.worldbulletin.net	1397827977832
132839	India oil imports from Iran rise 43% in Q1 2014	http://www.presstv.ir/detail/2014/04/17/358904/irans-india-oil-sale-up-43-in-q1-2014/	Press TV	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.presstv.ir	1397827978033
132840	Japan could lift Iran crude buys if sanctions lifted -industry head	http://af.reuters.com/article/energyOilNews/idAFT9N0N604620140417	Reuters Africa	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	af.reuters.com	1397827978214
132841	Graham: Allowing Enrichement Puts Iran Nuclear Deal 'on the Road to  ...	http://pjmedia.com/tatler/2014/04/16/graham-allowing-enrichement-puts-iran-nuclear-deal-on-the-road-to-armageddon/	PJ Media	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	pjmedia.com	1397827978391
132842	Iranian oil exports rise	http://www.turkishpress.com/news/402228/	Turkish Press	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	www.turkishpress.com	1397827978788
132843	Iran to extract 1 mln barrels of oil daily from joint fields with Iraq	http://en.trend.az/regions/iran/2263889.html	Trend.az	b	dsO-R9qlVCa6BYMWb0dxCERknT3nM	en.trend.az	1397827978981
132844	NYCLASS Unveils Its New Horseless eCarriage Prototype	http://www.ecorazzi.com/2014/04/18/nyclass-unveils-its-new-horseless-ecarriage-prototype/	Ecorazzi	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.ecorazzi.com	1397828269797
132845	6 Things You Gotta See at the New York Auto Show	http://mashable.com/2014/04/18/6-must-see-things-at-the-new-york-auto-show/	Mashable	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	mashable.com	1397828269988
132846	Muscle cars out in force at New York auto show	http://profit.ndtv.com/news/industries/article-muscle-cars-out-in-force-at-new-york-auto-show-385891	NDTV	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	profit.ndtv.com	1397828270252
132847	These Electric Cars May Replace Horse-Drawn Carriages In NYC	http://www.huffingtonpost.com/2014/04/18/electric-cars-horse-carriages_n_5169264.html	Huffington Post	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.huffingtonpost.com	1397828270514
132848	Proposed car to replace NYC horse carriages shown - 0 Minutes Ago	http://www.heraldbulletin.com/breakingnews/x360405515/Proposed-car-to-replace-NYC-horse-carriages-shown	The Herald Bulletin	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.heraldbulletin.com	1397828270754
132849	Powerful cars out in full force at New York auto show	http://www.yorkdispatch.com/business/ci_25592324/powerful-cars-out-full-force-at-new-york	York Dispatch	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.yorkdispatch.com	1397828270999
132850	Hot cars at this year's New York auto show	http://gulfnews.com/business/automotives/hot-cars-at-this-year-s-new-york-auto-show-1.1321163\?utm_content=1.1321163&amp;utm_medium=RSS&amp;utm_source=Feeds&amp;utm_campaign=Hot_cars_at_this_year%C3%A2%C2%80%C2%99s_New_York_auto_show&amp;localLinksEnabled=false&amp;utm_term=Business_RSS_feed	gulfnews.com	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	gulfnews.com	1397828271293
132851	Old-timey electric car may replace horse carriages in NYC	http://www.oneidadispatch.com/general-news/20140418/old-timey-electric-car-may-replace-horse-carriages-in-nyc	Oneida Dispatch	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.oneidadispatch.com	1397828271530
132852	Animal activism is great. Why can't we get as loud on (human) workers' rights?	http://www.theguardian.com/commentisfree/2014/apr/17/animal-activism-horse-carriage-drivers-human-workers-rights	The Guardian	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.theguardian.com	1397828271757
132853	2015 Hyundai Sonata revealed at New York Auto Show	http://www.cardekho.com/india-car-news/2015-hyundai-sonata-revealed-at-new-york-auto-show-12871.htm	CarDekho	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.cardekho.com	1397828272059
132854	New York International Auto Show: Wheels of the World on Display in the Big  ...	http://www.theepochtimes.com/n3/628134-new-york-international-auto-show-wheels-of-the-world-on-display-in-the-big-apple/	The Epoch Times	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.theepochtimes.com	1397828272469
132855	New York Auto Show Highlights a Changing Car Culture	http://www.eweek.com/mobile/slideshows/new-york-auto-show-highlights-a-changing-car-culture.html/	eWeek	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.eweek.com	1397828272690
132856	Classic-style car that could replace Central Park's horse and carriage rides is  ...	http://www.dailymail.co.uk/news/article-2607235/Old-timey-car-replace-NYC-horse-carriages-shown.html	Daily Mail	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.dailymail.co.uk	1397828272962
132857	The coolest cars from the 2014 New York Auto Show	http://www.bizjournals.com/triangle/morning_call/2014/04/the-coolest-cars-from-the-2014-new-york-auto-show.html	Triangle Business Journal	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.bizjournals.com	1397828273231
132858	2014 New York Auto Show – 2015 Dodge Charger	http://indianautosblog.com/2014/04/2015-dodge-charger-128069	Indian Autos Blog \(blog\)	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	indianautosblog.com	1397828273441
132859	New York Motor Show stars	http://cardealermagazine.co.uk/publish/top-five-new-york-motor-show-stars/80999	Car Dealer Magazine	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	cardealermagazine.co.uk	1397828273686
132860	Hyundai unveils the 2015 Sonata at the New York Auto Show	http://www.carwale.com/news/13129-hyundai-unveils-the-2015-sonata-at-the-new-york-auto-show.html	CarWale \(blog\)	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.carwale.com	1397828274003
132861	Automakers go full throttle	http://www.journalgazette.net/article/20140418/BIZ/304189982/1031/BIZ	Fort Wayne Journal Gazette	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	www.journalgazette.net	1397828274255
132862	Dodge Challenger	http://mdjonline.com/bookmark/24958333-Dodge-Challenger	Marietta Daily Journal	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	mdjonline.com	1397828274506
132863	Revved up: Muscle cars out in force at New York auto show	http://mdjonline.com/view/full_story/24958337/article-Revved-up--Muscle-cars-out-in-force-at-New-York-auto-show\?instance=lead_story_left_column	Marietta Daily Journal	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	mdjonline.com	1397828274741
132864	New York's auto show is all about power	http://newsok.com/new-yorks-auto-show-is-all-about-power/article/4041182	NewsOK.com	t	db4pgI2UOnhX0MMro2cnCYXfDxouM	newsok.com	1397828275100
