133901	Google Glass: Who pays $1500 to be an 'explorer' and why? (+video)	http://www.csmonitor.com/Business/2014/0415/Google-Glass-Who-pays-1-500-to-be-an-explorer-and-why-video	Christian Science Monitor	t	d_LS-Ex3R_Qui_MpWEl0E97-Kk34M	www.csmonitor.com	1397831692278
133902	Google's Amazing Image Strategy with Google Glass	http://www.techzone360.com/topics/techzone/articles/2014/04/16/376302-googles-amazing-image-strategy-with-google-glass.htm	Techzone360	t	d_LS-Ex3R_Qui_MpWEl0E97-Kk34M	www.techzone360.com	1397831692522
133903	NASA's moon-orbiting robot crashes down	http://www.contracostatimes.com/science/ci_25592171/nasas-moon-orbiting-robot-crashes-down	Contra Costa Times	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.contracostatimes.com	1397832355549
133904	NASA's moon-orbiting robot crashes down as planned	http://www.macon.com/2014/04/18/3053752/nasas-moon-orbiting-robot-crashes.html	Macon Telegraph \(blog\)	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.macon.com	1397832355767
133905	NASA's moon-orbiting robot crashes into lunar surface early, likely vaporized	http://www.windsorstar.com/technology/NASAs+moonorbiting+robot+crashes+into+lunar+surface+early/9752110/story.html	Windsor Star	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.windsorstar.com	1397832356044
133906	NASA crashes robot into moon on purpose	http://www.pressherald.com/news/NASA_crashes_robot_into_moon_on_purpose.html	Press Herald	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.pressherald.com	1397832356394
133907	NASA robot crashes into lunar surface early	http://www.cp24.com/world/nasa-robot-crashes-into-lunar-surface-early-1.1781763	CP24 Toronto's Breaking News	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.cp24.com	1397832356718
133908	NASA's moon-orbiting robot crashes into lunar surface as planned, likely  ...	http://www.tribtown.com/view/story/fe8e158f09794780aa0e37239b352b89/US--SCI--Lunar-Crash	The Tribune	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.tribtown.com	1397832356962
133909	NASA's moon-orbiting robot crashes into lunar surface as planned, likely vaporized	http://www.startribune.com/business/255758671.html	Minneapolis Star Tribune	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.startribune.com	1397832357201
133910	NASA's moon-orbiting LADEE robot crashes down after surviving lunar eclipse	http://www.pasadenastarnews.com/science/20140418/nasas-moon-orbiting-ladee-robot-crashes-down-after-surviving-lunar-eclipse	Pasadena Star-News	t	d6bhRzSE1aazwbMtcQ__5QueEJm1M	www.pasadenastarnews.com	1397832357465
