143801	News briefs from around Tennessee at 1:58 am EDT	http://www.centredaily.com/2014/04/20/4142944/news-briefs-from-around-tennessee.html\?sp=/99/188/	Centre Daily Times	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.centredaily.com	1398058091476
143802	Fascinating fact:	http://www.hollywood.com/news/brief/56954064/fascinating-fact	Hollywood.com	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.hollywood.com	1398058091764
143803	Record Store Day Washington, D.C.: Smash!, Crooked Beat, Red Onion	http://www.billboard.com/biz/articles/news/record-labels/6062707/record-store-day-washington-dc-smash-crooked-beat-red-onion	Billboard	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.billboard.com	1398058091988
143804	Record Store day celebrates vinyl	http://www.montrosereview.co.uk/news/showbiz/record-store-day-celebrates-vinyl-1-3381840	Montrose Review	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.montrosereview.co.uk	1398058092242
143805	Jack White breaks record for world's fastest studio-to-store record	http://thecelebritycafe.com/feature/2014/04/jack-white-breaks-record-worlds-fastest-studio-store-record	TheCelebrityCafe.com	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	thecelebritycafe.com	1398058092449
143806	Long play for vinyl lovers	http://www.stuff.co.nz/taranaki-daily-news/business/9962572/Long-play-for-vinyl-lovers	Taranaki Daily News	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.stuff.co.nz	1398058092663
143807	Jack White records songs, releases vinyl in four hours	http://www.todayonline.com/entertainment/music/jack-white-records-songs-releases-vinyl-four-hours	TODAYonline	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.todayonline.com	1398058092920
143808	For the love of vinyl: It's Record Store Day	http://www.seacoastonline.com/apps/pbcs.dll/article\?AID=/20140420/NEWS/404200346/-1/NEWSMAP	Seacoastonline.com	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.seacoastonline.com	1398058093120
143809	Jack White records and releases a record in one day	http://jam.canoe.ca/Music/2014/04/19/21614846.html	CANOE	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	jam.canoe.ca	1398058093488
143810	Vinyl Record Collectors A Dying Breed In Digital Download Age: National  ...	http://www.latinpost.com/articles/10788/20140419/vinyl-record-collectors-a-dying-breed-in-digital-download-age-national-celebration-brings-communities-together-in-cities-like-los-angeles.htm	Latin Post	e	dS0HW7xz9fGT9tMbyS8FHtBSbnhSM	www.latinpost.com	1398058093811
