155201	“Bionic eye” implant restores partial sight to Michigan man	http://www.canada.com/health/Bionic+implant+restores+partial+sight+Michigan/9766626/story.html	Canada.com	m	dhAB7RSpJuC5toMeuAzCyTfKTJEhM	www.canada.com	1398289743535
155202	Michigan Man Is Among The First In US To Get 'Bionic Eye'	http://www.huffingtonpost.com/2014/04/23/bionic-eye-roger-pontz-retinitis-pigmentosa_n_5197965.html	Huffington Post	m	dhAB7RSpJuC5toMeuAzCyTfKTJEhM	www.huffingtonpost.com	1398289743754
155203	'Bionic Eye' Lets Almost-Blind Man Now See His Wife and Cat	http://www.newsmax.com/thewire/bionic-eye-blind-man/2014/04/23/id/567169/	Newsmax.com	m	dhAB7RSpJuC5toMeuAzCyTfKTJEhM	www.newsmax.com	1398289743965
155204	Mich. man among 1st to get 'bionic eye'	http://woodtv.com/2014/04/23/mich-man-among-1st-to-get-bionic-eye/	WOODTV.com	m	dhAB7RSpJuC5toMeuAzCyTfKTJEhM	woodtv.com	1398289744616
155205	Michigan Man Receives One Of The First Ever 'Bionic' Eyes	http://www.businessinsider.com/michigan-man-receives-one-of-the-first-ever-bionic-eyes-2014-4	Business Insider	m	dhAB7RSpJuC5toMeuAzCyTfKTJEhM	www.businessinsider.com	1398289744917
155206	Almost blind Michigan man 'seeing something new every day' thanks to new  ...	http://www.newser.com/article/d40c22b3528f440e8b03f2f83060d397/almost-blind-michigan-man-seeing-something-new-every-day-thanks-to-new-retina-procedure.html	Newser	m	dhAB7RSpJuC5toMeuAzCyTfKTJEhM	www.newser.com	1398289745169
155207	'Bionic eye' restores some sight for Michigan man, one of first in US to get  ...	http://www.syracuse.com/news/index.ssf/2014/04/bionic_eye_restores_some_sight.html	The Post-Standard	m	dhAB7RSpJuC5toMeuAzCyTfKTJEhM	www.syracuse.com	1398289745420
155208	Helena health officials worried about recent whooping cough cases	http://www.kbzk.com/news/helena-health-officials-worried-about-recent-whooping-cough-cases/	KBZK Bozeman News	m	d2hdVLp7WV1lGNMxzp45dFCTj8gIM	www.kbzk.com	1398289988664
155209	Whooping Cough's Secrets Revealed; May Have Developed During Middle Ages	http://www.hngn.com/articles/29555/20140423/whooping-coughs-secrets-revealed-may-have-developed-during-middle-ages.htm	Headlines \& Global News	m	d2hdVLp7WV1lGNMxzp45dFCTj8gIM	www.hngn.com	1398289988895
155210	Seven cases of whooping cough confirmed in Helena	http://billingsgazette.com/news/state-and-regional/montana/seven-cases-of-whooping-cough-confirmed-in-helena/article_e9ed1f18-847b-550e-be31-59da4f619fb9.html	Billings Gazette	m	d2hdVLp7WV1lGNMxzp45dFCTj8gIM	billingsgazette.com	1398289989130
155211	Whooping cough jab revolution urged after Cambridge study	http://www.businessweekly.co.uk/academia-a-research/16830-whooping-cough-jab-revolution-urged-after-cambridge-study	Business Weekly	m	d2hdVLp7WV1lGNMxzp45dFCTj8gIM	www.businessweekly.co.uk	1398289989391
