156001	Economy Watch: Existing Home Sales Edge Down in March	http://www.multihousingnews.com/news/economy-watch-existing-home-sales-edge-down-in-march/1004101365.html	Multi-Housing News	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.multihousingnews.com	1398335827070
156002	U.S. Home Sales Plummet	http://www.koaa.com/news/u-s-home-sales-plummet/	KOAA.com Colorado Springs and Pueblo News	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.koaa.com	1398335827295
156003	March Existing Home Sales Data Show Further Deterioration In The Housing  ...	http://seekingalpha.com/article/2156393-march-existing-home-sales-data-show-further-deterioration-in-the-housing-market\?source=feed	Seeking Alpha	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	seekingalpha.com	1398335827506
156004	US new-home sales likely rose in March	http://money.msn.com/business-news/article.aspx\?feed=AP&amp;date=20140423&amp;id=17546769	MSN Money	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	money.msn.com	1398335827712
156005	Today's Mortgage Interest Rates 30 and 15 year fixed home loan Data Freddie  ...	http://www.learningandfinance.com/2014/04/23/todays-mortgage-interest-rates-30-and-15-year-fixed-home-loan-data-freddie-mac-existing-home-sales-housing-sector-update/	Learning and Finance	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.learningandfinance.com	1398335828001
156006	March Bay State Home Sales Post Decrease	http://www.bankerandtradesman.com/news159246.html	Banker \& Tradesman	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.bankerandtradesman.com	1398335828173
156007	Distressed housing market continues to shrink	http://www.losaltosonline.com/news/sections/business/186-real-estate/47287-	Los Altos Town Crier	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.losaltosonline.com	1398335828388
156008	Home sales hit 20-month low; expect rebound	http://www.journalgazette.net/article/20140423/BIZ/304239941/1031/BIZ	Fort Wayne Journal Gazette	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.journalgazette.net	1398335828647
156009	US existing home sales fall, hit 18-month low	http://www.bignewsnetwork.com/index.php/sid/221326355/scat/a1e025da3c02ca7c/ht/US-existing-home-sales-fall-hit-18-month-low	Big News Network.com	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.bignewsnetwork.com	1398335828882
156010	Home sales, median prices favorable for region	http://www.leadertelegram.com/news/front_page/article_9cdcc24e-ca9d-11e3-a509-0019bb2963f4.html	Leader-Telegram	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.leadertelegram.com	1398335829225
156011	Existing home sales hit slowest pace since 2012. Why analysts aren't worried. (+  ...	http://www.csmonitor.com/Business/new-economy/2014/0422/Existing-home-sales-hit-slowest-pace-since-2012.-Why-analysts-aren-t-worried.-video	Christian Science Monitor	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.csmonitor.com	1398335829509
156012	Sales of million-dollar homes are on the rise as sales of cheaper homes fall	http://blogs.marketwatch.com/capitolreport/2014/04/22/sales-of-million-dollar-homes-are-on-the-rise-as-sales-of-cheaper-homes-fall/\?mod=MW_latest_news	MarketWatch \(blog\)	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	blogs.marketwatch.com	1398335829862
156013	US existing home sales hit 1 1/2 year low in March	http://www.jamestownsun.com/content/us-existing-home-sales-hit-1-12-year-low-march	Jamestown Sun	b	dYIVqKGQ17jaALMi_dW8IW1TBkUKM	www.jamestownsun.com	1398335830175
