165801	Blockbuster Pfizer deal would make US Treasury a loser	http://www.northjersey.com/news/business/glaring-holes-in-tax-law-1.1004914	NorthJersey.com	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.northjersey.com	1398768097535
165802	Pfizer's $100 billion deal shows pharma patents' perverse incentives	http://qz.com/203669/pfizers-100-billion-deal-shows-pharma-patents-perverse-incentives/	Quartz	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	qz.com	1398768097770
165803	UK GDP expected to show growth accelerating in Q1	http://www.fxstreet.com/analysis/opening-call/2014/04/29/	FXstreet.com	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.fxstreet.com	1398768098030
165804	Indian unit of AstraZeneca up on Pfizer offer for parent	http://www.business-standard.com/article/reuters/indian-unit-of-astrazeneca-up-on-pfizer-offer-for-parent-114042900415_1.html	Business Standard	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.business-standard.com	1398768098343
165805	Pfizer continues pursuit of AstraZeneca	http://triblive.com/business/headlines/6023340-74/astrazeneca-pfizer-shares	Tribune-Review	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	triblive.com	1398768098672
165806	Pfizer gives details of bid for AstraZeneca	http://www.thejournal.co.uk/business/business-news/pfizer-gives-details-bid-astrazeneca-7044664	The Journal	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.thejournal.co.uk	1398768099009
165807	Pharma giant Pfizer still pursuing AstraZeneca after 2nd rebuff	http://www.postandcourier.com/article/20140429/PC05/140429346/1010/pfizer-still-pursuing-astrazeneca-after-2nd-rebuff	Charleston Post Courier	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.postandcourier.com	1398768099295
165808	Forest Laboratories to Buy Furiex Pharmaceuticals for $1.5B; Pfizer Looking to  ...	http://www.baystreet.ca/viewarticle.aspx\?id=414917	Baystreet.ca	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.baystreet.ca	1398768099619
165809	Pfizer still a suitor for AstraZeneca	http://www.pressherald.com/business/Pfizer_still_a_suitor_for_AstraZeneca_.html	Press Herald	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.pressherald.com	1398768099856
165810	MARKET EYE-Indian unit of AstraZeneca up on Pfizer offer for parent	http://in.reuters.com/article/2014/04/29/idINL3N0NL0LI20140429	Reuters India	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	in.reuters.com	1398768100115
165811	Pfizer (NYSE: PFE) in the Midst of Largest Pharmaceutical Deal	http://www.financialbuzz.com/pfizer-nyse-pfe-in-the-midst-of-largest-pharmaceutical-deal-market-news-63898	Financialbuzz.com	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.financialbuzz.com	1398768100334
165812	AstraZeneca says no to Pfizer's offer	http://www.bostonglobe.com/business/2014/04/28/pfizer-still-pursuing-astrazeneca-after-rebuff/VEayCysnVHfEATk0QdTaBM/story.html	Boston Globe	b	dbq3sVrhBtbWPjMzH-gVBxD8C6AxM	www.bostonglobe.com	1398768100728
