167301	AOL Probes 'Unauthorized' Security Breach, Spamming Scheme	http://www.foxbusiness.com/technology/2014/04/28/aol-probes-unauthorized-security-breach-spamming-scheme/	Fox Business	t	d9-6h2PKv6IVMnMk8dphTDedl28QM	www.foxbusiness.com	1398781147455
167302	AOL discloses security breach of user accounts	http://www.marketwatch.com/story/aol-discloses-security-breach-of-user-accounts-2014-04-28\?reflink=MW_news_stmp	MarketWatch	t	d9-6h2PKv6IVMnMk8dphTDedl28QM	www.marketwatch.com	1398781147706
167303	AOL Says Spoofed Emails Appeared To Come From 2% Of Accounts, No  ...	http://techcrunch.com/2014/04/28/aol-spoofed-email-update/	TechCrunch	t	d9-6h2PKv6IVMnMk8dphTDedl28QM	techcrunch.com	1398781147920
167304	Nokia Names New CEO After Rough Quarter	http://www.pcmag.com/article2/0,2817,2457276,00.asp	PC Magazine	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.pcmag.com	1398781783507
167305	Nokia Devices Sales Dropped 30 Percent Ahead of Microsoft Sale; New CEO  ...	http://www.dailytech.com/Nokia+Devices+Sales+Dropped+30+Percent+Ahead+of+Microsoft+Sale+New+CEO+Inbound/article34822.htm	DailyTech	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.dailytech.com	1398781783758
167306	With the Devices and Services division gone, Nokia can focus on three core units	http://www.dailytech.com/Nokia+Devices+Sales+Dropped+30+Percent+Ahead+of+Microsoft+Sale+New+CEO+Inbound/article34822c.htm	DailyTech	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.dailytech.com	1398781784005
167307	Street Fight Daily: Nokia's New Chief, New York's 'Smart' Bar Crawl	http://streetfightmag.com/2014/04/29/street-fight-daily-nokias-new-chief-new-yorks-smart-bar-crawl/	Street Fight	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	streetfightmag.com	1398781784227
167308	Nokia sales drop, loss widens	http://www.baystreet.ca/articles/techinsider.aspx\?id=444	Baystreet.ca	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.baystreet.ca	1398781784466
167309	Nokia names India-born Rajeev Suri as CEO	http://www.business-standard.com/article/pti-stories/nokia-names-india-born-rajeev-suri-as-ceo-114042901244_1.html	Business Standard	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.business-standard.com	1398781784742
167310	Interview with new Nokia CEO - video	http://yle.fi/uutiset/interview_with_new_nokia_ceo_-_video/7213921	YLE News	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	yle.fi	1398781784952
167311	Nokia sees sales drop due to phones unit sold to Microsoft, but eyes turnaround  ...	http://www.courierislander.com/news/nokia-sees-sales-drop-due-to-phones-unit-sold-to-microsoft-but-eyes-turnaround-with-new-ceo-1.1006601	Courier Islander	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.courierislander.com	1398781785224
167312	Nokia taps longtime Nokia veteran to serve as CEO	http://www.techtimes.com/articles/6255/20140429/nokia-taps-longtime-nokia-veteran-executive-serve-ceo.htm	Tech Times	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.techtimes.com	1398781785448
167313	Nokia appoints new chief executive Rajeev Suri	http://www.globalpost.com/dispatch/news/afp/140429/nokia-appoints-new-chief-executive-rajeev-suri	GlobalPost	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.globalpost.com	1398781785727
167314	Handset-free Nokia returns to profit in Q1	http://www.globalpost.com/dispatch/news/afp/140429/handset-free-nokia-returns-profit-q1	GlobalPost	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.globalpost.com	1398781785905
167315	Nokia Sells Cell Phone Business to Microsoft Just in Time	http://www.thestreet.com/story/12686849/1/nokia-sells-cell-phone-business-to-microsoft-just-in-time.html	TheStreet.com	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.thestreet.com	1398781786232
167316	Manipal Institute of Technology on high after Rajeev Suri appointed head of Nokia	http://www.business-standard.com/article/management/manipal-institute-of-technology-on-high-after-rajeev-suri-appointed-head-of-nokia-114042901155_1.html	Business Standard	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.business-standard.com	1398781786464
167317	Nokia Reports Q1	http://www.lightreading.com/mobile/4g-lte/nokia-reports-q1-/d/d-id/708828\?f_src=lightreading_editorspicks_rss_latest	Light Reading	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.lightreading.com	1398781786822
167318	India-born Rajiv Suri named Nokia CEO	http://www.business-standard.com/article/news-ians/india-born-rajiv-suri-named-nokia-ceo-114042901195_1.html	Business Standard	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.business-standard.com	1398781787201
167319	Nokia developing 'Superman' handset with 5MP selfie camera	http://www.business-standard.com/article/news-ani/nokia-developing-superman-handset-with-5mp-selfie-camera-114042901188_1.html	Business Standard	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.business-standard.com	1398781787436
167320	Last Nokia phones sell sluggishly as loss widens	http://www.globalpost.com/dispatch/news/thomson-reuters/140429/last-nokia-phones-sell-sluggishly-loss-widens	GlobalPost	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.globalpost.com	1398781787713
167321	Nokia Eyes Turnaround With New CEO	http://www.mbtmag.com/news/2014/04/nokia-eyes-turnaround-new-ceo	Manufacturing Business Technology	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.mbtmag.com	1398781787933
167322	Rajeev Suri, former expatriate in Nigeria heads Nokia	http://www.pmnewsnigeria.com/2014/04/29/rajeev-suri-former-expatriate-in-nigeria-heads-nokia/	P.M. News	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.pmnewsnigeria.com	1398781788128
167323	Shares of Nokia Corporation Rise on Strong Earnings and Updated Strategy	http://www.fool.com/investing/general/2014/04/29/shares-of-nokia-corporation-rise-on-strong-earning.aspx	Motley Fool	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.fool.com	1398781788351
167324	Nokia names new CEO	http://www.humanipo.com/news/43315/nokia-names-new-ceo/	HumanIPO	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.humanipo.com	1398781788580
167325	Nokia's handset sales drop in Q1	http://www.delhidailynews.com/news/Nokias-handset-sales-drop-in-Q1-1398777642/	Delhi Daily News	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.delhidailynews.com	1398781788846
167326	Who is Nokia's new chief executive Rajeev Suri?	http://www.cityam.com/blog/1398776896/who-nokia-s-new-chief-executive-rajeev-suri	CITY A.M. \(blog\)	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.cityam.com	1398781789073
167327	BUSINESS > Nokia appoints new chief executive Rajeev Suri	http://www.hurriyetdailynews.com/nokia-appoints-new-chief-executive-rajeev-suri.aspx\?pageID=238&amp;nID=65735&amp;NewsCatID=345	Hurriyet Daily News	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	www.hurriyetdailynews.com	1398781789358
167328	Nokia says has won several contracts in Europe	http://in.reuters.com/article/2014/04/29/uk-nokia-results-contracts-idINKBN0DF13C20140429	Reuters	t	doc-eKm2xK9V5AMKoVQghMo-qSTCM	in.reuters.com	1398781789758
