192401	Toyota reaches operating profit record for past 12 months	http://www.bizjournals.com/dallas/blog/morning_call/2014/05/toyota-reaches-operating-profit-record-for-past-12.html	Dallas Business Journal \(blog\)	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.bizjournals.com	1399560514381
192402	Toyota: Prepared remarks by President Akio Toyoda on financial results for  ...	http://www.automotiveworld.com/news-releases/toyota-prepared-remarks-president-akio-toyoda-financial-results-fiscal-year-ended-march-2014/	Automotive World	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.automotiveworld.com	1399560514646
192403	Toyota Posts Record Annual Profit of $17.9 Billion	http://www.industryweek.com/finance/toyota-posts-record-annual-profit-179-billion	IndustryWeek	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.industryweek.com	1399560514897
192404	Toyota sees 2.4pc drop in FY 2014/15 net profit, below estimates	http://www.themalaymailonline.com/money/article/toyota-sees-2.4pc-drop-in-fy-2014-15-net-profit-below-estimates	The Malay Mail Online	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.themalaymailonline.com	1399560515249
192405	Toyota Posts Record $17.9 Billion Profit	http://www.businessinsider.com/toyota-posts-record-179-billion-profit-2014-5	Business Insider	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.businessinsider.com	1399560515551
192406	Toyota Sells Over 9 Million Vehicles	http://247wallst.com/autos/2014/05/08/toyota-sells-over-9-million-vehicles/	24\/7 Wall St.	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	247wallst.com	1399560515778
192407	Toyota registers record profit, sales top 10 million	http://businesstoday.intoday.in/story/toyota-registers-record-profit-sales-10-million-first-time/1/205998.html	Business Today	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	businesstoday.intoday.in	1399560515988
192408	Toyota posts record group net profit in FY 2013	http://www.shanghaidaily.com/article/article_xinhua.aspx\?id=217112	Shanghai Daily \(subscription\)	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.shanghaidaily.com	1399560516360
192409	Toyota posts record annual profit of $17.9 bn	http://www.globalpost.com/dispatch/news/afp/140508/toyota-posts-record-annual-profit-179-bn-1	GlobalPost	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.globalpost.com	1399560516555
192410	UPDATE 1-Toyota braces for stalling profit after last year's bonanza	http://in.reuters.com/article/2014/05/08/toyota-results-idINL3N0NU1V720140508	Reuters	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	in.reuters.com	1399560516751
192411	Toyota braces for stalling profit after last year's bonanza	http://www.theglobeandmail.com/report-on-business/international-business/asian-pacific-business/toyota-braces-for-stalling-profit-after-last-years-bonanza/article18550391/	The Globe and Mail	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.theglobeandmail.com	1399560516964
192412	On a Roll, Toyota Chalks Up Record Profit, Vehicle Sales	http://www.dailyfinance.com/2014/05/08/toyota-earnings/	DailyFinance	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.dailyfinance.com	1399560517170
192413	Toyota quarterly profit down	http://www.thestandard.com.hk/breaking_news_detail.asp\?id=49388&amp;icid=1&amp;d_str=	Hong Kong Standard	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.thestandard.com.hk	1399560517481
192414	Toyota sees its profits nearly double	http://www.panarmenian.net/eng/news/178707/Toyota_sees_its_profits_nearly_double	PanARMENIAN.Net	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.panarmenian.net	1399560517831
192415	Toyota Motor Corporation: Prepared Remarks by President Akio Toyoda on  ...	http://www.twst.com/update/58139-toyota-motor-corporation-prepared-remarks-by-president-akio-toyoda-on-financial-results-for-fiscal-year-ended-march-2014	The Wall Street Transcript	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.twst.com	1399560518031
192416	NFL draft prospects consider life in the big time	http://thegardenisland.com/sports_wire/nfl-draft-prospects-consider-life-in-the-big-time/article_57db087a-874c-5955-9e85-374a1b3439d5.html	Thegardenisland.com	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	thegardenisland.com	1399560518446
192417	Toyota Motor Corp share price up, hits operating profit high but sees net income  ...	http://www.binarytribune.com/2014/05/08/toyota-motor-corp-share-price-up-hits-operating-profit-high-but-sees-net-income-drop-in-fy-20142015/	Binary Tribune	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.binarytribune.com	1399560518672
192418	Toyota posts record annual profit	http://bangkokpost.com/news/world/408750/toyota-posts-record-annual-profit	Bangkok Post	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	bangkokpost.com	1399560518925
192419	Toyota sees 2.4% drop in fiscal year net profit	http://www.dailysabah.com/automotive/2014/05/08/toyota-sees-24-drop-in-fiscal-year-net-profit	Daily Sabah	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.dailysabah.com	1399560519117
192420	Toyota Hits Record High Operating Profit	http://english.capital.gr/News.asp\?id=2010746	Capital.gr \(press release\)	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	english.capital.gr	1399560519451
192421	Toyota FY14 Profit Soars; Sees Lower Earnings In FY15	http://www.rttnews.com/2317649/toyota-fy14-profit-soars-sees-lower-earnings-in-fy15.aspx	RTT News	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.rttnews.com	1399560519711
192422	Toyota's quarterly profit down due to development costs	http://www.derbytelegraph.co.uk/Toyota-s-quarterly-profit-development-costs/story-21073646-detail/story.html	Derby Telegraph	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.derbytelegraph.co.uk	1399560520047
192423	Toyota logs record $18-bn net profit for fiscal 2013	http://www.thehindubusinessline.com/news/international/toyota-logs-record-18bn-net-profit-for-fiscal-2013/article5988886.ece	Hindu Business Line	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.thehindubusinessline.com	1399560520262
192424	Posted by Abdul Ahad	http://www.brecorder.com/business-a-finance/industries-a-sectors/171313.html	Business Recorder	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.brecorder.com	1399560520481
192425	Toyota Motor Corp net FY revenues up 16.4%	http://www.stockmarketwire.com/article/4806691/Toyota-Motor-Corp-net-FY-revenues-up-16-point-4pct.html	Stock Market Wire	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.stockmarketwire.com	1399560520755
192426	Toyota posts record annual profit of US$17.9bil	http://www.thestar.com.my/Business/Business-News/2014/05/08/Toyota-posts-record-annual-profit-of-US$17pt9bil/	The Star Online	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.thestar.com.my	1399560520957
192427	Toyota FQ4 net profit slips 5.4%	http://seekingalpha.com/news/1734173-toyota-fq4-net-profit-slips-5_4-percent	Seeking Alpha	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	seekingalpha.com	1399560521191
192428	Toyota Forecasts Profit Drop on Japan Slump, Waning Yen Edge (1)	http://www.businessweek.com/news/2014-05-08/toyota-forecasts-profit-drop-on-japan-slump-waning-yen-edge	Businessweek	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.businessweek.com	1399560521363
192429	Toyota posts record annual profit of US$17.9b	http://www.channelnewsasia.com/news/business/international/toyota-posts-record/1099018.html	Channel News Asia	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.channelnewsasia.com	1399560521611
192430	Toyota posts massive annual profit of $17.9 billion	http://www.independent.ie/business/world/toyota-posts-massive-annual-profit-of-179-billion-30255777.html	Irish Independent	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.independent.ie	1399560521892
192431	Toyota posts record annual profit of $19bn	http://money.msn.co.nz/businessnews/other/8841919/toyota-posts-record-annual-profit-of-19bn	MSN NZ News	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	money.msn.co.nz	1399560522118
192432	Toyota Doubles its Annual Profits	http://www.freshbusinessthinking.com/news.php\?NID=22373&amp;Title=Toyota+Doubles+its+Annual+Profits	Fresh Business Thinking	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.freshbusinessthinking.com	1399560522363
192433	Toyota sees 2.4 pct drop in FY 2014/15 net profit, below estimates	http://in.reuters.com/article/2014/05/08/toyota-motor-results-idINL3N0NM1AH20140508	Reuters	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	in.reuters.com	1399560522728
192434	Toyota to grow slower after huge profit increase	http://www.inautonews.com/toyota-to-grow-slower-after-huge-profit-increase	INAUTONEWS	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.inautonews.com	1399560522917
192435	Toyota profit nearly doubles to $17.8bn	http://www.bbc.co.uk/news/business-27321767	BBC News	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.bbc.co.uk	1399560523138
192436	Toyota records annual profit of $17.9 billion	http://www.deccanchronicle.com/140508/business-latest/article/toyota-records-annual-profit-179-billion	Deccan Chronicle	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.deccanchronicle.com	1399560523343
192437	Toyota hits record-high profit in last year	http://www.marketwatch.com/story/toyota-hits-record-high-profit-in-last-year-2014-05-08\?link=MW_latest_news	MarketWatch	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.marketwatch.com	1399560523558
192438	TABLE-Toyota Motor -2013/14 group results (SEC)	http://in.reuters.com/article/2014/05/08/idINXB1HXOP4E20140508	Reuters	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	in.reuters.com	1399560523893
192439	Toyota Motor Corporation: Notice Concerning Distribution of Dividends from  ...	http://www.twst.com/update/58096-toyota-motor-corporation-notice-concerning-distribution-of-dividends-from-surplus	The Wall Street Transcript	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.twst.com	1399560524095
192440	RPT-TABLE-Konami -2013/14 group results (SEC)	http://www.reuters.com/article/2014/05/08/idUSL3N0NU0XJ20140508	Reuters	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.reuters.com	1399560524397
192441	Toyota Motor Corp. Earnings Preview: What's the Q4 Report Have in Store for  ...	http://www.fool.com/investing/general/2014/05/07/toyota-motor-corp-earnings-preview-whats-the-q4-re.aspx	Motley Fool	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.fool.com	1399560525057
192442	Earnings for Toyota Motor Expected to Fall	http://www.forbes.com/sites/narrativescience/2014/05/07/earnings-for-toyota-motor-expected-to-fall/	Forbes	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	www.forbes.com	1399560525271
192443	Wells ag teacher presented with Toyota Tundra	http://elkodaily.com/lifestyles/wells-ag-teacher-presented-with-toyota-tundra/article_17eb2c40-d567-11e3-ab73-0019bb2963f4.html	Elko Daily Free Press	b	dK_8AM8fOxT0pvMjcLiE6-fiodKSM	elkodaily.com	1399560525823
192444	Analyst: King Digital Entertainment Beats Street Expectations	http://wallstcheatsheet.com/business/analyst-king-digital-entertainment-beats-street-expectations.html/\?ref=YF	Wall St. Cheat Sheet	b	dp-sGHRJ7elzJUMCJzbgZEUAhNAmM	wallstcheatsheet.com	1399560859608
192445	'Candy Crush' maker King posts mixed results	http://timesofindia.indiatimes.com/tech/tech-news/Candy-Crush-maker-King-posts-mixed-results/articleshow/34833513.cms	Times of India	b	dp-sGHRJ7elzJUMCJzbgZEUAhNAmM	timesofindia.indiatimes.com	1399560859821
