203601	Euro slips as Draghi hints at June easing by ECB	http://www.greenwichtime.com/news/world/article/Euro-slips-as-Draghi-hints-at-June-easing-by-ECB-5456047.php	Greenwich Time	b	dVF4bL1npN9chzMxds7mPibNqUw_M	www.greenwichtime.com	1399750598666
203602	European Central Bank keeps interest rates on hold	http://www.houstonchronicle.com/news/world/article/European-Central-Bank-keeps-interest-rates-on-hold-5461844.php	Houston Chronicle	b	dVF4bL1npN9chzMxds7mPibNqUw_M	www.houstonchronicle.com	1399750598887
203603	European stocks rise ahead of BoE, ECB statements; Dax up 0.55%	http://www.investing.com/news/stock-market-news/european-stocks-rise-ahead-of-boe,-ecb-statements;-dax-up-0.55-282837	Investing.com	b	dVF4bL1npN9chzMxds7mPibNqUw_M	www.investing.com	1399750599205
203604	Cable Company Dilemma: 500 Channels and Nobody's Watching	http://247wallst.com/media/2014/05/10/cable-company-dilemma-500-channels-and-nobodys-watching/\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+typepad%2FRyNm+(24%2F7+Wall+St.)	24\/7 Wall St.	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	247wallst.com	1399750911483
203605	While Comcast and Time Warner plan their marriage, other networks cry foul	http://www.digitaltrends.com/home-theater/comcast-time-warner-merger-cogent/	Digital Trends	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.digitaltrends.com	1399750911674
203606	Lyons: 'Blockbuster' Comcast seeks deal	http://bostonherald.com/news_opinion/opinion/op_ed/2014/05/lyons_blockbuster_comcast_seeks_deal	Boston Herald	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	bostonherald.com	1399750911910
203607	Why Comcast's $10 a month Internet isn't all it's cracked up to be	http://www.washingtonpost.com/business/technology/comcast-is-trying-to-improve-its-image-with-a-program-for-low-income-consumers/2014/05/09/cab489cc-d231-11e3-937f-d3026234b51c_story.html	Washington Post	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.washingtonpost.com	1399750912301
203608	Cable company commerce could cause customer change-up	http://www.johnsoncitypress.com/article/117172/cable-company-commerce-could-cause-customer-change-up	Johnson City Press \(subscription\)	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.johnsoncitypress.com	1399750912543
203609	Actually, the Comcast-Time Warner Merger Doesn't Hurt Netflix	http://www.wired.com/2014/05/actually-the-comcast-time-warner-merger-doesnt-hurt-netflix/	Wired	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.wired.com	1399750912858
203610	Comcast, Time Warner Broadband Merger on Hot Seat	http://business.newsfactor.com/story.xhtml\?story_id=021001XU8CUX	NewsFactor Network	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	business.newsfactor.com	1399750913134
203611	Time Warner Cable, like Verizon, pushes LTE as a replacement for fixed  ...	http://www.androidauthority.com/comcast-like-verizon-continues-pushing-lte-replacement-fiber-home-378746/	Android Authority	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.androidauthority.com	1399750913383
203612	Antonoff: It may be time to put Comcast on hold	http://www.usatoday.com/story/tech/2014/05/09/michael-antonoff-comcast/8895567/	USA TODAY	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.usatoday.com	1399750913654
203613	Congress Weighs Comcast-Time Warner Merger	http://www.entlawdigest.com/2014/05/09/3130.htm	Entertainment Law Digest \(subscription\)	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.entlawdigest.com	1399750913884
203614	Comcast blamed for Netflix slowdown	http://www.indianagazette.com/news/reg-national-world/comcast-blamed-for-netflix-slowdown,19833649/	Indiana Gazette	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.indianagazette.com	1399750914083
203615	Critics of Time Warner Cable Deal Turn up Volume	http://www.thestreet.com/story/12702790/1/critics-of-time-warner-cable-deal-turn-up-volume.html	TheStreet.com	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.thestreet.com	1399750914310
203616	Even Pro-Business Republicans Are Attacking The Comcast Merger	http://www.businessinsider.com/even-pro-business-republicans-are-attacking-the-comcast-merger-2014-5	Business Insider	b	dBQsREkPwHotJ4M4W0LDBwcHA3q8M	www.businessinsider.com	1399750914626
203617	Asean foreign ministers expected to make collective stance on territorial disputes	http://www.nst.com.my/latest/asean-foreign-ministers-expected-to-make-collective-stance-on-territorial-disputes-1.592964	New Straits Times	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.nst.com.my	1399751300847
203618	Vietnamese Anger Against China Could Turn Toward Hanoi	http://www.theepochtimes.com/n3/667937-vietnamese-anger-against-china-could-turn-toward-hanoi/	The Epoch Times	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.theepochtimes.com	1399751301086
203619	Aquino pushes for rule of law in resolving territorial disputes	http://globalnation.inquirer.net/104066/aquino-pushes-for-rule-of-law-in-resolving-territorial-disputes	Inquirer.net	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	globalnation.inquirer.net	1399751301328
203620	Spat with Vietnam part of China's strategy: experts	http://www.chinapost.com.tw/china/national-news/2014/05/11/407420/Spat-with.htm	China Post	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.chinapost.com.tw	1399751301672
203621	China-Vietnam face-off in South China Sea leaves India worried	http://www.onlinenews.com.pk/details.php\?newsid=260610&amp;catname=World	International News Network	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.onlinenews.com.pk	1399751301910
203622	Philippines' Aquino says - ASEAN must tackle China sea claims	http://www.nation.lk/edition/international/item/29046-philippines%E2%80%99-aquino-says-asean-must-tackle-china-sea-claims.html	nation.lk - The Nation Newspaper	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.nation.lk	1399751302150
203623	ASEAN FMs Urge Restraint in East China Sea Disputes	http://www.voanews.com/content/asean-fms-urge-restraint-in-east-china-sea-disputes/1911855.html	Voice of America	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.voanews.com	1399751302365
203624	Philippines to raise China dispute at ASEAN summit	http://www.heraldextra.com/news/world/asia/philippines-to-raise-china-dispute-at-asean-summit/article_8180f8dd-5d97-55c1-b69e-c0003edc0a4f.html	Daily Herald	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.heraldextra.com	1399751302648
203625	Asean voices alarm over China sea spats	http://www.thedailystar.net/world/asean-voices-alarm-over-china-sea-spats-23612	The Daily Star	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.thedailystar.net	1399751302915
203626	Vietnam Boats Ram China Boats 171 Times in 4 Days	http://www.newser.com/story/186679/vietnam-boats-ram-china-boats-171-times-in-4-days.html	Newser	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.newser.com	1399751303174
203627	Vietnam sea spat part of China's larger strategy: experts	http://www.bangkokpost.com/news/asia/409142/vietnam-sea-spat-part-of-china-larger-strategy-experts	Bangkok Post	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.bangkokpost.com	1399751303401
203628	ASEAN expresses 'serious concerns' over China sea spats	http://www.business-standard.com/article/pti-stories/asean-expresses-serious-concerns-over-china-sea-spats-114051000988_1.html	Business Standard	b	dE_pVtywlqKHCSM-wQwhqPYQOwoNM	www.business-standard.com	1399751303650
