208101	UPDATE 1-Chrysler posts 1st-qtr loss, begins shipping 200 midsize	http://in.reuters.com/article/2014/05/12/fiat-spa-chrysler-results-idINL1N0NY0JZ20140512	Reuters	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	in.reuters.com	1399970338802
208102	Chrysler reports $690m loss	http://www.iol.co.za/business/companies/chrysler-reports-690m-loss-1.1687097	Independent Online	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.iol.co.za	1399970338997
208103	Chrysler posts 1st-qtr loss, begins shipping 200 midsize	http://www.cnbc.com/id/101664647	CNBC.com	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.cnbc.com	1399970339278
208104	Chrysler Loses $690 Million In First Quarter 2014	http://www.automobilemag.com/features/news/1405-chrysler-loses-690-million-in-first-quarter-2014/	Automobile Magazine	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.automobilemag.com	1399970339454
208105	Fiat shares stumble on Chrysler's five-year plan	http://www.ourwindsor.ca/news-story/4514362-fiat-shares-stumble-on-chrysler-s-five-year-plan/	OurWindsor.ca	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.ourwindsor.ca	1399970339751
208106	Chrysler loses $690 million in first quarter	http://www.labour-reporter.com/articleview/21103-chrysler-loses-690-million-in-first-quarter	Canadian Labour Reporter	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.labour-reporter.com	1399970340451
208107	Chrysler reports loss on Fiat merger items, maintains 2014 forecast	http://www.bnn.ca/News/2014/5/12/Chrysler-reports-loss-on-Fiat-merger-items-maintains-2014-forecast.aspx	bnn.ca	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.bnn.ca	1399970340657
208108	Fiat-Chrysler Moving Global HQ to London	http://news.boldride.com/2014/05/fiat-chrysler-moving-global-hq-to-london/48732/	Bold Ride Blog \(blog\)	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	news.boldride.com	1399970340866
208109	Expenses from Fiat merger topple Chrysler into first-quarter loss	http://www.latimes.com/business/autos/la-fi-hy-fiat-merger-chysler-first-quarter-loss-20140512-story.html	Los Angeles Times	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.latimes.com	1399970341107
208110	Daily business briefing: Chrysler reports first quarter loss following Fiat merger	http://www.bnd.com/2014/05/12/3204498/daily-business-briefing-st-louis.html\?sp=/99/166/	Belleville News Democrat	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.bnd.com	1399970341314
208111	Chrysler Loses $690 Million Due To Special Charges	http://www.valuewalk.com/2014/05/chrysler-loses-690-million-due-to-special-charges/	ValueWalk	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.valuewalk.com	1399970342104
208112	Chrysler reports USD 690 million first quarter loss	http://www.business-standard.com/article/pti-stories/chrysler-reports-usd-690-million-first-quarter-loss-114051201202_1.html	Business Standard	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.business-standard.com	1399970342585
208113	Chrysler Group Slips To Q1 Loss On Hefty Charges, Backs 2014 Outlook	http://www.rttnews.com/2319811/chrysler-group-slips-to-q1-loss-on-hefty-charges-backs-2014-outlook.aspx\?type=bn&amp;utm_source=google&amp;utm_campaign=sitemap	RTT News	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.rttnews.com	1399970342912
208114	Chrysler Group Posts $690 Million 1st-Quarter Loss -- Update	http://online.wsj.com/article/BT-CO-20140512-707650.html	Wall Street Journal	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	online.wsj.com	1399970343205
208115	Chrysler posts $690M Q1 loss over union trust buyout	http://www.leftlanenews.com/chrysler-posts-690m-q1-loss-over-union-trust-buyout.html	LeftLane News	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.leftlanenews.com	1399970343681
208116	Chrysler posts heavy Q1 loss	http://www.theaustralian.com.au/business/latest/chrysler-posts-heavy-q1-loss/story-e6frg90f-1226915255849	The Australian	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.theaustralian.com.au	1399970344254
208117	Chrysler 300 SRT to meet the reaper while Jeep Grand Cherokee SRT lives on	http://www.digitaltrends.com/cars/chrysler-300-srt-get-axe-jeep-grand-cherokee-srt-lives/	Digital Trends	b	d6XrgkIaTx0JIuMfqjIuHb0zf0NmM	www.digitaltrends.com	1399970344929
208118	Governor Malloy to speak in DC about health care	http://www.wfsb.com/story/25499531/governor-malloy-to-speak-in-dc-about-health-care	WFSB	b	dsrVhYEVquvssxMuuC0YFolE4NHpM	www.wfsb.com	1399970579234
208119	Health insurance options still available for some after open enrollment	http://www.timesonline.com/healthandwellness/health-insurance-options-still-available-for-some-after-open-enrollment/article_fa92e004-fcdd-515a-8dab-4c2c8dcdf86f.html	Timesonline.com	b	dsrVhYEVquvssxMuuC0YFolE4NHpM	www.timesonline.com	1399970579505
