215201	'Nothing can ever break us': Dedicating the National September 11 Museum	http://creative.nydailynews.com/911dedication	New York Daily News	e	dwh1spramOeghdMJWFxXs-sGvWB5M	creative.nydailynews.com	1400395532224
215202	Bloomberg: 9/11 museum needs federal money	http://www.leaderherald.com/page/content.detail/id/505927/Bloomberg--9-11-museum-needs-federal-money.html\?isap=1&amp;nav=5040	Gloversville Leader-Herald	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.leaderherald.com	1400395532409
215203	9/11 Museum opens	http://www.dw.de/9-11-museum-opens/g-17638215	Deutsche Welle	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.dw.de	1400395532739
215204	Sept. 11 museum opens to relatives and survivors	http://xeniagazette.com/news/specialreport/4765694/Sept.-11-museum-opens-to-relatives-and-survivors	Xenia Gazette	e	dwh1spramOeghdMJWFxXs-sGvWB5M	xeniagazette.com	1400395533049
215205	9/11 memorial museum dedicated where twin towers once stood	http://www.abc2news.com/news/news-photo-gallery/copy-of-911-memorial-museum-dedicated-with-victims-families-in-attendance-where-twin-towers-once-stood	ABC2 News	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.abc2news.com	1400395533303
215206	Obama hails 'true spirit' of 9/11 at museum	http://www.theborneopost.com/2014/05/17/obama-hails-true-spirit-of-911-at-museum/	The Borneo Post	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.theborneopost.com	1400395533544
215207	9/11 memorial stirs mix of emotions	http://www.seacoastonline.com/apps/pbcs.dll/article\?AID=/20140516/NEWS/405160385/-1/NEWSMAP	Seacoastonline.com	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.seacoastonline.com	1400395533778
215208	9/11 Memorial Museum 'awe-inspiring'	http://www.recordonline.com/apps/pbcs.dll/article\?AID=/20140516/NEWS/405160353/-1/NEWS	Times Herald-Record	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.recordonline.com	1400395534208
215209	Bloomberg says new 9/11 museum needs federal money	http://www.mynews4.com/content/politics/story/Bloomberg-says-new-9-11-museum-needs-federal-money/_trbR7sye0yMO1GaayYrEw.cspx	KRNV My News 4	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.mynews4.com	1400395534497
215210	IMAGES: California wildfires scorch homes	http://www.thedenverchannel.com/news/911-memorial-museum-to-be-open-to-public-soon	The Denver Channel	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.thedenverchannel.com	1400395534759
215211	National September 11 Memorial Museum officially opened	http://www.gizmag.com/national-september-11-memorial-museum/32084/	Gizmag	e	dwh1spramOeghdMJWFxXs-sGvWB5M	www.gizmag.com	1400395535066
