216401	Can a pill replace condoms to prevent HIV in India?	http://www.thehealthsite.com/news/can-a-pill-replace-condoms-to-prevent-hiv-in-india/	TheHealthSite	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.thehealthsite.com	1400402014560
216402	Breakthrough in HIV/AIDS research gives hope for improved drug therapy	http://scienceblog.com/72479/breakthrough-hivaids-research-gives-hope-improved-drug-therapy/	ScienceBlog.com \(blog\)	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	scienceblog.com	1400402014768
216403	Call for HIV pill for gay men at risk of infection to be made available on the NHS	http://www.dailymail.co.uk/news/article-2631219/Call-HIV-pill-gay-men-risk-infection-available-NHS.html	Daily Mail	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.dailymail.co.uk	1400402015000
216404	Gay Men Clash Over HIV Prevention Pill	http://www.techsonia.com/gay-men-clash-over-hiv-prevention-pill/198594/	Techsonia	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.techsonia.com	1400402015272
216405	About 5337 HIV infected registered in Kyrgyzstan	http://www.eng.24.kg/community/170523-news24.html	24	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.eng.24.kg	1400402015650
216406	HIV Prevention Drug - Pros vs Cons	http://www.financialbuzz.com/hiv-prevention-drug-pros-vs-cons-science-77005	Financialbuzz.com	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.financialbuzz.com	1400402015844
216407	Fight AIDS with pragmatism	http://www.suntimes.com/opinions/27487101-474/fight-aids-with-pragmatism.html	Chicago Sun-Times	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.suntimes.com	1400402016121
216408	100 Groups Sign On to Support Congressional Overhaul of Lifesaving US AIDS  ...	http://insurancenewsnet.com/oarticle/2014/05/16/100-groups-sign-on-to-support-congressional-overhaul-of-lifesaving-us-aids-progr-a-505823.html	Insurance News Net	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	insurancenewsnet.com	1400402016609
216409	New CDC PrEP Guidelines Could Transform HIV Prevention	http://www.huffingtonpost.com/sean-cahill/new-cdc-prep-guidelines-could-transform-hiv-prevention_b_5338197.html\?utm_hp_ref=impact&amp;ir=Impact	Huffington Post	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.huffingtonpost.com	1400402016963
216410	Targeting microbial translocation attenuates SIV-mediated inflammation	http://www.sciencecodex.com/jci_online_ahead_of_print_table_of_contents_for_may_16_2014-133815	Science Codex	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.sciencecodex.com	1400402017209
216411	NY Times Editorial Underscores AHF Concerns on HIV Prevention Pill	http://www.pharmiweb.com/pressreleases/pressrel.asp\?ROW_ID=90501	PharmiWeb.com \(press release\)	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.pharmiweb.com	1400402017442
216412	CDC Urges Anti-HIV Perscription for People at High Risk of Infection	http://www.hcplive.com/articles/CDC-Urges-Anti-HIV-Perscription-for-People-at-High-Risk-of-Infection	HCPLive	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.hcplive.com	1400402017687
216413	Oxford High group honored for student-led work to prevent risky behavior	http://www.thepiedmontjournal.com/view/full_story/25123687/article-Oxford-High-group-honored-for-student-led-work-to-prevent-risky-behavior\?instance=news_secondary	The Piedmont Journal	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.thepiedmontjournal.com	1400402017860
216414	Truvada and the Question of PrEP	http://wabe.org/post/truvada-and-question-prep	WABE 90.1 FM	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	wabe.org	1400402018117
216415	CDC hails Gilead's HIV drug Truvada	http://www.delhidailynews.com/news/CDC-hails-Gileads-HIV-drug-Truvada-1400259817/	Delhi Daily News	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.delhidailynews.com	1400402018350
216416	Kidney dialysis drug could stall HIV progression	http://www.wired.co.uk/news/archive/2014-05/16/hiv-new-drug-treatment	Wired.co.uk	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.wired.co.uk	1400402018655
216417	Young Gay Men and HIV in Chicago	http://www.pbs.org/wnet/religionandethics/2014/05/16/may-16-2014-young-gay-men-and-hiv-in-chicago/23001/	PBS	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.pbs.org	1400402018862
216418	Philly on front lines of HIV prevention with anti-AIDS drug	http://www.newsworks.org/index.php/local//item/68077-philly-on-front-lines-of-hiv-prevention-with-anti-aids-drug/	Newsworks.org \(blog\)	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.newsworks.org	1400402019131
216419	Why Now Is a Terrible Time to Disrupt Care for Women Living With HIV	http://rhrealitycheck.org/article/2014/05/16/now-terrible-time-disrupt-care-women-living-hiv/	RH Reality Check	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	rhrealitycheck.org	1400402019352
216420	What next for region's displaced pharma workforce?	http://www.newsworks.org/index.php/local/item/67860-what-next-for-regions-displaced-pharma-workforce	Newsworks.org	m	d3M-mFDyIPzR55MnZIITbXy9CXUiM	www.newsworks.org	1400402019684
216421	Hypertension ails 7.2% women	http://www.delhidailynews.com/news/Hypertension-ails-7-2-women-1400397465/	Delhi Daily News	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.delhidailynews.com	1400402214514
216422	Hypertension a neglected disease?	http://www.ghanaweb.com/GhanaHomePage/health/artikel.php\?ID=309546	GhanaWeb	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.ghanaweb.com	1400402214699
216423	Omron 7 -- the next generation blood pressure monitor?	http://www.thehealthsite.com/news/omron-7-the-next-generation-blood-pressure-monitor/	TheHealthSite	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.thehealthsite.com	1400402214886
216424	Amazon unveils Omron 7 Series Wrist Blood Pressure Monitor	http://www.deccanchronicle.com/140518/technology-gadgets/article/amazon-unveils-omron-7-series-wrist-blood-pressure-monitor	Deccan Chronicle	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.deccanchronicle.com	1400402215079
216425	High blood pressure can give you more than 'salt tooth': It may kill you too	http://www.techtimes.com/articles/7196/20140517/high-blood-pressure-can-give-you-more-than-salt-tooth-it-may-kill-you-too.htm	Tech Times	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.techtimes.com	1400402215298
216426	7.2 percent women suffer from hypertension	http://www.deccanchronicle.com/140518/lifestyle-health-and-wellbeing/article/72-percent-women-suffer-hypertension	Deccan Chronicle	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.deccanchronicle.com	1400402215486
216427	High Blood Pressure- A True Silent Killer	http://www.utahpeoplespost.com/2014/05/high-blood-pressure-a-true-silent-killer/	The Utah People's Post	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.utahpeoplespost.com	1400402215781
216428	Internet, iPhone apps can be misleading for BP patients	http://dailydigestnews.com/2014/05/internet-iphone-apps-can-be-misleading-for-bp-patients/	Daily Digest	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	dailydigestnews.com	1400402216085
216429	Adopt healthy lifestyle‚ advise doctors	http://www.thehimalayantimes.com/fullNews.php\?headline=Adopt+healthy+lifestyle%26sbquo%3B+advise+doctors&amp;NewsID=415194	Himalayan Times	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.thehimalayantimes.com	1400402216341
216430	High BP Can Cause Death	http://argyllfreepress.com/2014/05/17/high-bp-can-cause-death/	Argyll Free Press	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	argyllfreepress.com	1400402216640
216431	High BP is a silent killer too: Experts	http://timesofindia.indiatimes.com/city/ahmedabad/High-BP-is-a-silent-killer-too-Experts/articleshow/35271693.cms	Times of India	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	timesofindia.indiatimes.com	1400402216839
216432	People with high blood pressure prefer salty foods	http://www.delhidailynews.com/news/People-with-high-blood-pressure-prefer-salty-foods-1400353407/	Delhi Daily News	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.delhidailynews.com	1400402217069
216433	Smartphone, apps may not be the best blood pressure testing approach, say  ...	http://www.techtimes.com/articles/7184/20140517/smartphone-apps-may-notbest-blood-pressure-testing-approach-studies.htm	Tech Times	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.techtimes.com	1400402217242
216434	Know your blood pressure, health authority urges	http://www.ngnews.ca/News/Local/2014-05-16/article-3729068/Know-your-blood-pressure,-health-authority-urges/1	NG News	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.ngnews.ca	1400402217470
216435	Managing Blood Pressure via Apps and Internet could be Dangerous	http://www.counselheal.com/articles/9774/20140517/managing-blood-pressure-via-apps-and-internet-could-be-dangerous.htm	Counsel \& Heal	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.counselheal.com	1400402217766
216436	People with Hypertension prefer Saltier Foods, Study Finds	http://www.counselheal.com/articles/9772/20140517/people-with-hypertension-prefer-saltier-foods-study-finds.htm	Counsel \& Heal	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.counselheal.com	1400402217958
216437	Should you buy a home blood pressure monitor?	http://www.consumerreports.org/cro/news/2014/05/should-you-buy-a-home-blood-pressure-monitor/index.htm	ConsumerReports.org	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.consumerreports.org	1400402218213
216438	People With High Blood Pressure Tend To Be Salt Lovers	http://www.hngn.com/articles/31584/20140517/people-with-high-blood-pressure-tend-to-be-salt-lovers.htm	Headlines \& Global News	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.hngn.com	1400402218431
216439	Using Internet, Apps to Manage BP Has Dangers: new study says	http://canadajournal.net/health/using-internet-apps-manage-bp-dangers-new-study-says-8163-2014/	Canada News	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	canadajournal.net	1400402218694
216440	Google, YouTube, iPhones and the Affordable Care Act are Featured in New  ...	http://www.consumerelectronicsnet.com/article/Google-YouTube-iPhones-and-the-Affordable-Care-Act-are-Featured-in-New-Research-for-their-Role-in-the-Hypertension-Epidemic-3260086	Consumer Electronics Net	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.consumerelectronicsnet.com	1400402218887
216441	The importance of knowing your blood pressure level in preventing hypertension	http://scopeblog.stanford.edu/2014/05/16/the-importance-of-knowing-your-blood-pressure-level-in-preventing-hypertension/	Scope \(blog\)	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	scopeblog.stanford.edu	1400402219139
216442	World Hypertension Week	http://incyprus.philenews.com/en-gb/Top-Stories-News/4342/41670/world-hypertension-week	InCyprus	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	incyprus.philenews.com	1400402219362
216443	High blood pressure aggravated by high sodium content	http://www.techsonia.com/high-blood-pressure-aggravated-by-high-sodium-content/198543/	Techsonia	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.techsonia.com	1400402219751
216444	High blood pressure may be connected to a “salt tooth”	http://www.techsonia.com/high-blood-pressure-may-be-connected-to-a-salt-tooth/198522/	Techsonia	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.techsonia.com	1400402219919
216445	People With High Blood Pressure Often Have a 'Salt Tooth'	http://news.health.com/2014/05/16/people-with-high-blood-pressure-often-have-a-salt-tooth/	Health.com	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	news.health.com	1400402220249
216446	Using internet, apps to manage blood pressure has dangers, study says	http://medicalxpress.com/news/2014-05-internet-apps-blood-pressure-dangers.html	Medical Xpress	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	medicalxpress.com	1400402220650
216447	Using Internet, Apps to Manage BP Has Dangers: Study	http://www.webmd.com/hypertension-high-blood-pressure/news/20140516/using-internet-apps-to-manage-blood-pressure-has-dangers-study	WebMD	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.webmd.com	1400402220853
216448	Are Hypertension YouTube Videos, Apps Accurate?	http://www.empr.com/are-hypertension-youtube-videos-apps-accurate/article/347311/	Monthly Prescribing Reference	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.empr.com	1400402221090
216449	High Blood Pressure: Tackling the Silent Killer	http://www.huffingtonpost.co.uk/professor-kevin-fenton/high-blood-pressure_b_5336490.html\?utm_hp_ref=uk	Huffington Post UK	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.huffingtonpost.co.uk	1400402221330
216450	Using Internet, apps to manage blood pressure has dangers	http://www.14news.com/story/25535110/using-internet-apps-to-manage-blood-pressure-has-dangers	14 News WFIE Evansville	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	www.14news.com	1400402221680
216451	Google, YouTube, iPhones, Affordable Care Act featured in new research for  ...	http://phys.org/wire-news/161685592/google-youtube-iphones-affordable-care-act-featured-in-new-resea.html	Phys.Org	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	phys.org	1400402222008
216452	Living with a silent killer... By Zehra	http://paktribune.com/news/Living-with-a-silent-killer-By-Zehra-269009.html	PakTribune.com	m	dE-ykECjC9SVqmMxWpOuzuo3g1u9M	paktribune.com	1400402222238
