219601	British lawmaker expects Pfizer to court AstraZeneca shareholders	http://www.globalpost.com/dispatch/news/thomson-reuters/140519/british-lawmaker-expects-pfizer-court-astrazeneca-shareholders	GlobalPost	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	www.globalpost.com	1400507995031
219602	AstraZeneca's shares fall after rejecting final offer from Pfizer	http://www.upi.com/Business_News/2014/05/19/AstraZenecas-shares-fall-after-rejecting-final-offer-from-Pfizer/4111400501373/	UPI.com	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	www.upi.com	1400507995227
219603	Pfizer's failure is easy to understand - it simply hasn't offered enough	http://www.theguardian.com/business/nils-pratley-on-finance/2014/may/19/astrazeneca-pfizer-right-thing-nils-pratley-finance	The Guardian	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	www.theguardian.com	1400507995470
219604	FTSE 100 watch: AstraZeneca leads Footsie lower	http://invezz.com/news/equities/11046-ftse-100-watch-astrazeneca-leads-footsie-lower	iNVEZZ	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	invezz.com	1400507995868
219605	Cameron says government talking to Pfizer, AstraZeneca	http://uk.reuters.com/article/2014/05/19/uk-astrazeneca-pfizer-cameron-idUKKBN0DZ0U720140519	Reuters UK	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	uk.reuters.com	1400507996150
219606	Big Merger Talk, Jim Cramer's Energy Pick	https://uk.finance.yahoo.com/video/big-merger-talk-jim-cramers-112219388.html	Yahoo Finance UK	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	uk.finance.yahoo.com	1400507996400
219607	FTSE 100 dips as Pfizer falls short of AstraZenca deal	http://www.proactiveinvestors.co.uk/companies/market_reports/68637/ftse-100-dips-as-pfizer-falls-short-of-astrazenca-deal-0000.html	Proactive Investors UK	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	www.proactiveinvestors.co.uk	1400507997086
219608	AstraZeneca rejects Pfizer's final offer	http://www.moneycontrol.com/news/international-markets/astrazeneca-rejects-pfizers-final-offer_1088985.html	Moneycontrol.com	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	www.moneycontrol.com	1400507997378
219609	AstraZeneca rejects Pfizer's $118 billion dollar takeover deal	http://america.aljazeera.com/articles/2014/5/19/astrazeneca-pfizerdeal.html	Al Jazeera America	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	america.aljazeera.com	1400507997982
219610	AstraZeneca pegs back FTSE after takeover snub	https://uk.finance.yahoo.com/news/astrazeneca-pegs-back-ftse-takeover-103611780.html	Yahoo Finance UK	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	uk.finance.yahoo.com	1400507998271
219611	Stock futures declining; AT&T to acquire DirecTV; AstraZeneca rejects Pfizer  ...	http://www.cleveland.com/business/index.ssf/2014/05/stock_futures_declining_att_to.html	The Plain Dealer	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	www.cleveland.com	1400507998469
219612	European Stocks Retreat With AstraZeneca Slumping	http://www.bloomberg.com/news/2014-05-19/european-index-futures-little-changed-ryanair-may-move.html	Bloomberg	b	de91fum9ou6PwLMGJpwr1Iv5tbcTM	www.bloomberg.com	1400507998857
