219801	Qatar to take Deutsche Bank stake as part of cap increase: sources	http://www.globalpost.com/dispatch/news/thomson-reuters/140518/qatar-take-deutsche-bank-stake-part-cap-increase-sources	GlobalPost	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	www.globalpost.com	1400509919434
219802	Deutsche Bank launches 8-bn-euro capital hike	https://au.news.yahoo.com/thewest/business/world/a/23636015/deutsche-bank-launches-8-bn-euro-capital-hike/	The West Australian	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	au.news.yahoo.com	1400509919623
219803	Deutsche Bank to raise £6.5bn in capital from investors	http://www.bbc.co.uk/news/27464663	BBC News	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	www.bbc.co.uk	1400509919912
219804	Deutsche Bank launches capital hike	http://finance.ninemsn.com.au/newsbusiness/aap/8846886/deutsche-bank-launches-capital-hike	Ninemsn	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	finance.ninemsn.com.au	1400509920487
219805	Deutsche Bank to raise 8 billion Euro from investors	http://www.dailytimes.com.pk/business/19-May-2014/deutsche-bank-to-raise-8-billion-euro-from-investors	Daily Times	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	www.dailytimes.com.pk	1400509920761
219806	Deutsche Bank taps investors for €8bn	http://www.thetimes.co.uk/tto/business/industries/banking/article4093498.ece\?CMP=OTH-gnws-standard-2014_05_18	The Times \(subscription\)	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	www.thetimes.co.uk	1400509921475
219807	Deutsche Bank to Raise $11 Billion as Qatar Taking Stake (1)	http://www.businessweek.com/news/2014-05-18/deutsche-bank-reported-to-be-preparing-11-billion-share-sale	Businessweek	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	www.businessweek.com	1400509921713
219808	Qatar royals to take major stake in Deutsche Bank	http://www.cnbc.com/id/101683238	CNBC.com	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	www.cnbc.com	1400509922091
219809	Deutsche Bank to raise more than $10 billion	http://www.marketwatch.com/story/deutsche-bank-to-raise-more-than-10-billion-wsj-2014-05-18\?link=MW_latest_news	MarketWatch	b	d00cInYMRHLlE8MjJH5RWuRePdmMM	www.marketwatch.com	1400509922299
219810	High gas levels apparently ignored at Turkish mine	http://www.miningjournal.net/page/content.detail/id/506948/High-gas-levels-apparently-ignored-at-Turkish-mine.html\?isap=1&amp;nav=5016	Marquette Mining Journal	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.miningjournal.net	1400511632336
219811	Mine gas alert 'days before fire'	http://www.belfasttelegraph.co.uk/news/world-news/mine-gas-alert-days-before-fire-30285347.html	Belfast Telegraph	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.belfasttelegraph.co.uk	1400511632606
219812	Five people arrested over mine disaster in Turkey's Soma	http://en.itar-tass.com/world/732172	ITAR-TASS	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	en.itar-tass.com	1400511632878
219813	3 face charges in Turkey mine disaster	http://the-japan-news.com/news/article/0001291282	The Japan News	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	the-japan-news.com	1400511633156
219814	Five people arrested over Turkey's mine disaster	http://www.turkishpress.com/news/406825/	Turkish Press	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.turkishpress.com	1400511633547
219815	Turkish footballers visit Soma mine town	http://www.turkishpress.com/news/406841/	Turkish Press	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.turkishpress.com	1400511633790
219816	Turkish Parliament to debate coal mine tragedy	http://www.turkishpress.com/news/406829/	Turkish Press	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.turkishpress.com	1400511633983
219817	Two more charged in Turkey mine disaster	http://www.skynews.com.au/news/top-stories/2014/05/20/two-more-charged-in-turkey-mine-disaster.html	Sky News Australia	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.skynews.com.au	1400511634201
219818	Turkish Authorities Arrest 5 in Mine Disaster That Killed 301 People	http://www.fairwarning.org/2014/05/advocacy-group-blames-agribusiness-superweed-crisis/	FairWarning	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.fairwarning.org	1400511634508
219819	Manager among 5 arrested after Turkey mine disaster	http://www.thehindu.com/news/international/world/manager-among-5-arrested-after-turkey-mine-disaster/article6025990.ece	The Hindu	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.thehindu.com	1400511634851
219820	Doncaster's Turkish community protests about mine disaster	http://www.thornegazette.co.uk/news/local/doncaster-s-turkish-community-protests-about-mine-disaster-1-6625192	Thorne Gazette	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.thornegazette.co.uk	1400511635092
219821	Two more charged over Turkey mine disaster	http://www.news24.com/World/News/Two-more-charged-over-Turkey-mine-disaster-20140519	News24	b	ddi_hHIKv9gDjHM6Cz0A7iZcabVkM	www.news24.com	1400511635339
