225501	Dow Jones Industrials: What to Expect This Week	http://www.fool.com/investing/dividends-income/2014/05/18/dow-jones-industrials-what-to-expect-this-week.aspx	Motley Fool	b	djKwT7CKcPfOArMo79mfGenodIDNM	www.fool.com	1400631055198
225502	GoPro Going Public: Will You Invest?	http://www.zacks.com/stock/news/134221/gopro-going-public-will-you-invest	Zacks.com	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.zacks.com	1400631385944
225503	1-Minute Video Shows Why GoPro's IPO May Be Hot	http://abcnews.go.com/Business/minute-video-gopros-viral-clips-show-ipo-100m/story\?id=23799137	ABC News	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	abcnews.go.com	1400631386216
225504	GoPro Reveals Financials and Risks Prior to IPO	http://www.inc.com/jeremy-quittner/gopro-reveals-financial-highlights.html	Inc.com	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.inc.com	1400631386452
225505	Miniature camera maker GoPro files $100M IPO, reveals nearly $1B revenue in  ...	http://www.centriotimes.com/2014/05/miniature-camera-maker-gopro-files-for.html	The Centrio Times	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.centriotimes.com	1400631386740
225506	GoPro files to go public	http://www.todayonline.com/tech/gadgets/gopro-files-go-public	TODAYonline	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.todayonline.com	1400631387089
225507	Action camera maker GoPro files for IPO	http://www.businesstimes.com.sg/premium/world/action-camera-maker-gopro-files-ipo-20140521	THE BUSINESS TIMES \(subscription\)	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.businesstimes.com.sg	1400631387345
225508	After Much Anticipation, GoPro Publicly Files IPO Prospectus	http://www.benzinga.com/news/14/05/4568101/after-much-anticipation-gopro-publicly-files-ipo-prospectus	Benzinga	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.benzinga.com	1400631387559
225509	GoPro hopes to raise $100 million through IPO	http://www.bicycleretailer.com/north-america/2014/05/20/gopro-hopes-raise-100-million-through-ipo	Bicycle Retailer	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.bicycleretailer.com	1400631387923
225510	GoPro Is Turning into a Media Company, $100 Million IPO Filing Shows	http://www.theatlantic.com/technology/archive/2014/05/gopro-is-turning-into-a-media-company-100-million-ipo-filing-shows/371269/	The Atlantic	b	dcBdM84HcjMMxeMvRj2J9-k-HJsaM	www.theatlantic.com	1400631388167
