225801	More Recalls Issued By GM	http://www.wkrg.com/story/25568227/more-recalls-issued-by-gm	WKRG-TV	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.wkrg.com	1400633001053
225802	GM Recalls 2.4 Million Additional Vehicles	http://www.mbtmag.com/news/2014/05/gm-recalls-24-million-additional-vehicles	Manufacturing Business Technology	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.mbtmag.com	1400633001272
225803	Another 2.42 million GM vehicles recalled	http://www.newstalk1010.com/news/2014/05/20/another-242-million-gm-vehicles-recalled	Newstalk 1010	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.newstalk1010.com	1400633001499
225804	Has GM made any cars recently that don't have to be recalled?	http://www.latimes.com/opinion/opinion-la/la-ol-general-motors-recall-car-safety-20140520-story.html	Los Angeles Times	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.latimes.com	1400633001766
225805	GM Recalls 2.42 Million Vehicles Over Four Different Issues	http://www.wbur.org/npr/314251844/g-m-recalls-2-42-million-vehicles-over-four-different-issues	WBUR	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.wbur.org	1400633002342
225806	GM recalls another 2.6 mln vehicles, doubles 2nd-quarter charge	http://www.business-standard.com/article/reuters/gm-recalls-another-2-6-mln-vehicles-doubles-2nd-quarter-charge-114052100253_1.html	Business Standard	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.business-standard.com	1400633002544
225807	GM recalls another 2.6 million vehicles, doubles 2nd-quarter charge	http://zeenews.india.com/business/automobiles/auto-news/gm-recalls-another-2-6-million-vehicles-doubles-2nd-quarter-charge_99922.html	Zee News	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	zeenews.india.com	1400633002763
225808	General Motors is Recalling Two Million More Cars	http://www.slate.com/blogs/the_slatest/2014/05/20/gm_recall_more_cars_with_safety_issues_announced.html	Slate Magazine \(blog\)	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.slate.com	1400633003167
225809	General Motors to recall 2.4M vehicles	http://www.bizjournals.com/dayton/blog/2014/05/general-motors-to-recall-2-4m-vehicles.html	Dayton Business Journal \(blog\)	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.bizjournals.com	1400633003451
225810	GM recalls another 2.6m vehicle	http://www.brecorder.com/business-a-finance/industries-a-sectors/173460-gm-recalls-another-26m-vehicle.html	Business Recorder	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.brecorder.com	1400633003694
225811	General Motors recalls 2.4 million more vehicles in US	http://www.reuters.com/article/2014/05/20/us-gm-recall-factbox-idUSBREA4J0Q620140520	Reuters	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.reuters.com	1400633004157
225812	General Motors Recalls Another 2.4 Million Vehicles	http://www.voanews.com/content/general-motors-recalls-another-24-million-vehicles/1918784.html	Voice of America	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.voanews.com	1400633004390
225813	General Motors Recalls Another 2.42 Million Vehicles	http://www.forbes.com/sites/billkoenig/2014/05/20/general-motors-recalls-another-2-42-million-vehicles/	Forbes	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.forbes.com	1400633004797
225814	GM Recall Saga Continues: 2.42 Million Vehicles Affected	http://www.autoevolution.com/news/gm-recall-saga-continues-with-242-million-more-vehicles-81541.html	autoevolution	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.autoevolution.com	1400633005115
225815	General Motors announces still more recalls	http://whtc.com/news/articles/2014/may/20/general-motors-announces-still-more-recalls/	WHTC	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	whtc.com	1400633005335
225816	General Motors in another car safety recall	http://www.bbc.co.uk/news/business-27495553	BBC News	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.bbc.co.uk	1400633005541
225817	GM recalls another 2.4M vehicles due to safety concerns	http://www.examiner.com/article/gm-recalls-another-2-4m-vehicles-due-safety-concerns	Examiner.com	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.examiner.com	1400633005737
225818	Latest GM Recall Brings US Industry Total to 22.4 Million Cars	http://www.autoworldnews.com/articles/7492/20140520/latest-gm-recall-brings-us-industry-total-to-22-4-million-cars.htm	Auto World News	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.autoworldnews.com	1400633006153
225819	UPDATE 2-GM recalls another 2.6 mln vehicles, doubles 2nd-quarter charge	http://in.reuters.com/article/2014/05/20/gm-recall-idINL1N0O60Z820140520	Reuters	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	in.reuters.com	1400633006370
225820	UPDATE - GM Recalls 2.4 Million More Vehicles; Stops Sales of New Escalades	http://www.wilx.com/home/headlines/GM-Recalls-24-Million-More-Vehicles-259960391.html	WILX-TV	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.wilx.com	1400633006673
225821	GM Recalls 2.4 Million More Vehicles; Stops Sales of New Escalades	http://www.wilx.com/news/localnews/headlines/GM-Recalls-24-Million-More-Vehicles-259960391.html	WILX-TV	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.wilx.com	1400633007022
225822	GM announces new recall of 2.4 mn vehicles in US	http://www.globalpost.com/dispatch/news/afp/140520/gm-announces-new-recall-24-mn-vehicles-us-0	GlobalPost	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.globalpost.com	1400633007216
225823	GM Recalls	http://www.mynews3.com/content/news/story/GM-recall/1a-OESA4LECibP0bib0taQ.cspx	MyNews3 Las Vegas KSNV	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.mynews3.com	1400633007395
225824	GM issues another recall on 2015 Chevrolet Silverado HD, GMC Sierra HD  ...	http://www.equipmentworld.com/gm-issues-another-recall-on-2015-chevrolet-silverado-hd-gmc-sierra-hd-pickups-due-to-fire-risk/	Equipment World Magazine	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.equipmentworld.com	1400633007723
225825	General Motors recalls another 2.6 million vehicles, doubles 2nd-quarter charge	http://economictimes.indiatimes.com/news/international/business/general-motors-recalls-another-2-6-million-vehicles-doubles-2nd-quarter-charge/articleshow/35398237.cms	Economic Times	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	economictimes.indiatimes.com	1400633008089
225826	GM issues recall on more than 2 million vehicles	http://thecelebritycafe.com/feature/2014/05/gm-issues-recall-more-2-million-vehicles	TheCelebrityCafe.com	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	thecelebritycafe.com	1400633008306
225827	General Motors announces another recall	http://www.wearecentralpa.com/story/d/story/general-motors-announces-another-recall/15158/IJ-8OOUGQEmolGRXW2zJLQ	WTAJ	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.wearecentralpa.com	1400633008832
225828	General Motors recalls another 2.6 million vehicles for repairs	http://www.straitstimes.com/news/world/united-states/story/general-motors-recalls-another-26-million-vehicles-repairs-20140521	Straits Times	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.straitstimes.com	1400633009339
225829	GM recalls another 2.4M vehicles, doubles second-quarter charge	http://www.bnn.ca/News/2014/5/20/GM-recalls-another-24M-vehicles-doubles-second-quarter-charge.aspx	bnn.ca	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.bnn.ca	1400633009615
225830	GM Recalls 2.42M Vehicles For Four More Safety Issues	http://www.thecarconnection.com/news/1092213_gm-recalls-2-42m-vehicles-for-four-more-safety-issues	The Car Connection	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.thecarconnection.com	1400633009808
225831	GM Pulls More Than 2 Million Vehicles in Yet Another Recall	http://time.com/106310/gm-pulls-more-than-2-million-vehicles-in-yet-another-recall/	TIME	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	time.com	1400633010404
225832	GM adds 2.4 million cars, SUVs and trucks to list of recalled models	http://wqad.com/2014/05/20/gm-adds-2-4-million-cars-and-trucks-to-list-of-recalled-models/	WQAD.com -- Quad Cities News \& Weather from WQAD	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	wqad.com	1400633010655
225833	GM recalls an additional 2.42 million vehicles	http://www.wskg.org/pbs/gm-recalls-additional-242-million-vehicles	WSKG.org	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.wskg.org	1400633010898
225834	GM Recalling Another 2.4M Vehicles	http://www.wggb.com/2014/05/20/gm-recalling-another-2-4m-vehicles/	abc40	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.wggb.com	1400633011115
225835	GM recalls 2.4 more vehicles	http://www.dailyitem.com/0100_news/x1396855976/GM-recalls-2-4-more-vehicles	Sunbury Daily Item	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.dailyitem.com	1400633011331
225836	CONSUMER ALERT: GM recalls 2.4 million more vehicles	http://www.weau.com/home/headlines/CONSUMER-ALERT-GM-recalls-24-million-more-vehicles-259975191.html	WEAU	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.weau.com	1400633011967
225837	GM Recalls Another 2.4 Million Cars, Trucks	http://www.mychamplainvalley.com/story/d/story/gm-recalls-another-24-million-cars-trucks/32188/DiCCaFnzwkeSLSQugiXUGg	My Champlain Valley FOX44 \& ABC22	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.mychamplainvalley.com	1400633012185
225838	GM Recalls 2.4 Million More Vehicles, Quarterly Charge Rises to $400 Million	http://www.fool.com/investing/general/2014/05/20/gm-recalls-24-million-more-vehicles-quarterly-char.aspx	Motley Fool	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.fool.com	1400633012398
225839	GM Adds 4 New Recalls To Growing List	http://www.benzinga.com/news/14/05/4571074/gm-adds-4-new-recalls-to-growing-list	Benzinga	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.benzinga.com	1400633012807
225840	GM recalling 2.4 million more US vehicles; domestic recalls climb to 13.6 million  ...	http://www.mlive.com/auto/index.ssf/2014/05/gm_recalling_24_million_more_u.html	The Grand Rapids Press - MLive.com	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.mlive.com	1400633013019
225841	General Motors recalls another 2.4 million vehicles, this time due to seat belt risks	http://myfox8.com/2014/05/20/general-motors-recalls-another-2-4-million-vehicles-this-time-due-to-seat-belt-risks/	myfox8.com	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	myfox8.com	1400633013278
225842	MORE TROUBLE: GM recalls another 2.4 million vehicles	http://q13fox.com/2014/05/20/more-trouble-gm-recalls-another-2-4-million-vehicles/	Q13 FOX	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	q13fox.com	1400633013719
225843	4 GM Recalls Include 2.42M Units	http://www.autoremarketing.com/retail/4-gm-recalls-include-2-point-42m-units	Auto Remarketing	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.autoremarketing.com	1400633013941
225844	General Motors To Recall 2.42 Million More Vehicles	http://www.valuewalk.com/2014/05/general-motors-recall-2-4-m-cars/	ValueWalk	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.valuewalk.com	1400633014174
225845	New Batch of Recalls Puts GM Into Record Numbers	http://www.newser.com/story/187180/new-batch-of-recalls-puts-gm-into-record-numbers.html	Newser	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.newser.com	1400633014346
225846	GM Recalls Another Batch of 2.4 M Vehicles	http://argyllfreepress.com/2014/05/20/gm-recalls-another-batch-of-2-4-m-vehicles/	Argyll Free Press	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	argyllfreepress.com	1400633014648
225847	GM Performance News: General Motors to Recall 2.4 Million Additional Vehicles  ...	http://www.latinpost.com/articles/13010/20140520/gm-recalls-recalls-cars-safety-autos-motors-millions-vehicles-models.htm	Latin Post	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.latinpost.com	1400633014842
225848	Faulty seat belts, air bags reason for new GM recall	http://www.foxsanantonio.com/news/features/top-stories/stories/faulty-seat-belts-air-bags-reason-new-gm-recall-3904.shtml	FOX 29	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.foxsanantonio.com	1400633015074
225849	2.4M More GM Vehicles Recalled Tuesday, Setting 13.6M Record	http://www.newsmax.com/thewire/more-gm-cars-recalled/2014/05/20/id/572364/	Newsmax.com	b	dIh8mRojaQqbOpMnfL46_7tzPxXiM	www.newsmax.com	1400633015350
