228101	Poorly Macca forced to cancel Japanese tour after doctors order 'complete rest'	http://www.liverpoolecho.co.uk/whats-on/music-nightlife-news/poorly-macca-forced-cancel-japanese-7143090	Liverpool Echo	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.liverpoolecho.co.uk	1400646733203
228102	Sir Paul McCartney forced to cancel rest of Japan tour due to illness	http://www.mirror.co.uk/3am/celebrity-news/paul-mccartney-cancels-japan-tour-3573563	Mirror.co.uk	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.mirror.co.uk	1400646733451
228103	Paul McCartney cancels Japanese tour dates due to poor health	http://www.digitalspy.com/music/news/a572147/paul-mccartney-cancels-japanese-tour-dates-due-to-poor-health.html	Digital Spy	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.digitalspy.com	1400646733902
228104	Paul McCartney cancels entire Japan tour over illness	http://www.panarmenian.net/eng/news/179039/	PanARMENIAN.Net	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.panarmenian.net	1400646734107
228105	Paul McCartney canceling entire Japan tour over illness	http://www.panarmenian.net/eng/news/179039/Paul_McCartney_canceling_entire_Japan_tour_over_illness	PanARMENIAN.Net	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.panarmenian.net	1400646734322
228106	Virus forces disappointed Paul McCartney to cancel Japanese tour	http://www.scmp.com/news/asia/article/1516109/virus-forces-disappointed-paul-mccartney-cancel-japanese-tour	South China Morning Post	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.scmp.com	1400646734507
228107	Home WhatsOn Paul McCartney cancels Japan tour due to virus	http://www.bramptonguardian.com/whatson-story/4528577-paul-mccartney-cancels-entire-japan-tour-for-virus/	Brampton Guardian	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.bramptonguardian.com	1400646734941
228108	Paul McCartney cancels Japan tour because of virus	http://www.dallasnews.com/news/local-news/20140519-paul-mccartney-cancels-entire-japan-tour-for-virus.ece	Dallas Morning News	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.dallasnews.com	1400646735156
228109	Paul McCartney Cancels Tokyo Concerts Due to Illness	http://www.rocksquare.com/community/musicnews/4152	Rock Square	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.rocksquare.com	1400646735404
228110	Paul McCartney Cancels Two Shows in Tokyo	http://www.hollywoodreporter.com/news/paul-mccartney-cancels-two-shows-705596	Hollywood Reporter	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.hollywoodreporter.com	1400646735739
228111	Sick Paul McCartney axes two more shows on Japanese tour	http://www.10news.com/entertainment/celebrity/sick-paul-mccartney-axes-two-more-shows-on-japanese-tour_16614856	10News	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.10news.com	1400646735960
228112	Paul McCartney Cancels Performances Due to ill Health	http://www.musictalkers.com/latest-news/paul-mccartney-cancels-performances-due-to-ill-health-1939	Music Talkers	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.musictalkers.com	1400646736235
228113	McCartney axes two more Japanese shows	http://www.u.tv/entertainment/McCartney-axes-two-more-Japanese-shows/cbed53c1-e826-467e-8d55-96a25c5cdd51	U.TV	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.u.tv	1400646736453
228114	Sir Paul cancels more Tokyo shows	http://www.independent.ie/entertainment/music/sir-paul-cancels-more-tokyo-shows-30282005.html	Irish Independent	e	dOfAHYA5QsSuBaMaYulFRZkPRnnYM	www.independent.ie	1400646736830
228115	Kim-Kanye wedding guests getting private tour of Versailles	http://www.abplive.in/movies/2014/05/21/article326616.ece/Kim-Kanye-wedding-guests-getting-private-tour-of-Versailles	ABP News	e	dPq2eZpLsBVI39MzcKIInKv_a3KYM	www.abplive.in	1400647324465
228116	Kim Kardashian and Kanye West Wedding Drama: Ray J's Wedding Gift – Profits  ...	http://au.ibtimes.com/articles/553118/20140521/kim-kardashian-kanye-wedding-ray-j.htm	International Business Times AU	e	dPq2eZpLsBVI39MzcKIInKv_a3KYM	au.ibtimes.com	1400647324728
