244201	Recalled Beef May Have Been Sent To 10 States - NewsChannel5.com  ...	http://www.newschannel5.com/story/25597582/tennessee-kentucky-now-among-states-that-may-have-received-tainted-ground-beef	NewsChannel5.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.newschannel5.com	1400882453269
244202	Tainted beef may be in stores in 9 states	http://www.ktuu.com/news/health/Tainted-beef-may-be-in-stores-in-9-states/26108266	KTUU.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.ktuu.com	1400882453511
244203	Contaminated Beef Delivered to 9 States	http://newsmaine.net/19371-contaminated-beef-delivered-9-states	Maine News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	newsmaine.net	1400882453895
244204	E. Coli Beef Recall Sparked By A Rare Bug, CDC Says	http://www.allmediany.com/news/22862-e-coli-beef-recall-sparked-by-a-rare-bug-cdc-says	AllMediaNY	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.allmediany.com	1400882454175
244205	Indiana Stores May Have Received Tainted Beef	http://www.wbiw.com/state/archive/2014/05/indiana-store-may-have-received-tainted-beef.php	WBIW.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.wbiw.com	1400882454408
244206	Detroit business recalls tainted ground beef from Indiana, 8 other states	http://www.elkharttruth.com/living/Health/2014/05/23/Detroit-business-recalls-tainted-ground-beef-from-Indiana-and-eight-other-states.html	The Elkhart Truth	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.elkharttruth.com	1400882454803
244207	GFS stores in Ohio might have sold possibly tainted ground beef	http://www.dispatch.com/content/stories/business/2014/05/23/ohio-stores-might-have-sold-possibly-tainted-ground-beef.html	Columbus Dispatch	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.dispatch.com	1400882455035
244208	Voluntary recall issued for beef linked to possible E-coli bacteria contamination	http://www.northlandsnewscenter.com/news/local/Voluntary-recall-issued-for-beef-linked-to-possible-E-coli-bacteria-contamination-260364821.html	Northland's NewsCenter	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.northlandsnewscenter.com	1400882455287
244209	Michigan firm recalls ground beef products due to possible E. Coli O157:H7	http://www.sentinel-standard.com/article/20140522/NEWS/140529661	Sentinel-Standard	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.sentinel-standard.com	1400882455532
244210	Ground beef products recalled for possible E. coli contamination	http://www.healio.com/infectious-disease/gastrointestinal-infections/news/online/%7B2a6467e4-4eb1-430b-b9e6-3bc2e0a89ec5%7D/ground-beef-products-recalled-for-possible-e-coli-contamination	Healio	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.healio.com	1400882455927
244211	1.8 Million Pounds of Tainted Beef Recalled	http://yottafire.com/2014/05/1-8-million-pounds-of-tainted-beef-recalled/	YottaFire	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	yottafire.com	1400882456521
244212	Check Your Beef! 1.8M Pounds of Tainted Ground Beef Recalled	http://www.your-story.org/check-your-beef-1-8m-pounds-of-tainted-ground-beef-recalled-419717	Your-Story.org	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.your-story.org	1400882456738
244213	Ground beef recall possibly distributed to grocery stores	http://wdtn.com/2014/05/22/ground-beef-recall-possibly-distributed-to-grocery-stores/	WDTN	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	wdtn.com	1400882457025
244214	Ground beef recall expanded; here's how to take precautions grilling those  ...	http://www.pennlive.com/food/index.ssf/2014/05/ground_beef_recall_memorial_da.html	Penn Live	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.pennlive.com	1400882457248
244215	Ohio GFS stores may have sold recalled beef	http://www.norwalkreflector.com/article/4509241	Norwalk Reflector	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.norwalkreflector.com	1400882457499
244216	Recalled beef may have been sold in tri-state	http://www.local12.com/news/features/top-stories/stories/recalled-beef-may-have-been-sold-tristate-12034.shtml	WKRC TV Cincinnati	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.local12.com	1400882457818
244217	Read Before Grilling: Beef Recall Expands	http://abcnews.go.com/WNT/video/read-grilling-beef-recall-expands-23836115	ABC News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	abcnews.go.com	1400882458336
244218	E. coli beef recall expands nationwide	http://wwlp.com/2014/05/22/e-coli-beef-recall-expands-nationwide/	WWLP 22News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	wwlp.com	1400882458531
244219	USDA Releases List of Stores in Ground Beef Recall	http://www.kmbz.com/USDA-Releases-List-of-Stores-in-Ground-Beef-Recall/19067686	KMBZ	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.kmbz.com	1400882458981
244220	RECALL: Stores May Have Received Tainted Beef	http://fox8.com/2014/05/22/recall-stores-may-have-received-tainted-beef/	fox8.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	fox8.com	1400882459258
244221	USDA Releases List of Stores That Received Recalled Hamburger	http://abcnews.go.com/blogs/health/2014/05/22/usda-releases-list-of-stores-that-received-recalled-hamburger/	ABC News \(blog\)	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	abcnews.go.com	1400882459491
244222	Stores may have received tainted beef, 1.8 million pounds recalled	http://www.whas11.com/news/Stores-may-have-received-tainted-beef-18-million-pounds-recalled-260322081.html	WHAS 11.com \(subscription\)	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.whas11.com	1400882459757
244223	USDA: GFS among retailers with recalled beef	http://www.wzzm13.com/story/news/local/wyoming/2014/05/22/usda-beef-recall-e-coli-gordon-food-service/9428985/	WZZM	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.wzzm13.com	1400882459978
244224	Ground Beef E. coli Recall Includes North Dakota Supervalu Stores	http://foodpoisoningbulletin.com/2014/ground-beef-e-coli-recall-includes-north-dakota-supervalu-stores/\?utm_content=bufferf52f3&amp;utm_medium=social&amp;utm_source=twitter.com&amp;utm_campaign=buffer	Food Poisoning Bulletin	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	foodpoisoningbulletin.com	1400882460224
244225	1.8 Million Pounds of Beef Recalled for E. Coli	http://www.tristatehomepage.com/story/d/story/update-18-million-pounds-of-beef-recalled-for-e-co/41666/A81VXg-vbEyxzQnIHpW0Fw	Tristatehomepage.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.tristatehomepage.com	1400882460442
244226	Detroit company recalls 1.8 million pounds of beef products	http://wilmette.suntimes.com/2014/05/19/detroit-company-recalls-1-8-million-pounds-of-beef-products/	Wilmette Life	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	wilmette.suntimes.com	1400882460983
244227	What's in Your Beef	http://www.foxbusiness.com/on-air/willis-report/blog/2014/05/22/whats-your-beef	Fox Business \(blog\)	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.foxbusiness.com	1400882461202
244228	GFS one of 9 retailers that may have received tainted beef	http://www.wwmt.com/news/features/health/stories/gfs-one-9-retailers-may-have-received-tainted-beef-686.shtml	WWMT-TV	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.wwmt.com	1400882461436
244229	GFS Stores May Have Received Recalled Beef	http://www.minews26.com/content/\?p=31492	MI News 26	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.minews26.com	1400882461938
244230	Tainted beef in several stores	http://www.delhidailynews.com/news/Tainted-beef-supplied-to-several-stores-in-US-1400778080/	Delhi Daily News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.delhidailynews.com	1400882462212
244231	Michigan Beef Recall: What you need to know	http://www.clickondetroit.com/money/recalls/michigan-beef-recall-what-you-need-to-know/26125122	WDIV Detroit	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.clickondetroit.com	1400882462424
244232	CONSUMER ALERT: Ground beef recall expands; some distributed in Wisconsin	http://www.weau.com/home/headlines/Ground-beef-E-Coli-recall-expands-some-distributed-in-Wisconsin-260316501.html\?ref=501	WEAU	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.weau.com	1400882462617
244233	Contaminated beef sold in markets	http://wincountry.com/news/articles/2014/may/22/contaminated-beef-sold-in-markets/	WNWN-FM	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	wincountry.com	1400882462894
244234	Take precautions when grilling this holiday weekend	http://www.cattlenetwork.com/cattle-news/latest/Take-precaution-when-grilling-this-holiday-weekend-260299951.html	CattleNetwork.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.cattlenetwork.com	1400882463120
244235	Tainted Ground Beef Also Shipped to Stores in Michigan	http://www.jrn.com/fox47news/news/Tainted-Ground-Beef-Also-Shipped-to-Stores-in-Michigan-260297761.html	FOX 47 News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.jrn.com	1400882463355
244236	Five things to know about hamburger safety during ground beef recall	http://www.cleveland.com/cooking/index.ssf/2014/05/five_things_to_know_about_hamb.html	The Plain Dealer	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.cleveland.com	1400882463643
244237	1.8 million pounds of ground beef recalled	http://fox4kc.com/2014/05/22/1-8-million-pounds-of-ground-beef-recalled-2/	fox4kc.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	fox4kc.com	1400882464017
244238	1.8 million pounds of beef recalled for E. coli risk	http://wreg.com/2014/05/22/1-8-million-pounds-of-beef-recalled-for-e-coli-risk/	wreg.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	wreg.com	1400882464352
244239	Beef recall hits local stores	http://www.wsbt.com/news/local/gordon-food-service-releases-statement-on-beef-recall/26118588	WSBT-TV	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.wsbt.com	1400882464610
244240	No illnesses reported in RI days after beef recall	http://wpri.com/2014/05/22/no-illnesses-reported-in-ri-days-after-beef-recall/	Providence Eyewitness News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	wpri.com	1400882465138
244241	Recall: Illinois stores may have received tainted beef	http://fox2now.com/2014/05/22/recall-illinois-stores-may-have-received-tainted-beef/	fox2now.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	fox2now.com	1400882465379
244242	Beef recall affects 2 million pounds of meat: Name of products affected	http://www.foodworldnews.com/articles/5698/20140522/beef-recall-affects-2-million-pounds-of-meat-name-of-products-affected.htm	Food World News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.foodworldnews.com	1400882465650
244243	Tainted beef recall expands to Florida	http://www.news4jax.com/news/tainted-beef-recall-expands-to-florida/26119108	WJXT Jacksonville	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.news4jax.com	1400882465969
244244	RECALL ALERT: 1. 8 million pounds of beef recalled	http://q13fox.com/2014/05/22/recall-alert-1-8-million-pounds-of-beef-recalled/	Q13 FOX	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	q13fox.com	1400882466205
244245	Feds Won't Release Names of Restaurants That Served Contaminated Beef	http://www.boiseweekly.com/CityDesk/archives/2014/05/22/feds-wont-release-names-of-restaurants-that-served-contaminated-beef	Boise Weekly	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.boiseweekly.com	1400882466461
244246	Stores in Florida may have received tainted beef	http://www.nbc-2.com/story/25587966/stores-in-florida-may-have-received-tainted-beef	NBC2 News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.nbc-2.com	1400882466851
244247	Stores could have received tainted beef	http://www.ketknbc.com/news/stores-could-have-received-tainted-beef	KETK	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.ketknbc.com	1400882467382
244248	Stuart deli possibly received beef products included in nationwide recall	http://www.tcpalm.com/news/2014/may/22/stuart-deli-possibly-received-beef-included-nation/	TCPalm	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.tcpalm.com	1400882467679
244249	Beef recall: What you need to know to stay safe	http://wpri.com/2014/05/22/beef-recall-what-you-need-to-know-to-stay-safe/	Providence Eyewitness News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	wpri.com	1400882467919
244250	Recalled beef sold in Michigan stores	http://www.clickondetroit.com/news/nationwide-beef-recall/26113894	WDIV Detroit	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.clickondetroit.com	1400882468121
244251	Michigan grocers may have sold tainted ground beef	http://www.freep.com/article/20140521/NEWS/305210225/E-coli-tainted-ground-beef	Detroit Free Press	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.freep.com	1400882468347
244252	Beef recall goes nationwide; retailers affected?	http://www.clickondetroit.com/money/recalls/beef-recall-goes-nationwide-retailers-affected/26103480	WDIV Detroit	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.clickondetroit.com	1400882468718
244253	Wolverine Packing Company Recall: What Consumers Need to Know	http://blogs.usda.gov/2014/05/21/wolverine-packing-company-recall-what-consumers-need-to-know/	USDA.gov \(press release\) \(blog\)	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	blogs.usda.gov	1400882468932
244254	How one contaminated cow can infect millions of pounds of hamburgers	http://www.vox.com/2014/5/21/5735352/how-one-contaminated-cow-can-infect-millions-of-pounds-of-hamburgers	Vox	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.vox.com	1400882469158
244255	Michigan firm recalls ground beef products	http://www.wilsoncountynews.com/article.php\?id=58860&amp;n=consumer-updates-michigan-firm-recalls-ground-beef-products	Wilson County News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.wilsoncountynews.com	1400882469404
244256	Officials: Recalled beef found in Rhode Island	http://www.northwestgeorgianews.com/associated_press/news/national/officials-recalled-beef-found-in-rhode-island/article_4ebf0b1c-e0f5-11e3-9d80-001a4bcf6878.html	Northwest Georgia News	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.northwestgeorgianews.com	1400882469749
244257	Recall of beef from Detroit processor being expanded	http://whtc.com/news/articles/2014/may/21/recall-of-beef-from-detroit-processor-being-expanded/	WHTC	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	whtc.com	1400882469959
244258	Recalled ground beef may have been shipped to retail stores, USDA says	http://www.mlive.com/news/grand-rapids/index.ssf/2014/05/ground_beef_recall_linked_to_m.html	The Grand Rapids Press - MLive.com	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	www.mlive.com	1400882470144
244259	Ground beef recalled	http://bryantimes.com/news/farm/article_f5b17964-e131-11e3-9435-0019bb2963f4.html	The Bryan Times \(subscription\)	m	diTckvGqpc_-0XMyw3W6B0nUTdRdM	bryantimes.com	1400882470376
244260	Up to 5000 exposed to hepatitis at Mo. restaurant	http://www.wcpo.com/news/national/up-to-5000-exposed-to-hepatitis-at-mo-restaurant	WCPO	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.wcpo.com	1400883063853
244261	Hepatitis A scare at Missouri Red Robin	http://www.nydailynews.com/life-style/health/hepatitis-scare-missouri-red-robin-article-1.1803269	New York Daily News	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.nydailynews.com	1400883064124
244262	As Many As 5000 Exposed To Hepatitis At Restaurant	http://www.kwtx.com/news/health/headlines/As-Many-As-5000-Exposed-To-Hepatitis-At-Restaurant-260450671.html	KWTX	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.kwtx.com	1400883064340
244263	Red Robins Employee Diagnosed With Hepatitis A May Have Infected Over  ...	http://perezhilton.com/fitperez/2014-05-23-red-robin-employee-diagnosed-hepatitis-a-infected-customers	PerezHilton.com	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	perezhilton.com	1400883064580
244264	As many as 5000 exposed to hepatitis in Springfield	http://www.columbiatribune.com/news/as-many-as-exposed-to-hepatitis-in-springfield/article_1c2d6ee0-e2a4-11e3-9683-10604b9ffe60.html	Columbia Daily Tribune	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.columbiatribune.com	1400883064819
244265	2000 Hepatitis A vaccinations given at free Springfield health department clinics	http://www.kspr.com/news/local/hepatitis-a-vaccinations-continue-at-free-health-department-clinic/21051620_26137064	KSPR	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.kspr.com	1400883065111
244266	Thousands exposed to hepatitis at Missouri restaurant, officials say	http://www.wtvq.com/mostpopular/story/Thousands-exposed-to-hepatitis-at-Missouri/3rRVYpeoRE6C79jjE9TxlQ.cspx	WTVQ	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.wtvq.com	1400883065480
244267	More than 2000 Get Hep-A Vaccine	http://www.ozarksfirst.com/story/d/story/more-than-2000-get-hep-a-vaccine/14117/oGyDGenH0kisi9bk1qFEWw	OzarksFirst.com	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.ozarksfirst.com	1400883065806
244268	5000 exposed to hepatitis A at Missouri restaurant	http://www.kcci.com/health/5000-exposed-to-hepatitis-at-missouri-restaurant/26138538	KCCI Des Moines	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.kcci.com	1400883066074
244269	Up to 5000 Exposed to Hepatitis at Missouri Red Robin	http://www.boston.com/health/2014/05/23/exposed-hepatitis-missouri-red-robin/nQGUurC3E47pcBbnwIkUdP/story.html	Boston.com	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.boston.com	1400883066406
244270	Up to 5000 exposed to hepatitis at Springfield, Mo., restaurant	http://m.cjonline.com/news/2014-05-23/5000-exposed-hepatitis-springfield-mo-restaurant	Topeka Capital Journal	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	m.cjonline.com	1400883066695
244271	Red Robin Worker With Hepatits A May Have Infected Up to 5000 People	http://www.christianpost.com/news/red-robin-worker-with-hepatits-a-may-have-infected-up-to-5000-people-120256/	Christian Post	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.christianpost.com	1400883066983
244272	Hepatitis A vaccinations available in Taney County	http://topnews.ae/content/220765-hepatitis-vaccinations-available-taney-county	TopNews Arab Emirates	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	topnews.ae	1400883067222
244273	Hepatitis A vaccinations continue at free Health Department Clinic	http://www.ky3.com/news/local/hepatitis-a-vaccinations-continue-at-free-health-department-clinic/21048998_26137064	KY3	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	www.ky3.com	1400883067430
244274	5000 Exposed To Hepatitis At Missouri Restaurant	http://wibx950.com/5000-exposed-to-hepatitis-at-missouri-restaurant/	WIBX AM 950	m	d5-AwPl2xSo7AYM4dar2lwpwT3XmM	wibx950.com	1400883067633
