245901	US wins trade victory over China	http://www.news-journal.com/business/u-s-wins-trade-victory-over-china/article_7d7f0062-477d-56c0-8a12-febc65cf6434.html	Longview News-Journal	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.news-journal.com	1400931390040
245902	Business update: US claims win in car trade dispute with China	http://www.newstribune.info/article/20140523/NEWS/140529913	Keyser Mineral Daily News Tribune	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.newstribune.info	1400931390236
245903	U.S. wins trade dispute with China over duties on cars, SUVs	http://www.houstonchronicle.com/business/article/U-S-wins-trade-dispute-with-China-over-duties-on-5502091.php	Houston Chronicle	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.houstonchronicle.com	1400931390486
245904	Trade tensions mount	http://triblive.com/business/headlines/6166289-74/china-trade-duties	Tribune-Review	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	triblive.com	1400931390790
245905	US claims win in car trade dispute with China	http://auto.economictimes.indiatimes.com/news/industry/us-claims-win-in-car-trade-dispute-with-china/35541949	ET Auto	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	auto.economictimes.indiatimes.com	1400931391029
245906	WTO rules in favor of Washington over auto dispute with China	http://www.japantimes.co.jp/news/2014/05/24/business/economy-business/wto-rules-in-favor-of-washington-over-auto-dispute-with-china/	The Japan Times	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.japantimes.co.jp	1400931391262
245907	US wins over China at WTO on luxury cars	http://www.brecorder.com/business-a-economy/189/1185540/	Business Recorder	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.brecorder.com	1400931391570
245908	U.S. wins trade case against Chinese duties on vehicles	http://www.jsonline.com/business/us-wins-trade-case-against-chinese-duties-on-vehicles-b99276921z1-260491401.html	Milwaukee Journal Sentinel	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.jsonline.com	1400931391765
245909	US wins WTO case against China over car import duties	http://www.omantribune.com/index.php\?page=news&amp;id=168251&amp;heading=Business	Oman Tribune	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.omantribune.com	1400931392148
245910	US claims victory in vehicle trade dispute with China	http://www.kpvi.com/business/story/US-claims-victory-in-vehicle-trade-dispute-with/Ap9d8_p54kqd5PFhwWK8DQ.cspx	KPVI News 6	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.kpvi.com	1400931392380
245911	US wins trade dispute with China over duties on cars, SUVs; 2nd win since March	http://www.gosanangelo.com/news/2014/may/23/us-wins-trade-dispute-with-china-over-duties-on/	San Angelo Standard Times	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.gosanangelo.com	1400931392701
245912	UPDATE 2-US wins car import duties trade case against China	http://www.reuters.com/article/2014/05/23/usa-china-trade-idUSL1N0O90Z020140523	Reuters	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.reuters.com	1400931392918
245913	US prevails in WTO dispute with China over auto tariffs	http://www.latimes.com/business/la-fi-wto-autos-china-20140524-story.html	Los Angeles Times	b	dNq9PT4zzuk9P3MZn4ysjJuHH96XM	www.latimes.com	1400931393223
