247801	7 health care workers exposed to MERS cleared for work	http://www.mynews13.com/content/news/cfnews13/news/article.html/content/news/articles/cfn/2014/5/20/workers_cleared_for_.html	News 13 Orlando	m	djkzq94djjydsfMGqV2wo9lpjRFtM	www.mynews13.com	1400941786731
247802	Saudis announce 2 new MERS deaths	http://news.yahoo.com/saudis-announce-2-mers-deaths-175147457.html	Yahoo News	m	djkzq94djjydsfMGqV2wo9lpjRFtM	news.yahoo.com	1400941786955
247803	Screen of existing drugs finds compounds active against MERS coronavirus	http://www.sciencecodex.com/screen_of_existing_drugs_finds_compounds_active_against_mers_coronavirus-134025	Science Codex	m	djkzq94djjydsfMGqV2wo9lpjRFtM	www.sciencecodex.com	1400941787305
247804	Existing Drugs May Work Against MERS	http://www.webmd.com/lung/news/20140519/existing-drugs-may-work-against-mers-studies-suggest	WebMD	m	djkzq94djjydsfMGqV2wo9lpjRFtM	www.webmd.com	1400941787525
247805	Lipkin: Will MERS become a global threat?	http://www.kspr.com/news/nationworld/Lipkin-Will-MERS-become-a-global-threat/21051646_26071130	KSPR	m	djkzq94djjydsfMGqV2wo9lpjRFtM	www.kspr.com	1400941787806
247806	Drugs that could help in fight against MERS-coronavirus revealed	http://www.business-standard.com/article/news-ani/drugs-that-could-help-in-fight-against-mers-coronavirus-revealed-114052000337_1.html	Business Standard	m	djkzq94djjydsfMGqV2wo9lpjRFtM	www.business-standard.com	1400941788164
247807	Studies find existing and experimental drugs active against MERS-coronavirus	http://medicalxpress.com/news/2014-05-experimental-drugs-mers-coronavirus.html	Medical Xpress	m	djkzq94djjydsfMGqV2wo9lpjRFtM	medicalxpress.com	1400941788406
247808	MERS Update: Region's first MERS patient discharged	http://articles.orlandosentinel.com/2014-05-19/news/os-mers-orlando-patient-discharged-20140519_1_mers-virus-mers-cases-middle-east-respiratory-syndrome	Orlando Sentinel	m	djkzq94djjydsfMGqV2wo9lpjRFtM	articles.orlandosentinel.com	1400941788612
247809	Netherlands Reports Second Case of MERS-CoV Infection	http://www.infectioncontroltoday.com/news/2014/05/netherlands-reports-second-case-of-merscov-infection.aspx	Infection Control Today	m	djkzq94djjydsfMGqV2wo9lpjRFtM	www.infectioncontroltoday.com	1400941788871
247810	MERS death brings Saudi toll to 169	http://english.al-akhbar.com/node/19821	al-Akhbar English	m	djkzq94djjydsfMGqV2wo9lpjRFtM	english.al-akhbar.com	1400941789183
247811	Saudi Arabia confirms six people died of Mers virus over the weekend	http://www.scmp.com/news/world/article/1515583/saudi-arabia-confirms-six-people-died-mers-virus-over-weekend	South China Morning Post	m	djkzq94djjydsfMGqV2wo9lpjRFtM	www.scmp.com	1400941789834
247812	Now, a drinkable sunscreen to fight UV radiation	http://www.thehealthsite.com/news/now-a-drinkable-sunscreen-to-fight-uv-radiation/	TheHealthSite	m	dGS4WfSFbSG1m5Mn2edoiXNWxZ8nM	www.thehealthsite.com	1400941832602
247813	Can this drinkable sunscreen fight UV radiation?	http://www.themalaymailonline.com/features/article/can-this-drinkable-sunscreen-fight-uv-radiation	The Malay Mail Online	m	dGS4WfSFbSG1m5Mn2edoiXNWxZ8nM	www.themalaymailonline.com	1400941832834
