267801	Lockheed Wins $915 Million Award for Space-Junk Tracking	http://www.businessweek.com/news/2014-06-02/lockheed-wins-915-million-award-for-space-junk-tracking	Businessweek	b	dzWoBK3NDbNXTVMiDfP79KCWULMmM	www.businessweek.com	1401807626320
267802	Stock market live blog: S&P 500, Dow retreat from records; Quicksilver crushed  ...	http://blogs.marketwatch.com/thetell/2014/06/03/stock-market-live-blog-sp-500-pulls-back-from-record-led-lower-by-wynn-monster/	MarketWatch \(blog\)	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	blogs.marketwatch.com	1401808046467
267803	Wall Street pulls back modestly from record close	https://uk.finance.yahoo.com/news/wall-street-pulls-back-modestly-142759770.html	Yahoo Finance UK	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	uk.finance.yahoo.com	1401808046777
267804	US stocks: Wall St. pulls back modestly from record close	http://www.gmanetwork.com/news/story/364023/economy/finance/us-stocks-wall-st-pulls-back-modestly-from-record-close	GMA News	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.gmanetwork.com	1401808047184
267805	US futures dip, with few trading incentives	https://uk.finance.yahoo.com/news/futures-dip-few-trading-incentives-111330619.html	Yahoo Finance UK	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	uk.finance.yahoo.com	1401808047394
267806	Wall St. pulls back modestly from record close	http://in.reuters.com/article/2014/06/03/us-markets-stocks-idINKBN0ED14520140603	Reuters India	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	in.reuters.com	1401808047661
267807	US STOCKS-Wall Street pulls back modestly from record close	http://uk.reuters.com/article/2014/06/03/markets-usa-stocks-idUKL1N0OK0QC20140603	Reuters UK	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	uk.reuters.com	1401808048000
267808	Momentum Falters Amid Absence Of Catalysts	http://www.rttnews.com/2331380/momentum-falters-amid-absence-of-catalysts.aspx\?utm_source=google&amp;utm_campaign=sitemap	RTT News	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.rttnews.com	1401808048333
267809	MARKET ANALYSIS: Momentum Falters Amid Absence Of Catalysts	http://www.lse.co.uk/AllNews.asp\?code=6lop3h68&amp;headline=MARKET_ANALYSIS_Momentum_Falters_Amid_Absence_Of_Catalysts	London South East	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.lse.co.uk	1401808048666
267810	Stock Market News for June 03, 2014	http://www.zacks.com/stock/news/135590/stock-market-news-for-june-03-2014	Zacks.com	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.zacks.com	1401808048910
267811	Futures slide after Dow, S&P 500 hit record highs	http://www.cnbc.com/id/101725738	CNBC.com	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.cnbc.com	1401808049180
267812	Futures Pointing To Early Weakness On Wall Street	http://www.lse.co.uk/AllNews.asp\?code=nb1tzllp&amp;headline=Futures_Pointing_To_Early_Weakness_On_Wall_Street	London South East	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.lse.co.uk	1401808049388
267813	Stocks May Give Back Ground In Early Trading - US Commentary	http://www.lse.co.uk/AllNews.asp\?code=hx07hdcs&amp;headline=Stocks_May_Give_Back_Ground_In_Early_Trading__US_Commentary	London South East	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.lse.co.uk	1401808049663
267814	Stock Futures Steady Into Factory Orders; Nasdaq Continues to Trade Defensively	http://www.nasdaq.com/article/stock-futures-steady-into-factory-orders-nasdaq-continues-to-trade-defensively-cm358356	NASDAQ	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.nasdaq.com	1401808049871
267815	US STOCKS-Futures point to lower open after record close	http://money.msn.com/business-news/article.aspx\?feed=OBR&amp;date=20140603&amp;id=17670167	MSN Money	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	money.msn.com	1401808050134
267816	US STOCKS-Futures dip, with few trading incentives	http://in.reuters.com/article/2014/06/03/markets-usa-stocks-idINL1N0OK0CR20140603	Reuters	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	in.reuters.com	1401808050375
267817	US futures dip	http://www.iol.co.za/business/international/us-futures-dip-1.1698035	Independent Online	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.iol.co.za	1401808050699
267818	Wall Street Likely To Pause After Record Run	http://www.rttnews.com/2331247/wall-street-likely-to-pause-after-record-run.aspx	RTT News	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.rttnews.com	1401808051071
267819	What you need to know before markets open	http://business.financialpost.com/2014/06/03/what-you-need-to-know-before-markets-open-761/	Financial Post	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	business.financialpost.com	1401808051344
267820	Watching The S&P 100 And Dow To Help Read The Market	http://www.investing.com/analysis/watching-the-s-p-100-and-dow-to-help-read-the-market-214738	Investing.com	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.investing.com	1401808051732
267821	Never Sell a Dull Market, but Won't Someone Buy?	http://investorplace.com/2014/06/daily-stock-market-news-never-sell-dull-market-wont-someone-buy/	Investorplace.com	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	investorplace.com	1401808051988
267822	Dow, S&P 500 end at record highs; Apple, Google drag on Nasdaq	http://www.mydigitalfc.com/stock-market/dow-sp-500-end-record-highs-apple-google-drag-nasdaq-071	mydigitalfc.com	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.mydigitalfc.com	1401808052247
267823	Apple and Google weigh on Nasdaq	http://www.iol.co.za/business/international/apple-and-google-weigh-on-nasdaq-1.1697636	Independent Online	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.iol.co.za	1401808052500
267824	India Morning Call-Global Markets	http://in.reuters.com/article/2014/06/03/morningcall-india-idINL3N0OK0S620140603	Reuters India	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	in.reuters.com	1401808052798
267825	Dow, S&P 500 End at Records; Apple, Google Drag on Nasdaq	http://profit.ndtv.com/news/market/article-dow-s-p-500-end-at-records-apple-google-drag-on-nasdaq-390208	NDTV	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	profit.ndtv.com	1401808053090
267826	US stocks: Dow, S&P end at records; Apple, Google drag on Nasdaq	http://www.gmanetwork.com/news/story/363868/economy/finance/us-stocks-dow-s-amp-p-end-at-records-apple-google-drag-on-nasdaq	GMA News	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.gmanetwork.com	1401808053360
267827	Stocks reach record highs...again	https://finance.yahoo.com/blogs/hot-stock-minute/stocks-------152239826.html	Yahoo Finance \(blog\)	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	finance.yahoo.com	1401808053711
267828	Isis Pharmaceuticals Larger Than S&P 500 Component United States Steel	http://www.nasdaq.com/article/isis-pharmaceuticals-larger-than-sp-500-component-united-states-steel-cm358230	NASDAQ	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.nasdaq.com	1401808053971
267829	After Market: New Records Again for Dow, S&P 500	http://www.dailyfinance.com/on/after-market-new-records-again-for-dow-sandp-500/	DailyFinance	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.dailyfinance.com	1401808054246
267830	need2know: All eyes on RBA	http://www.smh.com.au/business/markets/need2know-all-eyes-on-rba-20140603-39f5d.html	Sydney Morning Herald	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.smh.com.au	1401808054587
267831	Market Wrap For June 2: Dow, S&P Continue Rising, Nasdaq Slightly Lower	http://www.benzinga.com/news/earnings/14/06/4602689/market-wrap-for-june-2-dow-s-p-continue-rising-nasdaq-slightly-lower	Benzinga	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.benzinga.com	1401808054855
267832	Dow, S&P 500 post new closing highs; Apple slips	http://www.cnbc.com/id/101722646	CNBC.com	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.cnbc.com	1401808055091
267833	Dow, S&P 500 post new closing highs	http://www.wnd.com/2014/06/dow-sp-500-post-new-closing-highs/\?cat_orig=money	WND.com	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.wnd.com	1401808055305
267834	Treasury Yields, Copper Rise as S&P 500 Reaches Record	http://www.businessweek.com/news/2014-06-01/copper-climbs-as-japan-stock-index-futures-rise-after-china-data	Businessweek	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.businessweek.com	1401808055732
267835	S&P 500, Dow industrials close at record levels again: stock market live blog recap	http://blogs.marketwatch.com/thetell/2014/06/02/stock-market-live-blog-s-broadcom-leads-with-11-gain/	MarketWatch \(blog\)	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	blogs.marketwatch.com	1401808055941
267836	US STOCKS-Dow, S&P 500 erase losses after ISM correction	http://in.reuters.com/article/2014/06/02/markets-usa-stocks-idINL1N0OJ1S720140602	Reuters	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	in.reuters.com	1401808056143
267837	US Stocks Climb to Record as ISM Corrects Factory Data	http://www.businessweek.com/news/2014-06-02/u-dot-s-dot-stock-index-futures-little-changed-before-ism-report	Businessweek	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.businessweek.com	1401808056328
267838	US stocks fluctuate as ISM twice corrects manufacturing data	http://www.telegram.com/article/20140602/NEWS/306029550/1237	Worcester Telegram	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.telegram.com	1401808056645
267839	S&P 500 index surges but volumes are at 6-year low	http://www.businesstimes.com.sg/premium/world/sp-500-index-surges-volumes-are-6-year-low-20140603	THE BUSINESS TIMES \(subscription\)	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.businesstimes.com.sg	1401808057066
267840	Stock Market Outlook Remains Bullish	http://www.wallstreetsectorselector.com/investment-articles/analyst-desk/2014/06/stock-market-outlook-remains-bullish/	Wall Street Sector Selector	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.wallstreetsectorselector.com	1401808057319
267841	US STOCKS-Dow, S&P edge up; revised ISM reportedly more bullish	http://www.reuters.com/article/2014/06/02/markets-usa-stocks-idUSL1N0OJ14A20140602	Reuters	b	dAeyOm6CfaLxH1My-6DlINOMgP5tM	www.reuters.com	1401808057569
