272201	Medicare Data Highlight Variations In Hospital Charges, Increased Costs For  ...	http://www.kaiserhealthnews.org/Daily-Reports/2014/June/03/medicare-data-release.aspx\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+topics%2Fhealthcosts+(Kaiser+Health+News+-+Health+Costs)	Kaiser Health News	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.kaiserhealthnews.org	1401840885133
272202	End-of-Life Doc Payment Plan Returns to the Fray	http://www.thefiscaltimes.com/Articles/2014/06/03/End-Life-Doc-Payment-Plan-Returns-Fray	The Fiscal Times	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.thefiscaltimes.com	1401840885471
272203	Maine hospitals tout Medicare cost data, but health care quality watchdog says  ...	http://insurancenewsnet.com/oarticle/2014/06/03/maine-hospitals-tout-medicare-cost-data-but-health-care-quality-watchdog-says--a-512846.html	Insurance News Net	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	insurancenewsnet.com	1401840885747
272204	Medicare To Pay For Hep C Screenings For Baby Boomers	http://www.kaiserhealthnews.org/Daily-Reports/2014/June/03/medicare-drug-costs.aspx\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+topics%2Fhealthcosts+(Kaiser+Health+News+-+Health+Costs)	Kaiser Health News	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.kaiserhealthnews.org	1401840885986
272205	Memorial Day memories and healthcare planning	http://www.thecrier.net/our_columnists/article_23c56138-eac1-11e3-92b0-001a4bcf887a.html	Dunwoody Crier	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.thecrier.net	1401840886181
272206	After controversies, Medicare reimbursement for end-of-life planning again  ...	http://www.news-medical.net/news/20140603/After-controversies-Medicare-reimbursement-for-end-of-life-planning-again-getting-consideration.aspx	News-Medical.net	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.news-medical.net	1401840886390
272207	First Edition: June 3, 2014	http://www.news-medical.net/news/20140603/First-Edition-June-3-2014.aspx	News-Medical.net	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.news-medical.net	1401840886647
272208	Datapalooza: CMS Unveils More Hospital Pay Data	http://www.healthleadersmedia.com/content/FIN-305140/Datapalooza-CMS-Unveils-More-Hospital-Pay-Data	HealthLeaders Media	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.healthleadersmedia.com	1401840886930
272209	Medicare charges vary by hospital, report finds	http://www.healthleadersmedia.com/content/HEP-305137/Medicare-charges-vary-by-hospital-report-finds	HealthLeaders Media	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.healthleadersmedia.com	1401840887185
272210	Doctors may get paid for end-of-life planning	http://www.healthleadersmedia.com/content/PHY-305131/Doctors-may-get-paid-for-endoflife-planning	HealthLeaders Media	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.healthleadersmedia.com	1401840887487
272211	CMS Publishes What Hospitals Charged Medicare in 2012	http://healthcare.dmagazine.com/2014/06/03/cms-publishes-what-hospitals-charged-medicare-in-2012/	D Healthcare Daily	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	healthcare.dmagazine.com	1401840887695
272212	Tavenner Stands By Physician Data Dump	http://www.healthitoutcomes.com/doc/tavenner-stands-by-physician-data-dump-0001	Health IT Outcomes \(press release\)	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.healthitoutcomes.com	1401840887974
272213	Hospital charges to treat chest pain jump 10 percent in a year	http://www.niagara-gazette.com/webextra/x1934104677/Hospital-charges-to-treat-chest-pain-jump-10-percent-in-a-year	Niagara Gazette	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.niagara-gazette.com	1401840888182
272214	CMS releases more pricing data	http://www.fiercehealthfinance.com/story/cms-releases-more-pricing-data/2014-06-02	FierceHealthFinance	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.fiercehealthfinance.com	1401840888590
272215	CMS Releases Hospital Payment Data for 2012	http://www.healthdatamanagement.com/news/cms-releases-hospital-payment-data-for-2012-48174-1.html	Health Data Management	m	dHTlCVvcfZsXONMkLWvO3we5f-m7M	www.healthdatamanagement.com	1401840888912
