276301	May retail sales show economy still growing	http://www.marketwatch.com/story/us-retail-sales-climb-at-brisk-pace-2014-06-12	MarketWatch	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.marketwatch.com	1402651446462
276302	US retail sales higher in May	http://www.kake.com/money/headlines/US-retail-sales-higher-in-May-262875271.html	KAKE	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.kake.com	1402651446707
276303	Retail Sales up 0.3% For May	http://www.fool.com/investing/general/2014/06/12/retail-sales-up-03-for-may.aspx	Motley Fool	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.fool.com	1402651447021
276304	May Advance Retail Sales: Weaker Than Forecast [Dow Jones Industrial  ...	http://etfdailynews.com/2014/06/12/may-advance-retail-sales-weaker-than-forecast/	ETF Daily News	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	etfdailynews.com	1402651447631
276305	US Retail Sales Rise for Fourth Straight Month in May	http://www.theepochtimes.com/n3/730331-us-retail-sales-rise-for-fourth-straight-month-in-may/	The Epoch Times	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.theepochtimes.com	1402651447904
276306	US Retail Sales Rise Less than Expected and Jobless Claims Rise	http://www.marketpulse.com/20140612/us-retail-sales-drop-jobless-claims-rise/	MarketPulse \(blog\)	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.marketpulse.com	1402651448262
276307	Retail sales increase on strength of auto market	http://www.bizjournals.com/phoenix/morning_call/2014/06/retail-sales-increase-on-strength-of-auto-sales.html	Phoenix Business Journal	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.bizjournals.com	1402651448520
276308	Sales continue to show growth	http://www.bizjournals.com/albuquerque/blog/morning-edition/2014/06/sales-continue-to-show-growth.html	Albuquerque Business First \(blog\)	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.bizjournals.com	1402651448906
276309	Auto Sales Help Boost US Retail Sales 0.3% in May	http://www.fool.com/investing/general/2014/06/12/auto-sales-help-boost-us-retail-sales-03-in-may.aspx	Motley Fool	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.fool.com	1402651449273
276310	Retail Sales Rise 0.3% in May	http://www.ttnews.com/articles/basetemplate.aspx\?storyid=35223&amp;t=Retail-Sales-Rise-03%25-in-May	Transport Topics Online	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.ttnews.com	1402651449469
276311	Retail Sales Rise For Fourth Straight Month	http://www.manufacturing.net/news/2014/06/retail-sales-rise-for-fourth-straight-month	Manufacturing.net	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	www.manufacturing.net	1402651449734
276312	What you need to know before markets open	http://business.financialpost.com/2014/06/12/what-you-need-to-know-before-markets-open-767/	Financial Post	b	dWIHIFwOG6j15rMz4BlNn2Qff6qWM	business.financialpost.com	1402651450113
276313	Brent climbs toward $115, hits nine-month high on Iraq crisis	http://in.reuters.com/article/2014/06/13/markets-oil-idINKBN0EO09O20140613	Reuters India	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	in.reuters.com	1402651909361
276314	Oil hits nine-month high near $115 on Iraq crisis	http://www.worldbulletin.net/news/138901/oil-hits-nine-month-high-near-115-on-iraq-crisis	www.worldbulletin.net	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.worldbulletin.net	1402651909575
276315	Iraq unrest pushes oil prices up	http://www.shropshirestar.com/shropshire-business/city-news/2014/06/13/iraq-unrest-pushes-oil-prices-up/	shropshirestar.com	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.shropshirestar.com	1402651909898
276316	UPDATE 3-Brent climbs toward $115, hits 9-month top on Iraq crisis	http://af.reuters.com/article/energyOilNews/idAFL4N0OU16320140613	Reuters Africa	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	af.reuters.com	1402651910181
276317	IEA says Iraq oil supplies not at risk	http://money.msn.co.nz/businessnews/other/8859690/iea-says-iraq-oil-supplies-not-at-risk	MSN NZ News	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	money.msn.co.nz	1402651910380
276318	OMC stocks crack upto 9% as crude oil tops $114 a barrel	http://economictimes.indiatimes.com/markets/stocks/stocks-in-news/crude-oil-on-boil-as-tension-escalates-in-iraq-omcs-crack/articleshow/36479624.cms	Economic Times	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	economictimes.indiatimes.com	1402651910652
276319	Stocks finish deeper in the red as Iraq unravels	http://www.greenbaypressgazette.com/usatoday/article/10364367	Green Bay Press Gazette	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.greenbaypressgazette.com	1402651910888
276320	Global oil demand is set to increase sharply	http://www.commodities-now.com/news/power-and-energy/16960-global-oil-demand-is-set-to-increase-sharply.html	Commodities Now	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.commodities-now.com	1402651911209
276321	International Energy Agency Says Iraq Oil Supplies Not at Risk if Fighting  ...	http://www.ndtv.com/article/world/international-energy-agency-says-iraq-oil-supplies-not-at-risk-if-fighting-contained-540853	NDTV	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.ndtv.com	1402651911472
276322	Fears petrol could soon go up as oil price is pushed above $114 a barrel by Iraq  ...	http://www.thisismoney.co.uk/money/markets/article-2656956/Fears-petrol-soon-rise-Iraq-crisis-pushes-oil-price.html	This is Money	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.thisismoney.co.uk	1402651911768
276323	Crude oil futures near 9-month highs on Iraq crisis	http://www.nasdaq.com/article/crude-oil-futures-near-9-month-highs-on-iraq-crisis-cm361458	NASDAQ	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.nasdaq.com	1402651912043
276324	Brent climbs toward $115, hits 9-month top on Iraq crisis	http://www.cnbc.com/id/101755938	CNBC.com	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.cnbc.com	1402651912285
276325	IEA sees much higher demand for OPEC oil for rest of 2014	http://thepeninsulaqatar.com/news/latest-news/287602/iea-sees-much-higher-demand-for-opec-oil-for-rest-of-2014	Peninsula On-line	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	thepeninsulaqatar.com	1402651912669
276326	IEA Says Iraqi Oil Isn't at Immediate Risk	http://www.nasdaq.com/article/iea-says-iraqi-oil-isnt-at-immediate-risk-20140613-00055	NASDAQ	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.nasdaq.com	1402651912907
276327	No immediate risk to Iraq's oil supplies: IEA	http://www.marketwatch.com/story/no-immediate-risk-to-iraqs-oil-supplies-iea-2014-06-13\?link=MW_latest_news	MarketWatch	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.marketwatch.com	1402651913140
276328	Oil jumps to above $106 on Iraq violence	http://www.telegram.com/article/20140612/NEWS/306129736/1002/BUSINESS	Worcester Telegram	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.telegram.com	1402651913391
276329	Oil futures above $107 on Iraq fighting	http://www.krmg.com/news/news/local/oil-futures-above-107-iraq-fighting/ngKhr/	KRMG	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.krmg.com	1402651913668
276330	Iraq violence threatens to destabilize OPEC balance	http://www.telegram.com/article/20140612/NEWS/306129649/-1/NEWS07	Worcester Telegram	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.telegram.com	1402651913932
276331	Dow plunges 109, oil prices rally	http://www.telegram.com/article/20140612/NEWS/306129569/-1/NEWS07	Worcester Telegram	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.telegram.com	1402651914155
276332	Iraq Insurgency Risks Biggest Source of New OPEC Oil, IEA Says	http://www.businessweek.com/news/2014-06-13/iraq-insurgency-risks-biggest-source-of-new-opec-oil-iea-says	Businessweek	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.businessweek.com	1402651914388
276333	Iraq crisis threatens world economic recovery	http://www.industryleadersmagazine.com/iraq-crisis-could-kill-world-economic-recovery/	Industry Leaders Magazine	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.industryleadersmagazine.com	1402651914724
276334	Crude Oil Soars On Iraq Tensions, Safe-Haven Demand Boosts Gold	http://www.insidefutures.com/article/1242546/Crude%20Oil%20Soars%20On%20Iraq%20Tensions,%20Safe-Haven%20Demand%20Boosts%20Gold.html	Inside Futures	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.insidefutures.com	1402651914986
276335	Oil Futures Above $107 Per Barrel Amid Fears Over Iraq Fighting	http://www.rferl.org/content/article/25420581.html	RadioFreeEurope\/RadioLiberty	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.rferl.org	1402651915240
276336	UPDATE 2-Brent climbs toward $114, hits 9-month top on Iraq crisis	http://af.reuters.com/article/commoditiesNews/idAFL4N0OU16320140613	Reuters Africa	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	af.reuters.com	1402651915527
276337	BPCL, HPCL fall 8-9%; Brent at 9-mth high on Iraq tension	http://www.moneycontrol.com/news/buzzing-stocks/bpcl-hpcl-fall-8-9-brent-at-9-mth-highiraq-tension_1103997.html	Moneycontrol.com	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.moneycontrol.com	1402651915739
276338	Iraq unrest pushes up oil price	http://www.breakingnews.ie/business/iraq-unrest-pushes-up-oil-price-633303.html	BreakingNews.ie	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.breakingnews.ie	1402651916025
276339	Iraq conflict heightens oil market concerns: IEA	http://www.cnbc.com/id/101756548	CNBC.com	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.cnbc.com	1402651916305
276340	FTSE100 firmly lower in early deals as Iraq spooks markets	http://www.iii.co.uk/stockmarketwire/172480/ftse100-firmly-lower-early-deals-iraq-spooks-markets	Interactive Investor	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.iii.co.uk	1402651916663
276341	Crude Oil Triggers Major Bullish Signal as Iraq Unrest Escalates, Targets $110  ...	http://www.ibtimes.co.uk/crude-oil-triggers-major-bullish-signal-iraq-unrest-escalates-targets-110-113-range-1452481	International Business Times UK	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.ibtimes.co.uk	1402651916952
276342	Stock futures, oil prices rise	http://americasmarkets.usatoday.com/2014/06/13/stocks-friday-6/	USA TODAY	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	americasmarkets.usatoday.com	1402651917223
276343	Threats, Markets, Iraq And Oil	http://www.actionforex.com/analysis/daily-forex-fundamentals/threats,-markets,-iraq-and-oil-20140613217852/	Action Forex	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.actionforex.com	1402651917523
276344	Iraq violence threatens OPEC's precarious balance	http://www.thetowntalk.com/viewart/20140613/BUSINESS/140612003/Iraq-violence-threatens-OPEC-s-precarious-balance-	Alexandria Town Talk	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.thetowntalk.com	1402651917759
276345	Oil prices at 9-month high as Iraq crisis deepens	http://www.business-standard.com/article/economy-policy/oil-prices-at-9-month-high-as-iraq-crisis-deepens-114061300363_1.html	Business Standard \(blog\)	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.business-standard.com	1402651918049
276346	Rupee Hits One-Month Low as Oil Prices Spike to 9-Month High	http://profit.ndtv.com/news/forex/article-rupee-hits-one-month-low-as-oil-prices-spike-to-9-month-high-496493	NDTV	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	profit.ndtv.com	1402651918488
276347	Europe shares lower as Iraq weighs; Oil majors gain	http://www.cnbc.com/id/101756238	CNBC.com	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.cnbc.com	1402651918719
276348	Brent hits nine-month top on Iraq crisis	http://www.business-standard.com/article/reuters/brent-hits-nine-month-top-on-iraq-crisis-114061300484_1.html	Business Standard	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.business-standard.com	1402651918933
276349	Friday newspaper round-up: Oil prices, Mortgage lending, SSE…	http://www.ifamagazine.com/news/friday-newspaper-round-up-oil-prices-mortgage-lending-sse-300727	IFA Magazine	b	d213zY9vVA7_w1MQt0rokz_zl7rXM	www.ifamagazine.com	1402651919169
