284201	Tesla head Elon Musk's 'high-risk' patent gamble	http://www.bbc.co.uk/news/blogs-echochambers-27823166	BBC News	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.bbc.co.uk	1402748275757
284202	What Elon Musk stands to gain from opening Tesla's patents	http://upstart.bizjournals.com/companies/innovation/2014/06/13/what-elon-musk-stands-to-gain-from-opening-teslas.html	Upstart	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	upstart.bizjournals.com	1402748276000
284203	Tesla hands over keys to its technology on electric cars	http://www.scmp.com/business/companies/article/1532091/tesla-hands-over-keys-its-technology-electric-cars	South China Morning Post	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.scmp.com	1402748276350
284204	So How Many Tesla Patents Are There?	http://gas2.org/2014/06/13/many-tesla-patents/	Gas 2.0	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	gas2.org	1402748276741
284205	Tesla Goes Open Source: What Gives?	http://www.popularmechanics.com/cars/alternative-fuel/electric/tesla-goes-open-source-what-gives-16888078\?click=pm_latest	Popular Mechanics	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.popularmechanics.com	1402748276999
284206	Elon Musk and Tesla: Altruistic or Ulterior Motive? - Real Time Insight	http://www.nasdaq.com/article/elon-musk-and-tesla-altruistic-or-ulterior-motive-real-time-insight-cm361737	NASDAQ	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.nasdaq.com	1402748277247
284207	Musk Spreads the Tesla Effect—and Builds his Brand—with Open Playbook	http://www.brandchannel.com/home/post/2014/06/13/140613-Tesla-Open-Source-Patents.aspx	brandchannel.com	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.brandchannel.com	1402748277514
284208	Tesla Motors opens up all patents, encouraging open-source EV tech market	http://www.egmcartech.com/2014/06/13/tesla-motors-opens-up-all-patents-encouraging-open-source-ev-tech-market/	eGMCarTech	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.egmcartech.com	1402748277839
284209	Tesla gives up patents to 'open source movement'	http://metronews.ca/drive/1065776/tesla-gives-up-patents-to-open-source-movement/	MetroNews Canada	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	metronews.ca	1402748278088
284210	Who Shared the Electric Car?	http://www.newyorker.com/online/blogs/currency/2014/06/elon-musk-shares-tesla-patents.html	New Yorker \(blog\)	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.newyorker.com	1402748278489
284211	Tesla to Share Patents to Boost Electric Car Development	http://www.zacks.com/stock/news/136848/tesla-to-share-patents-to-boost-electric-car-development	Zacks.com	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.zacks.com	1402748278787
284212	Why Tesla Gave Up on Patents	http://www.theatlantic.com/business/archive/2014/06/why-tesla-gave-up-on-patents/372703/	The Atlantic	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.theatlantic.com	1402748279058
284213	Patent Litigation	http://www.mediate.com/articles/MarkowitzJbl20140613.cfm	Mediate.com	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.mediate.com	1402748279378
284214	Does Tesla patent giveaway include the house secrets?	http://www.bizjournals.com/sanjose/news/2014/06/13/tesla-patent-giveway-might-not-include-the-house.html	Silicon Valley Business Journal	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.bizjournals.com	1402748279576
284215	Tesla does the unthinkable and open sources patent portfolio	http://www.networkworld.com/article/2363179/wireless/tesla-does-the-unthinkable-and-open-sources-patent-portfolio.html	Network World	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.networkworld.com	1402748279920
284216	Tesla Motors Given Positive Rating at Robert W. Baird (TSLA)	http://www.intercooleronline.com/stocks/tesla-motors-given-positive-rating-at-robert-w-baird-tsla/12328/	Intercooler	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.intercooleronline.com	1402748280178
284217	US biggest electric car maker Tesla gives away its patents – but why?	http://rt.com/business/165832-electric-tesla-gives-patents/	RT	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	rt.com	1402748280414
284218	Tesla talks about shared charger network with BMW	http://www.usatoday.com/story/money/cars/2014/06/13/tesla-bmw-chargers/10411281/	USA TODAY	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.usatoday.com	1402748280719
284219	Tesla offers a boost to other electric carmakers	http://www.consumerreports.org/cro/news/2014/06/tesla-offers-a-boost-to-other-electric-carmakers/index.htm	ConsumerReports.org	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.consumerreports.org	1402748280957
284220	Rick Perry Drives A Tesla Model S, Really Wants Gigafactory	http://gas2.org/2014/06/13/rick-perry-drives-a-tesla-model-s-really-wants-gigafactory/	Gas 2.0	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	gas2.org	1402748281233
284221	Tesla CEO offers up its patents	http://www.columbiatribune.com/business/tesla-ceo-offers-up-its-patents/article_511c58de-f31e-11e3-bfe0-10604b9f1ff4.html	Columbia Daily Tribune	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.columbiatribune.com	1402748281469
284222	Tesla and BMW held EV talks amid open patent move	http://www.slashgear.com/tesla-and-bmw-held-ev-talks-amid-open-patent-move-13333570/	SlashGear	t	d3PeLGI2rkc1LCM_rtWzTItHryEZM	www.slashgear.com	1402748281888
