292801	JetBlue apologizes after 3-year-old forced to pee in her seat	http://wgntv.com/2014/06/16/jetblue-apologizes-after-3-year-old-forced-to-pee-in-her-seat/	WGNtv.com	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	wgntv.com	1402950407214
292802	Toddler Refused Restroom on JetBlue Plane	http://www.hlntv.com/article/2014/06/16/jetblue-apology-toddler-refused-restroom	HLNtv.com	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.hlntv.com	1402950407440
292803	JetBlue Tells Little Girl She Can't Use Toilet, Almost Throws Her Off Plane After  ...	http://consumerist.com/2014/06/16/jetblue-tells-little-girl-she-cant-use-toilet-almost-throws-her-off-plane-after-she-wets-herself/	The Consumerist	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	consumerist.com	1402950407835
292804	JetBlue Apologizes to Mass. Mother for Not Letting Child Use Bathroom	http://www.wggb.com/2014/06/16/jetblue-apologizes-to-mass-mother-for-not-letting-child-use-bathroom/	abc40	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.wggb.com	1402950408063
292805	Airline makes amends after 3-year-old forced to pee in her seat	http://pix11.com/2014/06/16/airline-makes-amends-after-3-year-old-forced-to-pee-in-her-seat/	New York's PIX11 \/ WPIX-TV	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	pix11.com	1402950408290
292806	Girl pees on plane seat after refused bathroom trip	http://www.daytondailynews.com/news/news/girl-pees-plane-seat-after-refused-bathroom-trip/ngLnR/\?icmp=cmgcontent_internallink_relatedcontent_2014_partners3	Dayton Daily News	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.daytondailynews.com	1402950408627
292807	JetBlue Apologizes to Mass. Mother after Toddler Forced to Urinate in Plane Seat	http://www.fashiontimes.com/articles/8595/20140616/jetblue-apologizes-mass-mother-toddler-forced-urinate-plane-seat.htm	Fashion Times	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.fashiontimes.com	1402950408914
292808	JetBlue in 'Hot Seat' After Flight Attendant Denies Toddler Potty Use, Urinates on  ...	http://au.ibtimes.com/articles/555865/20140616/jetblue-flight-attendant-toddler-potty-urinate-airline.htm	International Business Times AU	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	au.ibtimes.com	1402950409121
292809	JetBlue apologizes to mother after family was treated "like garbage"	http://fox59.com/2014/06/16/jetblue-apologizes-to-mother-after-family-was-treated-like-garbage/	Fox 59	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	fox59.com	1402950409336
292810	Mother of preschooler not allowed to use restroom on JetBlue flight, grateful for  ...	http://khon2.com/2014/06/15/mother-of-preschooler-not-allowed-to-use-restroom-on-flight-grateful-for-apology/	KHON2	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	khon2.com	1402950409828
292811	JetBlue apologizes after 3-year-old forced to urinate in airline seat	http://dailydigestnews.com/2014/06/jetblue-apologizes-after-3-year-old-forced-to-urinate-in-airline-seat/	Daily Digest	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	dailydigestnews.com	1402950410319
292812	Three-year-old urinates in seat after JetBlue flight attendant refuses to let her use  ...	http://www.smh.com.au/travel/travel-essentials/travel-news/threeyearold-urinates-in-seat-after-jetblue-flight-attendant-refuses-to-let-her-use-the-bathroom-20140616-3a73w.html	Sydney Morning Herald	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.smh.com.au	1402950410702
292813	Child urinated on plane seat after tarmac toilet torment	http://www.stuff.co.nz/travel/travel-troubles/10162530/Child-urinated-on-plane-seat-after-tarmac-toilet-torment	Stuff.co.nz	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.stuff.co.nz	1402950410950
292814	JetBlue sorry over plane humiliation	http://www.news.com.au/travel/travel-updates/jetblue-sorry-over-plane-humiliation/story-e6frfq80-1226955553765	NEWS.com.au	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.news.com.au	1402950411213
292815	Airline apologises after child urinates in plane seat	http://www.irishexaminer.com/world/airline-apologises-after-child-urinates-in-plane-seat-272235.html	Irish Examiner	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.irishexaminer.com	1402950411538
292816	Mom says toddler urinated in seat when JetBlue crew refused to let her use the  ...	http://www.bignewsnetwork.com/index.php/sid/222938069	Big News Network.com	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.bignewsnetwork.com	1402950411773
292817	Mom: Airline refused to let 3-year-old use bathroom	http://www.wlwt.com/news/mom-airline-refused-to-let-3yearold-use-bathroom/26503284	WLWT Cincinnati	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.wlwt.com	1402950412074
292818	Toddler Pees in Seat After JetBlue Refuses to Let Her Use Bathroom	http://gawker.com/three-year-old-defies-flight-attendant-pees-on-airplan-1591224997	Gawker	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	gawker.com	1402950412582
292819	Girl peed in plane seat after denied bathroom access	http://cnews.canoe.ca/CNEWS/World/2014/06/15/21741951.html	CANOE	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	cnews.canoe.ca	1402950412895
292820	Airline says sorry after child forced to pee in seat	http://www.themorningbulletin.com.au/news/airline-says-sorry-after-child-forced-pee-seat/2290059/	Rockhampton Morning Bulletin	e	dDL9IWWOz0kP1lMzFDYXF1MjTHE8M	www.themorningbulletin.com.au	1402950413462
