292901	James Franco will direct ex-girlfriend Ahna O'Reilly in Off-Broadway play after he  ...	http://www.dailymail.co.uk/tvshowbiz/article-2659178/James-Franco-expand-theater-resume-directing-Off-Broadway-play-just-months-making-Broadway-debut-actor.html	Daily Mail	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.dailymail.co.uk	1402951314249
292902	James Franco To Direct 'The Long Shrift' At Rattlesticks Playwrite Theatre	http://www.contactmusic.com/article/james-franco-the-long-shrift-theatre-director-of-mice-and-men_4246048	Contactmusic.com	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.contactmusic.com	1402951314570
292903	James Franco Is Now a Theater Director, Too	http://time.com/2882626/james-franco-directs-off-broadway-play/	TIME	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	time.com	1402951315047
292904	James Franco turns broadway director	http://www.asianage.com/hollywood/james-franco-turns-broadway-director-184	The Asian Age	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.asianage.com	1402951315327
292905	James Franco to make stage directing debut at Rattlestick Playwrights Theater  ...	http://www.tribtown.com/view/story/856e14115cc542419c5a027c8e209461/US--Theater-James-Franco	The Tribune	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.tribtown.com	1402951315564
292906	How Franconian: James Franco to direct play while starring on Broadway	http://www.latimes.com/entertainment/arts/culture/la-et-cm-james-franco-directing-play-rattlestick-20140616-story.html	Los Angeles Times	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.latimes.com	1402951315972
292907	Now James Franco is directing a play	http://popwatch.ew.com/2014/06/16/james-franco-directing-play-long-shrift/	Entertainment Weekly	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	popwatch.ew.com	1402951316227
292908	James Franco to make theatre directing debut in New York	http://www.theguardian.com/stage/2014/jun/16/james-franco-theatre-directing-debut-the-long-shrift-rattlestick-playwrights	The Guardian	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.theguardian.com	1402951316494
292909	James Franco Will Direct a Play in NYC, Never Sleep Again	http://www.thewrap.com/james-franco-will-direct-a-play-in-nyc-never-sleep-again/	TheWrap	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.thewrap.com	1402951317212
292910	James Franco Will Make Stage Directing Debut for Rattlestick Playwrights  ...	http://www.broadway.com/buzz/176378/james-franco-will-make-stage-directing-debut-for-rattlestick-playwrights-theater-20th-anniversary-season-announced/	Broadway.com	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.broadway.com	1402951317521
292911	Superhuman James Franco to Direct Play in New York City	http://www.celebuzz.com/2014-06-16/superhuman-james-franco-to-direct-play-in-new-york-city/	Celebuzz	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.celebuzz.com	1402951317972
292912	James Franco signs on to direct play in effort to be most prolific artist ever	http://thecelebritycafe.com/feature/2014/06/james-franco-signs-direct-play-effort-be-most-prolific-artist-ever	TheCelebrityCafe.com	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	thecelebritycafe.com	1402951318213
292913	James Franco to Make Directorial Debut for Rattlestick Playwrights Theater's  ...	http://www.broadwayworld.com/bwwmovies/article/James-Franco-to-Make-Directorial-Debut-for-Rattlestick-Playwrights-Theaters-THE-LONG-SHRIFT-20140616	Broadway World	e	dwF7SzOpuZoie9MgsllTQ4Vgeho-M	www.broadwayworld.com	1402951318406
