293201	Kate Helps Prince George To Take First Steps	http://news.sky.com/story/1283093/kate-helps-prince-george-to-take-first-steps	Sky News	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	news.sky.com	1402953205619
293202	Kate Middleton Gets Loving Glance From Prince William During Official Ceremony	http://www.inquisitr.com/1302313/kate-middleton-gets-loving-glance-from-prince-william-during-official-ceremony/	The Inquisitr	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.inquisitr.com	1402953205973
293203	Kate Middleton's stunning summer style	https://ca.shine.yahoo.com/photos/kate-middleton-s-stunning-summer-style-slideshow/prince-george-and-kate-photo-1402929739805.html	Yahoo Canada Shine	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	ca.shine.yahoo.com	1402953206208
293204	Prince George Of Cambridge Walks At Prince William's Polo Match; See  ...	http://www.fashionnstyle.com/articles/21098/20140616/prince-george-of-cambridge-walks-prince-william-polo-match-see-adorable-photos-catherine-duchess-of-cambridge.htm	Fashion \& Style	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.fashionnstyle.com	1402953206477
293205	Duke and Duchess of Cambridge join the Queen for Garter ceremony at Windsor	http://www.windsorexpress.co.uk/News/Areas/Windsor/Duke-and-Duchess-of-Cambridge-join-the-Queen-for-Garter-ceremony-at-Windsor-16062014.htm	Windsor Express	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.windsorexpress.co.uk	1402953206805
293206	Photos: Prince George steals the show on Father's Day	http://blogs.babycenter.com/celebrities/photos-prince-george-kate-middleton-06162014-steals-the-show-on-fathers-day/	BabyCenter \(blog\)	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	blogs.babycenter.com	1402953207019
293207	Prince George is Walking—See the Pics!	http://www.heraldmailmedia.com/entertainment/parade/parade_entertainment/prince-george-is-walking-see-the-pics/article_a03d5e7d-f813-591b-aa2f-4bdb311a902c.html	Herald-Mail Media	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.heraldmailmedia.com	1402953207330
293208	Kate Middleton stuns as she sails solo at two events in one day	http://www.ok.co.uk/celebrity-news/kate-middleton-prince-george-first-birthday-present	OK\! Magazine	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.ok.co.uk	1402953207663
293209	Royal Mint creates new coin to celebrate Prince George's first birthday	http://www.upi.com/Top_News/World-News/2014/06/16/Royal-Mint-creates-new-coin-to-celebrate-Prince-Georges-first-birthday/8641402936995/	UPI.com	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.upi.com	1402953208022
293210	The Daily Cute: A Very Furry Father's Day	http://www.heraldtimesonline.com/entertainment/parade/parade_living/the-daily-cute-a-very-furry-father-s-day/article_515db3f2-9fa5-52ac-8edf-4f32c5a6cde4.html	The Herald-Times \(subscription\)	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.heraldtimesonline.com	1402953208288
293211	Prince Harry Spreads His Legs As He Play Father's Day Polo With The Family	http://www.socialitelife.com/prince-harry-spreads-his-legs-as-he-play-fathers-day-polo-with-the-family-06-2014	Socialite Life	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.socialitelife.com	1402953208773
293212	Kate Middleton and Prince William Attend Garter Day at Windsor Castle: Photos	http://www.usmagazine.com/celebrity-style/news/kate-middleton-prince-william-attend-garter-day-pictures-2014166	Us Magazine	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.usmagazine.com	1402953209039
293213	The Royal Mint celebrates Prince George's birthday with a special £5 coin	http://www.coinweek.com/people-in-the-news/the-royal-mint-celebrates-prince-georges-birthday-special-5-coin/	CoinWeek	e	dSUrKCdLaTYIcmMEJlzhgWaqKTOoM	www.coinweek.com	1402953209273
