293801	It's Official: California Has a Whooping Cough Epidemic	http://www.allgov.com/usa/ca/news/controversies/its-official-california-has-a-whooping-cough-epidemic-140616\?news=853418	AllGov	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	www.allgov.com	1402957603020
293802	Pertussis Epidemic: Whooping Cough Cases Spike in California	http://www.weather.com/health/pertussis-epidemic-whooping-cough-cases-spike-california-20140616	The Weather Channel	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	www.weather.com	1402957603265
293803	California's whooping cough outbreak is officially an epidemic	http://www.salon.com/2014/06/16/californias_whooping_cough_outbreak_is_officially_an_epidemic/	Salon	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	www.salon.com	1402957603489
293804	Health Highlights: June 13, 2014	http://www.philly.com/philly/health/topics/HealthDay688874_20140616_Health_Highlights__June_13__2014.html	Philly.com	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	www.philly.com	1402957604003
293805	Whooping cough outbreak leads to warning	http://sfbay.ca/2014/06/16/whooping-cough-outbreak-leads-to-warning/	SFBay	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	sfbay.ca	1402957604351
293806	Whooping Cough Is Now a Full-Blown Epidemic in California	http://www.gizmodo.in/science/Whooping-Cough-Is-Now-a-Full-Blown-Epidemic-in-California/articleshow/36563344.cms	Gizmodo India	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	www.gizmodo.in	1402957604610
293807	Whooping cough reaches epidemic level in California	http://www.techtimes.com/articles/8516/20140615/whooping-cough-reaches-epidemic-level-in-california.htm	Tech Times	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	www.techtimes.com	1402957604860
293808	Whooping cough overwhelming the State of California	http://www.catholic.org/news/health/story.php\?id=55811	Catholic Online	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	www.catholic.org	1402957605153
293809	California declares a whooping cough epidemic	http://wtkr.com/2014/06/16/california-declares-a-whooping-cough-epidemic/	wtkr.com	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	wtkr.com	1402957605444
293810	California reports whooping-cough epidemic	http://wavy.com/2014/06/16/california-reports-whooping-cough-epidemic/	WAVY-TV	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	wavy.com	1402957605712
293811	California experiencing a whooping cough epidemic – over 800 new cases  ...	http://placercountyonline.com/2014/california-experiencing-whooping-cough-epidemic-800-new-cases-reported-last-two-weeks/	Placer County Online	m	d8CJDwqEB9ZLn8MogoqPG6bPwXZKM	placercountyonline.com	1402957606070
293812	Store wars see inflation rate dive	http://www.edp24.co.uk/business/store_wars_see_inflation_rate_dive_1_3645637	Norfolk Eastern Daily Press	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.edp24.co.uk	1402999127990
293813	UK inflation slows again to 1.5%: data	https://uk.finance.yahoo.com/news/uk-inflation-slows-again-1-094444759.html	Yahoo Finance UK	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	uk.finance.yahoo.com	1402999128212
293814	REPEAT: UK Inflation Slows More Than Expected In May	http://www.lse.co.uk/AllNews.asp\?code=xxa0oa21&amp;headline=REPEAT_UK_Inflation_Slows_More_Than_Expected_In_May	London South East	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.lse.co.uk	1402999128498
293815	Inflation set to stay below target	http://www.expressandstar.com/news/uk-news/2014/06/16/inflation-set-to-stay-below-target-2/	expressandstar.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.expressandstar.com	1402999128753
293816	'Supermarket Price War' Helps Inflation Ease	http://www.citytalk.fm/news/business/20140617-supermarket-price-war-helps-inflation-ease/	City Talk 105.9	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.citytalk.fm	1402999129117
293817	Swiss PPI rises 0.1% in May	http://www.nasdaq.com/article/swiss-ppi-rises-01-in-may-cm362231	NASDAQ	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.nasdaq.com	1402999129349
293818	Forex - Pound hits session lows after UK inflation data	http://www.investing.com/news/forex-news/forex---pound-hits-session-lows-after-uk-inflation-data-289983	Investing.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.investing.com	1402999129579
293819	UK: Supermarket Price Wars Help Drive Down Inflation	http://www.kamcity.com/namnews/asp/newsarticle.asp\?newsid=75700	Namnews	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.kamcity.com	1402999129931
293820	FTSE LIVE: Footsie higher after bigger than forecast fall in inflation	http://www.thisismoney.co.uk/money/markets/article-2659932/FTSE-LIVE-Investors-tread-carefully-US-mulls-action-Iraq.html	This is Money	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.thisismoney.co.uk	1402999130164
293821	UK Inflation Falls to Lowest Since 2009 at 1.5%	http://www.bloomberg.com/video/u-k-inflation-falls-to-lowest-since-2009-at-1-5-HIMbz0_IQ4KAs1eX~6dOGw.html	Bloomberg	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.bloomberg.com	1402999130452
293822	UK inflation falls to 4-1/2 year low in May as food prices fall	http://www.iii.co.uk/news-opinion/reuters/news/173165	Interactive Investor	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.iii.co.uk	1402999130656
293823	U.K. Inflation Slows More Than Expected In May	http://www.rttnews.com/2337825/u-k-inflation-slows-more-than-expected-in-may.aspx\?type=alleco	RTT News	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.rttnews.com	1402999130976
293824	UK CPI inflation falls to 1.5%	http://www.investmentweek.co.uk/investment-week/news/2350439/uk-cpi-inflation-falls-to-15-in-year-to-may	Investment Week	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.investmentweek.co.uk	1402999131205
293825	UK inflation slides to lowest since October 2009	http://www.cnbc.com/id/101764793	CNBC.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.cnbc.com	1402999131437
293826	UK May inflation falls to 1.5%, core CPI slows to 1.6%	http://www.investing.com/news/economic-indicators/u.k.-may-inflation-falls-to-1.5,-core-cpi-slows-to-1.6-289981	Investing.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.investing.com	1402999131642
293827	British inflation slows again to 1.5%	http://www.rte.ie/news/business/2014/0617/624412-uk-inflation-rate/	RTE.ie	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.rte.ie	1402999131877
293828	UK Inflation Hits Lowest Since 2009	http://www.freshbusinessthinking.com/news.php\?NID=22711&amp;Title=UK+Inflation+Hits+Lowest+Since+2009	Fresh Business Thinking	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.freshbusinessthinking.com	1402999132236
293829	UK inflation falls to 1.5pc in May as food prices fall	http://www.telegraph.co.uk/finance/economics/10905105/UK-inflation-falls-to-1.5pc-in-May-as-food-prices-fall.html	Telegraph.co.uk	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.telegraph.co.uk	1402999132486
293830	U.K. Inflation Drops Despite Faster Growth	http://www.nasdaq.com/article/uk-inflation-drops-despite-faster-growth-20140617-00095	NASDAQ	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.nasdaq.com	1402999132709
293831	UK consumer prices drop sharply in May	http://www.ifamagazine.com/news/uk-consumer-prices-drop-sharply-in-may-300927	IFA Magazine	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.ifamagazine.com	1402999132932
293832	German ZEW economic sentiment falls to 18-month low of 29.8 in June	http://www.investing.com/news/economic-indicators/german-zew-economic-sentiment-falls-to-18-month-low-of-29.8-in-june-289984	Investing.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.investing.com	1402999133208
293833	British inflation slows again to 1.5%: Official data	http://zeenews.india.com/business/news/international/british-inflation-slows-again-to-1-5-official-data_101997.html	Zee News	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	zeenews.india.com	1402999133438
293834	UK inflation falls despite faster growth	http://www.marketwatch.com/story/uk-inflation-falls-despite-faster-growth-2014-06-17\?link=MW_latest_news	MarketWatch	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.marketwatch.com	1402999133645
293835	British inflation slows again to 1.5 percent	http://www.thestandard.com.hk/breaking_news_detail.asp\?id=50793&amp;icid=a&amp;d_str=	Hong Kong Standard	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.thestandard.com.hk	1402999133887
293836	Inflation Falls to 1.5%	http://www.morningstar.co.uk/uk/news/125602/inflation-falls-to-15.aspx	Morningstar	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.morningstar.co.uk	1402999134181
293837	A Surprisingly Cool Inflation Number From The UK	http://www.businessinsider.in/A-Surprisingly-Cool-Inflation-Number-From-The-UK/articleshow/36710241.cms	Businessinsider India	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.businessinsider.in	1402999134445
293838	Economy: CPI inflation falls to its lowest in more than four years	http://www.eadt.co.uk/business/economy_cpi_inflation_falls_to_its_lowest_in_more_than_four_years_1_3645521	East Anglian Daily Times	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.eadt.co.uk	1402999134701
293839	UK Inflation Drops To Record Low In May, Pound Drops	http://www.actionforex.com/analysis/daily-forex-fundamentals/uk-inflation-drops-to-record-low-in-may,-pound-drops-20140617218087/	Action Forex	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.actionforex.com	1402999134999
293840	CPI resumes slide after Easter spike	http://citywire.co.uk/wealth-manager/cpi-resumes-slide-after-easter-spike/a757311	Citywire.co.uk	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	citywire.co.uk	1402999135582
293841	UK inflation falls to 1.5%	http://www.ftadviser.com/2014/06/17/investments/economic-indicators/uk-inflation-falls-to-cI1GbHVIuLOVeA1xcawlbM/article.html	FT Adviser	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.ftadviser.com	1402999135877
293842	Inflation at lowest level since 2009	http://www.itv.com/news/update/2014-06-17/inflation-at-lowest-level-since-2009/	ITV News	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.itv.com	1402999136174
293843	Falling air fares help drive inflation down to 1.5%	http://www.walesonline.co.uk/business/business-news/falling-air-fares-help-drive-7278620	WalesOnline	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.walesonline.co.uk	1402999136430
293844	UK Inflation Falls To 1.5%, But Still Eating Away At Your Pay Packet	http://www.huffingtonpost.co.uk/2014/06/17/uk-inflation-pay-squeeze-rise_n_5502041.html	Huffington Post UK	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.huffingtonpost.co.uk	1402999136668
293845	EUR/GBP: Sterling falls on weaker-than-expected inflation data	http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=0071cdbe-79f7-4428-b20e-88c39ef31eef	FXstreet.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.fxstreet.com	1402999136918
293846	BREAKING NEWS: Inflation resumes downward trend	http://www.thebusinessdesk.com/westmidlands/news/632229-breaking-news-inflation.html\?news_section=19009	The Business Desk \(registration\)	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.thebusinessdesk.com	1402999137305
293847	Inflation falls to 1.5pc as "Easter effect" subsides	http://www.cityam.com/blog/1402993912/inflation-falls-15pc-easter-effect-subsides	CITY A.M. \(blog\)	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.cityam.com	1402999137541
293848	UK Inflation Rate Hits Lowest Since 2009 on Food, Transport	http://www.businessweek.com/news/2014-06-17/u-dot-k-dot-inflation-rate-hits-lowest-since-2009-on-food-transport	Businessweek	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.businessweek.com	1402999137797
293849	Expect German ZEW Index To Increase To 33.1	http://www.investing.com/analysis/expect-german-zew-index-to-increase-to-33.1-216328	Investing.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.investing.com	1402999138034
293850	UK Leads Week With Inflation Data, ZEW Confidence Survey In Focus	http://www.actionforex.com/analysis/daily-forex-fundamentals/uk-leads-week-with-inflation-data,-zew-confidence-survey-in-focus-20140617218067/	Action Forex	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.actionforex.com	1402999138563
293851	Major News This Week	http://www.investing.com/analysis/major-news-this-week-216329	Investing.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.investing.com	1402999138756
293852	Consumer Inflation in Dubai Climbs 2.76% in May	http://www.dubaichronicle.com/2014/06/17/consumer-inflation-dubai-climbs-2-76-may/	Dubai Chronicle	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.dubaichronicle.com	1402999138950
293853	GBP/USD Risks Pullback On Dismal UK Consumer Price Index	http://www.investing.com/analysis/gbp-usd-risks-pullback-on-dismal-uk-consumer-price-index-216310	Investing.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.investing.com	1402999139134
293854	Forex Market: USD/CHF daily forecast	http://www.binarytribune.com/2014/06/17/forex-market-usdchf-daily-forecast-12/	Binary Tribune	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.binarytribune.com	1402999139336
293855	Forex Market: GBP/CHF daily forecast	http://www.binarytribune.com/2014/06/17/forex-market-gbpchf-daily-forecast-20/	Binary Tribune	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.binarytribune.com	1402999139712
293856	3 Numbers: UK CPI to stay steady, German ZEW, US Housing Starts	https://www.tradingfloor.com/posts/3-numbers-uk-cpi-to-stay-steady-german-zew-us-housing-starts-843988	TradingFloor.com	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.tradingfloor.com	1402999139928
293857	Europe to open higher ahead of UK CPI and German ZEW	http://www.cmcmarkets.co.uk/en/blog/2014/06/17/europe-open-higher-ahead-uk-cpi-and-german-zew	CMC Markets Site \(blog\)	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.cmcmarkets.co.uk	1402999140171
293858	Inflation predicted to have slowed after discounts buoyed economy	http://www.theguardian.com/business/2014/jun/17/inflation-slowed-discounts-economy-rpi-figures	The Guardian	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.theguardian.com	1402999140409
293859	Dubai consumer inflation reaches 2.76% in May	http://www.zawya.com/story/Dubai_consumer_inflation_reaches_276_in_May-GN_16062014_170655/	Zawya \(registration\)	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.zawya.com	1402999141181
293860	GBP/USD Risks Larger Pullback on Dismal UK Consumer Price Index (CPI)	http://www.insidefutures.com/article/1244759/GBP/USD%20Risks%20Larger%20Pullback%20on%20Dismal%20UK%20Consumer%20Price%20Index%20(CPI).html	Inside Futures	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.insidefutures.com	1402999141453
293861	Tuesday preview: UK inflation figures released	http://www.ifamagazine.com/news/tuesday-preview-uk-inflation-figures-released-300884	IFA Magazine	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.ifamagazine.com	1402999141892
293862	Gold Gains On Iraq Tensions	http://www.actionforex.com/analysis/daily-forex-fundamentals/gold-gains-on-iraq-tensions-20140616218000/	Action Forex	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.actionforex.com	1402999142114
293863	Don't Be Fooled by the PPI: Inflation Is Coming	http://wallstcheatsheet.com/business/dont-be-fooled-by-the-ppi-inflation-is-coming.html/\?a=viewall	Wall St. Cheat Sheet	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	wallstcheatsheet.com	1402999142340
293864	EUR/USD – Under Pressure As Eurozone CPI Matches Forecast	http://www.actionforex.com/analysis/daily-forex-fundamentals/eur%10usd-%E2%80%93-under-pressure-as-eurozone-cpi-matches-forecast-20140616217994/	Action Forex	b	dIUKxKobfetFs5MVfNfRYZBVBrYbM	www.actionforex.com	1402999142800
293865	Shell further reduces its interest in Woodside	http://www.youroilandgasnews.com/shell+further+reduces+its+interest+in+woodside_102294.html	Your Oil and Gas News \(press release\)	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	www.youroilandgasnews.com	1402999374978
293866	Shell sells $5 billion stake in Woodside	http://www.thenewstribune.com/2014/06/16/3247125/shell-sells-5-billion-stake-in.html\?sp=/99/296/358/	TheNewsTribune.com	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	www.thenewstribune.com	1402999375196
293867	Shell to cut Woodside holding by $5 bn	http://zeenews.india.com/business/news/international/shell-to-cut-woodside-holding-by-5-bn_101993.html	Zee News	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	zeenews.india.com	1402999375506
293868	Royal Dutch Shell Plc Sells Woodside Stake for £3bn	http://www.fool.co.uk/investing/company-comment/2014/06/17/royal-dutch-shell-plc-sells-woodside-stake-for-3bn/	The Motley Fool UK	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	www.fool.co.uk	1402999375766
293869	Shell to sell most of stake in Australia's Woodside for $5.7 bln	http://www.iii.co.uk/news-opinion/reuters/news/173039	Interactive Investor	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	www.iii.co.uk	1402999376273
293870	Shell share price: Company cuts stake in Australia's Woodside	http://invezz.com/news/equities/11534-shell-share-price-company-cuts-stake-in-australias-woodside	iNVEZZ	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	invezz.com	1402999376491
293871	Shell reduces Woodside interest	http://www.energyglobal.com/news/liquid-natural-gas/articles/Shell_reduces_Woodside_interest_200.aspx	Energy Global	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	www.energyglobal.com	1402999376751
293872	Shell to cut stake in Woodside	http://www.iol.co.za/business/companies/shell-to-cut-stake-in-woodside-1.1704299	Independent Online	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	www.iol.co.za	1402999376968
293873	Woodside buys back shares from Shell	http://www.lngindustry.com/news/liquid-natural-gas/articles/Woodside_buys_back_Shell_shares_773.aspx	LNG Industry	b	dsQ52Lmn79pZYzM6WHiH4nTwxlBNM	www.lngindustry.com	1402999377168
