301101	Dr. Oz Defends His Show's Impact on Weight-Loss Scams	http://www.nutritionaloutlook.com/140617/Oz	Nutritional Outlook	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.nutritionaloutlook.com	1403094684964
301102	Dr. Oz under fire for endorsing 'bogus' weight loss products	http://pix11.com/2014/06/17/dr-oz-under-fire-for-endorsing-bogus-weight-loss-products/	New York's PIX11 \/ WPIX-TV	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	pix11.com	1403094685207
301103	Smart Woman: Deceptive Weight Loss Ads	http://www.bigcountryhomepage.com/story/d/story/smart-woman-deceptive-weight-loss-ads/42150/OIqSra6rCkaqYf3_MVpfdQ	Big Country Homepage	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.bigcountryhomepage.com	1403094685457
301104	Dr. Mehmet Oz in the hot seat during Senate Panel over weight loss products	http://thecelebritycafe.com/feature/2014/06/dr-mehmet-oz-hot-seat-during-senate-panel-over-weight-loss-products	TheCelebrityCafe.com	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	thecelebritycafe.com	1403094685808
301105	Dr Oz has hearing over weight loss scams	http://tvnz.co.nz/world-news/dr-oz-has-hearing-over-weight-loss-scams-6006181	TVNZ	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	tvnz.co.nz	1403094685980
301106	Senate slams Oz over supplements	http://triblive.com/usworld/nation/6300758-74/loss-weight-products	Tribune-Review	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	triblive.com	1403094686219
301107	Sen. Claire McCaskill Dissects Dr. Oz for Weight Loss Scams	http://www.slate.com/blogs/weigel/2014/06/17/sen_claire_mccaskill_dissects_dr_oz_for_weight_loss_scams.html	Slate Magazine \(blog\)	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.slate.com	1403094686412
301108	Senate Panel Rips Dr. Oz a New One for Lying to Your Fat Face	http://gawker.com/senate-panel-rips-dr-oz-a-new-one-for-lying-to-your-fa-1592267057	Gawker	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	gawker.com	1403094686627
301109	McCaskilll scolds Dr. Oz for promotion of controversial weight-loss products	http://lakeexpo.com/news/top_stories/mccaskilll-scolds-dr-oz-for-promotion-of-controversial-weight-loss/article_36a55c9a-f66f-11e3-b08e-001a4bcf887a.html	Lake Expo	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	lakeexpo.com	1403094687479
301110	Senators Question Dr. Oz Over Sketchy Diet Solutions	http://www.thewire.com/national/2014/06/dr-oz-diet-pills-hearing/372964/	The Wire	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.thewire.com	1403094687744
301111	Dr. Oz's 'Miracle' Weight Loss Claims Grilled By Senators.	http://www.your-story.org/dr-ozs-miracle-weight-loss-claims-grilled-by-senators/19422357/	Your-Story.org	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.your-story.org	1403094688028
301112	Dr. Oz on Green Coffee Bean	http://www.theepochtimes.com/n3/743479-dr-oz-on-green-coffee-bean/	The Epoch Times	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.theepochtimes.com	1403094688246
301113	Dr. Oz grilled by senators on Capitol Hill, about weight loss products	http://wtvr.com/2014/06/17/dr-oz-grilled-by-senators-on-capitol-hill-about-weight-loss-products/	wtvr.com	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	wtvr.com	1403094688453
301114	McCaskill Takes Aim at Diet Scams that are a crisis in consumer protection'	http://insurancenewsnet.com/oarticle/2014/06/17/mccaskill-takes-aim-at-diet-scams-that-are-a-crisis-in-consumer-protection-a-519078.html	Insurance News Net	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	insurancenewsnet.com	1403094689050
301115	AOL.com Article - Dr. Oz scolded at hearing on weight loss scams	http://www.aol.com/article/2014/06/17/dr-oz-scolded-at-hearing-on-weight-loss-scams/20914419/	AOL News \(blog\)	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.aol.com	1403094689292
301116	Sen. McCaskill grills Dr. Oz on 'miracle pill' ads	http://www.kctv5.com/story/25801811/sen-mccaskill-grills-dr-oz-on-miracle-pill-ads	KCTV Kansas City	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.kctv5.com	1403094689735
301117	Dr. Oz Scolded By Senators for Touting "Miracle" Weight-Loss Products on Show  ...	http://www.usmagazine.com/celebrity-body/news/dr-oz-scolded-by-senate-for-touting-miracle-weight-loss-products-2014176	Us Magazine	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.usmagazine.com	1403094689937
301118	Dr. Oz Defends Comments on Diet Aids	http://www.wearecentralpa.com/story/d/story/dr-oz-defends-comments-on-diet-aids/35510/N5rbMHOenkm8hX0Q94xqRQ	WTAJ	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.wearecentralpa.com	1403094690204
301119	Dr. Oz grilled over 'miracle' products	http://www.ktvz.com/health/dr-oz-grilled-over-miracle-products/26535146	KTVZ	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.ktvz.com	1403094690431
301120	Dr. Oz scolded over weight loss scams	http://www.beaumontenterprise.com/news/nation/article/Dr-Oz-scolded-at-hearing-on-weight-loss-scams-5559347.php	Beaumont Enterprise	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.beaumontenterprise.com	1403094690733
301121	McCaskill gives Dr. Oz tough medicine	http://www.washingtonpost.com/blogs/in-the-loop/wp/2014/06/17/mccaskill-gives-dr-oz-tough-medicine/	Washington Post \(blog\)	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.washingtonpost.com	1403094690984
301122	New emoji characters coming in July	http://www.cbs12.com/news/top-stories/stories/vid_16956.shtml	WPEC	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.cbs12.com	1403094691176
301123	Dr. Oz Gets Eviscerated By Senators For Making False Claims About Diet Products	http://www.refinery29.com/2014/06/69751/dr-oz-claire-mccaskill	Refinery29	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.refinery29.com	1403094691992
301124	Dr. Oz scolded at Capitol Hill hearing on weight loss scams	http://jacksonville.com/breaking-news/2014-06-17/story/dr-oz-scolded-capitol-hill-hearing-weight-loss-scams\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+jacksonville%2FTvvT+(Jacksonville+Entertainment+and+Nightlife+%E2%80%93+Jacksonville.com+and+The+Florida+Times-Union)	Florida Times-Union	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	jacksonville.com	1403094692245
301125	TV's Dr. Oz answers Senate's tough questions about weight loss products	http://www.nydailynews.com/entertainment/tv/dr-oz-fields-senate-questions-weight-loss-items-article-1.1833301	New York Daily News	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.nydailynews.com	1403094692768
301126	Senators blame Dr. Oz for contributing to weight-loss scams	http://www.washingtontimes.com/news/2014/jun/17/senators-blame-dr-oz-contributing-weight-loss-scam/	Washington Times	m	dG5lSzaNqUnG4zMmiA_sjcXjTcfMM	www.washingtontimes.com	1403094692969
