309701	Obama orders review of pesticides' effect on bees (Update)	http://phys.org/news/2014-06-obama-pesticides-effect-bees.html	Phys.Org	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	phys.org	1403557543822
309702	White House orders creation of 'Pollinator Health Task Force' to protect bees	http://www.telegraph.co.uk/news/worldnews/northamerica/usa/10916393/White-House-orders-creation-of-Pollinator-Health-Task-Force-to-protect-bees.html	Telegraph.co.uk	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.telegraph.co.uk	1403557544048
309703	White House Task Force to Save Honey Bees Takes Flight	http://www.latinpost.com/articles/15311/20140621/white-house-task-force-to-save-honey-bees-takes-flight.htm	Latin Post	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.latinpost.com	1403557544242
309704	White House unveils effort to save bees, other insects vital to agriculture	http://www.news10.net/story/news/nation/2014/06/20/feds-to-help-stop-bee-insect-bat-decline/11114865/	News10.net	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.news10.net	1403557544445
309705	White House Aims To Save the Honey Bees and Other Pollinators	http://www.techsonia.com/white-house-aims-to-save-the-honey-bees-and-other-pollinators/1915502/	Techsonia	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.techsonia.com	1403557544901
309706	To Save Bees, Pollinator Action Plan Is Introduced By Government	http://www.wallstreetotc.com/to-save-bees-pollinator-action-plan-is-introduced-by-government/24514/	WallStreet OTC	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.wallstreetotc.com	1403557545335
309707	Bee losses could cost economy billions	http://www.kgw.com/news/national/Bee-losses-could-cost-economy-billions--264064681.html	kgw.com	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.kgw.com	1403557545556
309708	The US sets up honey as a bee loss task force	http://www.anglechronicle.com/the-us-sets-up-honey-as-a-bee-loss-task-force/195133/	Angle Chronicle	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.anglechronicle.com	1403557545883
309709	Stung by Bee Decline, White House Sets Plan to Save Pollinators	http://www.newsmax.com/SciTech/bees-pollen-decline-protect/2014/06/20/id/578385/	Newsmax.com	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.newsmax.com	1403557546139
309710	Feds aim to save honeybee by launching Pollinator Health Task Force	http://nvonews.com/feds-aim-to-save-honeybee-by-launching-pollinator-health-task-force/	Northern Voices Online	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	nvonews.com	1403557546561
309711	Pollinators celebrated this week	http://www.leadertelegram.com/features/home_garden/article_9e5be9f3-c4c0-5e26-8005-639b0a7ebdda.html	Leader-Telegram	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.leadertelegram.com	1403557546761
309712	Many foods depend on animal pollinators	http://www.limaohio.com/news/opinion_columns/5088982/Many-foods-depend-on-animal-pollinators	LimaOhio.com	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.limaohio.com	1403557547013
309713	Gardening | Add some buzz to your yard: Bring back the pollinators	http://www.myrtlebeachonline.com/2014/06/21/4297217/gardening-copy-headline-here-for.html\?sp=/99/123/	MyrtleBeachOnline.com	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.myrtlebeachonline.com	1403557547254
309714	Bee losses could sting economy	http://www.nwcn.com/news/environment/Bee-losses-could-sting-economy-264061321.html	Northwest Cable News	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.nwcn.com	1403557547825
309715	Honey bee populations dwindling, US creates task force to fix it	http://www.thewestsidestory.net/2014/06/20/13187/bees/	The Westside Story	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.thewestsidestory.net	1403557548092
309716	White House Unveils Bee Plan, Creates Strategy To Restore Pollinator  ...	http://www.inquisitr.com/1310767/white-house-unveils-bee-plan-creates-strategy-to-restore-pollinator-populations/	The Inquisitr	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.inquisitr.com	1403557548737
309717	The Economic Challenge Posed by Declining Pollinator Populations	http://www.imperialvalleynews.com/index.php/news/national-news/9399-the-economic-challenge-posed-by-declining-pollinator-populations.html	Imperial Valley News	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.imperialvalleynews.com	1403557548959
309718	U.S., stung by bee decline, sets plan to save pollinators	http://www.globalpost.com/dispatch/news/thomson-reuters/140620/us-stung-bee-decline-sets-plan-save-pollinators	GlobalPost	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.globalpost.com	1403557549183
309719	Bee aware: It's National Pollinator Week through Sunday	http://www.oregonlive.com/hg/index.ssf/2014/06/bee_aware_national_pollinator.html	The Oregonian	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.oregonlive.com	1403557549762
309720	United States Fights For The Honey Bee	http://www.your-story.org/united-states-fights-for-the-honey-bee/19422688/	Your-Story.org	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.your-story.org	1403557549980
309721	White House announces strategy to save the honeybees	http://www.csmonitor.com/Science/2014/0620/White-House-announces-strategy-to-save-the-honeybees	Christian Science Monitor	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.csmonitor.com	1403557550217
309722	UPDATE 1-US, stung by bee decline, sets plan to save pollinators	http://www.reuters.com/article/2014/06/20/usa-agriculture-bees-idUSL2N0P11B820140620	Reuters	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.reuters.com	1403557550549
309723	Stung by bee decline, White House unveils new plan to save pollinators	http://www.al.com/news/index.ssf/2014/06/stung_by_bee_decline_white_hou.html	al.com	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.al.com	1403557550744
309724	The White House Wants to Save the Bees	http://time.com/2907230/the-white-house-wants-to-save-the-bees/	TIME	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	time.com	1403557550982
309725	White House task force charged with saving bees from mysterious decline	http://www.theguardian.com/environment/2014/jun/20/bees-die-off-mystery-white-house-plan-save	The Guardian	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.theguardian.com	1403557551238
309726	The Buzz about Bees	http://blogs.usda.gov/2014/06/20/the-buzz-about-bees/	USDA.gov \(press release\) \(blog\)	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	blogs.usda.gov	1403557551748
309727	Beyond Pesticides: Presidential Memorandum Acknowledges Pollinator  ...	http://www.nassaunewslive.com/beyond-pesticides-presidential-memorandum-acknowledges-pollinator-declines-and-mandates-federal-action/20284	Nassau News Live	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.nassaunewslive.com	1403557551988
309728	Fact Sheet: The Economic Challenge Posed by Declining Pollinator Populations	http://www.newsroomamerica.com/story/428350.html	Newsroom America	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.newsroomamerica.com	1403557552196
309729	SUBJECT: Creating a Federal Strategy to Promote the Health of Honey Bees  ...	http://www.newsroomamerica.com/story/428345.html	Newsroom America	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.newsroomamerica.com	1403557552532
309730	Pollinator Week draws attention to bees' plight	http://www.farmandranchguide.com/news/crop/pollinator-week-draws-attention-to-bees-plight/article_0d095ce4-f712-11e3-9202-001a4bcf887a.html\?comment_form=true	Farm and Ranch Guide	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.farmandranchguide.com	1403557552747
309731	Obama creates task force to stem decline in honey bee population	http://www.agri-pulse.com/Obama-creates-task-force-to-stem-decline-in-honey-bee-population-06202014.asp	Agri-Pulse	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.agri-pulse.com	1403557553011
309732	White House Offers Hope for Pollinators	http://enewspf.com/latest-news/science/science-a-environmental/53841-white-house-offers-hope-for-pollinators.html	eNews Park Forest	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	enewspf.com	1403557553217
309733	White House takes steps to save bees nationwide	http://www.katc.com/news/white-house-takes-steps-to-save-bees-nationwide/	KATC Lafayette News	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.katc.com	1403557553615
309734	USDA provides $8 million to help boost declining honey bee population	http://www.minnesotafarmguide.com/news/crop/usda-provides-million-to-help-boost-declining-honey-bee-population/article_7df617a6-f895-11e3-9d0e-0019bb2963f4.html\?comment_form=true	Minnesota Farm Guide	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.minnesotafarmguide.com	1403557553883
309735	Obama moves to save the honey bees, targets pesticides	http://washingtonexaminer.com/obama-moves-to-save-the-honey-bees-targets-pesticides/article/2550000	Washington Examiner	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	washingtonexaminer.com	1403557554118
309736	ASTA celebrates Pollinator Week	http://www.agprofessional.com/news/ASTA-celebrates-Pollinator-Week-263884431.html	agprofessional.com	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.agprofessional.com	1403557554549
309737	New Steps to Protect Pollinators, Critical Contributors to Our Nation's Economy	http://www.whitehouse.gov/blog/2014/06/20/new-steps-protect-pollinators-critical-contributors-our-nation-s-economy	The White House \(blog\)	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.whitehouse.gov	1403557554777
309738	What's all the buzz about?	http://www.reformer.com/localnews/ci_25998108/what-s-all-buzz-about-local-workshops-highlight	Brattleboro Reformer	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.reformer.com	1403557555005
309739	Hive mind Home gardeners can help save the bees — and our food supply	http://www.gazettenet.com/home/12172369-95/hive-mind-home-gardeners-can-help-save-the-bees-and-our-food	GazetteNET	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.gazettenet.com	1403557555242
309740	National Pollinators Week: Checking in on Colony Collapse Disorder	http://www.foodsafetynews.com/2014/06/draft-national-pollinators-week-checking-in-on-colony-collapse-disorder/	Food Safety News	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.foodsafetynews.com	1403557555798
309741	Whole Foods Market Uses Dairy Aisle To Highlight Plight Of Bees	http://www.perishablenews.com/index.php\?article=0037401	PerishableNews \(press release\)	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.perishablenews.com	1403557556015
309742	Pollination nation: Create a pollinator-friendly habitat in your yard	http://www.treehugger.com/lawn-garden/pollination-nation-create-pollinator-friendly-habitat-your-yard.html	Treehugger	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.treehugger.com	1403557556242
309743	New Jersey gardens: National Pollinator Week	http://www.nj.com/homegarden/index.ssf/2014/06/new_jersey_gardens_national_pollinator_week.html	The Star-Ledger	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.nj.com	1403557556514
309744	6 Ways to Celebrate the Birds and the Bees for National Pollinator Week	http://www.care2.com/causes/6-ways-to-celebrate-the-birds-and-the-bees-for-national-pollinator-week.html\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+causes%2Fenvironment+(Causes%3A+Environment)	Care2.com	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.care2.com	1403557556741
309745	Pollinators: Be careful with pesticides (Letter)	http://www.publicopiniononline.com/opinion/ci_25990759/pollinators-be-careful-pesticides-letter	Chambersburg Public Opinion	t	d2Q1X2-Bgs1ndbMNIKJknN2QsaMIM	www.publicopiniononline.com	1403557557141
309746	Onkyo, Integra Go All the Way with Dolby Atmos Enabled A/V Receivers	http://www.cepro.com/article/onkyo_goes_all_the_way_with_dolby_atmos_enabled_a_v_receivers/	CEPro	t	dfsRibVJR8kC8OMU-MtIiTTvrfkJM	www.cepro.com	1403558178612
309747	Denon, Marantz, Pioneer, Onkyo, Integra Reveal Dolby Atmos-Equipped Home  ...	http://www.bigpicturebigsound.com/Denon-Marantz-Pioneer-Onkyo-Integra-Reveal-Dolby-Atmos-Equipped-Home-Theater-Gear.shtml	Bigpicturebigsound.com	t	dfsRibVJR8kC8OMU-MtIiTTvrfkJM	www.bigpicturebigsound.com	1403558178892
309748	Dolby's immersive Atmos audio is coming to your living room	http://www.engadget.com/2014/06/23/dolby-atmos-coming-to-living-rooms/	Engadget	t	dfsRibVJR8kC8OMU-MtIiTTvrfkJM	www.engadget.com	1403558179175
309749	Dolby's Crazy Atmos Surround Sound Is Coming to Your Living Room	http://gizmodo.com/dolbys-crazy-atmos-surround-sound-is-coming-to-your-liv-1594714633	Gizmodo	t	dfsRibVJR8kC8OMU-MtIiTTvrfkJM	gizmodo.com	1403558179521
