311701	BMW M235i Scores 98 out of 100 in Consumer Reports Review [Video]	http://www.autoevolution.com/news/bmw-m235i-scores-98-out-of-100-in-consumer-reports-review-video-82945.html	autoevolution	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.autoevolution.com	1403639590254
311702	BMW M235i earns top ratings from Consumer Reports	http://www.newsday.com/classifieds/cars/bmw-m235i-earns-top-ratings-from-consumer-reports-1.8550259	Newsday	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.newsday.com	1403639590624
311703	BMW M235i Approaches Tesla Score in Consumer Reports Test	http://www.businessweek.com/news/2014-06-24/bmw-tops-porsche-corvette-in-consumer-reports-review	Businessweek	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.businessweek.com	1403639590868
311704	BMW M235i Surprises in Consumer Reports Tests, Out Scoring Impressive  ...	http://www.prweb.com/releases/2014/06/prweb11968708.htm	PR Web \(press release\)	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.prweb.com	1403639591192
311705	BMW tops Porsche's 911, GM's Corvette in Consumer Reports review	http://www.detroitnews.com/article/20140624/AUTO01/306240041/1361/BMW-tops-Porsche-s-911--GM-s-Corvette-in-Consumer-Reports-review	The Detroit News	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.detroitnews.com	1403639591522
311706	Porsche 911 edges the redesigned Chevrolet Corvette	http://www.consumerreports.org/cro/magazine/2014/08/chevrolet-corvette-vs-porsche-911/index.htm	ConsumerReports.org	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.consumerreports.org	1403639591828
311707	Take A Spin In The Most Beautiful American Car Ever Made	http://jalopnik.com/take-a-spin-in-the-most-beautiful-american-car-ever-mad-1594855670	Jalopnik	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	jalopnik.com	1403639592162
311708	XCAR Takes A Spin In The C2 Chevrolet Corvette: Video	http://gmauthority.com/blog/2014/06/xcar-takes-a-spin-in-the-c2-chevrolet-corvette-video/	GM Authority \(blog\)	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	gmauthority.com	1403639592410
311709	Why the Corvette vs 911 Rivalry Will Rage on Forever	http://www.popularmechanics.com/cars/news/auto-blog/chevrolet-corvette-versus-porsche-911	Popular Mechanics \(blog\)	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.popularmechanics.com	1403639592684
311710	Xcar journeys back to the original Corvette Stingray	http://www.autoblog.com/2014/06/23/xcar-corvette-stingray-video/	Autoblog \(blog\)	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.autoblog.com	1403639592953
311711	Even the UK Loves the C2 Corvette Stingray	http://www.carbuzz.com/news/2014/6/23/Even-the-UK-Loves-the-C2-Corvette-Stingray-7721012/	CarBuzz - Car News and Reviews	t	d-xjq2CAxzS_8XMTBNBqinAoX-FhM	www.carbuzz.com	1403639593223
311712	iPhone maker races up on talk of bigger screens	http://www.thestandard.com.hk/news_detail.asp\?we_cat=2&amp;art_id=146749&amp;sid=42507799&amp;con_type=1&amp;d_str=20140625&amp;fc=2	Hong Kong Standard	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.thestandard.com.hk	1403639715036
311713	Apple's larger Iphones said to start mass output next month	http://www.chicagotribune.com/business/technology/sns-wp-blm-news-bc-apple24-20140624,0,4425329.story	Chicago Tribune	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.chicagotribune.com	1403639715271
311714	Most people want a bigger iPhone—some are even willing to pay extra for it	http://qz.com/225557/most-people-want-a-bigger-iphone-some-are-even-willing-to-pay-extra-for-it/	Quartz	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	qz.com	1403639715584
311715	Rumor: Production on 2 New iPhones Starts in July	http://www.pcmag.com/article2/0,2817,2459993,00.asp	PC Magazine	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.pcmag.com	1403639715886
311716	Rumours fly over Apple iPhone 6, iWatch	http://www.thestar.com/business/tech_news/2014/06/24/rumours_fly_over_apple_iphone_6_iwatch.html	Toronto Star	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.thestar.com	1403639716318
311717	Report: Apple Nearing Large Screen iPhone Production	http://thevarguy.com/business-smartphone-and-tablet-technology-solutions/062414/report-apple-nearing-large-screen-iphone-product	The VAR Guy	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	thevarguy.com	1403639716660
311718	New mockup video compares 4.7, 5.5 inch iPhones	http://www.todaysiphone.com/2014/06/new-mockup-video-compares-4-7-5-5-inch-iphones/	Today's iPhone	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.todaysiphone.com	1403639717006
311719	Production On Apple's iPhone 6 Rumored To Begin In July	http://www.pingzine.com/production-on-apples-iphone-6-rumored-to-begin-in-july-34004/	Ping\! Zine Web Tech Magazine	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.pingzine.com	1403639717319
311720	iPhone 6 Gets Another Vote of Confidence	http://www.fool.com/investing/general/2014/06/24/iphone-6-gets-another-vote-of-confidence.aspx	Motley Fool	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.fool.com	1403639717586
311721	Apple's new iPhones head for assembly lines next month: sources	http://www.scmp.com/business/companies/article/1539913/apples-new-iphones-head-assembly-lines-next-month-sources	South China Morning Post	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.scmp.com	1403639717811
311722	Big iPhone production starts next month	http://www.business-standard.com/article/international/big-iphone-production-starts-next-month-114062500058_1.html	Business Standard	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.business-standard.com	1403639718142
311723	iPhone 6 production may start next month: Reports	http://www.foxnews.com/tech/2014/06/24/apple-iphone-6-production-will-start-next-month-reports/	Fox News	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.foxnews.com	1403639718401
311724	iPhone 6 Production Start Next Month, Signals September Release Date For  ...	http://www.designntrend.com/articles/15838/20140624/iphone-6-production-september-release-date-both-models.htm	Design \& Trend	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.designntrend.com	1403639718623
311725	Apple Will Release 2 Different-Sized Phones This Year: Report	http://www.huffingtonpost.com/2014/06/24/apple-iphone-big-larger_n_5524079.html	Huffington Post	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.huffingtonpost.com	1403639718899
311726	From horse's mouth: 4.6 & 5.5 incher iPhone production begins	http://nvonews.com/from-horses-mouth-4-6-5-5-incher-iphone-production-begins/	Northern Voices Online	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	nvonews.com	1403639719258
311727	Why Apple (AAPL) Stock Is Up Today	http://www.thestreet.com/story/12755369/1/why-apple-aapl-stock-is-up-today.html	TheStreet.com	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.thestreet.com	1403639719520
311728	Apple: Survey Says 'Material Upgrade' to Larger-Screen iPhone, Says RBC	http://blogs.barrons.com/techtraderdaily/2014/06/24/apple-survey-says-material-upgrade-to-larger-screen-iphone-says-rbc/\?mod=BOLBlog	Barron's \(blog\)	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	blogs.barrons.com	1403639719804
311729	Report: Bigger iPhones coming this fall	http://myfox8.com/2014/06/24/report-bigger-iphones-coming-this-fall/	myfox8.com	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	myfox8.com	1403639720465
311730	iPhone 6 Release Date Rumors: 5.5-Inch 'Phablet' Production Begins in July	http://www.theepochtimes.com/n3/759196-iphone-6-release-date-rumors-5-5-inch-phablet-production-begins-in-july/	The Epoch Times	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.theepochtimes.com	1403639720710
311731	Most wanted iPhone 6 feature may surprise you	http://news.investors.com/technology-click/062414-705973-apple-iphone-consumers-want-better-battery-life.htm	Investor's Business Daily	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	news.investors.com	1403639721005
311732	Report: New iPhone screens to be larger	http://whnt.com/2014/06/24/report-new-iphone-screens-to-be-larger/	whnt.com	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	whnt.com	1403639721295
311733	Apple suppliers to start making larger iPhones next month: report	https://ca.finance.yahoo.com/news/apple-suppliers-start-making-larger-iphones-next-month-014231701--finance.html	Yahoo News Canada \(blog\)	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	ca.finance.yahoo.com	1403639721540
311734	Rumor: Two iPhone 6 models to launch at the same time	http://www.technologytell.com/apple/136816/rumor-two-iphone-6-models-launch-time/	TechnologyTell	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.technologytell.com	1403639721790
311735	Report: Bigger iPhones set for production, early September release	http://www.latimes.com/business/technology/la-fi-tn-iphone-bigger-20140624-story.html	Los Angeles Times	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.latimes.com	1403639722031
311736	Report: Bigger iPhones coming this fall from Apple (AAPL)	http://www.wptv.com/news/science-tech/report-bigger-iphones-coming-this-fall-from-apple-aapl	WPTV	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.wptv.com	1403639722364
311737	Apple could sway 35% of Android & Windows Phone buyers with bigger iPhone  ...	http://appleinsider.com/articles/14/06/24/apple-could-sway-35-of-android-windows-phone-buyers-with-bigger-iphone-survey-finds	Apple Insider	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	appleinsider.com	1403639722654
311738	Apple reportedly dodges its first big problem with iPhone 6 production	https://bgr.com/2014/06/24/iphone-6-rumors-case-issues-catcher/	BGR	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	bgr.com	1403639722914
311739	Apple on iPhone 6 Confirmed Release Went on Hiring Spree Triggers Galaxy S5  ...	http://au.ibtimes.com/articles/556851/20140625/apple-iphone-6-release-date-samsung-galaxy.htm	International Business Times AU	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	au.ibtimes.com	1403639723458
311740	Apple's iPhone 6 May Be Here Sooner Than You Think	http://www.fool.com/investing/general/2014/06/24/apples-iphone-6-may-be-here-sooner-than-you-think.aspx	Motley Fool	t	dFxy4_PYojXrUMMNj7IUWiDpZgz9M	www.fool.com	1403639723694
