323101	Japan Sees Dizzying Price Rises on Sales Tax Hikes	http://www.ibtimes.co.uk/japan-consumer-prices-rise-fastest-pace-32-years-household-spending-declines-1454371	International Business Times UK	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.ibtimes.co.uk	1403858212427
323102	Inflation in Japan rises to 30-year high	http://www.telegraph.co.uk/finance/economics/10929752/Inflation-in-Japan-rises-to-30-year-high.html	Telegraph.co.uk	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.telegraph.co.uk	1403858212664
323103	Japan consumer inflation eases in May, keeps pressure on BOJ	http://uk.reuters.com/article/2014/06/26/uk-japan-economy-idUKKBN0F134220140626	Reuters UK	b	d35BPelnsg6dKIMJry58-WtimDwAM	uk.reuters.com	1403858212900
323104	Japan jobless rate hits 16-year low, signals spending rebound ahead	http://uk.reuters.com/article/2014/06/27/uk-japan-economy-idUKKBN0F20D120140627	Reuters UK	b	d35BPelnsg6dKIMJry58-WtimDwAM	uk.reuters.com	1403858213134
323105	Japan tax hike boosts inflation	http://www.moneyweb.co.za/moneyweb-south-africa/japan-tax-hike-boosts-inflation	Moneyweb.co.za	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.moneyweb.co.za	1403858213402
323106	Japan Jobless Rate Signals Spending Rebound Ahead	http://www.marketpulse.com/20140627/japan-jobless-rate-signals-spending-rebound-ahead/	MarketPulse \(blog\)	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.marketpulse.com	1403858213651
323107	Consumer Price Growth in Japan at 32-year High	http://www.marketpulse.com/20140627/consumer-price-growth-japan-32-year-high/	MarketPulse \(blog\)	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.marketpulse.com	1403858213865
323108	Japan consumer price growth at 32-year high	http://blouinnews.com/79958/story/japan-consumer-price-growth-32-year-high	Blouin News Blogs	b	d35BPelnsg6dKIMJry58-WtimDwAM	blouinnews.com	1403858214097
323109	Japan Job Openings Data Best in Over Two Decades	http://www.marketpulse.com/20140627/japan-job-openings-data-best-two-decades/	MarketPulse \(blog\)	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.marketpulse.com	1403858214418
323110	UPDATE 3-Japan jobless rate hits 16-yr low, signals spending rebound ahead	http://in.reuters.com/article/2014/06/27/japan-economy-idINL4N0P40XC20140627	Reuters	b	d35BPelnsg6dKIMJry58-WtimDwAM	in.reuters.com	1403858214670
323111	Japan jobless rate hits 16-yr low, signals spending rebound ahead	http://money.msn.com/business-news/article.aspx\?feed=OBR&amp;date=20140627&amp;id=17735946	MSN Money	b	d35BPelnsg6dKIMJry58-WtimDwAM	money.msn.com	1403858214897
323112	Japan consumer prices rise 3.4-pct on-year in May: govt	http://www.lankabusinessonline.com/news/japan-consumer-prices-rise-3.4-pct-on-year-in-may:-govt/698977261	Lanka Business Online	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.lankabusinessonline.com	1403858215133
323113	Japan's job market improves, inflation in line	http://www.marketwatch.com/story/japans-job-market-improves-inflation-in-line-2014-06-27\?link=MW_latest_news	MarketWatch	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.marketwatch.com	1403858215385
323114	Japan Consumer Prices Rise 3.4%	http://www.marketpulse.com/20140627/japan-consumer-prices-rise-3-4/	MarketPulse \(blog\)	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.marketpulse.com	1403858215582
323115	Inflation hits 32-year high; jobless rate falls to 17-year low	http://www.japantoday.com/category/business/view/inflation-hits-32-year-high-jobless-rate-falls-to-17-year-low	Japan Today	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.japantoday.com	1403858215777
323116	Japan inflation hits a 32-year high	http://www.bbc.co.uk/news/business-28051919	BBC News	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.bbc.co.uk	1403858216052
323117	Japanese consumer prices rise 3.4% in May	http://www.thehindubusinessline.com/news/international/japanese-consumer-prices-rise-34-in-may/article6153967.ece	Hindu Business Line	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.thehindubusinessline.com	1403858216364
323118	Japan Prices Rise Most Since '82 on Tax, Utility Fees: Economy	http://www.bloomberg.com/news/2014-06-26/japan-prices-rise-most-in-32-years-on-sales-tax-utility-charges.html	Bloomberg	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.bloomberg.com	1403858216762
323119	Japan household spending falls, casts doubt on BoJ optimism	http://www.thestar.com.my/Business/Business-News/2014/06/27/Japan-household-spending-falls-casts-doubt-on-BoJ-optimism/	The Star Online	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.thestar.com.my	1403858216979
323120	Japan sales tax hike boosts inflation	http://www.thebull.com.au/articles/a/46965-japan-sales-tax-hike-boosts-inflation.html	TheBull.com.au	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.thebull.com.au	1403858217344
323121	Japanese Yen Little-Changed After In-Line Inflation and Jobs Data	http://www.dailyfx.com/forex/market_alert/2014/06/27/Japanese-Yen-Little-Changed-After-In-Line-Inflation-and-Jobs-Data.html	DailyFX	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.dailyfx.com	1403858217549
323122	Japan consumer prices rise 3.4% on-year in May	http://www.globalpost.com/dispatch/news/afp/140626/japan-consumer-prices-rise-34-year-may	GlobalPost	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.globalpost.com	1403858217778
323123	“Core Japanese inflation has stalled”	http://www.fxstreet.com/news/forex-news/article.aspx\?storyid=a8063d90-2c97-433f-89b0-8f6e00bb5293	FXstreet.com	b	d35BPelnsg6dKIMJry58-WtimDwAM	www.fxstreet.com	1403858218006
