327901	Aereo Loses Supreme Court Fight	http://www.newsfactor.com/news/Aereo-Loses-Supreme-Court-Fight/story.xhtml\?story_id=1220020TNHEK	NewsFactor Network	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.newsfactor.com	1403929125789
327902	What's Next for Aereo After Supreme Court Ruling	http://www.inc.com/associated-press/aereo-tv-supreme-court-ruling-q-and-a.html	Inc.com	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.inc.com	1403929125979
327903	Symposium: A win, though a narrow one (thanks to Breyer, J.), for copyright owners	http://www.scotusblog.com/2014/06/symposium-a-win-though-a-narrow-one-thanks-to-breyer-j-for-copyright-owners/	SCOTUSblog \(blog\)	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.scotusblog.com	1403929126291
327904	Supreme Court says no to Aereo	http://newsfixnow.com/2014/06/26/supreme-court-says-no-to-aereo/	CW39 NewsFix	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	newsfixnow.com	1403929126569
327905	Les Moonves Says Court Win Over Aereo Is “Pro Consumer”: Video	http://www.deadline.com/2014/06/cbs-les-moonves-aereo-video/	Deadline.com	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.deadline.com	1403929127168
327906	Supreme Court rules Aereo violated copyright	http://shrewsbury.wickedlocal.com/article/ZZ/20140625/NEWS/306259975/12445/LIFESTYLE	Wicked Local Shrewsbury	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	shrewsbury.wickedlocal.com	1403929127910
327907	Business update: Supreme Court sides with employees in retirement fund case	http://www.dailyregister.com/article/20140625/News/140629976	Harrisburg Daily Register	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.dailyregister.com	1403929128400
327908	Slings And Aereos Of Outrageous Fortune: Supreme Court Rules That Aereo  ...	http://www.mondaq.com/unitedstates/x/323308/Copyright/Slings+And+Aereos+Of+Outrageous+Fortune+Supreme+Court+Rules+That+Aereo+Infringes	Mondaq News Alerts \(registration\)	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.mondaq.com	1403929128637
327909	US Supreme Court rules in favour of broadcast giants in Aereo case	http://www.vancouversun.com/technology/personal-tech/Supreme+Court+rules+favour+broadcast+giants/9973883/story.html	Vancouver Sun	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.vancouversun.com	1403929128925
327910	ABC v. Aereo — A big (or maybe not-so-big) win for the networks	http://www.washingtonpost.com/news/volokh-conspiracy/wp/2014/06/25/abc-v-aereo-a-big-or-maybe-not-so-big-win-for-the-networks/	Washington Post	t	d0RjdzIevAuSJHM1uOiXt--e4PQAM	www.washingtonpost.com	1403929129247
