328101	Push to prevent drinking and boating	http://wtnh.com/2014/06/26/push-to-prevent-drinking-and-boating/	WTNH	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	wtnh.com	1403930331638
328102	Texas Game Wardens Enhance BWI Enforcement Efforts	http://www.gilmermirror.com/view/full_story/25343253/article-Texas-Game-Wardens-Enhance-BWI-Enforcement-Efforts\?instance=special_coverage_bullets_right_column	Gilmer Mirror	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.gilmermirror.com	1403930331949
328103	South Dakota's Game Fish and Parks Department to Observe Operation Dry  ...	http://www.drgnews.com/2014/06/26/south-dakotas-game-fish-parks-department-observe-operation-dry-water-weekend/	Drgnews	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.drgnews.com	1403930332193
328104	Law enforcement agencies to conduct on-the-water emphasis patrols Friday and  ...	http://www.issaquahpress.com/2014/06/26/law-enforcement-agencies-to-conduct-on-the-water-emphasis-patrols-friday-and-saturday/	Issaquah Press	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.issaquahpress.com	1403930332586
328105	Extra marine patrols scheduled this weekend	http://www.columbian.com/news/2014/jun/26/outdoors-extra-marine-patrols-scheduled-weekend/	The Columbian	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.columbian.com	1403930332769
328106	Boating safety reminders	http://www.thepublicopinion.com/sports/outdoors/boating-safety-reminders/article_f99175d6-fd27-11e3-b414-0019bb2963f4.html	Watertown Public Opinion	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.thepublicopinion.com	1403930333001
328107	USA. Coast Guard units participating in Operation Dry Water to decrease threat  ...	http://www.bymnews.com/news/newsDetails.php\?id=134611	BYM News \(press release\)	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.bymnews.com	1403930333267
328108	US Coast Guard Conducting Operation Dry Water this Weekend	http://whtc.com/news/articles/2014/jun/26/us-coast-guard-conducting-operation-dry-water-this-weekend/	WHTC	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	whtc.com	1403930333573
328109	Outdoors Notebook: Operation Dry Water Focuses on BUI	http://www.theledger.com/article/20140625/OUTDOORS/140629485/1016/sports\?Title=Outdoors-Notebook-Operation-Dry-Water-Focuses-on-BUI	The Ledger	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.theledger.com	1403930333804
328110	Be aware on your boat	http://www.cdapress.com/news/local_news/article_ebb1f0cc-ebb1-5741-a24d-972af71412f3.html	Coeur d'Alene Press	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.cdapress.com	1403930334042
328111	Curb drinking and drug use while boating	http://www.dailyiowegian.com/local/x1927822449/Curb-drinking-and-drug-use-while-boating	Centerville Daily Iowegian	t	dJ8brp0JxgawPPMCy8KmW2g-E-U2M	www.dailyiowegian.com	1403930334286
