330501	Michaels stock reflects its debt load	http://www.dallasnews.com/business/retail/20140627-michaels-stock-reflects-its-debt-load.ece	Dallas Morning News	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	www.dallasnews.com	1403988808578
330502	Michaels' return to public markets mixed	http://www.observer-reporter.com/article/20140627/NEWS08/140629556	Washington Observer Reporter	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	www.observer-reporter.com	1403988808873
330503	Michaels CEO Chuck Rubin on IPO: Our debt is not a detriment	http://www.bizjournals.com/dallas/news/2014/06/27/michaels-ceo-chuck-rubin-on-ipo-our-debt-is-not-a.html	Dallas Business Journal	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	www.bizjournals.com	1403988809203
330504	Photo Release -- NASDAQ Welcomes The Michaels Companies, Inc. (NASDAQ  ...	http://www.virtual-strategy.com/2014/06/27/photo-release-nasdaq-welcomes-michaels-companies-inc-nasdaq-mik-nasdaq-stock-market	Virtual-Strategy Magazine \(press release\)	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	www.virtual-strategy.com	1403988809520
330505	Crafts Retailer Michaels Prices IPO at Low End of Range	http://www.moneynews.com/investinganalysis/crafts-retailer-michaels-ipo/2014/06/26/id/579565/	Moneynews	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	www.moneynews.com	1403988809911
330506	Arts, crafts chain Michaels raises $472M in IPO	http://lubbockonline.com/filed-online/2014-06-26/arts-crafts-chain-michaels-raises-472m-ipo	LubbockOnline.com	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	lubbockonline.com	1403988810351
330507	Michaels Companies Prices IPO At Low End Of Range	http://www.rttnews.com/2342366/michaels-companies-prices-ipo-at-low-end-of-range.aspx	RTT News	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	www.rttnews.com	1403988810614
330508	Crafts retailer Michaels raises $473 million in IPO: NYT	http://in.reuters.com/article/2014/06/26/us-michaels-compans-ipo-idINKBN0F132020140626	Reuters	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	in.reuters.com	1403988810909
330509	Crafts retailer Michaels prices IPO at $17/shr -NYT	http://money.msn.com/business-news/article.aspx\?feed=OBR&amp;date=20140626&amp;id=17735764	MSN Money	b	dzzx3GG1Hyf0cHMdpA2qwf6lrjR-M	money.msn.com	1403988811153
330510	West Coast ports gear up to face the challenges of Panama Canal expansion	http://www.allvoices.com/contributed-news/17375033-west-coast-ports-gear-up-to-face-the-challenges-thrown-up-by-panamax	allvoices	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.allvoices.com	1403989065164
330511	As Panama Canal Expands, West Coast Ports Scramble to Keep Big Cargo  ...	http://www.columbusceo.com/content/stories/apexchange/2014/06/27/as-panama-canal-expands-west-coast-ports-scramble-to-keep-big-cargo-vessels.html	Columbus CEO	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.columbusceo.com	1403989065574
330512	Work stoppage at West Coast ports would be damaging, say business groups	http://www.oregonlive.com/business/index.ssf/2014/06/work_stoppage_at_west_coast_po.html	The Oregonian	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.oregonlive.com	1403989065835
330513	Retailers nervous as West Coast port labor talks running out of time	http://www.globalpost.com/dispatch/news/thomson-reuters/140627/retailers-nervous-west-coast-port-labor-talks-running-out-time	GlobalPost	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.globalpost.com	1403989066097
330514	US retailers nervous as West Coast port labour talks running out of time	http://www.businesstimes.com.sg/breaking-news/world/us-retailers-nervous-west-coast-port-labour-talks-running-out-time-20140628	THE BUSINESS TIMES \(subscription\)	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.businesstimes.com.sg	1403989066333
330515	Study: West Coast Port Strike Could Cost US	http://multichannelmerchant.com/news/study-west-coast-port-strike-cost-u-s-economy-2-5b-per-day-27062014/	Multichannel Merchant	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	multichannelmerchant.com	1403989066590
330516	Study Lays Out Consequences of West Coast Port Strike as Deadline Looms	http://www.truckinginfo.com/news/story/2014/06/study-lays-out-consequences-of-west-coast-port-strike-as-deadline-looms.aspx	Truckinginfo	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.truckinginfo.com	1403989066961
330517	US: Deadline nears for West Coast trade disruption	http://www.just-style.com/news/deadline-nears-for-west-coast-trade-disruption_id122154.aspx	just-style.com	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.just-style.com	1403989067253
330518	Potential West Coast Ports Strike Consequences: Survey	http://www.marinelink.com/news/consequences-potential371952.aspx	MarineLink	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.marinelink.com	1403989067483
330519	West Coast dock workers battling push to gut ILWU	http://peoplesworld.org/west-coast-dock-workers-battling-push-to-gut-ilwu/	People's World	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	peoplesworld.org	1403989067767
330520	US West Coast Port Workers Will Be Off Contract Starting Tuesday - Expect  ...	http://www.ibtimes.com/us-west-coast-port-workers-will-be-contract-starting-tuesday-expect-shipping-delays-1613180	International Business Times	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.ibtimes.com	1403989068009
330521	Survey Shows How a West Coast Ports Strike Will Impact US Logistics	http://www.prnewswire.com/news-releases/survey-shows-how-a-west-coast-ports-strike-will-impact-us-logistics-264798921.html	PR Newswire \(press release\)	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.prnewswire.com	1403989068305
330522	National economy could suffer from shutdown of West Coast ports, according to  ...	http://www.contracostatimes.com/news/ci_26039142/national-economy-could-suffer-from-shutdown-west-coast	Contra Costa Times	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.contracostatimes.com	1403989068573
330523	West Coast Port Talks to Extend Past June 30 Contract Expiration	http://www.ttnews.com/articles/basetemplate.aspx\?storyid=35360&amp;t=West-Coast-Port-Talks-to-Extend-Past-June-30-Contract-Expiration	Transport Topics Online	b	dv9AxpmdD_88WeMlQo8HcV9k7H_WM	www.ttnews.com	1403989068847
330524	Other view: Bipartisan bill should improve health care	http://chippewa.com/dunnconnect/news/opinion/editorial/other-view-bipartisan-bill-should-improve-health-care/article_df6433c6-2a3d-5bba-ad31-02430055efa5.html	Chippewa Herald	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	chippewa.com	1403989227520
330525	Obamacare Subsidies: Effective or $12 Billion Boondoggle?	http://www.fool.com/investing/general/2014/06/28/obamacare-subsidies-effective-or-12-billion-boondo.aspx	Motley Fool	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.fool.com	1403989227766
330526	Small business needs health care relief	http://www.gvnews.com/opinion/columns/small-business-needs-health-care-relief/article_ed1ed6b0-fee7-11e3-a256-001a4bcf887a.html	Green Valley News	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.gvnews.com	1403989228001
330527	Obamacare Exceeds 7 million Enrollments	http://insurancenewsnet.com/oarticle/2014/06/28/obamacare-exceeds-7-million-enrollments-a-523808.html	Insurance News Net	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	insurancenewsnet.com	1403989228243
330528	Two Health Care Stocks With 50% Upside Under Obamacare	http://247wallst.com/healthcare-business/2014/06/28/two-health-care-stocks-with-50-upside-under-obamacare/\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+typepad%2FRyNm+(24%2F7+Wall+St.)	24\/7 Wall St.	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	247wallst.com	1403989228543
330529	Your Health Plan May Be About to Change: 3 Options Employers Are Using to  ...	http://www.fool.com/investing/general/2014/06/28/your-health-plan-may-be-about-to-change-3-option-2.aspx	Motley Fool	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.fool.com	1403989228834
330530	ACA renewals will be easier under proposed rules	http://www.concordmonitor.com/news/12557111-95/aca-renewals-will-be-easier-under-proposed-rules	Concord Monitor	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.concordmonitor.com	1403989229103
330531	Not so fast on the Obamacare 'Good news'	http://dailyjournalonline.com/news/opinion/national-columnist/byron-york/not-so-fast-on-the-obamacare-good-news/article_1f232829-f85e-58a2-a11f-142e96d78b2d.html	Daily Journal Online	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	dailyjournalonline.com	1403989229388
330532	The incompetence dogma	http://rutlandherald.com/article/20140628/OPINION04/706289961	Rutland Herald	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	rutlandherald.com	1403989229687
330533	Wellness programs grow in popularity	http://www.stltoday.com/business/workplaces/wellness-programs-grow-in-popularity/article_030281a4-55fd-59b5-802e-5bb1e9b1e44a.html	STLtoday.com	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.stltoday.com	1403989229901
330534	Could your insurance premiums be going up?	http://www.whec.com/news/stories/S3487682.shtml	News 10NBC	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.whec.com	1403989230140
330535	Guest Oped: La.'s Obamacare future bleak	http://theadvocate.com/home/9569068-125/guest-oped-las-obamacare-future	The Advocate	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	theadvocate.com	1403989230496
330536	York: Not so fast on the Obamacare 'good news'	http://www.morrisdailyherald.com/2014/06/27/york-not-so-fast-on-the-obamacare-good-news/ankmqli/	Morris Daily Herald	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.morrisdailyherald.com	1403989230826
330537	Guest Oped: Louisiana's Obamacare future is bleak	http://theadvocate.com/home/9569068-125/guest-oped-louisianas-obamacare-future	The Advocate	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	theadvocate.com	1403989231066
330538	Healthy Obamacare befuddles GOP	http://www.houstonchronicle.com/opinion/outlook/article/Healthy-Obamacare-befuddles-GOP-5585812.php	Houston Chronicle	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.houstonchronicle.com	1403989231276
330539	Prescriptions for contraceptives skyrocket under Affordable Care Act, says new  ...	http://www.sanluisobispo.com/2014/06/27/3131644/prescriptions-for-contraceptives.html	The San Luis Obispo Tribune	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.sanluisobispo.com	1403989231494
330540	Professors Suddenly Don't Like ObamaCare Either	http://news.investors.com/ibd-editorials-obama-care/062714-706685-professors-suddenly-dont-like-obamacare-either.htm	Investor's Business Daily	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	news.investors.com	1403989231803
330541	Make the pricing of health insurance more transparent	http://finance.yahoo.com/news/pricing-health-insurance-more-transparent-203000206.html	Yahoo News	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	finance.yahoo.com	1403989232049
330542	Six months since its introduction, Obamacare has set market's pulse racing	http://www.independent.co.uk/money/spend-save/six-months-since-its-introduction-obamacare-has-set-markets-pulse-racing-9569723.html	The Independent	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.independent.co.uk	1403989232298
330543	How states are still limiting Obamacare's outreach program	http://www.washingtonpost.com/blogs/wonkblog/wp/2014/06/27/how-states-are-still-limiting-obamacares-outreach-program/	Washington Post \(blog\)	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.washingtonpost.com	1403989232903
330544	Obamacare's prognosis grows dimmer	http://www.presstv.ir/detail/2014/06/27/368908/obamacares-prognosis-grows-dimmer/	Press TV	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.presstv.ir	1403989233237
330545	Paul Krugman: The incompetence dogma	http://www.sacbee.com/2014/06/27/6517472/paul-krugman-the-incompetence.html	Sacramento Bee	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.sacbee.com	1403989233493
330546	CoOportunity Health opens board nominations	http://journalstar.com/business/local/cooportunity-health-opens-board-nominations/article_dc1a8780-f384-5bdb-b970-17894713e79e.html	Lincoln Journal Star	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	journalstar.com	1403989233801
330547	Obamacare's 2015 Outlook Goes From Poor to Critical	http://www.fa-mag.com/news/obamacare-s-2015-outlook-goes-from-poor-to-critical-18427.html\?section=40	Financial Advisor Magazine	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.fa-mag.com	1403989234115
330548	Small businesses: You have health insurance options	http://www.bizjournals.com/philadelphia/blog/guest-comment/2014/06/small-businesses-you-have-health-insurance-options.html	Philadelphia Business Journal \(blog\)	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.bizjournals.com	1403989234359
330549	Affordable Care Act changing health care in Nebraska	http://www.netnebraska.org/article/news/924310/affordable-care-act-changing-health-care-nebraska	NET Website	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.netnebraska.org	1403989234663
330550	Enrollment help is out there	http://www.burlingtoncountytimes.com/opinion/editorial/enrollment-help-is-out-there/article_103882bb-1fea-5385-ab99-34f94453964c.html	Burlington County Times	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.burlingtoncountytimes.com	1403989234921
330551	Key Question About People Insured by ACA: Did They Know What They Bought?	http://www.njspotlight.com/stories/14/06/26/key-question-about-people-newly-insured-by-aca-did-they-know-what-they-bought/	NJ Spotlight	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.njspotlight.com	1403989235288
330552	CoOportunity opens board nominations	http://journalstar.com/news/state-and-regional/cooportunity-opens-board-nominations/article_dc1a8780-f384-5bdb-b970-17894713e79e.html	Lincoln Journal Star	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	journalstar.com	1403989235518
330553	Affordable Health Care Act impacts Clark County	http://www.thegurdontimes.com/article/20140626/NEWS/140629736/10122/LIFESTYLE	Gurdon Times	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.thegurdontimes.com	1403989235806
330554	The newly insured under ACA filing claims for serious illnesses at twice rate of  ...	http://www.al.com/news/index.ssf/2014/06/the_newly_insured_under_aca_fi.html	al.com	b	d6C8sqGnxz-diEMzvL56bFVeq38YM	www.al.com	1403989236059
330555	UPDATE 2-BNP Paribas CEO tells employees bank facing heavy US penalties	http://in.reuters.com/article/2014/06/28/bnp-paribas-usa-idINL6N0P909I20140628	Reuters	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	in.reuters.com	1403989498636
330556	UPDATE 1-BNP Paribas CEO tells employees bank facing heavy US penalties	http://af.reuters.com/article/sudanNews/idAFL6N0P909I20140628	Reuters Africa	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	af.reuters.com	1403989498849
330557	BNP Paribas CEO tells employees bank facing heavy US penalties	http://money.msn.com/business-news/article.aspx\?feed=OBR&amp;date=20140628&amp;id=17738537	MSN Money	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	money.msn.com	1403989499073
330558	BNP Paribas bank facing heavy US penalties: CEO	http://www.cnbc.com/id/101797614	CNBC.com	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.cnbc.com	1403989499313
330559	BNP Paribas to Plead Guilty And Fire Execs in $8.9bn Settlement with US  ...	https://uk.news.yahoo.com/bnp-paribas-plead-guilty-fire-execs-8-9bn-094741342.html	Yahoo News UK	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	uk.news.yahoo.com	1403989499570
330560	BNP Paribas SA to cut dividend as it braces for $9-bn US penalty: reports	http://www.domain-b.com/finance/banks/BNP_Paribas/20140628_penalty.html	domain-B	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.domain-b.com	1403989499901
330561	BNP Paribas all set to plead guilty to criminal charges in U.S.	http://topnews.ae/content/220847-bnp-paribas-all-set-plead-guilty-criminal-charges-us	TopNews Arab Emirates	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	topnews.ae	1403989500211
330562	Bloomberg: BNP Paribas To Plead Guilty Of Violating US Sanctions	http://www.rttnews.com/2342898/bloomberg-bnp-paribas-to-plead-guilty-of-violating-u-s-sanctions.aspx	RTT News	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.rttnews.com	1403989500455
330563	BNP Paribas Said to Plan Guilty Plea Monday in US Probe	http://www.businessweek.com/news/2014-06-28/bnp-paribas-said-to-plan-guilty-plea-monday-in-u-dot-s-dot-probe	Businessweek	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.businessweek.com	1403989500849
330564	BNP plans to raise funds with bonds	http://www.gulf-daily-news.com/NewsDetails.aspx\?storyid=379944	Gulf Daily News	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.gulf-daily-news.com	1403989501114
330565	WSJ: BNP to Cut Dividend, Issue Bonds as US Settlement Nears	http://www.moneynews.com/Companies/BNP-fine-dollars-sanctions/2014/06/27/id/579640/	Moneynews	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.moneynews.com	1403989501558
330566	BNP plans to slash dividend over U.S. settlement	http://www.marketwatch.com/story/bnp-plans-to-slash-dividend-over-us-settlement-2014-06-27	MarketWatch	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.marketwatch.com	1403989501931
330567	BNP Paribas faces ban on processing some dollar payments - report	http://euronews.com/2014/06/26/bnp-paribas-faces-ban-on-processing-some-dollar-payments-report/	euronews	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	euronews.com	1403989502291
330568	US named watchdog for BNP	http://www.thestandard.com.hk/breaking_news_detail.asp\?id=51135&amp;icid=1&amp;d_str=	Hong Kong Standard	b	dYjC5wxxLaz-sBMuzIuHjj-scAckM	www.thestandard.com.hk	1403989503167
330569	Pilot clips truck on Texas highway during emergency landing	http://www.nydailynews.com/news/national/pilot-hits-truck-landing-texas-highway-article-1.1847771	New York Daily News	b	d633EE4E69hhYzMjebHdO3GGlC9hM	www.nydailynews.com	1403989759141
330570	Small plane makes emergency landing on highway in Arlington	http://www.myfoxdfw.com/story/25891836/small-plane-lands-on-ramp-at-i-20-287-in-arlington\?clienttype=mobile	FOX 4 News	b	d633EE4E69hhYzMjebHdO3GGlC9hM	www.myfoxdfw.com	1403989759329
330571	Small plane lands on Arlington freeway	http://fwbusinesspress.com/fwbp/article/1/5967/Breaking-News/Small-plane-lands-on-Arlington-freeway.aspx	Fort Worth Business Press	b	d633EE4E69hhYzMjebHdO3GGlC9hM	fwbusinesspress.com	1403989759600
330572	Pilot lands on Texas highway during rush-hour traffic	http://www.usatoday.com/story/news/nation/2014/06/28/texas-pilot-emergency-landing/11609713/	USA TODAY	b	d633EE4E69hhYzMjebHdO3GGlC9hM	www.usatoday.com	1403989759854
330573	Small airplane lands on Texas freeway interchange	http://www.mynews3.com/content/news/national/story/Small-airplane-lands-on-Texas-freeway-interchange/arqiGC82KkunxYlSFNe8TQ.cspx	MyNews3 Las Vegas KSNV	b	d633EE4E69hhYzMjebHdO3GGlC9hM	www.mynews3.com	1403989760033
330574	Pilot makes emergency landing on Arlington highway	http://www.khou.com/news/texas-news/265010341.html	KHOU	b	d633EE4E69hhYzMjebHdO3GGlC9hM	www.khou.com	1403989760292
330575	Junta expects next Thai elections in October 2015	http://www.theindependent.com/news/world/junta-expects-next-thai-elections-in-october/article_fb3526c8-369e-5114-87f5-c6a7b5725add.html	Grand Island Independent	b	d633EE4E69hhYzMjebHdO3GGlC9hM	www.theindependent.com	1403989760549
330576	Small plane makes emergency landing on Arlington freeway	http://www.star-telegram.com/2014/06/27/5934639/small-plane-makes-emergency-landing.html	Fort Worth Star Telegram	b	d633EE4E69hhYzMjebHdO3GGlC9hM	www.star-telegram.com	1403989760920
