346301	Martin Freeman Says A Sherlock Christmas Special Is In The Works	http://www.cinemablend.com/television/Martin-Freeman-Says-Sherlock-Christmas-Special-Works-64998.html	Cinema Blend	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.cinemablend.com	1404320268506
346302	'Sherlock' Returning for Christmas Special in 2015	http://variety.com/2014/tv/news/sherlock-christmas-special-1201255296/	Variety	e	d4jITYEjZBmO_aMYPARoescUx_J0M	variety.com	1404320268787
346303	See Sherlock doing Frozen, and pictures of Benedict Cumberbatch's 2015  ...	http://primetime.unrealitytv.co.uk/see-sherlock-frozen-benedict-cumberbatchs-2015-calendar/	Unreality TV	e	d4jITYEjZBmO_aMYPARoescUx_J0M	primetime.unrealitytv.co.uk	1404320269177
346304	Sherlock Christmas Special Aims For December 2015	http://wegotthiscovered.com/tv/sherlock-christmas-special-aims-december-2015/	We Got This Covered	e	d4jITYEjZBmO_aMYPARoescUx_J0M	wegotthiscovered.com	1404320269350
346305	Miss 'Sherlock'? Keep Waiting Til Christmas 2015	http://www.mtv.com/news/1858151/miss-sherlock-keep-waiting-til-christmas-2015/	MTV.com	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.mtv.com	1404320269537
346306	Rumors Abound That Sherlock Will Return For Christmas Special	http://www.tvovermind.com/sherlock/rumors-abound-sherlock-will-return-christmas-special-235558	TVOvermind	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.tvovermind.com	1404320269721
346307	Martin Freeman says 'Sherlock' filming to take place in early 2015	http://www.hypable.com/2014/06/30/sherlock-series-4-christmas-special-filming-martin-freeman/	Hypable	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.hypable.com	1404320270142
346308	'Sherlock' Christmas special? Martin Freeman says 2015	http://www.zap2it.com/blogs/sherlock_christmas_special_martin_freeman_says_2015-2014-06	Zap2it.com \(blog\)	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.zap2it.com	1404320270335
346309	Sherlock season 4 to be Christmas special reveals Martin Freeman as filming is  ...	http://www.mirror.co.uk/tv/tv-news/sherlock-season-4-christmas-special-3788993	Mirror.co.uk	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.mirror.co.uk	1404320270545
346310	'Sherlock' Christmas Special Possibly Coming in 2015, Says Martin Freeman	http://screencrush.com/bbc-sherlock-christmas-special-2015-martin-freeman/	ScreenCrush	e	d4jITYEjZBmO_aMYPARoescUx_J0M	screencrush.com	1404320270754
346311	'Sherlock' Might Return To The BBC For A Christmas Special In 2015	http://uproxx.com/tv/2014/06/sherlock-might-return-to-the-bbc-for-a-christmas-special-in-2015-but-still/\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+uproxx%2Fwarmingglow+(Warming+Glow)	Uproxx	e	d4jITYEjZBmO_aMYPARoescUx_J0M	uproxx.com	1404320271224
346312	'Sherlock' Season 4 Spoilers: 'Christmas Special' Coming For December 2015  ...	http://www.enstarz.com/articles/40485/20140630/sherlock-season-4-spoilers-christmas-special-coming-for-december-2015-martin-freeman-suggests-video.htm	Enstarz	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.enstarz.com	1404320271403
346313	Martin Freeman says 'Sherlock' likely to return for Christmas special in 2015	http://www.nme.com/filmandtv/news/martin-freeman-says-sherlock-likely-to-return-for/342673	NME.com	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.nme.com	1404320271655
346314	Sherlock for 2015 Christmas special?	http://www.list.co.uk/article/62112-sherlock-for-2015-christmas-special/	The List	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.list.co.uk	1404320271915
346315	Freeman hints at Sherlock special	https://uk.news.yahoo.com/freeman-hints-sherlock-special-134408298.html	Yahoo News UK	e	d4jITYEjZBmO_aMYPARoescUx_J0M	uk.news.yahoo.com	1404320272323
346316	Martin Freeman Says 'Sherlock' Christmas Special Coming in 2015	http://screenrant.com/sherlock-season-4-christmas-special/	Screen Rant	e	d4jITYEjZBmO_aMYPARoescUx_J0M	screenrant.com	1404320272567
346317	'Sherlock' fans could be getting a Christmas special after all	http://www.dailydot.com/geek/sherlock-christmas-special-2015/	The Daily Dot	e	d4jITYEjZBmO_aMYPARoescUx_J0M	www.dailydot.com	1404320272783
