363001	Plans revealed for huge pedestrian city in Dubai	http://www.constructionweekonline.com/article-28978-plans-revealed-for-huge-pedestrian-city-in-dubai/	Construction Week Online	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	www.constructionweekonline.com	1404695526185
363002	World's biggest shopping mall	http://www.dawn.com/news/1117351/worlds-biggest-shopping-mall	DAWN.com	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	www.dawn.com	1404695526367
363003	Dubai launches 'Mall of the World' project	http://tribune.com.pk/story/731758/dubai-launches-mall-of-the-world-project/	The Express Tribune	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	tribune.com.pk	1404695526792
363004	The World's Largest Shopping Mall Is Opening In Dubai	http://www.businessinsider.com/worlds-largest-mall-opening-in-dubai-2014-7	Business Insider	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	www.businessinsider.com	1404695527034
363005	Dubai aims to build world's biggest mall	http://economictimes.indiatimes.com/industry/et-cetera/dubai-aims-to-build-worlds-biggest-mall/articleshow/37858060.cms	Economic Times	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	economictimes.indiatimes.com	1404695527316
363006	Dubai plans to build world's biggest mall	http://thepeninsulaqatar.com/business/gcc-business/290460/dubai-plans-to-build-world-s-biggest-mall	Peninsula On-line	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	thepeninsulaqatar.com	1404695527753
363007	VP launches Mall of the World	http://gulftoday.ae/portal/1149b82d-4165-44af-af09-42c64b70472b.aspx	Gulf Today	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	gulftoday.ae	1404695527980
363008	Dubai reveals plans to build world's largest shopping mall	http://timesofindia.indiatimes.com/Business/International-Business/Dubai-reveals-plans-to-build-worlds-largest-shopping-mall/articleshow/37855130.cms	Times of India	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	timesofindia.indiatimes.com	1404695528173
363009	Dubai to build biggest mall	http://www.thehimalayantimes.com/fullNews.php\?headline=Dubai+to+build+biggest+mall&amp;NewsID=420311	Himalayan Times	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	www.thehimalayantimes.com	1404695528457
363010	'Mall of the World' – A temperature-controlled pedestrian city launched in Dubai	http://www.dubaichronicle.com/2014/07/05/mall-world-temperature-controlled-pedestrian-city-launched-dubai/	Dubai Chronicle	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	www.dubaichronicle.com	1404695528708
363011	Dubai reveal plans to build world`s largest shopping mall	http://zeenews.india.com/news/world/dubai-reveal-plans-to-build-world-s-largest-shopping-mall_945327.html	Zee News	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	zeenews.india.com	1404695529134
363012	Dubai launching project to build world's biggest mall	http://www.gmanetwork.com/news/story/368900/economy/business/dubai-launching-project-to-build-world-s-biggest-mall	GMA News	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	www.gmanetwork.com	1404695529332
363013	Dubai Is Obviously Building the World's Biggest Mall	http://www.gizmodo.in/Design/Dubai-Is-Obviously-Building-the-Worlds-Biggest-Mall/articleshow/37853268.cms	Gizmodo India	b	dApC0nfvmI7pu0MKMdglUVS45XuFM	www.gizmodo.in	1404695529566
