378101	Thanks to $7 Billion Settlement and Business Difficulties, Citigroup Earnings  ...	http://www.fool.com/investing/general/2014/07/14/thanks-to-7-billion-settlement-and-business-diffic.aspx	Motley Fool	b	do0zme6MejoNoKMapoWp_gZzo5KKM	www.fool.com	1405431612618
378102	German Economic Confidence At 19-Month Low	http://www.rttnews.com/2349683/german-economic-confidence-at-19-month-low.aspx	RTT News	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.rttnews.com	1405432328444
378103	German investor confidence declines again in July	http://www.irishtimes.com/business/economy/german-investor-confidence-declines-again-in-july-1.1866865	Irish Times	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.irishtimes.com	1405432328720
378104	German ZEW economic sentiment falls for seventh month	http://www.forexlive.com/blog/2014/07/15/july-2014-german-zew-economic-sentiment-index-27-1-vs-28-0-exp/	ForexLive \(blog\)	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.forexlive.com	1405432329043
378105	German investor confidence in 7th straight fall	http://www.enquirerherald.com/2014/07/15/3108850/german-investor-confidence-in.html\?sp=/99/117/366/	Enquirerherald	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.enquirerherald.com	1405432329461
378106	European stocks bruised by weak German sentiment data	http://www.marketwatch.com/story/european-stocks-slip-ahead-of-german-zew-uk-inflation-2014-07-15	MarketWatch	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.marketwatch.com	1405432329880
378107	European markets slide on poor German survey	http://www.brecorder.com/markets/equity/europe/184030-european-markets-slide-on-poor-german-survey.html	Business Recorder	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.brecorder.com	1405432330200
378108	Gloomy German investor sentiment weighs on economy	http://www.globalpost.com/dispatch/news/afp/140715/gloomy-german-investor-sentiment-weighs-economy	GlobalPost	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.globalpost.com	1405432330494
378109	German ZEW economic sentiment falls to 19-month low of 27.1 in July	http://www.investing.com/news/economic-indicators/german-zew-economic-sentiment-falls-to-19-month-low-of-27.1-in-july-294884	Investing.com	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.investing.com	1405432330829
378110	German investor sentiment hits 19-month low in July	http://www.businesstimes.com.sg/breaking-news/world/german-investor-sentiment-hits-19-month-low-july-20140715	THE BUSINESS TIMES \(subscription\)	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.businesstimes.com.sg	1405432331152
378111	German economic confidence falls more than forecast	http://www.ifamagazine.com/news/german-economic-confidence-falls-more-than-forecast-302774	IFA Magazine	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.ifamagazine.com	1405432331451
378112	Drops in DAX and Lisbon market weigh on European shares	http://economictimes.indiatimes.com/markets/global-markets/drops-in-dax-and-lisbon-market-weigh-on-european-shares/articleshow/38424676.cms	Economic Times	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	economictimes.indiatimes.com	1405432331860
378113	Euro Falls After Weak German ZEW Economic Sentiment Index	http://www.rttnews.com/2349516/euro-falls-after-weak-german-zew-economic-sentiment-index.aspx\?type=cm&amp;SimRec=1	RTT News	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.rttnews.com	1405432332092
378114	1ST LEAD German investor confidence drops on economic worries By Andrew  ...	http://en.europeonline-magazine.eu/1st-leadgerman-investor-confidence-drops-on-economic-worriesby-andrew-mccathie-dpa_346446.html	Europe Online Magazine	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	en.europeonline-magazine.eu	1405432332330
378115	EUROPE MARKETS: European Stocks Bruised By Weak German Sentiment Data	http://english.capital.gr/News.asp\?id=2064082	Capital.gr \(press release\)	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	english.capital.gr	1405432332693
378116	German Investor Confidence Falls in July for Seventh Consecutive Month	http://www.nasdaq.com/article/german-investor-confidence-falls-in-july-for-seventh-consecutive-month-20140715-00135	NASDAQ	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.nasdaq.com	1405432332990
378117	EU Stocks 50 continues to drag	http://www.ig.com/uk/indices-news/2014/07/15/eu-stocks-50-continues-to-drag-17812	IG	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.ig.com	1405432333221
378118	German ZEW index down for seventh straight month 15.07.2014	http://www.dw.de/german-zew-index-down-for-seventh-straight-month/a-17786457	Deutsche Welle	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.dw.de	1405432333565
378119	German investor morale drops to lowest in one-and-a-half years in July	http://www.iii.co.uk/news-opinion/reuters/news/180174	Interactive Investor	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.iii.co.uk	1405432333805
378120	German investor confidence down for 7th straight month after disappointing  ...	http://www.nanaimodailynews.com/business/german-investor-confidence-down-for-7th-straight-month-after-disappointing-economic-data-1.1206499	Nanaimo Daily News	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.nanaimodailynews.com	1405432334081
378121	German Investor Confidence Falls For Seventh Month In July, Euro Drops	http://www.actionforex.com/analysis/daily-forex-fundamentals/german-investor-confidence-falls-for-seventh-month-in-july,-euro-drops-20140715220231/\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+ActionForexall+(Action+Forex+(ALL))	Action Forex	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	www.actionforex.com	1405432334451
378122	German ZEW investor sentiment hits 19-month low in July	http://news.ph.msn.com/top-stories/german-zew-investor-sentiment-hits-19-month-low-in-july-3	MSN Philippines News	b	d2xz_PR6bEUQrfMJCp5whorBe1CrM	news.ph.msn.com	1405432334849
