394001	Honda net profit jumps 19.6 on strong sales, weak yen	http://www.menafn.com/1093893543/Honda-net-profit-jumps-196-on-strong-sales-weak-yen	MENAFN.COM	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.menafn.com	1406638211668
394002	New models boost Honda Q1 operating income	http://www.just-auto.com/news/new-models-boost-honda-q1-operating-income_id148553.aspx	just-auto.com \(subscription\)	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.just-auto.com	1406638212134
394003	Honda profit beats estimates on cost cuts, Japan sales	http://www.financialexpress.com/news/honda-profit-beats-estimates-on-cost-cuts-japan-sales/1274887	Financial Express	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.financialexpress.com	1406638212575
394004	Honda's quarterly net profit jumps 19.6% to US$1.4b	http://www.channelnewsasia.com/news/business/international/honda-s-quarterly-net/1287248.html	Channel News Asia	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.channelnewsasia.com	1406638212937
394005	Honda's Consolidated Financial Summary for Fiscal 1st Quarter ended June 30  ...	http://www.stockhouse.com/news/press-releases/2014/07/29/honda-s-consolidated-financial-summary-for-fiscal-1st-quarter-ended-june-30	Stockhouse	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.stockhouse.com	1406638213317
394006	US: Nissan looking to pass Honda	http://www.inautonews.com/us-nissan-looking-to-pass-honda	INAUTONEWS	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.inautonews.com	1406638213785
394007	Honda Q1 Profit Climbs, Lifts Full-year Forecast	http://www.rttnews.com/2357946/honda-q1-profit-climbs-lifts-full-year-forecast.aspx\?type=corp	RTT News	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.rttnews.com	1406638214242
394008	Nissan's profit rises on China demand	http://www.inautonews.com/nissans-profit-rises-on-china-demand	INAUTONEWS	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.inautonews.com	1406638214622
394009	Nissan profit beats estimates on solid US and China sales	http://www.bdlive.co.za/world/asia/2014/07/29/nissan-profit-beats-estimates-on-solid-us-and-china-sales	BDlive	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.bdlive.co.za	1406638214979
394010	Honda says quarterly net profit jumps 19.6% to US$1.4b	http://www.businesstimes.com.sg/breaking-news/transport/honda-says-quarterly-net-profit-jumps-196-us14b-20140729	THE BUSINESS TIMES \(subscription\)	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.businesstimes.com.sg	1406638215324
394011	Honda net profit jumps 19.6% to $1.4 billion	http://zeenews.india.com/business/automobiles/auto-news/honda-net-profit-jumps-19-6-to-1-4-billion_104959.html	Zee News	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	zeenews.india.com	1406638215813
394012	Honda Q1 profit rises 7 pct, beats estimates on cost cuts, Japan sales	http://www.reuters.com/article/2014/07/29/honda-results-idUSL4N0Q30OB20140729	Reuters	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.reuters.com	1406638216099
394013	Nissan profit boosted by US and China	http://www.independent.ie/business/world/nissan-profit-boosted-by-us-and-china-30465418.html	Irish Independent	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.independent.ie	1406638216341
394014	Honda says quarterly net profit jumps 19.6pc to $1.4bn	http://thepeninsulaqatar.com/news/latest-news/293495/honda-says-quarterly-net-profit-jumps-19-6pc-to-1-4bn	Peninsula On-line	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	thepeninsulaqatar.com	1406638216996
394015	Honda's quarterly net profit jumps 19.6%	http://www.tradingroom.com.au/apps/view_breaking_news_article.ac\?page=/data/news_research/published/2014/7/210/catf_140729_172300_8141.html	Trading Room	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.tradingroom.com.au	1406638217361
394016	Honda net profit up 19.6% on strong Asia sales	http://www.thehindubusinessline.com/news/international/honda-net-profit-up-196-on-strong-asia-sales/article6260414.ece	Hindu Business Line	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.thehindubusinessline.com	1406638217679
394017	Honda raises profit forecast on yen, emerging markets boost	http://www.livemint.com/Companies/5ZXYFtWaoc6nayrTYpUU5M/Honda-raises-profit-forecast-on-yen-emerging-markets-boost.html	Livemint	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.livemint.com	1406638218210
394018	Honda Motor Co. Ltd.: Consolidated Financial Summary for the Fiscal 1st  ...	http://www.twst.com/update/71480-honda-motor-co-ltd-consolidated-financial-summary-for-the-fiscal-1st-quarter-ended-june-30-2014	The Wall Street Transcript	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.twst.com	1406638218536
394019	Honda says quarterly net profit jumps 19.6% to $1.4 billion	http://economictimes.indiatimes.com/news/international/business/honda-says-quarterly-net-profit-jumps-19-6-to-1-4-billion/articleshow/39223993.cms	Economic Times	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	economictimes.indiatimes.com	1406638219021
394020	Honda net profit up 20% on sales growth	http://www.marketwatch.com/story/honda-net-profit-up-20-on-sales-growth-2014-07-29\?siteid=rss	MarketWatch	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.marketwatch.com	1406638219353
394021	Honda raises profit forecast on new models, emerging markets	http://www.themalaymailonline.com/money/article/honda-raises-profit-forecast-on-new-models-emerging-markets	The Malay Mail Online	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.themalaymailonline.com	1406638219663
394022	Honda Projects Record Profit on Yen, Emerging Markets	http://www.businessweek.com/news/2014-07-29/honda-projects-record-profit-on-emerging-markets-surge	Businessweek	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.businessweek.com	1406638220075
394023	Honda Q1 Profit Increases; Updates FY Outlook - Quick Facts	http://www.rttnews.com/2357890/honda-q1-profit-increases-updates-fy-outlook-quick-facts.aspx\?type=corp	RTT News	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.rttnews.com	1406638220348
394024	Japan's Topix Reaches Six-Month High on Earnings Optimism	http://www.businessweek.com/news/2014-07-28/japan-s-topix-rises-third-day-as-earnings-cheer-investors	Businessweek	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.businessweek.com	1406638220555
394025	Honda logs higher profit in April-June	http://www.thestandard.com.hk/breaking_news_detail.asp\?id=52225&amp;icid=1&amp;d_str=	Hong Kong Standard	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.thestandard.com.hk	1406638220775
394026	Nissan's quarterly profit soars 37%	http://motoring.iafrica.com/newsbriefs/951671.html	iAfrica.com	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	motoring.iafrica.com	1406638221298
394027	Nissan Motor (NSANY) Q1 2014 Results - Earnings Call Transcript (NSANY)	http://seekingalpha.com/article/2350135-nissan-motor-nsany-q1-2014-results-earnings-call-transcript\?source=google_news	Seeking Alpha \(registration\)	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	seekingalpha.com	1406638221642
394028	Nissan benefits from China growth as earnings beat estimates	http://www.themalaymailonline.com/money/article/nissan-benefits-from-china-growth-as-earnings-beat-estimates	The Malay Mail Online	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.themalaymailonline.com	1406638222183
394029	Nissan aims to boost US sales	http://www.gulf-daily-news.com/NewsDetails.aspx\?storyid=382834	Gulf Daily News	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.gulf-daily-news.com	1406638222411
394030	Nissan profit beats estimates on gains in China, US demand	http://www.smh.com.au/business/nissan-profit-beats-estimates-on-gains-in-china-us-demand-20140729-zxzmj.html	Sydney Morning Herald	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.smh.com.au	1406638222713
394031	Nissan aims to boost US sales and profit as it closes on Honda	http://www.brecorder.com/business-a-finance/industries-a-sectors/186154.html	Business Recorder	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.brecorder.com	1406638223166
394032	Posted by Parvez Jabri	http://www.brecorder.com/business-a-finance/industries-a-sectors/186116.html	Business Recorder	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.brecorder.com	1406638223504
394033	Nissan says April-June net profit jumps 37% on-year to $1.1 bn	http://en.tengrinews.kz/autos/Nissan-says-April-June-net-profit-jumps-37-on-year-to-11-bn-255082/	Tengrinews	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	en.tengrinews.kz	1406638223712
394034	Healthy sales, cheap yen help push Nissan quarterly profit up with North  ...	http://www.greenfieldreporter.com/view/story/14a138c32f0b41ef97fdcd11f83333e3/AS--Japan-Earns-Nissan	Greenfield Daily Reporter	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.greenfieldreporter.com	1406638224070
394035	Nissan quarterly profit soars 37% on strong China demand	http://www.gulf-times.com/eco.-bus.%20news/256/details/402215/nissan-quarterly-profit-soars-37%25-on-strong-china-demand	Gulf Times	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.gulf-times.com	1406638224323
394036	Nissan quarterly profit soars on strong China demand	http://www.dailytimes.com.pk/business/29-Jul-2014/nissan-quarterly-profit-soars-on-strong-china-demand	Daily Times	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.dailytimes.com.pk	1406638224629
394037	New dealer incentives help Nissan boost sales in U.S.	http://www.newsday.com/classifieds/cars/new-dealer-incentives-help-boost-nissan-u-s-sales-1.8906456	Newsday	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.newsday.com	1406638225050
394038	Nissan Profits Rise 36.7% on High Demand in China and US	http://www.autoevolution.com/news/nissan-profits-rise-367-on-high-demand-in-china-and-us-84498.html	autoevolution	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.autoevolution.com	1406638225422
394039	Nissan Sales and Profit Rise	http://www.lulegacy.com/2014/07/28/nissan-sales-and-profit-rise/	The Legacy	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.lulegacy.com	1406638225676
394040	China sales help Nissan close in on chief Carlos Ghosn's key targets	http://www.scmp.com/business/companies/article/1561396/china-sales-help-nissan-close-chief-carlos-ghosns-key-targets	South China Morning Post \(subscription\)	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.scmp.com	1406638225973
394041	Improved sales in US and China lift Nissan	http://www.yorkshirepost.co.uk/business/business-news/improved-sales-in-us-and-china-lift-nissan-1-6754319	Yorkshire Post	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.yorkshirepost.co.uk	1406638226344
394042	Nissan profit rises on strong sales, cheap yen	http://www.sltrib.com/sltrib/money/58232815-79/nissan-sales-percent-profit.html.csp	Salt Lake Tribune	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.sltrib.com	1406638226612
394043	Nissan Earnings Soar on China Sales, Dentsu Acquires India Based Agency	http://www.123jump.com/market-update/Nissan-Earnings-Soar-on-China-Sales,-Dentsu-Acquires-India-Based-Agency/57162/	123Jump.com	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.123jump.com	1406638228267
394044	Nissan Benefits From China Growth as Profits Gain 37%	http://www.businessweek.com/news/2014-07-28/nissan-profit-beats-estimates-on-china-u-dot-s-dot-deliveries	Businessweek	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.businessweek.com	1406638228532
394045	Nissan sees big boost in fiscal Q1 profit	http://americasmarkets.usatoday.com/2014/07/28/nissan-sees-big-boost-in-fiscal-q1-profit/	USA TODAY	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	americasmarkets.usatoday.com	1406638228749
394046	Nissan Earnings Outperform Estimates On High China And US Sales	http://www.bidnessetc.com/23353-nissan-earnings-outperform-estimates-on-high-china-and-us-sales/	Bidness Etc	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.bidnessetc.com	1406638229014
394047	Nissan Aims to Boost US Sales and Profit as it Closes in on Honda	http://www.moneynews.com/Companies/nissan-honda-motor-auto-sales/2014/07/28/id/585221/	Moneynews	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.moneynews.com	1406638229309
394048	Nissan net profit surges 36.7 pct in Q2 on brisk China sales	http://www.globalpost.com/dispatch/news/xinhua-news-agency/140728/nissan-net-profit-surges-367-pct-q2-brisk-china-sales	GlobalPost	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.globalpost.com	1406638229786
394049	Nissan quarterly profit up due to healthy sales, cheap yen	http://www.ctvnews.ca/autos/nissan-quarterly-profit-up-due-to-healthy-sales-cheap-yen-1.1935112	CTV News	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.ctvnews.ca	1406638230053
394050	Nissan Quarterly net Profit up 37 per cent on Robust US, China Sales	http://www.spa.gov.sa/viewphotonews.php\?id=1257911&amp;pic=	Saudi Press Agency	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.spa.gov.sa	1406638230334
394051	UPDATE 2-Nissan aims to boost US sales and profit as it closes on Honda	http://in.reuters.com/article/2014/07/28/nissan-results-idINL4N0Q328E20140728	Reuters	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	in.reuters.com	1406638230824
394052	Nissan profits jump	http://www.iol.co.za/business/companies/nissan-profits-jump-1.1726734	Independent Online	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.iol.co.za	1406638231677
394053	Nissan reports hefty profit rise	http://www.marketwatch.com/story/nissan-reports-hefty-profit-rise-2014-07-28-74854057\?reflink=MW_news_stmp	MarketWatch	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.marketwatch.com	1406638231880
394054	Nissan's April-June net profit soars 37% on-year	http://www.channelnewsasia.com/news/business/international/nissan-s-april-june-net/1285996.html	Channel News Asia	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.channelnewsasia.com	1406638232156
394055	Nissan first-quarter profit boosted by higher U.S., China sales	http://www.globalpost.com/dispatch/news/thomson-reuters/140728/nissan-first-quarter-profit-boosted-higher-us-china-sales	GlobalPost	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.globalpost.com	1406638232386
394056	Nissan aims to boost US sales and profit	http://www.thestar.com.my/Business/Business-News/2014/07/28/Nissan-aims-to-boost-US-sales-and-profit/	The Star Online	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.thestar.com.my	1406638232825
394057	Nissan Q1 profit rises, exceeds consensus as US sales improve	http://www.thestar.com.my/Business/Business-News/2014/07/28/Nissan-Q1-profit-rises/	The Star Online	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.thestar.com.my	1406638233185
394058	Nissan profit beats estimates on gains in China, US	http://www.japantimes.co.jp/news/2014/07/28/business/corporate-business/nissan-profit-beats-estimates-gains-china-u-s/\?utm_source=rss&amp;utm_medium=rss&amp;utm_campaign=nissan-profit-beats-estimates-gains-china-u-s	The Japan Times	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.japantimes.co.jp	1406638233487
394059	Nissan Motor Co. share price up, posts rising profit amid sales growth in US and  ...	http://www.binarytribune.com/2014/07/28/nissan-motor-co-share-price-up-posts-rising-profit-amid-sales-growth-in-us-and-china/	Binary Tribune	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.binarytribune.com	1406638233740
394060	Improved U.S. Sales Give Nissan Q1 Profit a Boost	http://www.dailyfinance.com/2014/07/28/nissan-earnings/	DailyFinance	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.dailyfinance.com	1406638233992
394061	Nissan Q1 profit boosted by higher US, China sales	http://auto.economictimes.indiatimes.com/news/passenger-vehicle/cars/nissan-q1-profit-boosted-by-higher-us-china-sales/39164233	ET Auto	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	auto.economictimes.indiatimes.com	1406638234357
394062	Nissan profit beats estimates as deliveries rise in China, US	http://www.livemint.com/Companies/hHwubMXG6LTIwSB0N9YoCJ/Nissan-profit-beats-estimates-as-deliveries-rise-in-China-U.html	Livemint	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.livemint.com	1406638234750
394063	Nissan reports boosted Q1 profit on improved sales in China, U.S.	http://www.panarmenian.net/eng/news/181132/	PanARMENIAN.Net	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.panarmenian.net	1406638235000
394064	Nissan quarterly net profit up 37% on robust US, China sales	http://www.thehindubusinessline.com/news/international/nissan-quarterly-net-profit-up-37-on-robust-us-china-sales/article6257544.ece\?utm_source=RSS_Feed&amp;utm_medium=RSS&amp;utm_campaign=RSS_Syndication	Hindu Business Line	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.thehindubusinessline.com	1406638235239
394065	Nissan April-June net profit jumps 37 on-year to $1.1 bn	http://www.menafn.com/1093892232/Nissan-April-June-net-profit-jumps-37-on-year-to-11-bn	MENAFN.COM	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.menafn.com	1406638235716
394066	Nissan says April-June net profit jumps 37% on-year to US$1.1b	http://www.businesstimes.com.sg/breaking-news/transport/nissan-says-april-june-net-profit-jumps-37-year-us11b-20140728	THE BUSINESS TIMES \(subscription\)	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.businesstimes.com.sg	1406638235959
394067	Nissan Q1 operating profit boosted by China, US sales	http://www.themalaymailonline.com/money/article/nissan-q2-2014-profit-beats-estimates-on-china-us-gains	The Malay Mail Online	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.themalaymailonline.com	1406638236211
394068	Nissan first-quarter profit rises, exceeds consensus as U.S. sales improve	http://www.businessinsider.com/r-nissan-first-quarter-profit-rises-exceeds-consensus-as-us-sales-improve-2014-28	Business Insider	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.businessinsider.com	1406638236646
394069	Nissan reports net income of 112.1 billion yen for first quarter of FY2014	http://www.automotiveworld.com/news-releases/nissan-reports-net-income-112-1-billion-yen-first-quarter-fy2014/	Automotive World	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.automotiveworld.com	1406638236919
394070	Nissan says April-June net profit jumps 37% on-year to $1.1 bnPublish Date: Jul  ...	http://www.newvision.co.ug/news/658093-nissan-says-april-june-net-profit-jumps-37-on-year-to-1-1-bn.html	New Vision	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.newvision.co.ug	1406638237165
394071	Nissan says April-June net profit jumps 37% on-year to $1.1 ......	http://www.newvision.co.ug/news/658093-nissan-says-april-june-net-profit-jumps-37-on-year-to-1-1.html	New Vision	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	www.newvision.co.ug	1406638237651
394072	Nissan April-June net profit jumps 37% to $1.1 bn	http://zeenews.india.com/business/automobiles/auto-news/nissan-april-june-net-profit-jumps-37-to-1-1-bn_104889.html	Zee News	b	dVmzXRf-s3jagMMjzVEn1snVCfEKM	zeenews.india.com	1406638237833
394073	Wonkbook: Obamacare is giving Medicare a new lease on life	http://www.washingtonpost.com/blogs/wonkblog/wp/2014/07/29/wonkbook-obamacare-is-giving-medicare-a-new-lease-on-life/	Washington Post \(blog\)	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.washingtonpost.com	1406639027669
394074	Despite good news, Social Security, Medicare face problems	http://seattletimes.com/html/nationworld/2024187405_apxsocialsecuritymedicare.html	The Seattle Times	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	seattletimes.com	1406639028054
394075	Despite good news, benefit programs face problems	http://www.hendersondailynews.com/news/despite-good-news-benefit-programs-face-problems/article_487db98a-170d-11e4-94cb-001a4bcf887a.html	The Henderson Daily News	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.hendersondailynews.com	1406639028432
394076	Good news on health costs, but threats to Social Security and Medicare persist  ...	http://www.csmonitor.com/USA/DC-Decoder/2014/0728/Good-news-on-health-costs-but-threats-to-Social-Security-and-Medicare-persist-video	Christian Science Monitor	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.csmonitor.com	1406639028847
394077	Portman Statement on Social Security and Medicare Trustees Reports	http://insurancenewsnet.com/oarticle/2014/07/29/portman-statement-on-social-security-and-medicare-trustees-reports-a-536868.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639029196
394078	Hoyer Statement on Social Security and Medicare Trustees Reports	http://insurancenewsnet.com/oarticle/2014/07/29/hoyer-statement-on-social-security-and-medicare-trustees-reports-a-536873.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639029523
394079	King: Social Security Report Highlights Need to Work Together	http://insurancenewsnet.com/oarticle/2014/07/29/king-social-security-report-highlights-need-to-work-together-a-536866.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639029844
394080	Medicare's own health looking better, report says	http://www.heraldbulletin.com/breakingnews/x197375583/Medicares-own-health-looking-better-report-says	The Herald Bulletin	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.heraldbulletin.com	1406639030061
394081	Capital Journal Daybreak: The Iraq Enigma | Congress Has Little to Show for  ...	http://blogs.wsj.com/washwire/2014/07/29/capital-journal-the-iraq-enigma-congress-has-little-to-show-for-2014-medicare-social-security-disability-fund-headed-in-different-directions/	Wall Street Journal \(blog\)	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	blogs.wsj.com	1406639030420
394082	Some good news but more trouble ahead for benefits	http://www.capitolhillblue.com/node/53472	Capitol Hill Blue	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.capitolhillblue.com	1406639030822
394083	Medicare Relatively Sound, Social Security Disability Shakier	http://www.newsmax.com/US/Social-Security-trustees-disability-Medicare/2014/07/29/id/585444/	Newsmax.com	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.newsmax.com	1406639031113
394084	Despite good news, entitlement programs face problems	http://www.enewscourier.com/statenews/x1618742543/Despite-good-news-entitlement-programs-face-problems	News Courier	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.enewscourier.com	1406639031453
394085	Statement of Secretary Lew on the Release of the Social Security and Medicare  ...	http://insurancenewsnet.com/oarticle/2014/07/29/statement-of-secretary-lew-on-the-release-of-the-social-security-and-medicare-tr-a-536821.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639031738
394086	Fact Sheet: Social Security And Medicare Trustees Reports	http://insurancenewsnet.com/oarticle/2014/07/29/fact-sheet-social-security-and-medicare-trustees-reports-a-536820.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639031980
394087	Medicare, Social Security Still Face Long-term Hurdles	http://wibx950.com/medicare-social-security-still-face-long-term-hurdles/	WIBX AM 950	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	wibx950.com	1406639032282
394088	Medicare's solvency extended by 4 years	http://www.dispatch.com/content/stories/national_world/2014/07/29/medicares-solvency-extended-by-4-years.html	Columbus Dispatch	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	www.dispatch.com	1406639032553
394089	Hold the Rhetoric, Pass the Truth on the 2014 Trustees Report	http://insurancenewsnet.com/oarticle/2014/07/29/hold-the-rhetoric-pass-the-truth-on-the-2014-trustees-report-a-536769.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639032913
394090	Statement by Retiree Leader Richard Fiesta on the 2014 Social Security and  ...	http://insurancenewsnet.com/oarticle/2014/07/29/statement-by-retiree-leader-richard-fiesta-on-the-2014-social-security-and-medic-a-536780.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639033120
394091	Trustees' Reports Underscore Need for Prompt Reforms to Make Medicare  ...	http://insurancenewsnet.com/oarticle/2014/07/29/trustees-reports-underscore-need-for-prompt-reforms-to-make-medicare-social-se-a-536768.html	Insurance News Net	b	dZhJlIB7cw__ekMFCVSyP6g3qlmZM	insurancenewsnet.com	1406639033337
