401001	Snapchat in financing talks with Alibaba at US$10b valuation: Bloomberg	http://www.businesstimes.com.sg/breaking-news/technology/snapchat-financing-talks-alibaba-us10b-valuation-bloomberg-20140730	THE BUSINESS TIMES \(subscription\)	b	d8-g1ZF1m3nlFEMIr-x-xXuV7bRnM	www.businesstimes.com.sg	1406775201349
401002	Snapchat reported to be in funding talks	http://www.rte.ie/news/business/2014/0730/634077-snapchat-reported-to-be-in-funding-talks/	RTE.ie	b	d8-g1ZF1m3nlFEMIr-x-xXuV7bRnM	www.rte.ie	1406775201717
401003	Snapchat funding talks with Alibaba could value company at $10bn	http://www.theguardian.com/technology/2014/jul/30/snapchat-investor-value-company-10bn-alibaba	The Guardian	b	d8-g1ZF1m3nlFEMIr-x-xXuV7bRnM	www.theguardian.com	1406775201959
401004	The next $10bn startup? Snapchat is 'raising funding from Alibaba'	http://www.managementtoday.co.uk/news/1305955/the-next-10bn-startup-snapchat-raising-funding-alibaba/	Management Today	b	d8-g1ZF1m3nlFEMIr-x-xXuV7bRnM	www.managementtoday.co.uk	1406775202200
401005	Twitter's surge revives valuation debate	http://www.dnaindia.com/money/report-twitter-s-surge-revives-valuation-debate-2006753	Daily News \& Analysis	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.dnaindia.com	1406776078080
401006	Twitter downplays World Cup's role in user growth but experts are skeptical	http://blogs.marketwatch.com/thetell/2014/07/30/twitter-downplays-world-cups-role-in-user-growth-but-experts-are-skeptical/	MarketWatch \(blog\)	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	blogs.marketwatch.com	1406776078410
401007	Quoted: Dick Costolo on Twitter vs. Facebook	http://www.siliconbeat.com/2014/07/30/quoted-dick-costolo-on-twitter-vs-facebook/	SiliconBeat	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.siliconbeat.com	1406776078785
401008	Twitter shares zoom 35% and it's NOT all the World Cup, says Costolo	http://www.thedrum.com/news/2014/07/31/twitter-shares-zoom-35-and-its-not-all-world-cup-says-costolo	The Drum	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.thedrum.com	1406776079150
401009	Twitter shares zoom 35 per cent and it's NOT all the World Cup, says Costolo	http://www.thedrum.com/news/2014/07/31/twitter-shares-zoom-35-cent-and-its-not-all-world-cup-says-costolo	The Drum	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.thedrum.com	1406776079454
401010	Twitter Users Perfectly Hijack AMA Hashtag to Harass Twitter CEO About  ...	http://www.themarysue.com/twitter-harassment-hashtag/	The Mary Sue	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.themarysue.com	1406776079710
401011	Twitter's 2nd quarter results soar, stock flies high	http://www.komonews.com/news/tech/Twitters-2nd-quarter-results-soar-stock-flies-high-269251751.html	KOMO News	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.komonews.com	1406776080089
401012	Twitter stock up 20% as company doubles revenue	http://www.cbc.ca/news/business/twitter-stock-up-20-as-company-doubles-revenue-1.2721927	CBC.ca	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.cbc.ca	1406776080488
401013	Twitter Advertising Revenue Soars 129% on Mobile Platform Strength, User  ...	http://ecreditdaily.com/2014/07/twitter-advertising-revenue-soars-129-on-mobile-platform-strength-user-growth/	eCreditDaily.com	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	ecreditdaily.com	1406776080776
401014	Not everyone convinced about Twitter's prospects	http://www.thestar.com/business/tech_news/2014/07/30/not_everyone_convinced_about_twitters_prospects.html	Toronto Star	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.thestar.com	1406776081060
401015	Twitter Needs to Monetize You, Even If You're Not on Twitter	http://mashable.com/2014/07/30/how-twitter-can-monetize/	Mashable	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	mashable.com	1406776081462
401016	World Cup proves to be a winner for Twitter	http://www.techtimes.com/articles/11677/20140730/world-cup-a-winner-for-twitter.htm	Tech Times	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.techtimes.com	1406776081716
401017	$7 Billion Added to Market Value of Twitter	http://uncovercalifornia.com/content/2825-7-billion-added-market-value-twitter	Uncover California	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	uncovercalifornia.com	1406776082021
401018	Twitter's Dick Costolo sees India turning into key business market in five years	http://www.livemint.com/Home-Page/Zrs2pMCKw5jHYezGCfrn2J/Twitters-Dick-Costolo-sees-India-turning-into-key-business.html	Livemint	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.livemint.com	1406776082471
401019	Here's how pros are trading Twitter	http://finance.yahoo.com/blogs/talking-numbers/here-s-how-pros-are-trading-twitter-184427236.html	Yahoo Finance \(blog\)	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	finance.yahoo.com	1406776082780
401020	Active User Battle: Twitter vs. Facebook	http://www.benzinga.com/news/earnings/14/07/4742508/active-user-battle-twitter-vs-facebook	Benzinga	b	d9jNZwzC6jdQSHMOhmbOEhdwYUoeM	www.benzinga.com	1406776083161
