406001	Californians to see 4.2 percent health increase	http://www.goerie.com/apps/pbcs.dll/article\?AID=/20140731/APN/307319680	GoErie.com	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.goerie.com	1406853055654
406002	California 2015 health insurance rates climb an average of 4.2 percent	http://www.scpr.org/news/2014/07/31/45685/california-2015-health-insurance-rates-climb-an-av/	89.3 KPCC	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.scpr.org	1406853055988
406003	Covered California announces 2015 health insurance rates	http://blog.sfgate.com/chronrx/2014/07/31/covered-california-announces-2015-health-insurance-rates/	SFGate \(blog\)	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	blog.sfgate.com	1406853056314
406004	California Premiums Show Cost Of Affordable Care Act	http://news.investors.com/ibd-editorials-obama-care/073114-711352-california-premiums-and-the-high-cost-of-the-affordable-care-act.htm	Investor's Business Daily	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	news.investors.com	1406853056636
406005	Covered California announces slight changes in most 2015 premiums	http://www.mercedsunstar.com/2014/07/31/3774566/covered-california-announces-slight.html	Merced Sun-Star	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.mercedsunstar.com	1406853056960
406006	Covered California says exchange health plan costs will rise an average of 4.2  ...	http://www.greenfieldreporter.com/view/story/efa71f48594649099e9dec6e4531a313/CA--Health-Overhaul-California	Greenfield Daily Reporter	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.greenfieldreporter.com	1406853057235
406007	California's health law rates to average 4.2 pct. increase in 2015	http://www.columbusceo.com/content/stories/apexchange/2014/07/31/californias-health-law-rates-to-average-4-2-pct--increase-in-2015.html	Columbus CEO	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.columbusceo.com	1406853057545
406008	Covered California customers to see 4.2 percent increase in costs	http://www.bakersfieldnow.com/news/health/Californians-to-see-42-percent-increase-in-health-coverage-costs-269448831.html	Bakersfield Now	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.bakersfieldnow.com	1406853057914
406009	UPDATE 1-California's proposed 2015 Obamacare premiums to rise 4 pct in 2015	http://in.reuters.com/article/2014/07/31/usa-healthcare-california-idINL2N0Q62RM20140731	Reuters	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	in.reuters.com	1406853058171
406010	California Obamacare Insurance Premiums Still Rising	http://dailycaller.com/2014/07/31/california-obamacare-insurance-premiums-still-rising/	Daily Caller	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	dailycaller.com	1406853058415
406011	Obamacare rate hikes in California to average 4% in 2015	http://blogs.marketwatch.com/health-exchange/2014/07/31/obamacare-rate-hikes-in-california-to-average-4-in-2015/	MarketWatch \(blog\)	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	blogs.marketwatch.com	1406853058666
406012	Obamacare Prices In California Only Going Up A Little Next Year	http://www.huffingtonpost.com/2014/07/31/obamacare-premiums-califo_n_5638831.html	Huffington Post	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.huffingtonpost.com	1406853058954
406013	California exchange insurance rates for 2015 draw mixed reaction	http://www.latimes.com/business/la-fi-reaction-mixed-to-california-insurance-exchange-increases-20140731-story.html	Los Angeles Times	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.latimes.com	1406853059215
406014	California sees low O-Care rate increases for next year	http://thehill.com/policy/healthcare/213977-california-sees-low-o-care-rate-increases-for-next-year	The Hill	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	thehill.com	1406853059456
406015	Average rate hike for Covered California next year: 4.2%	http://www.bizjournals.com/sacramento/news/2014/07/31/average-rate-hike-for-covered-califoria-next-year.html	Sacramento Business Journal	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.bizjournals.com	1406853059940
406016	California's proposed 2015 Obamacare premiums to rise 4 pct in 2015	http://in.reuters.com/article/2014/07/31/usa-healthcare-california-idINL2N0Q60WN20140731	Reuters	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	in.reuters.com	1406853060151
406017	California's proposed 2015 Obamacare premiums to rise 4 percent in 2015	http://www.businessinsider.com/r-californias-proposed-2015-obamacare-premiums-to-rise-4-percent-in-2015-2014-31	Business Insider	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.businessinsider.com	1406853060396
406018	Locals Still Dealing With 'Obamacare' Problems	http://www.malibutimes.com/news/article_a2fa17de-17ab-11e4-914f-001a4bcf887a.html	Malibu Times	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.malibutimes.com	1406853060645
406019	California health exchange touts 4.2 percent increase in rates for 2015	http://www.sanluisobispo.com/2014/07/31/3175284/california-health-exchange-touts.html	The San Luis Obispo Tribune	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.sanluisobispo.com	1406853061298
406020	California's Obamacare rates to rise average 4.2 percent	http://www.cnbc.com/id/101884485	CNBC	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.cnbc.com	1406853061564
406021	Consumer Watchdog Campaign: Health Insurance Companies Facing Prop 45's  ...	http://www.virtualpressoffice.com/publicsiteContentFileAccess\?fileContentId=1699089&amp;fromOtherPageToDisableHistory=Y&amp;menuName=News&amp;sId=&amp;sInfo=	Virtual Press Office \(press release\)	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.virtualpressoffice.com	1406853061965
406022	California's Obamacare Rates to Average 4.2 Increase in 2015	http://www.newsmax.com/US/california-obamacare-rates-increase/2014/07/31/id/586100/	Newsmax.com	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.newsmax.com	1406853062488
406023	California's Obamacare Rates to Average 4.2% Rise in 2015	http://www.businessweek.com/news/2014-07-31/california-s-obamacare-rates-to-average-4-dot-2-percent-rise-in-2015	Businessweek	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.businessweek.com	1406853062719
406024	BRIEF: California health exchange touts 4.2 percent increase in rates for 2015	http://insurancenewsnet.com/oarticle/2014/07/31/brief-california-health-exchange-touts-42-percent-increase-in-rates-for-2015-a-538373.html	Insurance News Net	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	insurancenewsnet.com	1406853062942
406025	Mid-year enrollment offered for Covered California	http://napavalleyregister.com/news/local/mid-year-enrollment-offered-for-covered-california/article_50377088-544b-5f3f-b809-4972d2f0cb2e.html	Napa Valley Register	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	napavalleyregister.com	1406853063178
406026	Obamacare: New California rates increase only 4.2 percent	http://www.contracostatimes.com/news/ci_26251886/obamacare-new-california-rates-increase-only-4-2	Contra Costa Times	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.contracostatimes.com	1406853063430
406027	A Check-Up On Obamacare In California	http://www.kpbs.org/news/2014/jul/31/A-Check-Up-On-Obamacare-In-California/	KPBS	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.kpbs.org	1406853063856
406028	California exchange's health insurance rates to increase 4% in 2015	http://www.latimes.com/business/la-fi-california-health-insurance-exchange-rates-to-increase-modestly-in-2015-20140730-story.html	Los Angeles Times	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.latimes.com	1406853064111
406029	Covered California Announces Rates For 2015	http://insurancenewsnet.com/oarticle/2014/07/31/covered-california-announces-rates-for-2015-a-538353.html	Insurance News Net	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	insurancenewsnet.com	1406853064363
406030	CA Insurance Commissioner Admits 'Affordable Care' Costs 55% More	http://www.breitbart.com/Breitbart-California/2014/07/30/Cal-Insurance-Commissioner-Admits-Affordable-Care-Costs-55-More	Breitbart News	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.breitbart.com	1406853064754
406031	Jones: Rates for Health Insurance Plans Rose Significantly in 2014	http://www.californiahealthline.org/articles/2014/7/30/jones-rates-for-health-insurance-plans-rose-significantly-in-2014	California Healthline	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.californiahealthline.org	1406853065023
406032	Study: Number of Uninsured in California Plunges Due to Obamacare	http://rhrealitycheck.org/article/2014/07/31/study-number-uninsured-california-plunges-due-obamacare/	RH Reality Check	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	rhrealitycheck.org	1406853065280
406033	California commissioner keeps up fight for health rate authority	http://www.lifehealthpro.com/2014/07/31/california-commissioner-keeps-up-fight-for-health	LifeHealthPro	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.lifehealthpro.com	1406853065697
406034	Consumer Watchdog Campaign: Who is Watching WellPoint's Profits  ...	http://insurancenewsnet.com/oarticle/2014/07/31/consumer-watchdog-campaign-who-is-watching-wellpoints-profits-proposition-45--a-537952.html	Insurance News Net	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	insurancenewsnet.com	1406853065912
406035	California Insurance Commissioner Says Rates Jumped Under Obamacare  ...	http://www.breitbart.com/Breitbart-California/2014/07/30/California-Insurance-Commissioner-Says-Rates-Jumped-Under-Obamacare-Pushes-Prop-45	Breitbart News	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.breitbart.com	1406853066114
406036	California ranks high for health costs	http://www.sddt.com/News/article.cfm\?SourceCode=20140730czd	San Diego Source \(subscription\)	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.sddt.com	1406853066331
406037	Health premiums soared, Insurance Commissioner Dave Jones says	http://www.latimes.com/business/la-fi-insurance-rates-20140730-story.html	Los Angeles Times	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.latimes.com	1406853066835
406038	Dave Jones: Data shows steep insurance rate hikes ... in 2014	http://www.bizjournals.com/losangeles/news/2014/07/30/dave-jones-data-shows-steep-insurance-rate-hikes.html\?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+vertical_17+(Human+Resources+Industry+News)	L.A. Biz	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.bizjournals.com	1406853067099
406039	Health insurance rates soared in 2014, state commissioner reports	http://insurancenewsnet.com/oarticle/2014/07/30/health-insurance-rates-soared-in-2014-state-commissioner-reports-a-537702.html	Insurance News Net	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	insurancenewsnet.com	1406853067313
406040	As he pushes for more authority, insurance commissioner says health premium  ...	http://www.greenfieldreporter.com/view/story/637efc44f29d40a790d3162a37cb7944/CA--Health-Insurance-Rates	Greenfield Daily Reporter	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.greenfieldreporter.com	1406853067561
406041	Obamacare shoots premiums up by 88 percent in California	http://www.washingtontimes.com/news/2014/jul/30/obamacare-shoots-premiums-88-percent-california/	Washington Times	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.washingtontimes.com	1406853067995
406042	California Health Insurance: Despite Obamacare, Hispanics Represent 62  ...	http://www.latinpost.com/articles/18247/20140730/california-health-insurance-depsite-obamacare-hispanics-represent-62-percent-uninsured.htm	Latin Post	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.latinpost.com	1406853068227
406043	CA Insurance Commissioner: Insurers Will Keep Health Rates Low, Fear Prop. 45	http://blogs.kqed.org/stateofhealth/2014/07/29/ca-insurance-commissioner-insurers-will-keep-health-rates-low-fear-prop-45/	KQED \(blog\)	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	blogs.kqed.org	1406853068628
406044	House Panel Told Changes Coming For Employer Health Plans Under ACA	http://www.bna.com/house-panel-told-n17179893097/	Bloomberg BNA	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.bna.com	1406853068862
406045	Analysts Say Covered California Premium Increases Unlikely	http://www.californiahealthline.org/articles/2014/7/29/analysts-say-covered-california--premium-increases-unlikely	California Healthline	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.californiahealthline.org	1406853069093
406046	California Health Premiums Soar, Leading To Health Law Talk And Statewide  ...	http://host.madison.com/special-section/health-fitness/california-health-premiums-soar-leading-to-health-law-talk-and/article_ac3059bc-d453-599c-aa9a-b44c3c0f9eec.html	Madison.com	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	host.madison.com	1406853069317
406047	Report: Health premiums see significant rise	http://www.smdailyjournal.com/articles/wnews/2014-07-30/report-health-premiums-see-significant-rise/1776425127487.html	San Mateo Daily Journal	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.smdailyjournal.com	1406853069745
406048	Jones: Fearful of voters, insurers will temper health rate hikes	http://insurancenewsnet.com/oarticle/2014/07/30/jones-fearful-of-voters-insurers-will-temper-health-rate-hikes-a-537366.html	Insurance News Net	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	insurancenewsnet.com	1406853069957
406049	CDI 2014 Rate Breakdown Ignores New Benefits of ACA	http://insurancenewsnet.com/oarticle/2014/07/30/cdi-2014-rate-breakdown-ignores-new-benefits-of-aca-a-537274.html	Insurance News Net	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	insurancenewsnet.com	1406853070170
406050	Report: Health premiums rose significantly in 2014	http://www.appeal-democrat.com/news/report-health-premiums-rose-significantly-in/article_28bf7112-17b0-11e4-ab5f-001a4bcf6878.html	Appeal-Democrat	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.appeal-democrat.com	1406853070430
406051	Department of Insurance Analysis Finds California Consumers Experienced  ...	http://insurancenewsnet.com/oarticle/2014/07/30/department-of-insurance-analysis-finds-california-consumers-experienced-steep-he-a-537171.html	Insurance News Net	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	insurancenewsnet.com	1406853070845
406052	Report: Fresno health insurance premiums rose most in 2014	http://www.fresnobee.com/2014/07/29/4045905/report-health-premiums-rose-significantly.html	Fresno Bee	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.fresnobee.com	1406853071092
406053	Insurance report shows premiums increased, but ignores policy changes	http://www.latimes.com/opinion/opinion-la/la-ol-insurance-premiums-obamacare-regulation-20140729-story.html	Los Angeles Times	b	dH528bn-itTpp6Mizc1OSpb6HZ8oM	www.latimes.com	1406853071325
