418501	Disney pushes patents for drone-controlled...	http://www.washingtontimes.com/news/2014/aug/27/disney-pushes-patents-drone-controlled-puppets/	Washington Times	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.washingtontimes.com	1409196515827
418502	Disney files patents to use drones at theme parks	http://www.wesh.com/video/buzz60/disney-files-patents-to-use-drones-at-theme-parks/27739606	WESH Orlando	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.wesh.com	1409196516086
418503	Disney's drone patent could bring "blimp-sized" Pinocchio to life (with strings)	http://upstart.bizjournals.com/companies/innovation/2014/08/27/disney-s-drone-patent-could-bring-blimp-sized.html	Upstart	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	upstart.bizjournals.com	1409196516399
418504	Drones Coming to Disney World, but Don't Worry They're Fun Drones	http://blogs.miaminewtimes.com/riptide/2014/08/drones_are_coming_to_disney_world_but_dont_worry_theyre_fun_drones.php	Miami New Times \(blog\)	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	blogs.miaminewtimes.com	1409196516972
418505	Disney filed three patents for drone-controlled lightshows	http://www.techtimes.com/articles/14157/20140827/disney-filed-three-patents-for-drone-controlled-lightshows.htm	Tech Times	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.techtimes.com	1409196517312
418506	Forget Hot Air: Disney Parade Floats Could Soon Fly Under Drone Power	http://www.gizmodo.in/Science/Forget-Hot-Air-Disney-Parade-Floats-Could-Soon-Fly-Under-Drone-Power/articleshow/41016691.cms	Gizmodo India	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.gizmodo.in	1409196517544
418507	Disney filed a patent for 'blimp-sized' puppets controlled by drones. But that  ...	http://www.washingtonpost.com/blogs/the-switch/wp/2014/08/27/disney-filed-a-patent-for-blimp-sized-puppets-controlled-by-drones-but-that-doesnt-mean-theyll-be-in-parks-soon/	Washington Post \(blog\)	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.washingtonpost.com	1409196518034
418508	Disney Files Patents To Use Drones In Park Shows	http://techcrunch.com/2014/08/27/disney-files-patents-to-use-drones-in-park-shows/	TechCrunch	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	techcrunch.com	1409196518347
418509	Disney ponders using UAVs in its theme parks	http://www.flightglobal.com/news/articles/disney-ponders-using-uavs-in-its-theme-parks-403067/	Flightglobal	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.flightglobal.com	1409196518809
418510	At Disney, Drones Could Steal the Show	http://news.discovery.com/tech/robotics/at-disney-drones-could-steal-the-show-140827.htm	Discovery News	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	news.discovery.com	1409196519101
418511	Disney files patents for amusement park drones	http://www.foxnews.com/travel/2014/08/27/disney-files-patents-for-amusement-park-drones/	Fox News	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.foxnews.com	1409196519378
418512	Could drones be coming to Disney World?	http://www.foxnews.com/tech/2014/08/27/could-drones-be-coming-to-disney-world/	Fox News	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.foxnews.com	1409196519710
418513	Four Things You Need To Know About Disney's Drones	http://www.forbes.com/sites/gregorymcneal/2014/08/27/four-things-you-need-to-know-about-disneys-drones/	Forbes	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.forbes.com	1409196519921
418514	Will Pinocchio be controlled by a drone after Disney proposal?	http://www.dispatch.com/content/stories/national_world/2014/08/27/pinocchio-controlled-by-a-drone.html	Columbus Dispatch	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.dispatch.com	1409196520193
418515	Report: Disney applies for use of drones in shows	http://www.travelweeklyweb.com/report-disney-applies-for-use-of-drones-in-shows/47215	TravelWeekly Asia	b	dFYja-XLQOBmFOMpp0KMYWFr_-GVM	www.travelweeklyweb.com	1409196520556
